,PLA2FA~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,2.6999356,
3008.346,228.0611,
3005.435,262.92226,
3002.525,284.36018,
2999.614,271.75327,
2996.704,279.50413,
2993.793,304.13306,
2990.882,292.91606,
2987.972,294.12108,
2985.061,315.3399,
2982.151,342.82356,
2979.240,332.74809,
2976.329,350.51365,
2973.419,353.96945,
2970.508,362.26657,
2967.598,375.66546,
2964.687,373.29823,
2961.777,387.05992,
2958.866,388.33284,
2955.955,403.41812,
2953.045,415.95304,
2950.134,439.81925,
2947.224,439.34163,
2944.313,450.10114,
2941.403,462.90511,
2938.492,448.43632,
2935.581,454.11288,
2932.671,474.79827,
2929.760,468.13846,
2926.850,484.21616,
2923.939,476.2336,
2921.028,491.83523,
2918.118,485.20404,
2915.207,499.16432,
2912.297,511.88999,
2909.386,510.74454,
2906.476,515.41008,
2903.565,502.58074,
2900.654,509.56419,
2897.744,498.87428,
2894.833,502.19563,
2891.923,516.9455,
2889.012,497.95376,
2886.102,497.29461,
2883.191,497.98962,
2880.280,466.25359,
2877.370,426.68034,
2874.459,421.57875,
2871.549,466.19766,
2868.638,497.36494,
2865.727,523.94616,
2862.817,515.62835,
2859.906,536.88604,
2856.996,525.54755,
2854.085,545.80888,
2851.175,535.14455,
2848.264,538.86267,
2845.353,531,
2842.443,526.20836,
2839.532,517.44777,
2836.622,523.82031,
2833.711,535.05181,
2830.801,508.12279,
2827.890,536.3549,
2824.979,538.07401,
2822.069,505.38665,
2819.158,537.47978,
2816.248,532.75868,
2813.337,537.60853,
2810.427,549.3967,
2807.516,540.84172,
2804.605,543.86058,
2801.695,557.82895,
2798.784,541.47846,
2795.874,537.14512,
2792.963,534.35713,
2790.052,557.99485,
2787.142,545.44731,
2784.231,522.67859,
2781.321,547.19434,
2778.410,553.79571,
2775.500,553.31724,
2772.589,560.49924,
2769.678,552.71329,
2766.768,555.3767,
2763.857,563.57996,
2760.947,582.56619,
2758.036,576.05722,
2755.126,571.04274,
2752.215,580.80905,
2749.304,593.70142,
2746.394,568.29228,
2743.483,589.1,
2740.573,577.57959,
2737.662,590.56361,
2734.751,589.30107,
2731.841,576.86447,
2728.930,603.75429,
2726.020,579.87211,
2723.109,590.93775,
2720.199,611.53141,
2717.288,598.87592,
