,PLA8D8~1,
Raman shift [1/cm],Intensity,
3014.167,-1.5,
3011.256,-1.1500322,
3008.346,151.53751,
3005.435,190.65548,
3002.525,203.25503,
2999.614,214.68832,
2996.704,211.68557,
2993.793,225.12846,
2990.882,227.01906,
2987.972,214.65639,
2985.061,233.97289,
2982.151,243.27817,
2979.240,256.55038,
2976.329,250.74317,
2973.419,266.34596,
2970.508,278.19998,
2967.598,276.35663,
2964.687,273.97758,
2961.777,260.91012,
2958.866,283.15528,
2955.955,293.94691,
2953.045,301.60068,
2950.134,304.68075,
2947.224,307.81316,
2944.313,317.60114,
2941.403,329.53604,
2938.492,322.80895,
2935.581,331.38712,
2932.671,327.37983,
2929.760,336.12309,
2926.850,349.23872,
2923.939,359.21492,
2921.028,353.38212,
2918.118,343.16373,
2915.207,368.20247,
2912.297,368.48307,
2909.386,362.5,
2906.476,366.53089,
2903.565,368.33852,
2900.654,371.5,
2897.744,359.44971,
2894.833,350.964,
2891.923,358.28531,
2889.012,353.2052,
2886.102,356.25136,
2883.191,367.4849,
2880.280,325.93062,
2877.370,289.75011,
2874.459,289.20442,
2871.549,321.35562,
2868.638,352.09175,
2865.727,371.63459,
2862.817,388.05748,
2859.906,379.09544,
2856.996,384.03397,
2854.085,387.9433,
2851.175,374.33432,
2848.264,381.4265,
2845.353,371.73724,
2842.443,381.30209,
2839.532,377.17166,
2836.622,364.16862,
2833.711,375.60361,
2830.801,384.69412,
2827.890,376.39686,
2824.979,375.72204,
2822.069,387.64784,
2819.158,398.21967,
2816.248,399.72974,
2813.337,383.95366,
2810.427,388.93388,
2807.516,392.18344,
2804.605,406.72596,
2801.695,410.36842,
2798.784,411.35215,
2795.874,408.52114,
2792.963,391.07149,
2790.052,403.49764,
2787.142,393.30258,
2784.231,392.46739,
2781.321,406.05998,
2778.410,396.18021,
2775.500,412.17827,
2772.589,414.53747,
2769.678,405.99826,
2766.768,409.44174,
2763.857,412.44798,
2760.947,413.97794,
2758.036,433.37275,
2755.126,427.45726,
2752.215,416.6273,
2749.304,411.52159,
2746.394,428.61691,
2743.483,438.69999,
2740.573,428.96676,
2737.662,429.82988,
2734.751,435.87366,
2731.841,443.39194,
2728.930,437.05086,
2726.020,437.72454,
2723.109,439.5,
2720.199,442.08744,
2717.288,446.60584,
2714.377,429.4377,
2711.467,447.27033,
2708.556,453.97874,
2705.646,439.97884,
2702.735,457.19074,
2699.825,473.6527,
2696.914,468.11909,
2694.003,450.39918,
2691.093,453.37485,
2688.182,468.59259,
2685.272,454.01351,
2682.361,471.5,
2679.450,485.65632,
2676.540,469.4187,
2673.629,472.13673,
2670.719,475.22273,
2667.808,467.59727,
2664.898,488.94164,
2661.987,484.5,
2659.076,488.86422,
2656.166,490.96754,
2653.255,488.98129,
2650.345,486.36388,
2647.434,496.15704,
2644.524,497.9053,
2641.613,501.69987,
2638.702,519.18438,
2635.792,503.25074,
2632.881,506.73794,
2629.971,493.43276,
2627.060,509.83313,
2624.149,505.52813,
2621.239,499.25148,
2618.328,520.58477,
2615.418,523.16364,
2612.507,510.84788,
2609.597,537.01098,
2606.686,528.96786,
2603.775,512.25793,
2600.865,525.3772,
2597.954,542.54172,
2595.044,525.15191,
2592.133,534.00324,
2589.223,544.63264,
2586.312,539.20852,
2583.401,543.90875,
2580.491,545.30768,
2577.580,578.43729,
2574.670,544.65106,
2571.759,538.43409,
2568.848,550.84268,
2565.938,552.69046,
2563.027,548.64549,
2560.117,546.12618,
2557.206,553.21218,
2554.296,549.61899,
2551.385,568.18599,
2548.474,569.31487,
2545.564,585.02517,
2542.653,582.1745,
2539.743,572.89526,
2536.832,576.96916,
2533.922,572.31077,
2531.011,565.99953,
2528.100,584.23172,
2525.190,574.85082,
2522.279,570.14143,
2519.369,595.04768,
2516.458,586.61898,
2513.548,587.4092,
2510.637,597.56148,
2507.726,598.18773,
2504.816,596.93743,
2501.905,590.8189,
2498.995,596.85831,
2496.084,602.80662,
2493.173,603.5,
2490.263,604.29774,
2487.352,615.08427,
2484.442,628.5,
2481.531,630.07977,
2478.621,621.51892,
2475.710,637.36198,
2472.799,620.73317,
2469.889,616.74375,
2466.978,622.93285,
2464.068,611.26184,
2461.157,616.85234,
2458.247,644.35295,
2455.336,640.22406,
2452.425,647.30661,
2449.515,633.21726,
2446.604,642.67974,
2443.694,658.43097,
2440.783,652.4482,
2437.872,645.37516,
2434.962,660.09448,
2432.051,649.17925,
2429.141,671.04107,
2426.230,676.36962,
