,PLD703~1,
Raman shift [1/cm],Intensity,
3014.167,3.75,
3011.256,1.5000537,
3008.346,67.076492,
3005.435,93.67226,
3002.525,84.994966,
2999.614,105.32402,
2996.704,100.06856,
2993.793,86.60772,
2990.882,103.70418,
2987.972,115.68946,
2985.061,105.5234,
2982.151,124.48279,
2979.240,131.96577,
2976.329,123.22543,
2973.419,118.90404,
2970.508,119.38329,
2967.598,129.51466,
2964.687,139.4966,
2961.777,133.75,
2958.866,152.08581,
2955.955,148.75,
2953.045,136.76791,
2950.134,141.50509,
2947.224,145.77847,
2944.313,148.54772,
2941.403,152.48814,
2938.492,162.44105,
2935.581,155.27147,
2932.671,167.5526,
2929.760,168.45383,
2926.850,158.69774,
2923.939,158.51169,
2921.028,172.0149,
2918.118,159.55101,
2915.207,161.86385,
2912.297,171.69076,
2909.386,175.96168,
2906.476,179.94382,
2903.565,180.23445,
2900.654,164.63272,
2897.744,179.69971,
2894.833,165.85328,
2891.923,170.40071,
2889.012,177.21243,
2886.102,161.33379,
2883.191,177.73301,
2880.280,157.81221,
2877.370,153.05237,
2874.459,144.86947,
2871.549,161.11867,
2868.638,189.1603,
2865.727,180.38078,
2862.817,176.29278,
2859.906,180.83832,
2856.996,177.73189,
2854.085,194.07355,
2851.175,178.70182,
2848.264,175.75,
2845.353,161.46171,
2842.443,191.75348,
2839.532,187.97389,
2836.622,192.56446,
2833.711,167.38735,
2830.801,180.53383,
2827.890,182.4598,
2824.979,184.61404,
2822.069,183.93195,
2819.158,196.32951,
2816.248,190.75,
2813.337,174.09024,
2810.427,185.3533,
2807.516,189.69969,
2804.605,181.34135,
2801.695,180.31579,
2798.784,189.08469,
2795.874,187.45976,
2792.963,193.03574,
2790.052,169.75515,
2787.142,195.90785,
2784.231,182.23448,
2781.321,184.81286,
2778.410,184.92005,
2775.500,189.87689,
2772.589,204.05734,
2769.678,201.99913,
2766.768,206.56165,
2763.857,194.53998,
2760.947,190.69957,
2758.036,193.76281,
2755.126,208.56623,
2752.215,190.21818,
2749.304,198.47301,
2746.394,204.23184,
2743.483,205.90002,
2740.573,204.52434,
2737.662,188.53698,
2734.751,208.14786,
2731.841,211.61447,
2728.930,208.5677,
2726.020,217.85706,
2723.109,202.33783,
2720.199,197.84677,
2717.288,207.31204,
2714.377,207.97492,
2711.467,205.07748,
2708.556,218.5799,
2705.646,209.67956,
2702.735,227.58247,
2699.825,230.17365,
2696.914,229.70227,
2694.003,215.52073,
2691.093,226.10739,
2688.182,228.16778,
2685.272,213.6618,
2682.361,232.99127,
2679.450,220.25621,
2676.540,211.09551,
2673.629,225.09531,
2670.719,224.88864,
2667.808,240.11774,
2664.898,223.15273,
2661.987,228.78359,
2659.076,237.87716,
2656.166,236.75,
2653.255,232.41837,
2650.345,221.47777,
2647.434,233.09296,
2644.524,237.13609,
2641.613,230.20694,
2638.702,240.52907,
2635.792,235.50074,
2632.881,233.7916,
2629.971,244.6024,
2627.060,237.0825,
2624.149,244.66875,
2621.239,243.49555,
2618.328,231.59774,
2615.418,252.40909,
2612.507,242.71843,
2609.597,259.27096,
2606.686,243.03516,
2603.775,256.90873,
2600.865,256.57254,
2597.954,254.51043,
2595.044,251.40191,
2592.133,259.0303,
2589.223,250.15946,
2586.312,280.55403,
2583.401,263.52733,
2580.491,251.92788,
2577.580,254.75825,
2574.670,255.3222,
2571.759,252.55821,
2568.848,266.33567,
2565.938,260.65463,
2563.027,275.45684,
2560.117,256.40418,
2557.206,266.83118,
2554.296,257.46625,
2551.385,267.50202,
2548.474,273.97231,
2545.564,266.06656,
2542.653,273.3708,
2539.743,273.31777,
2536.832,277.56683,
2533.922,276.68692,
2531.011,271.10014,
2528.100,273.68033,
2525.190,282.12172,
2522.279,278.42171,
2519.369,273.86308,
2516.458,280.41785,
2513.548,287.41356,
2510.637,274.05741,
2507.726,277.18866,
2504.816,284.43884,
2501.905,283.82256,
2498.995,278.28747,
2496.084,280.61756,
2493.173,276.14503,
2490.263,294.91838,
2487.352,301.33267,
2484.442,293.17398,
2481.531,305.70204,
2478.621,299.16227,
2475.710,305.82668,
2472.799,313.77693,
2469.889,305.81094,
2466.978,290.03879,
2464.068,310.60723,
2461.157,292.98002,
