,PLDF70~1,
Raman shift [1/cm],Intensity,
3014.167,0.875,
3011.256,-1.7750322,
3008.346,193.16705,
3005.435,228.64532,
3002.525,236.25252,
2999.614,245.15295,
2996.704,248.65335,
2993.793,267.90265,
2990.882,250.26429,
2987.972,275.84473,
2985.061,266.3282,
2982.151,278.60779,
2979.240,289.67347,
2976.329,312.9023,
2973.419,314.10607,
2970.508,315.44159,
2967.598,335.68022,
2964.687,317.60598,
2961.777,331.12294,
2958.866,341.53325,
2955.955,350.59845,
2953.045,364.07635,
2950.134,373.875,
2947.224,380.96041,
2944.313,385.22329,
2941.403,393.82755,
2938.492,405.00236,
2935.581,397.875,
2932.671,406.67327,
2929.760,401.61731,
2926.850,408.66598,
2923.939,419.83293,
2921.028,409.92189,
2918.118,424.01732,
2915.207,439.34331,
2912.297,449.81999,
2909.386,442.0356,
2906.476,436.35532,
2903.565,445.80981,
2900.654,450.14599,
2897.744,433.63613,
2894.833,421.47282,
2891.923,446.28211,
2889.012,430.25072,
2886.102,430.29121,
2883.191,438.86839,
2880.280,403.67404,
2877.370,360.40416,
2874.459,374.0449,
2871.549,397.36195,
2868.638,442.06054,
2865.727,459.65965,
2862.817,442.41778,
2859.906,460.69836,
2856.996,464.92029,
2854.085,481.28261,
2851.175,458.95024,
2848.264,471.169,
2845.353,469.55149,
2842.443,453.27779,
2839.532,450.09889,
2836.622,454.50977,
2833.711,443.19368,
2830.801,455.1625,
2827.890,470.24912,
2824.979,453.67708,
2822.069,447.19342,
2819.158,477.15533,
2816.248,483.86342,
2813.337,481.21524,
2810.427,483.875,
2807.516,493.97562,
2804.605,476.21874,
2801.695,470.96712,
2798.784,489.69223,
2795.874,483.31037,
2792.963,475.58926,
2790.052,493.87092,
2787.142,485.96704,
2784.231,478.875,
2781.321,500.12068,
2778.410,483.48034,
2775.500,482.76776,
2772.589,505.18234,
2769.678,506.37326,
2766.768,500.88857,
2763.857,496.72086,
2760.947,520.32772,
2758.036,498.47364,
2755.126,515.11432,
2752.215,514.53412,
2749.304,507.27969,
2746.394,501.89713,
2743.483,517.425,
2740.573,508.11611,
2737.662,526.875,
2734.751,513.47714,
2731.841,528.74131,
2728.930,538.73101,
2726.020,533.43634,
2723.109,526.34942,
2720.199,536.85633,
2717.288,538.38231,
2714.377,547.13336,
2711.467,532.64533,
2708.556,548.73647,
2705.646,554.33978,
2702.735,556.21005,
2699.825,556.89681,
2696.914,573.68502,
2694.003,549.16929,
2691.093,585.17826,
2688.182,568.47426,
2685.272,569.28183,
2682.361,550.4809,
2679.450,571.10949,
2676.540,589.30593,
2673.629,564.86153,
2670.719,579.86761,
2667.808,592.48592,
2664.898,583.38182,
2661.987,573.37517,
2659.076,603.44179,
2656.166,595.45511,
2653.255,598.50085,
2650.345,586.92218,
2647.434,594.0762,
2644.524,624.20347,
2641.613,605.67513,
2638.702,598.03281,
2635.792,604.50112,
2632.881,608.57717,
2629.971,617.00251,
2627.060,621.70906,
2624.149,612.20001,
2621.239,607.875,
2618.328,608.34126,
2615.418,620.86591,
2612.507,627.97776,
2609.597,639.86502,
2606.686,653.9533,
2603.775,638.03373,
2600.865,644.57811,
2597.954,659.30003,
2595.044,649.52691,
2592.133,655.93236,
2589.223,654.30868,
2586.312,655.95034,
2583.401,663.24359,
2580.491,664.03843,
2577.580,662.8915,
2574.670,667.34026,
2571.759,659.48116,
2568.848,676.39992,
2565.938,681.58931,
2563.027,679.60681,
2560.117,677.06191,
2557.206,683.01153,
2554.296,690.36013,
2551.385,686.99899,
2548.474,678.13411,
2545.564,693.27354,
2542.653,697.17031,
2539.743,690.30723,
2536.832,705.69183,
2533.922,702.08,
2531.011,720.37453,
2528.100,723.14674,
2525.190,708.13156,
2522.279,716.06259,
2519.369,716.55445,
2516.458,717.77018,
2513.548,723.25684,
2510.637,727.99797,
2507.726,728.93819,
2504.816,732.50071,
2501.905,738.49817,
2498.995,718.47219,
2496.084,731.55446,
2493.173,716.66374,
2490.263,746.53722,
2487.352,752.83327,
2484.442,749.88143,
2481.531,758.56635,
2478.621,751.68062,
2475.710,763.92101,
2472.799,769.1351,
2469.889,763.48164,
2466.978,756.98843,
2464.068,750.12895,
2461.157,767.76243,
2458.247,774.75729,
2455.336,777.76738,
2452.425,780.20047,
2449.515,785.13903,
2446.604,774.58702,
2443.694,781.15465,
2440.783,789.63626,
2437.872,809.38551,
2434.962,815.78284,
2432.051,810.5049,
2429.141,815.19867,
2426.230,803.39653,
2423.320,834.24651,
2420.409,836.92617,
2417.498,827.72891,
2414.588,811.60505,
2411.677,818.19772,
2408.767,824.09252,
2405.856,825.2559,
2402.946,833.82138,
2400.035,828.37969,
2397.124,872.875,
2394.214,863.46741,
2391.303,849.76999,
2388.393,871.2983,
2385.482,843.41716,
2382.571,859.55875,
2379.661,865.15385,
2376.750,879.50804,
2373.840,878.01249,
2370.929,899.64758,
2368.019,891.36947,
2365.108,890.36191,
2362.197,901.88869,
2359.287,895.88336,
2356.376,906.85387,
2353.466,896.02564,
2350.555,902.55477,
2347.645,905.3081,
2344.734,913.875,
2341.823,906.00767,
2338.913,915.09146,
2336.002,936.08799,
2333.092,916.67971,
2330.181,939.03605,
2327.270,945.98501,
2324.360,947.99295,
2321.449,936.19813,
2318.539,936.3643,
2315.628,962.3778,
2312.718,959.74283,
2309.807,967.05524,
2306.896,960.15826,
2303.986,978.09583,
2301.075,975.00269,
2298.165,981.64447,
2295.254,977.04734,
2292.344,974.56386,
2289.433,967.28819,
2286.522,1004.3034,
2283.612,1001.9336,
2280.701,1024.1664,
2277.791,1003.8331,
2274.880,987.86283,
2271.969,1017.7803,
2269.059,1031.3083,
2266.148,1059.0069,
2263.238,1078.2688,
2260.327,1030.875,
2257.417,1035.3822,
2254.506,1060.3936,
2251.595,1076.4459,
2248.685,1059.9347,
2245.774,1059.2815,
2242.864,1068.0047,
2239.953,1070.7853,
2237.043,1075.4336,
2234.132,1078.4256,
2231.221,1086.6916,
2228.311,1118.5799,
2225.400,1100.269,
2222.490,1114.6177,
2219.579,1121.294,
2216.669,1134.344,
2213.758,1138.2658,
2210.847,1182.8195,
2207.937,1198.6714,
2205.026,1249.8747,
2202.116,1259.7105,
2199.205,1289.6232,
2196.294,1319.255,
2193.384,1348.2686,
2190.473,1384.1825,
2187.563,1407.1553,
2184.652,1463.9713,
2181.742,1479.2639,
2178.831,1519.9606,
2175.920,1538.436,
2173.010,1587.1522,
2170.099,1636.004,
2167.189,1678.9683,
2164.278,1695.1031,
2161.368,1726.4449,
2158.457,1789.647,
2155.546,1822.224,
2152.636,1870.3163,
2149.725,1920.6736,
2146.815,1952.9407,
2143.904,2006.6817,
2140.993,2032.4199,
2138.083,2055.1212,
2135.172,2047.8078,
2132.262,2042.1056,
2129.351,1996.8713,
2126.441,1971.6225,
2123.530,1888.5944,
2120.619,1850.1141,
2117.709,1750.6906,
2114.798,1677.7477,
2111.888,1587.564,
2108.977,1528.5372,
2106.067,1481.7815,
2103.156,1415.5656,
2100.245,1371.8581,
2097.335,1341.7441,
2094.424,1315.7635,
2091.514,1311.5955,
2088.603,1314.7552,
2085.692,1278.5034,
2082.782,1270.1842,
2079.871,1301.9835,
2076.961,1308.8104,
2074.050,1265.8265,
2071.140,1267.1277,
2068.229,1279.4193,
2065.318,1261.3547,
2062.408,1251.0497,
2059.497,1275.2798,
2056.587,1264.8171,
2053.676,1262.3249,
2050.766,1259.1829,
2047.855,1242.7041,
2044.944,1236.343,
2042.034,1243.3029,
2039.123,1264.2925,
2036.213,1244.7395,
2033.302,1256.3097,
2030.391,1269.2477,
2027.481,1264.9483,
2024.570,1264.4035,
2021.660,1253.5846,
2018.749,1259.799,
2015.839,1259.4892,
2012.928,1271.4841,
2010.017,1277.1996,
2007.107,1255.6843,
2004.196,1257.637,
2001.286,1259.8715,
1998.375,1248.5295,
1995.465,1221.1973,
1992.554,1247.9335,
1989.643,1203.6377,
1986.733,1259.9654,
1983.822,1244.0161,
1980.912,1240.0924,
1978.001,1226.6969,
1975.090,1235.2658,
1972.180,1242.7367,
1969.269,1248.0072,
1966.359,1260.5508,
1963.448,1269.0665,
1960.538,1231.734,
1957.627,1254.0825,
1954.716,1233.5932,
1951.806,1238.6266,
1948.895,1234.2576,
1945.985,1238.9175,
1943.074,1245.7532,
1940.164,1241.8077,
1937.253,1230.4056,
1934.342,1224.4306,
1931.432,1230.2977,
1928.521,1205.8474,
1925.611,1195.7581,
1922.700,1192.9178,
1919.790,1227.1867,
1916.879,1228.2237,
1913.968,1207.8996,
1911.058,1192.1783,
1908.147,1229.1771,
1905.237,1172.625,
1902.326,1206.2039,
1899.415,1215.6738,
1896.505,1206.3148,
1893.594,1216.9665,
1890.684,1222.5874,
1887.773,1210.3927,
1884.863,1238.9707,
1881.952,1244.0427,
1879.041,1210.1543,
1876.131,1199.4319,
1873.220,1213.6936,
1870.310,1211.2338,
1867.399,1199.0669,
1864.489,1204.4856,
1861.578,1199.3582,
1858.667,1238.9139,
1855.757,1216.6721,
1852.846,1226.4083,
1849.936,1247.3865,
1847.025,1261.8117,
1844.114,1257.3314,
1841.204,1253.8016,
1838.293,1277.4024,
1835.383,1270.1655,
1832.472,1286.7707,
1829.562,1274.9885,
1826.651,1293.5937,
1823.740,1276.3002,
1820.830,1275.6782,
1817.919,1286.2044,
1815.009,1305.8559,
1812.098,1290.9223,
1809.188,1336.7121,
1806.277,1313.4726,
1803.366,1312.5256,
1800.456,1293.6886,
1797.545,1324.0453,
1794.635,1316.262,
1791.724,1321.1856,
1788.813,1339.2832,
1785.903,1351.5088,
1782.992,1311.6306,
1780.082,1309.8245,
1777.171,1278.8734,
1774.261,1291.8554,
1771.350,1330.0198,
1768.439,1362.5593,
1765.529,1399.512,
1762.618,1414.0206,
1759.708,1413.6358,
1756.797,1432.9962,
1753.887,1446.4639,
1750.976,1419.1852,
1748.065,1415.4771,
1745.155,1406.1848,
1742.244,1417.7391,
1739.334,1427.1903,
1736.423,1437.4731,
1733.512,1438.2368,
1730.602,1471.2838,
1727.691,1481.3397,
1724.781,1465.93,
1721.870,1492.4561,
1718.960,1483.4304,
1716.049,1500.8494,
1713.138,1543.3498,
1710.228,1536.8205,
1707.317,1544.6053,
1704.407,1583.6077,
1701.496,1523.1551,
1698.586,1576.01,
1695.675,1577.1322,
1692.764,1562.6742,
1689.854,1546.5679,
1686.943,1606.7503,
1684.033,1636.1796,
1681.122,1675.2123,
1678.211,1709.5514,
1675.301,1721.838,
1672.390,1730.0186,
1669.480,1778.5649,
1666.569,1863.9131,
1663.659,1867.7733,
1660.748,1922.2992,
1657.837,1945.1872,
1654.927,2006.4053,
1652.016,2110.9759,
1649.106,2076.0011,
1646.195,2121.0428,
1643.285,2130.974,
1640.374,2266.0701,
1637.463,2369.8478,
1634.553,2425.2838,
1631.642,2586.5916,
1628.732,2652.6749,
1625.821,2786.9901,
1622.911,2961.8832,
1620.000,3167.2671,
1617.089,3262.9844,
1614.179,3523.3735,
1611.268,3684.9265,
1608.358,3813.8348,
1605.447,3942.4474,
1602.536,4012.3114,
1599.626,4014.1152,
1596.715,4009.337,
1593.805,4071.4782,
1590.894,4001.376,
1587.984,3994.3394,
1585.073,3983.8144,
1582.162,3941.8005,
1579.252,3830.7691,
1576.341,3786.2463,
1573.431,3719.7874,
1570.520,3691.4093,
1567.610,3667.0119,
1564.699,3583.7469,
1561.788,3499.9459,
1558.878,3422.9367,
1555.967,3353.6105,
1553.057,3309.8235,
1550.146,3232.7333,
1547.235,3121.6262,
1544.325,3072.875,
1541.414,3030.2105,
1538.504,2962.533,
1535.593,2978.158,
1532.683,2990.961,
1529.772,2954.1874,
1526.861,2955.0471,
1523.951,2939.3024,
1521.040,2928.6433,
1518.130,2931.2012,
1515.219,2909.3959,
1512.309,2887.3075,
1509.398,2919.757,
1506.487,2945.5527,
1503.577,2902.6958,
1500.666,2921.7411,
1497.756,2895.1968,
1494.845,2875.8755,
1491.934,2899.8057,
1489.024,2878.6309,
1486.113,2854.6946,
1483.203,2842.217,
1480.292,2789.9643,
1477.382,2785.7245,
1474.471,2716.2761,
1471.560,2707.937,
1468.650,2710.1419,
1465.739,2715.9204,
1462.829,2764.0395,
1459.918,2818.1846,
1457.008,2847.0136,
1454.097,2817.0537,
1451.186,2766.053,
1448.276,2706.9572,
1445.365,2597.3711,
1442.455,2540.8555,
1439.544,2497.3572,
1436.633,2418.5145,
1433.723,2365.4981,
1430.812,2368.9884,
1427.902,2357.0181,
1424.991,2321.0031,
1422.081,2246.4768,
1419.170,2227.7782,
1416.259,2203.1932,
1413.349,2209.2036,
1410.438,2224.0715,
1407.528,2217.2876,
1404.617,2200.3067,
1401.707,2226.2613,
1398.796,2261.0673,
1395.885,2280.9302,
1392.975,2285.291,
1390.064,2210.6685,
1387.154,2084.2197,
1384.243,2019.9416,
1381.332,1971.2655,
1378.422,2083.8021,
1375.511,2179.3538,
1372.601,2318.189,
1369.690,2435.3134,
1366.780,2500.3971,
1363.869,2541.2076,
1360.958,2563.7589,
1358.048,2632.1727,
1355.137,2720.0838,
1352.227,2770.4829,
1349.316,2808.3154,
1346.406,2866.1599,
1343.495,2907.6015,
1340.584,2935.553,
1337.674,2970.875,
1334.763,2972.4276,
1331.853,3013.2257,
1328.942,3102.0425,
1326.032,3139.7905,
1323.121,3144.3931,
1320.210,3171.8437,
1317.300,3266.1466,
1314.389,3392.7931,
1311.479,3505.7484,
1308.568,3590.3776,
1305.657,3660.0373,
1302.747,3732.3889,
1299.836,3785.6687,
1296.926,3873.5924,
1294.015,3953.5736,
1291.105,4047.5708,
1288.194,4099.8122,
1285.283,4173.5993,
1282.373,4260.8904,
1279.462,4307.8552,
1276.552,4359.1508,
1273.641,4408.6342,
1270.731,4405.4645,
1267.820,4384.9035,
1264.909,4353.2822,
1261.999,4395.4477,
1259.088,4274.1356,
1256.178,4263.4492,
1253.267,4141.6581,
1250.356,4073.7213,
1247.446,4009.0032,
1244.535,3947.6117,
1241.625,3860.7233,
1238.714,3732.9548,
1235.804,3632.6761,
1232.893,3574.5114,
1229.982,3518.6741,
1227.072,3394.6463,
1224.161,3329.5612,
1221.251,3263.7813,
1218.340,3163.8985,
1215.430,3125.3804,
1212.519,3099.5401,
1209.608,3067.1275,
1206.698,3071.5558,
1203.787,3072.7795,
1200.877,3135.7197,
1197.966,3197.7617,
1195.055,3306.6778,
1192.145,3354.9287,
1189.234,3459.5987,
1186.324,3587.7915,
1183.413,3660.7075,
1180.503,3664.1181,
1177.592,3630.5211,
1174.681,3565.3134,
1171.771,3532.4532,
1168.860,3470.8301,
1165.950,3409.241,
1163.039,3316.9555,
1160.129,3324.1649,
1157.218,3399.5064,
1154.307,3467.3132,
1151.397,3510.1696,
1148.486,3557.316,
1145.576,3609.256,
1142.665,3571.9637,
1139.754,3539.5844,
1136.844,3543.3795,
1133.933,3506.2331,
1131.023,3434.3864,
1128.112,3365.8066,
1125.202,3339.9523,
1122.291,3370.9814,
1119.380,3323.5766,
1116.470,3395.0614,
1113.559,3380.6775,
1110.649,3360.7781,
1107.738,3309.9379,
1104.828,3261.4725,
1101.917,3237.703,
1099.006,3212.8957,
1096.096,3196.8324,
1093.185,3163.4683,
1090.275,3176.2511,
1087.364,3203.2032,
1084.453,3215.5624,
1081.543,3229.5834,
1078.632,3251.5161,
1075.722,3262.7466,
1072.811,3263.3976,
1069.901,3341.1179,
1066.990,3309.6918,
1064.079,3362.8018,
1061.169,3357.08,
1058.258,3297.5371,
1055.348,3286.9165,
1052.437,3350.9199,
