,PLED81~1,
Raman shift [1/cm],Intensity,
3014.167,4.625,
3011.256,0.57509663,
3008.346,71.143755,
3005.435,89.819349,
3002.525,105.17254,
2999.614,102.52631,
2996.704,107.94356,
2993.793,100.8727,
2990.882,107.70894,
2987.972,128.53419,
2985.061,124.81221,
2982.151,116.20481,
2979.240,125.74001,
2976.329,123.35452,
2973.419,123.73257,
2970.508,137.25829,
2967.598,140.67641,
2964.687,153.50611,
2961.777,146.43698,
2958.866,151.62648,
2955.955,145.07191,
2953.045,147.94494,
2950.134,165.56085,
2947.224,162.65347,
2944.313,161.37785,
2941.403,169.9229,
2938.492,169.71983,
2935.581,152.55505,
2932.671,180.66361,
2929.760,163.46729,
2926.850,175.47537,
2923.939,173.18575,
2921.028,178.33096,
2918.118,184.06581,
2915.207,175.32101,
2912.297,183.54461,
2909.386,184.6323,
2906.476,190.04354,
2903.565,194.36722,
2900.654,189.01327,
2897.744,185.56214,
2894.833,175.26427,
2891.923,178.9776,
2889.012,185.41691,
2886.102,188.24932,
2883.191,193.62217,
2880.280,174.11783,
2877.370,169.28202,
2874.459,161.625,
2871.549,173.50673,
2868.638,173.07862,
2865.727,189.1019,
2862.817,190.88169,
2859.906,191.53668,
2856.996,195.63859,
2854.085,183.82246,
2851.175,197.85999,
2848.264,188.04666,
2845.353,202.47403,
2842.443,192.03127,
2839.532,183.52054,
2836.622,188.92839,
2833.711,191.1509,
2830.801,208.71103,
2827.890,196.85755,
2824.979,191.15515,
2822.069,200.68186,
2819.158,204.10478,
2816.248,192.65974,
2813.337,189.85183,
2810.427,203.57403,
2807.516,199.79063,
2804.605,205.49518,
2801.695,190.67765,
2798.784,200.40323,
2795.874,203.625,
2792.963,194.62479,
2790.052,186.62564,
2787.142,205.75662,
2784.231,205.36724,
2781.321,209.18498,
2778.410,207.18971,
2775.500,199.83949,
2772.589,213.74044,
2769.678,220.19494,
2766.768,204.71041,
2763.857,207.73097,
2760.947,213.12185,
2758.036,210.08358,
2755.126,220.10363,
2752.215,204.05215,
2749.304,215.68793,
2746.394,227.96779,
2743.483,211.725,
2740.573,224.15824,
2737.662,220.17826,
2734.751,229.78988,
2731.841,212.75869,
2728.930,221.58669,
2726.020,234.50231,
2723.109,222.96525,
2720.199,234.84062,
2717.288,231.27463,
2714.377,240.6873,
2711.467,224.55907,
2708.556,243.23132,
2705.646,232.94891,
2702.735,235.64048,
2699.825,246.22316,
2696.914,233.52953,
2694.003,221.47865,
2691.093,249.85725,
2688.182,238.11463,
2685.272,248.58944,
2682.361,236.625,
2679.450,239.45626,
2676.540,230.90954,
2673.629,238.65194,
2670.719,235.61761,
2667.808,245.38182,
2664.898,245.17072,
2661.987,234.15842,
2659.076,242.86207,
2656.166,245.8674,
2653.255,254.99405,
2650.345,239.8083,
2647.434,249.28204,
2644.524,250.64421,
2641.613,255.88207,
2638.702,263.48297,
2635.792,241.09459,
2632.881,251.36877,
