,PLFC95~1,
Raman shift [1/cm],Intensity,
3014.167,6,
3011.256,2.4000859,
3008.346,73.518755,
3005.435,85.883391,
3002.525,86.340045,
2999.614,103.72205,
2996.704,85.229899,
2993.793,79.362328,
2990.882,95.213707,
2987.972,103.99496,
2985.061,109.2069,
2982.151,118.76135,
2979.240,107.89923,
2976.329,105.23771,
2973.419,96.66136,
2970.508,110.7833,
2967.598,113.90803,
2964.687,130.08967,
2961.777,124.37603,
2958.866,128.01039,
2955.955,123.86503,
2953.045,142.26622,
2950.134,135.36151,
2947.224,130.88253,
2944.313,150.6631,
2941.403,149.2979,
2938.492,146.8401,
2935.581,149.5644,
2932.671,168.99567,
2929.760,145.93077,
2926.850,146.89549,
2923.939,154.20094,
2921.028,161.01775,
2918.118,153.47859,
2915.207,146.1203,
2912.297,150.99154,
2909.386,161,
2906.476,158.58146,
2903.565,170.80741,
2900.654,153.77654,
2897.744,151.02514,
2894.833,151.76291,
2891.923,154.0545,
2889.012,152.83237,
2886.102,162.64459,
2883.191,153.01322,
2880.280,137.17703,
2877.370,131.93607,
2874.459,128.76726,
2871.549,136.01332,
2868.638,158.4103,
2865.727,162.4769,
2862.817,171.54278,
2859.906,162.45584,
2856.996,161.52038,
2854.085,164.92228,
2851.175,168.68977,
2848.264,171.42166,
2845.353,166.84903,
2842.443,161.59721,
2839.532,167.10446,
2836.622,164.30339,
2833.711,169.15542,
2830.801,162.10809,
2827.890,166.2902,
2824.979,160.92599,
2822.069,168.18195,
2819.158,180.19946,
2816.248,171.75868,
2813.337,161.22683,
2810.427,173.9931,
2807.516,159.90672,
2804.605,178.13942,
2801.695,168.69737,
2798.784,167.22177,
2795.874,172.5752,
2792.963,179.92883,
2790.052,160.00558,
2787.142,181.77635,
2784.231,169.38822,
2781.321,170.12572,
2778.410,173.6599,
2775.500,183.65862,
2772.589,182.34633,
2769.678,186.39248,
2766.768,183.94174,
2763.857,184,
2760.947,182.49054,
2758.036,177.61144,
2755.126,193.24572,
2752.215,178.31825,
2749.304,190.85071,
2746.394,203.21169,
2743.483,193.55004,
2740.573,182.33848,
2737.662,197.32988,
2734.751,196.11649,
2731.841,189.86447,
2728.930,193.572,
2726.020,197.88773,
2723.109,195.22683,
2720.199,196.43124,
2717.288,187.12408,
2714.377,191.0623,
2711.467,186.34396,
2708.556,195.8299,
2705.646,198.76058,
2702.735,197.34021,
2699.825,201.06544,
2696.914,202.85728,
2694.003,191.11056,
2691.093,216.3213,
2688.182,204.59926,
2685.272,204.23898,
2682.361,209.36463,
2679.450,208.04529,
2676.540,206.24389,
2673.629,213.68612,
2670.719,208.85398,
2667.808,203.38908,
2664.898,200.89591,
2661.987,215.96674,
2659.076,215.50862,
2656.166,228.53246,
2653.255,224.2619,
2650.345,206.80762,
2647.434,222.91426,
2644.524,219.68344,
2641.613,225.60025,
2638.702,217.20515,
2635.792,219.40578,
2632.881,225.88686,
2629.971,218.40263,
2627.060,226.83157,
2624.149,235.94688,
2621.239,236.76334,
2618.328,218.80536,
2615.418,235.00909,
2612.507,221.07118,
2609.597,234.07186,
2606.686,225.50604,
2603.775,237.5992,
2600.865,235,
2597.954,236.6646,
2595.044,228.01771,
2592.133,232.5606,
2589.223,243.34948,
2586.312,232.9296,
2583.401,258.7336,
2580.491,248.12505,
2577.580,232.99835,
2574.670,235.04411,
2571.759,238.59589,
2568.848,222.65187,
2565.938,237.90477,
2563.027,234.43865,
2560.117,236.35515,
2557.206,249.04059,
2554.296,235.88787,
2551.385,257.70213,
2548.474,250.0736,
2545.564,250.65179,
2542.653,246.16778,
2539.743,256.04929,
2536.832,254.26542,
2533.922,250.26808,
2531.011,262.05042,
2528.100,256.99654,
2525.190,264.79057,
2522.279,262.39033,
2519.369,250.90561,
2516.458,263.00708,
2513.548,260.48197,
2510.637,250.30741,
2507.726,259.05949,
2504.816,266.87486,
2501.905,252.20305,
2498.995,250.35831,
2496.084,256.61324,
2493.173,253.02616,
2490.263,274.52772,
2487.352,275.2488,
2484.442,258.56959,
2481.531,279.48385,
2478.621,275.50229,
2475.710,277.03067,
2472.799,279.27356,
2469.889,276.42383,
2466.978,273.22686,
2464.068,285.36513,
2461.157,276.77486,
2458.247,295.02934,
2455.336,289.63797,
2452.425,272.27828,
2449.515,286.98129,
2446.604,284.48163,
2443.694,279.20974,
2440.783,296.09685,
2437.872,290.51051,
2434.962,302.16129,
2432.051,292.61103,
2429.141,294.4058,
2426.230,285.78229,
2423.320,293.0426,
2420.409,306.26919,
2417.498,304.01685,
2414.588,307.35738,
2411.677,287.8606,
2408.767,306.95276,
2405.856,302.50472,
2402.946,313.73816,
2400.035,331.18311,
2397.124,298.34759,
2394.214,302.18761,
2391.303,310.50813,
2388.393,314.32322,
2385.482,330.03064,
2382.571,305.17734,
2379.661,300.25583,
2376.750,313.47035,
2373.840,332.62809,
2370.929,324.11913,
2368.019,337.02528,
2365.108,318.32461,
2362.197,328,
2359.287,320.81504,
2356.376,319.99824,
2353.466,318.81851,
2350.555,319.13518,
2347.645,329.36821,
2344.734,321.54376,
2341.823,329.81758,
2338.913,327.79555,
2336.002,342.21299,
2333.092,336.88492,
2330.181,347.52684,
2327.270,349,
2324.360,347.19341,
2321.449,341.03061,
2318.539,335.42507,
2315.628,345.94884,
2312.718,360.8326,
2309.807,330.0247,
2306.896,344.25196,
2303.986,343.69479,
2301.075,352.48932,
2298.165,360.59618,
2295.254,359.04309,
2292.344,342.99579,
2289.433,358.66409,
2286.522,361.08033,
2283.612,363.30995,
2280.701,360.40359,
2277.791,384.07641,
2274.880,350.19777,
2271.969,385.71605,
2269.059,369.88283,
2266.148,367.5409,
