,PL1C01~1,
Raman shift [1/cm],Intensity,
3014.167,0.375,
3011.256,-0.72502147,
3008.346,219.739,
3005.435,261.49161,
3002.525,247.56236,
2999.614,281.81005,
2996.704,281.95953,
2993.793,307.26958,
2990.882,297.45894,
2987.972,311.41536,
2985.061,311.83804,
2982.151,302.375,
2979.240,332.28848,
2976.329,356.13729,
2973.419,357.34445,
2970.508,359.47494,
2967.598,376.04046,
2964.687,381.31454,
2961.777,404.34091,
2958.866,402.03919,
2955.955,397.02767,
2953.045,403.10878,
2950.134,423.96104,
2947.224,457.00491,
2944.313,431.34152,
2941.403,467.51915,
2938.492,472.38585,
2935.581,473.14924,
2932.671,487.09171,
2929.760,479.99809,
2926.850,484.58402,
2923.939,501.37029,
2921.028,509.66904,
2918.118,513.61682,
2915.207,526.60916,
2912.297,527.36654,
2909.386,532.33122,
2906.476,516.79354,
2903.565,534.08314,
2900.654,545.30525,
2897.744,535.52587,
2894.833,540.36482,
2891.923,537.6731,
2889.012,529.91835,
2886.102,534.64391,
2883.191,536.37972,
2880.280,516.38935,
2877.370,491.52619,
2874.459,476.72101,
2871.549,522.36221,
2868.638,552.05747,
2865.727,561.26733,
2862.817,567.21857,
2859.906,561.42628,
2856.996,573.39311,
2854.085,567.61449,
2851.175,574.01659,
2848.264,569.3015,
2845.353,574.98679,
2842.443,554.18057,
2839.532,552.47946,
2836.622,550.46484,
2833.711,542.21958,
2830.801,542.07279,
2827.890,531.81382,
2824.979,544.15296,
2822.069,559.38637,
2819.158,548.97337,
2816.248,560.25921,
2813.337,574.51892,
2810.427,551.54442,
2807.516,559.375,
2804.605,581.85816,
2801.695,562.63816,
2798.784,574.56185,
2795.874,548.67053,
2792.963,538.73213,
2790.052,561.37007,
2787.142,561.00638,
2784.231,527.60172,
2781.321,569.48919,
2778.410,550.9194,
2775.500,563.60914,
2772.589,541.76032,
2769.678,560.72991,
2766.768,586.60803,
2763.857,586.2671,
2760.947,565.88446,
2758.036,569.91642,
2755.126,578.60791,
2752.215,591.31135,
2749.304,600.84261,
2746.394,581.30235,
2743.483,600.07501,
2740.573,587.61611,
2737.662,596.93861,
2734.751,609.63217,
2731.841,585.04898,
2728.930,614.43444,
2726.020,598.48727,
2723.109,584.30309,
2720.199,620.14071,
2717.288,602.39324,
2714.377,616.53304,
2711.467,614.34204,
2708.556,627.58763,
2705.646,642.51587,
2702.735,613.71521,
2699.825,627.2223,
2696.914,619.80316,
2694.003,643.60427,
2691.093,638.82145,
2688.182,637.08389,
2685.272,644.81739,
2682.361,648.22762,
2679.450,649.21868,
2676.540,651.43597,
2673.629,646.07908,
2670.719,645.43324,
2667.808,647.71545,
2664.898,647.15418,
2661.987,647.10829,
2659.076,653.2306,
2656.166,666.21477,
2653.255,688.03827,
2650.345,689.53471,
2647.434,667.20352,
2644.524,672.32467,
2641.613,679.26061,
2638.702,692.13828,
2635.792,670.65616,
2632.881,678.30345,
2629.971,678.14007,
2627.060,688.70501,
2624.149,705.26876,
2621.239,696.38093,
2618.328,695.78158,
2615.418,688.34773,
2612.507,717.75043,
2609.597,720.20135,
2606.686,693.1923,
2603.775,722.33532,
2600.865,727.96205,
2597.954,718.90205,
2595.044,727.06233,
2592.133,735.21589,
2589.223,745.15816,
2586.312,754.22926,
2583.401,761.96625,
2580.491,757.66349,
2577.580,751.40801,
2574.670,767.22394,
2571.759,754.17295,
2568.848,749.90537,
2565.938,749.47009,
2563.027,760.22733,
2560.117,741.19742,
2557.206,787.29012,
2554.296,773.77775,
2551.385,779.24294,
2548.474,773.48615,
2545.564,795.67858,
2542.653,785.21728,
2539.743,783.84419,
2536.832,780.33388,
2533.922,798.48538,
2531.011,806.74988,
2528.100,810.375,
2525.190,802.46926,
2522.279,827.54598,
2519.369,793.69555,
2516.458,799.1512,
2513.548,819.22015,
2510.637,785.66614,
2507.726,796.94375,
2504.816,801.4404,
2501.905,812.88232,
2498.995,799.39022,
2496.084,818.74784,
2493.173,820.29586,
2490.263,838.5095,
2487.352,843.20807,
2484.442,846.49489,
2481.531,857.00273,
2478.621,839.62615,
2475.710,866.25232,
2472.799,856.54085,
2469.889,874.89023,
2466.978,857.77722,
2464.068,877.23223,
2461.157,865.71759,
2458.247,848.6691,
2455.336,865.50027,
2452.425,883.39859,
2449.515,889.12968,
2446.604,890.19526,
2443.694,904.67766,
2440.783,908.13626,
2437.872,888.77611,
2434.962,903.57776,
2432.051,919.76397,
2429.141,908.71638,
2426.230,919.20156,
2423.320,931.57472,
2420.409,939.97122,
2417.498,924.80195,
2414.588,937.1772,
2411.677,941.12802,
2408.767,955.55709,
2405.856,948.22495,
2402.946,938.83881,
2400.035,916.78814,
2397.124,939.63167,
2394.214,966.3482,
2391.303,969.44682,
2388.393,954.69822,
2385.482,962.75813,
2382.571,991.04594,
2379.661,990.11917,
2376.750,982.11397,
2373.840,984.78746,
2370.929,1004.1909,
2368.019,1005.2913,
2365.108,990.39856,
2362.197,1010.071,
2359.287,1013.4001,
2356.376,1022.3539,
2353.466,1014.7226,
2350.555,1029.56,
2347.645,1029.0068,
2344.734,1041.5594,
2341.823,1036.5242,
2338.913,1022.6109,
2336.002,1059.0712,
2333.092,1052.8807,
2330.181,1074.4824,
2327.270,1061.4751,
2324.360,1056.9622,
2321.449,1092.2661,
2318.539,1064.6074,
2315.628,1076.088,
2312.718,1074.0094,
2309.807,1106.282,
2306.896,1082.0526,
2303.986,1077.8687,
2301.075,1092.9495,
2298.165,1092.154,
2295.254,1104.1596,
2292.344,1092.4248,
2289.433,1109.0855,
2286.522,1106.5135,
2283.612,1105.7959,
2280.701,1150.3211,
2277.791,1133.6154,
2274.880,1140.017,
2271.969,1145.8565,
2269.059,1154.7265,
2266.148,1162.4818,
2263.238,1172.4715,
2260.327,1170.065,
2257.417,1201.8678,
2254.506,1191.8252,
2251.595,1189.2405,
2248.685,1182.375,
2245.774,1209.4075,
2242.864,1210.3201,
2239.953,1227.6786,
2237.043,1202.285,
2234.132,1208.3621,
2231.221,1225.6671,
2228.311,1225.9369,
2225.400,1255.6565,
2222.490,1261.8472,
2219.579,1249.4521,
