,PL1EBD~1,
Raman shift [1/cm],Intensity,
3014.167,0.5,
3011.256,-1.3999785,
3008.346,206.97464,
3005.435,241.53887,
3002.525,236.36745,
2999.614,271.26234,
2996.704,280.0402,
2993.793,283.5,
2990.882,289.71371,
2987.972,309.40919,
2985.061,289.7266,
2982.151,310.3975,
2979.240,329.33461,
2976.329,330.01365,
2973.419,335.3154,
2970.508,345.59994,
2967.598,374.06626,
2964.687,360.78261,
2961.777,379.31198,
2958.866,387.49703,
2955.955,393.77655,
2953.045,400.90271,
2950.134,435.05397,
2947.224,439.75622,
2944.313,447.15171,
2941.403,457.66697,
2938.492,469.5,
2935.581,457.52702,
2932.671,480.74035,
2929.760,470.73844,
2926.850,478.50714,
2923.939,509.93454,
2921.028,503.07033,
2918.118,520.2204,
2915.207,527.6203,
2912.297,525.52116,
2909.386,538.67519,
2906.476,529.30618,
2903.565,526.43481,
2900.654,533.82963,
2897.744,516.9526,
2894.833,535.18073,
2891.923,508.8782,
2889.012,511.66185,
2886.102,522.66757,
2883.191,502.51605,
2880.280,501.23683,
2877.370,467.43607,
2874.459,467.72653,
2871.549,506.73708,
2868.638,545.36596,
2865.727,543.5,
2862.817,539.12835,
2859.906,547.18376,
2856.996,561.45924,
2854.085,542.33188,
2851.175,537.54818,
2848.264,543.06867,
2845.353,554.39216,
2842.443,545.90627,
2839.532,532.73885,
2836.622,518.77539,
2833.711,530.9741,
2830.801,526.90294,
2827.890,520.2098,
2824.979,541.6239,
2822.069,531.45451,
2819.158,522.93935,
2816.248,541.64868,
2813.337,538.86097,
2810.427,541.37466,
2807.516,534.18344,
2804.605,519.36058,
2801.695,528.80263,
2798.784,546.02154,
2795.874,526.50528,
2792.963,535.64319,
2790.052,525.50386,
2787.142,525.36838,
2784.231,525.04813,
2781.321,530.99135,
2778.410,511.40482,
2775.500,507.84138,
2772.589,535.65291,
2769.678,530.78323,
2766.768,551.23982,
2763.857,551.65607,
2760.947,539.01576,
2758.036,529.64006,
2755.126,555.82479,
2752.215,574.77723,
2749.304,576.73381,
2746.394,548.73382,
2743.483,562.30001,
2740.573,562.27434,
2737.662,558.62721,
2734.751,570.05824,
2731.841,558.01282,
2728.930,598.70343,
2726.020,588.60706,
2723.109,557.12934,
2720.199,575.5781,
2717.288,589.83213,
2714.377,582.82524,
2711.467,586.82748,
2708.556,603.45747,
2705.646,598.27464,
2702.735,597.68816,
2699.825,606.76177,
2696.914,592.88091,
2694.003,605.5,
2691.093,601.48195,
2688.182,598.79111,
2685.272,588.01351,
2682.361,610.22926,
2679.450,618.91563,
2676.540,604.60162,
2673.629,610.82735,
2670.719,617.35398,
2667.808,612.84045,
2664.898,615.43482,
2661.987,624.3999,
