,PL4FB6~1,
Raman shift [1/cm],Intensity,
3014.167,0.625,
3011.256,0.37505368,
3008.346,235.86869,
3005.435,284.66387,
3002.525,283.45498,
2999.614,306.38734,
2996.704,313.80232,
2993.793,323.63422,
2990.882,326.79288,
2987.972,339.61491,
2985.061,337.625,
2982.151,342.02837,
2979.240,384.27232,
2976.329,391.11135,
2973.419,407.47096,
2970.508,411.30836,
2967.598,417.05151,
2964.687,407.53533,
2961.777,434.08679,
2958.866,456.29365,
2955.955,453.625,
2953.045,462.25811,
2950.134,475.78538,
2947.224,508.25491,
2944.313,496.52386,
2941.403,505.44662,
2938.492,547.4651,
2935.581,524.13055,
2932.671,546.86535,
2929.760,553.97116,
2926.850,559.57274,
2923.939,560.10161,
2921.028,567.77202,
2918.118,575.50662,
2915.207,588.625,
2912.297,602.56576,
2909.386,621.95349,
2906.476,611.16711,
2903.565,601.48056,
2900.654,598.80092,
2897.744,583.00217,
2894.833,609.32609,
2891.923,585.16339,
2889.012,591.58454,
2886.102,597.28985,
2883.191,598.62972,
2880.280,562.90728,
2877.370,539.53774,
2874.459,539.56216,
2871.549,579.17801,
2868.638,594.03325,
2865.727,627.25578,
2862.817,615.15308,
2859.906,633.08084,
2856.996,634.63406,
2854.085,625.58297,
2851.175,645.7425,
2848.264,627.35034,
2845.353,626.86224,
2842.443,635.62848,
2839.532,620.20717,
2836.622,601.77669,
2833.711,603.1509,
2830.801,595.53162,
2827.890,595.87676,
2824.979,609.76096,
2822.069,625.4203,
2819.158,610.66543,
2816.248,602.92421,
2813.337,609.4189,
2810.427,612.75723,
2807.516,627.30109,
2804.605,609.52886,
2801.695,631.45395,
2798.784,642.88577,
2795.874,621.35061,
2792.963,613.19649,
2790.052,617.62436,
2787.142,617.95404,
2784.231,617.69023,
2781.321,594.50504,
2778.410,613.01966,
2775.500,609.13707,
2772.589,623.31614,
2769.678,613.05159,
2766.768,632.98812,
2763.857,637.83309,
2760.947,622.65652,
2758.036,638.63781,
2755.126,655.23825,
2752.215,667.96588,
2749.304,653.41278,
2746.394,664.70559,
2743.483,666.57507,
2740.573,644.64045,
2737.662,641.96523,
