,PL5981~1,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,0.82498926,
3008.346,247.70999,
3005.435,295.14532,
3002.525,301.16751,
2999.614,317.9893,
2996.704,330.46366,
2993.793,333.84274,
2990.882,354.98571,
2987.972,346.39013,
2985.061,355.5819,
2982.151,369.53971,
2979.240,389.85693,
2976.329,401.88319,
2973.419,425.34445,
2970.508,420.07498,
2967.598,441.47058,
2964.687,445.28533,
2961.777,444.65702,
2958.866,461.03919,
2955.955,467.41039,
2953.045,469.87838,
2950.134,517.41878,
2947.224,526.48888,
2944.313,532.17272,
2941.403,554.36359,
2938.492,552.55659,
2935.581,564.03636,
2932.671,585.61102,
2929.760,563.23654,
2926.850,572.74793,
2923.939,598.01048,
2921.028,591.79831,
2918.118,605.89641,
2915.207,621.4953,
2912.297,623.37923,
2909.386,627.57208,
2906.476,623.95646,
2903.565,628.56759,
2900.654,626.63489,
2897.744,600.81503,
2894.833,626.303,
2891.923,621.484,
2889.012,615.95304,
2886.102,623.71015,
2883.191,617.375,
2880.280,588.31279,
2877.370,571.88083,
2874.459,567.18649,
2871.549,618.13845,
2868.638,652.60385,
2865.727,651.8981,
2862.817,666.14771,
2859.906,643.48896,
2856.996,653.33424,
2854.085,665.01576,
2851.175,675.6793,
2848.264,654.1545,
2845.353,634.78477,
2842.443,641.39589,
2839.532,635.79283,
2836.622,630.09961,
2833.711,629.47078,
2830.801,629.58382,
2827.890,620.84009,
2824.979,637.68311,
2822.069,638.19305,
2819.158,623.51516,
2816.248,647.04105,
2813.337,655.12744,
2810.427,638.68355,
2807.516,620.43266,
2804.605,649.80529,
2801.695,641.23023,
2798.784,660.93554,
2795.874,649.11118,
2792.963,633.51798,
2790.052,630.37629,
2787.142,627.04596,
2784.231,624.47126,
2781.321,637.30638,
2778.410,627.59961,
2775.500,611.10156,
2772.589,632.22057,
2769.678,630.80159,
2766.768,659.66629,
2763.857,648.11103,
2760.947,642.3813,
2758.036,667.94203,
2755.126,655.74253,
2752.215,686.58858,
2749.304,690.22571,
2746.394,656.68941,
2743.483,688.62501,
2740.573,641.12923,
2737.662,661.95931,
2734.751,687.51568,
2731.841,660.2651,
2728.930,688.17157,
2726.020,698.82407,
2723.109,686.4165,
2720.199,698.55327,
2717.288,694.77647,
2714.377,711.11664,
2711.467,707.75193,
2708.556,710.24742,
2705.646,722.58631,
2702.735,700.22295,
2699.825,705.08224,
2696.914,699.42273,
2694.003,720.93436,
2691.093,703.4821,
2688.182,706.19352,
2685.272,724.72919,
2682.361,733.67522,
2679.450,724.79063,
2676.540,713.98472,
2673.629,738.39745,
2670.719,739.2946,
2667.808,732.0559,
2664.898,732.41391,
2661.987,734.80832,
2659.076,737.86638,
2656.166,765.6478,
2653.255,759.92603,
2650.345,777.07917,
2647.434,783.17466,
2644.524,775.7803,
2641.613,772.71755,
2638.702,758.51703,
2635.792,759.40392,
2632.881,769.86917,
2629.971,772.2274,
2627.060,766.20719,
2624.149,777.2125,
2621.239,790.64723,
2618.328,790.98571,
2615.418,813.77044,
2612.507,795.06271,
2609.597,794.01771,
2606.686,784.2967,
2603.775,805.01786,
2600.865,802.14288,
2597.954,801.43531,
2595.044,834.77623,
2592.133,821.82088,
2589.223,842.98975,
2586.312,820.93779,
2583.401,832.02828,
2580.491,831.82692,
2577.580,833.40801,
2574.670,851.43784,
