,PL7B17~1,
Raman shift [1/cm],Intensity,
3014.167,1.25,
3011.256,1.4500429,
3008.346,168.26817,
3005.435,186.90371,
3002.525,184.66499,
2999.614,208.58635,
2996.704,214.83453,
2993.793,218.23157,
2990.882,220.95235,
2987.972,241.21973,
2985.061,238.7968,
2982.151,233.5626,
2979.240,253.03423,
2976.329,248.25,
2973.419,245.4346,
2970.508,263.51657,
2967.598,299.91185,
2964.687,282.32405,
2961.777,297.68595,
2958.866,296.91865,
2955.955,301.07964,
2953.045,306.53412,
2950.134,323.16548,
2947.224,324.64856,
2944.313,333.30627,
2941.403,345.50045,
2938.492,357.28254,
2935.581,369.43283,
2932.671,351.41312,
2929.760,359.23076,
2926.850,360.7797,
2923.939,382.76868,
2921.028,386.4794,
2918.118,395.4301,
2915.207,397.42723,
2912.297,402.23307,
2909.386,409.03103,
2906.476,388.35114,
2903.565,406.7174,
2900.654,400.62717,
2897.744,420.98598,
2894.833,406.02309,
2891.923,407.7628,
2889.012,392.04191,
2886.102,385.20947,
2883.191,387.24434,
2880.280,370.872,
2877.370,361.88369,
2874.459,367.53937,
2871.549,394.0923,
2868.638,413.88711,
2865.727,419.80002,
2862.817,411.97861,
2859.906,437.42664,
2856.996,420.76132,
2854.085,419.13025,
2851.175,419.39455,
2848.264,423.75484,
2845.353,416.35784,
2842.443,420.05209,
2839.532,407.38439,
2836.622,406.58138,
2833.711,398.30181,
2830.801,380.36544,
2827.890,398.66961,
2824.979,395.27412,
2822.069,406.22726,
2819.158,409.95081,
2816.248,406.54921,
2813.337,417.13659,
2810.427,416.72796,
2807.516,410.51625,
2804.605,413.45433,
2801.695,413.11842,
2798.784,418.73254,
2795.874,406.26057,
2792.963,409.75032,
2790.052,391.25558,
2787.142,400.53946,
2784.231,399.95963,
2781.321,418.55854,
2778.410,419.03932,
2775.500,418.93276,
2772.589,406.74924,
2769.678,400.35578,
2766.768,420.85973,
2763.857,421.8261,
2760.947,404.79098,
2758.036,420.56853,
2755.126,440.10257,
2752.215,443.7408,
2749.304,435.3777,
2746.394,429.61493,
2743.483,430.54999,
2740.573,426.15262,
2737.662,430.61094,
2734.751,434.73565,
2731.841,406.30311,
2728.930,436.69914,
2726.020,444.92361,
2723.109,429.85859,
2720.199,450.74066,
2717.288,449.60037,
2714.377,451.50836,
2711.467,466.23352,
2708.556,458.26095,
2705.646,456.5458,
2702.735,456.7629,
2699.825,465.82635,
2696.914,454.96408,
2694.003,476.88253,
2691.093,455.73254,
2688.182,466.25,
2685.272,474.89581,
2682.361,467.5262,
2679.450,482.37345,
2676.540,473.98579,
2673.629,468.21857,
2670.719,471.97273,
2667.808,472.90955,
2664.898,470.14591,
2661.987,476.71658,
2659.076,485.46982,
2656.166,466.68714,
2653.255,487.73129,
2650.345,480.40971,
2647.434,494.16426,
2644.524,490.16126,
2641.613,496.90745,
2638.702,491.42359,
2635.792,477.1543,
2632.881,496.86897,
2629.971,505.48493,
2627.060,512.91812,
2624.149,499.87188,
2621.239,506.5163,
2618.328,496.63148,
2615.418,501.93181,
2612.507,513.86653,
2609.597,488.92265,
2606.686,521.77006,
2603.775,510.93254,
2600.865,531.48212,
2597.954,520.39374,
2595.044,519.94619,
2592.133,528.53678,
2589.223,562.32265,
2586.312,536.76256,
2583.401,532.06749,
2580.491,542.12495,
2577.580,541.29951,
2574.670,564.05483,
2571.759,544.69949,
2568.848,536.84112,
2565.938,535.34509,
2563.027,563.29995,
2560.117,570.89485,
2557.206,563.63376,
2554.296,569.07838,
2551.385,559.05191,
2548.474,550.06487,
2545.564,552.21834,
2542.653,547.18624,
2539.743,565.18839,
2536.832,546.84064,
2533.922,575.12385,
2531.011,568.07493,
2528.100,581.97826,
2525.190,600.15574,
2522.279,581.92171,
2519.369,574.34439,
2516.458,574.4738,
2513.548,592.43159,
2510.637,565.6641,
2507.726,575.07153,
2504.816,561.18913,
2501.905,572.87317,
2498.995,593.77225,
2496.084,589.31622,
2493.173,591.82881,
2490.263,595.42967,
2487.352,602.876,
2484.442,614.68684,
2481.531,615.62227,
2478.621,620.71445,
2475.710,616.21933,
2472.799,611.26346,
2469.889,617.46054,
2466.978,622.1985,
2464.068,617.37697,
2461.157,600.86501,
2458.247,610.33836,
2455.336,627.22848,
2452.425,623.79245,
2449.515,641.8446,
2446.604,651.13481,
2443.694,633.29602,
2440.783,641.87275,
2437.872,645.76051,
2434.962,654.5219,
2432.051,648.56495,
2429.141,662.6558,
2426.230,671.79366,
2423.320,664.03561,
2420.409,666.35901,
2417.498,654.27527,
2414.588,674.40958,
2411.677,662.93131,
2408.767,675.93799,
2405.856,668.69281,
2402.946,671.4046,
2400.035,677.24062,
2397.124,688.9131,
2394.214,683.3304,
2391.303,691.1836,
2388.393,689.06625,
2385.482,688.07375,
2382.571,707.57906,
2379.661,712.97086,
2376.750,714.04067,
2373.840,707.11251,
2370.929,722.07672,
2368.019,729.88981,
2365.108,705.22644,
2362.197,723.18157,
2359.287,726.86337,
2356.376,716.26585,
2353.466,712.05309,
2350.555,716.38518,
2347.645,731.94668,
2344.734,735.67396,
2341.823,743.11733,
2338.913,716.64407,
2336.002,748.47486,
2333.092,758.44529,
2330.181,770.79474,
2327.270,742.06518,
2324.360,736.49286,
2321.449,771.21939,
2318.539,772.22859,
2315.628,772.64488,
2312.718,761.76762,
2309.807,781.86482,
2306.896,781.43152,
2303.986,759.16562,
2301.075,785.22865,
2298.165,779.89389,
2295.254,786.01303,
2292.344,803.14629,
2289.433,790.19591,
2286.522,781.38389,
2283.612,814.54213,
2280.701,808.20968,
2277.791,819.4485,
2274.880,804.31592,
2271.969,821.95782,
2269.059,825.69142,
2266.148,820.8727,
2263.238,815.65155,
2260.327,842.90513,
2257.417,841.09666,
2254.506,856.72296,
2251.595,847.98102,
2248.685,831.30386,
2245.774,835.6565,
2242.864,871.22255,
2239.953,877.96738,
2237.043,856.75678,
2234.132,856.74353,
2231.221,859.35598,
2228.311,866.59922,
2225.400,893.89734,
2222.490,909.56582,
2219.579,884.35285,
2216.669,895.23569,
2213.758,919.77552,
2210.847,949.78902,
2207.937,957.12785,
2205.026,988.47216,
2202.116,996.80519,
2199.205,1024.3244,
2196.294,1046.804,
2193.384,1061.355,
2190.473,1062.534,
2187.563,1089.4627,
2184.652,1130.539,
2181.742,1122.6373,
2178.831,1162.6742,
2175.920,1206.9877,
2173.010,1225.5006,
2170.099,1249.9142,
2167.189,1288.3433,
2164.278,1307.4128,
2161.368,1357.534,
2158.457,1408.5006,
2155.546,1453.9154,
2152.636,1503.9095,
2149.725,1548.8741,
2146.815,1573.616,
2143.904,1571.2648,
2140.993,1611.906,
2138.083,1635.639,
2135.172,1643.3088,
2132.262,1650.0194,
2129.351,1631.8188,
2126.441,1591.4441,
2123.530,1570.0715,
2120.619,1456.0669,
2117.709,1379.593,
2114.798,1325.6036,
2111.888,1278.8258,
2108.977,1236.8195,
2106.067,1177.5057,
2103.156,1167.6492,
2100.245,1111.2462,
2097.335,1102.7212,
2094.424,1070.8464,
2091.514,1020.7419,
2088.603,1003.9274,
2085.692,1020.9376,
2082.782,1021.1135,
2079.871,1022.6432,
2076.961,1008.3478,
2074.050,1047.6318,
2071.140,1001.5599,
2068.229,1022.9909,
2065.318,1011.9913,
2062.408,1008.4467,
2059.497,994.04762,
2056.587,1010.273,
2053.676,970.70284,
2050.766,970.40321,
2047.855,998.13608,
2044.944,997.17627,
2042.034,1005.5851,
2039.123,980.77188,
2036.213,992.17441,
2033.302,988.6847,
2030.391,999.6905,
2027.481,1006.2256,
2024.570,1003.0358,
2021.660,1021.0674,
2018.749,1005.25,
2015.839,1003.7703,
2012.928,999.99665,
2010.017,1029.9634,
2007.107,1042.2014,
2004.196,1014.9404,
2001.286,1013.7305,
1998.375,988.54428,
1995.465,1002.5679,
1992.554,997.10305,
1989.643,1000.0772,
1986.733,1028.9325,
1983.822,968.41617,
1980.912,967.04287,
1978.001,987.08115,
1975.090,955.85916,
1972.180,965.28322,
1969.269,992.83625,
1966.359,1014.2772,
1963.448,1004.9092,
1960.538,1000.0615,
1957.627,991.33358,
1954.716,1019.3882,
1951.806,984.54807,
1948.895,991.39776,
1945.985,991.89706,
1943.074,967.17614,
1940.164,984.00977,
1937.253,1004.8585,
1934.342,997.08744,
1931.432,951.69479,
1928.521,953.03066,
1925.611,984.43161,
1922.700,955.05249,
1919.790,961.61398,
1916.879,950.29624,
1913.968,963.23279,
1911.058,963.61939,
1908.147,1006.866,
1905.237,977.05882,
1902.326,986.75367,
1899.415,1011.5036,
1896.505,979.25,
1893.594,982.88416,
1890.684,961.43318,
1887.773,968.43887,
1884.863,998.90376,
1881.952,967.67785,
1879.041,975.7012,
1876.131,977.54935,
1873.220,964.9181,
1870.310,958.60875,
1867.399,975.96212,
1864.489,981.05528,
1861.578,973.07442,
1858.667,949.58528,
1855.757,995.63783,
1852.846,1001.209,
1849.936,988.13287,
1847.025,1010.0748,
1844.114,1011.09,
1841.204,1023.9563,
1838.293,1021.26,
1835.383,1030.552,
1832.472,1032.5752,
1829.562,1027.8052,
1826.651,1012.8393,
1823.740,1025.6332,
1820.830,1049.4549,
1817.919,1013.5312,
1815.009,1053.0553,
1812.098,1035.2185,
1809.188,1064.1414,
1806.277,1033.0025,
1803.366,1030.3332,
1800.456,1037.4483,
1797.545,1076.6329,
1794.635,1089.347,
1791.724,1084.5704,
1788.813,1083.6402,
1785.903,1066.1472,
