,PLA4EC~1,
Raman shift [1/cm],Intensity,
3014.167,0.25,
3011.256,1.6999893,
3008.346,199.13818,
3005.435,210.36661,
3002.525,216.25,
2999.614,250.15131,
2996.704,260.33866,
2993.793,262.74539,
2990.882,274.72324,
2987.972,270.34081,
2985.061,282.9298,
2982.151,285.05673,
2979.240,300.9477,
2976.329,312.49863,
2973.419,309.69621,
2970.508,322.04992,
2967.598,334.91546,
2964.687,339.23437,
2961.777,362.12191,
2958.866,351.58135,
2955.955,364.87388,
2953.045,369.26791,
2950.134,395.83604,
2947.224,401.33541,
2944.313,410.54202,
2941.403,419.11907,
2938.492,449.50473,
2935.581,443.70152,
2932.671,453.12983,
2929.760,435.14228,
2926.850,459.10752,
2923.939,461.64718,
2921.028,447.36152,
2918.118,474.8898,
2915.207,482.07922,
2912.297,491.23731,
2909.386,500.45438,
2906.476,481.28935,
2903.565,487.23296,
2900.654,502.25,
2897.744,478.13685,
2894.833,474.19836,
2891.923,478.8173,
2889.012,487.1633,
2886.102,483.75272,
2883.191,476.24811,
2880.280,444.97248,
2877.370,432.89536,
2874.459,437.54558,
2871.549,468.76358,
2868.638,503.84175,
2865.727,494.75382,
2862.817,499.2353,
2859.906,519.22436,
2856.996,523.19566,
2854.085,522.92645,
2851.175,504.27705,
2848.264,507.12234,
2845.353,517.20687,
2842.443,508.06253,
2839.532,493.36943,
2836.622,488.16016,
2833.711,499.56084,
2830.801,477.37279,
2827.890,479.14686,
2824.979,487.45998,
2822.069,504.93158,
2819.158,482.19071,
2816.248,493.23842,
2813.337,518.54879,
2810.427,496.6467,
2807.516,486.40828,
2804.605,496.63702,
2801.695,501.60528,
2798.784,510.02823,
2795.874,494.25528,
2792.963,494.39298,
2790.052,506.24807,
2787.142,501.49988,
2784.231,499.18477,
2781.321,502.11852,
2778.410,489.81471,
2775.500,496.25,
2772.589,492.25,
2769.678,497.35578,
2766.768,519.48303,
2763.857,516.93208,
2760.947,500.75946,
2758.036,514.95708,
2755.126,525.25,
2752.215,521.52723,
2749.304,530.46222,
2746.394,536.73184,
2743.483,532.35004,
2740.573,528.68586,
2737.662,525.02663,
2734.751,530.39068,
2731.841,529.00641,
2728.930,536.53401,
2726.020,538.60243,
2723.109,532.85859,
2720.199,525.77801,
2717.288,542.7938,
2714.377,551.08738,
2711.467,569.49615,
2708.556,561.37758,
2705.646,583.68667,
2702.735,565.92526,
2699.825,568.38089,
2696.914,574.3932,
2694.003,576.06627,
2691.093,555.44616,
2688.182,567.34259,
2685.272,558.48898,
2682.361,564.00873,
2679.450,572.4969,
2676.540,564.41259,
2673.629,574.24102,
2670.719,576.96534,
2667.808,587.66637,
2664.898,564.107,
2661.987,585.85027,
2659.076,600.61422,
2656.166,580.05937,
2653.255,600.84863,
2650.345,610.90699,
