,PLF53F~1,
Raman shift [1/cm],Intensity,
3014.167,2,
3011.256,0.44998926,
3008.346,196.09012,
3005.435,240,
3002.525,248.71756,
2999.614,249.80262,
2996.704,262.68144,
2993.793,267.86694,
2990.882,281.34347,
2987.972,283.97982,
2985.061,283.99015,
2982.151,292.52269,
2979.240,322.73384,
2976.329,337.2814,
2973.419,334,
2970.508,342.01662,
2967.598,341.19116,
2964.687,354.07405,
2961.777,377.58988,
2958.866,378.33432,
2955.955,377.75885,
2953.045,372.75169,
2950.134,400.16038,
2947.224,418.94306,
2944.313,417.44943,
2941.403,450.15556,
2938.492,452.44716,
2935.581,449.02702,
2932.671,443.72537,
2929.760,465.11922,
2926.850,463.79098,
2923.939,476.03736,
2921.028,479.60583,
2918.118,468.96222,
2915.207,504.65845,
2912.297,517.99577,
2909.386,498.42335,
2906.476,505.58146,
2903.565,476.70814,
2900.654,506.89382,
2897.744,507.76113,
2894.833,488.17527,
2891.923,486.1891,
2889.012,486.20231,
2886.102,509.02027,
2883.191,497.01322,
2880.280,464.58372,
2877.370,462.5581,
2874.459,473.23894,
2871.549,500.64518,
2868.638,532.77319,
2865.727,524.53073,
2862.817,528.79947,
2859.906,536.4302,
2856.996,524.53397,
2854.085,531.08406,
2851.175,531.75908,
2848.264,522.7795,
2845.353,537.0647,
2842.443,536.00696,
2839.532,513.70159,
2836.622,500.37109,
2833.711,517.06748,
2830.801,496.40294,
2827.890,498.04549,
2824.979,511.22204,
2822.069,525.77256,
2819.158,508.66038,
2816.248,513.74711,
2813.337,541.16465,
2810.427,517.56612,
2807.516,510.94969,
2804.605,513.67789,
2801.695,523.47367,
2798.784,537.59546,
2795.874,518.87073,
2792.963,523.35756,
2790.052,528.00107,
2787.142,514.53935,
2784.231,505.96739,
2781.321,530.11419,
2778.410,509.8845,
2775.500,515.63897,
2772.589,521.84557,
2769.678,524.13988,
2766.768,532.94174,
2763.857,538.15607,
2760.947,537.08826,
2758.036,526.43297,
2755.126,547,
2752.215,546.46818,
2749.304,539.02159,
2746.394,556.27015,
2743.483,554.40003,
2740.573,550.77434,
2737.662,539.48815,
2734.751,568.44176,
2731.841,551.94505,
2728.930,562.85601,
2726.020,566.45949,
2723.109,554.94884,
2720.199,565.86248,
2717.288,572.26278,
2714.377,581.09574,
2711.467,573.77033,
2708.556,584.12758,
2705.646,597.98594,
2702.735,571.52837,
2699.825,599,
2696.914,592.52363,
2694.003,596.18373,
2691.093,598.05296,
2688.182,593.45556,
2685.272,574.51351,
2682.361,598.69978,
2679.450,598.38276,
2676.540,602.79676,
2673.629,592.00449,
2670.719,604.13125,
2667.808,611.04864,
2664.898,600.11673,
2661.987,599.93316,
2659.076,613.94826,
2656.166,602.50206,
2653.255,628.48129,
2650.345,642.3285,
2647.434,637.34296,
2644.524,644.08874,
2641.613,649,
2638.702,651.95266,
2635.792,632.59124,
2632.881,642.18469,
2629.971,635,
2627.060,642.49844,
