,PLF58E~1,
Raman shift [1/cm],Intensity,
3014.167,-2.75,
3011.256,0.14997853,
3008.346,256.57531,
3005.435,288.94258,
3002.525,284.70246,
2999.614,319.4786,
2996.704,340.33866,
2993.793,335.70853,
2990.882,350.30353,
2987.972,358.3509,
2985.061,380.0234,
2982.151,369.0399,
2979.240,383.99809,
2976.329,412.28276,
2973.419,425.98838,
2970.508,431.71665,
2967.598,466.95964,
2964.687,443.16033,
2961.777,459.74587,
2958.866,474.90974,
2955.955,473.62612,
2953.045,499.98378,
2950.134,522.04887,
2947.224,539.30694,
2944.313,536.30627,
2941.403,576.31067,
2938.492,568.42075,
2935.581,579.13712,
2932.671,581.33156,
2929.760,581.76537,
2926.850,609.36879,
2923.939,616.53038,
2921.028,611.39702,
2918.118,618.8898,
2915.207,633.73122,
2912.297,625.33463,
2909.386,636.57849,
2906.476,639.49715,
2903.565,629.74851,
2900.654,645.68581,
2897.744,640.21228,
2894.833,638.07473,
2891.923,638.4391,
2889.012,647.16907,
2886.102,632.00136,
2883.191,621.25566,
2880.280,607.84807,
2877.370,581.74417,
2874.459,582.60221,
2871.549,631.7769,
2868.638,656.79434,
2865.727,676.33075,
2862.817,674.2353,
2859.906,681.60329,
2856.996,667.1866,
2854.085,675.96848,
2851.175,680.39455,
2848.264,672.55367,
2845.353,682.16373,
2842.443,668.26741,
2839.532,673.42898,
2836.622,638.16016,
2833.711,647.98313,
2830.801,651.35074,
2827.890,640.41784,
2824.979,646.25,
2822.069,672.13628,
2819.158,654.26886,
2816.248,662.91605,
2813.337,670.6622,
2810.427,646.77894,
2807.516,673.81078,
2804.605,664.90626,
2801.695,667.32893,
2798.784,680.69762,
2795.874,648.26585,
2792.963,650.60756,
2790.052,657.25064,
2787.142,671.3945,
2784.231,658.31365,
2781.321,641.69579,
2778.410,664.9099,
2775.500,661.12311,
2772.589,669.6338,
2769.678,670.71069,
2766.768,690.30826,
2763.857,693.93401,
2760.947,695.26891,
2758.036,692.32003,
2755.126,700.10257,
2752.215,701.08168,
2749.304,725.26975,
2746.394,697.84875,
2743.483,712.89999,
2740.573,702.71676,
2737.662,705.71745,
2734.751,722.36649,
2731.841,696.49175,
2728.930,722.65687,
2726.020,723.04109,
2723.109,724.38417,
2720.199,744.84084,
2717.288,724.03833,
2714.377,738.34574,
2711.467,740.88956,
2708.556,743.23905,
2705.646,765.23594,
2702.735,765.89431,
2699.825,738.38089,
2696.914,742.7741,
2694.003,769.06627,
