,PL1EFF~1,
Raman shift [1/cm],Intensity,
3014.167,3.25,
3011.256,-0.70009663,
3008.346,249.68595,
3005.435,294.67403,
3002.525,312.7226,
2999.614,317.58635,
2996.704,316.33866,
2993.793,332.61233,
2990.882,342.81488,
2987.972,337.36099,
2985.061,360.1367,
2982.151,379.74413,
2979.240,392.61692,
2976.329,409.28276,
2973.419,411.91136,
2970.508,438.36656,
2967.598,438.68012,
2964.687,452.98098,
2961.777,462.87397,
2958.866,450.9038,
2955.955,473.56194,
2953.045,482.36858,
2950.134,498.67566,
2947.224,519.30694,
2944.313,527.09259,
2941.403,552.50045,
2938.492,543.68632,
2935.581,574.01314,
2932.671,559.49035,
2929.760,574.61541,
2926.850,583.40677,
2923.939,586.24529,
2921.028,602.25,
2918.118,605.80919,
2915.207,602.19307,
2912.297,603.25423,
2909.386,638.62227,
2906.476,619.99439,
2903.565,611.31519,
2900.654,602.08518,
2897.744,586.37572,
2894.833,597.07473,
2891.923,603.1154,
2889.012,605.29046,
2886.102,605.02163,
2883.191,618.2349,
2880.280,568.58014,
2877.370,544.90702,
2874.459,572.12432,
2871.549,612.88186,
2868.638,615.93042,
2865.727,637.51918,
2862.817,633.93451,
2859.906,638.90812,
2856.996,634.25906,
2854.085,643.6933,
2851.175,635.60841,
2848.264,631.97534,
2845.353,643.64612,
2842.443,622.63886,
2839.532,623.71274,
2836.622,613.06446,
2833.711,591.04277,
2830.801,605.2353,
2827.890,600.5402,
2824.979,612.50987,
2822.069,619.37509,
2819.158,624.92924,
2816.248,619.23842,
2813.337,617.77562,
2810.427,607.20592,
2807.516,613.30031,
2804.605,633.16345,
2801.695,622.90791,
2798.784,630.02823,
2795.874,613.9439,
2792.963,626.1784,
2790.052,624.24957,
2787.142,618.72354,
2784.231,604.66925,
2781.321,619.31286,
2778.410,620.25,
2775.500,613.35724,
2772.589,632.28747,
2769.678,616.78584,
2766.768,632.48303,
2763.857,633.14596,
2760.947,640.73424,
2758.036,660.27561,
2755.126,674.01068,
2752.215,669.27263,
2749.304,663.9946,
2746.394,658.15522,
2743.483,652.60005,
2740.573,669.75233,
2737.662,652.57988,
2734.751,646.34229,
2731.841,662.87272,
2728.930,684.47457,
2726.020,676.35185,
2723.109,670.13658,
2720.199,678.13115,
2717.288,690.61861,
2714.377,678.80016,
2711.467,704.77418,
2708.556,707.09084,
2705.646,698.16551,
2702.735,704.42784,
2699.825,708.89179,
2696.914,724.10776,
2694.003,703.76382,
2691.093,696.08876,
2688.182,690.65074,
2685.272,712.37376,
2682.361,704.61463,
2679.450,711.08126,
2676.540,730.94514,
2673.629,719.23653,
2670.719,723.96534,
2667.808,722.29864,
2664.898,704.18482,
2661.987,732.98362,
2659.076,724.17458,
2656.166,732.84737,
2653.255,743.61905,
2650.345,721.37704,
2647.434,763.93591,
2644.524,767.38907,
2641.613,773.59318,
2638.702,749.72343,
2635.792,760.81231,
2632.881,747.23835,
2629.971,735.37751,
2627.060,761.5825,
2624.149,769.16875,
2621.239,771.00148,
2618.328,794.5969,
2615.418,761.23182,
2612.507,763.04449,
2609.597,781.04641,
2606.686,777.80824,
2603.775,785.21032,
2600.865,787.77902,
2597.954,814.33963,
2595.044,814.09058,
2592.133,822.7338,
2589.223,816.84054,
2586.312,821.95852,
2583.401,818.12952,
2580.491,818.49515,
2577.580,825.25495,
2574.670,823.8222,
2571.759,817.20462,
2568.848,830.3053,
2565.938,821.20217,
2563.027,836.80917,
2560.117,826.05376,
2557.206,862.08394,
2554.296,842.02574,
2551.385,853.67993,
2548.474,850.87974,
2545.564,839.69318,
2542.653,852.72315,
2539.743,878.57132,
2536.832,877.39205,
2533.922,875.25,
2531.011,880.47456,
2528.100,885.72036,
2525.190,871.92541,
2522.279,896.1562,
2519.369,886.09955,
2516.458,889.48796,
2513.548,904.01368,
2510.637,906.45072,
2507.726,893.62546,
2504.816,887.74943,
2501.905,893.98902,
2498.995,869.90691,
2496.084,881.47649,
2493.173,905.25067,
2490.263,901.50872,
2487.352,911.7508,
2484.442,922.39561,
2481.531,925.5159,
2478.621,940.99885,
2475.710,927.15799,
2472.799,920.42931,
2469.889,944.97578,
2466.978,944.86865,
2464.068,946.99605,
2461.157,935.25,
2458.247,942.50008,
2455.336,960.1639,
2452.425,960.68396,
2449.515,981.58886,
2446.604,951.77532,
2443.694,959.99425,
2440.783,985.54054,
2437.872,1008.9737,
2434.962,983.65552,
2432.051,995.54608,
2429.141,1012.432,
2426.230,1010.2279,
2423.320,1001.4351,
2420.409,1016.0131,
2417.498,1000.2332,
2414.588,998.52759,
2411.677,999.6803,
2408.767,1014.5384,
2405.856,1016.2762,
2402.946,1012.7263,
2400.035,1009.8556,
2397.124,1031.9238,
2394.214,1041.4672,
2391.303,1038.9959,
2388.393,1041.1942,
2385.482,1063.4128,
2382.571,1043.3377,
2379.661,1060.8549,
2376.750,1054.4568,
2373.840,1062.3281,
2370.929,1055.315,
2368.019,1064.1631,
2365.108,1104.0196,
2362.197,1087.6254,
2359.287,1100.8299,
2356.376,1071.3064,
2353.466,1101.8099,
2350.555,1109.8799,
2347.645,1106.8421,
2344.734,1106.462,
2341.823,1105.2666,
2338.913,1129.8291,
2336.002,1132.8911,
2333.092,1139.6755,
2330.181,1134.5134,
2327.270,1134.305,
2324.360,1139.3255,
2321.449,1154.0051,
2318.539,1175.8677,
2315.628,1150.5625,
2312.718,1153.1487,
2309.807,1192.7471,
2306.896,1169.7304,
2303.986,1171.8215,
2301.075,1167.5905,
2298.165,1133.3072,
2295.254,1179.1082,
2292.344,1184.196,
2289.433,1190.5936,
2286.522,1191.1964,
2283.612,1189.25,
2280.701,1211.7522,
2277.791,1211.7309,
2274.880,1227.5299,
2271.969,1233.966,
2269.059,1231.5388,
2266.148,1252.9228,
2263.238,1228.4624,
2260.327,1235.6295,
2257.417,1260.655,
2254.506,1278.8226,
2251.595,1278.1045,
2248.685,1265.5193,
2245.774,1272.8652,
2242.864,1300.0555,
2239.953,1297.25,
2237.043,1298.0293,
2234.132,1305.8578,
2231.221,1313.3818,
2228.311,1322.0786,
2225.400,1311.5033,
2222.490,1325.8202,
2219.579,1362.2166,
2216.669,1390.2262,
2213.758,1374.3768,
2210.847,1393.8797,
2207.937,1403.1686,
2205.026,1409.4701,
2202.116,1464.1035,
2199.205,1466.7992,
2196.294,1506.2919,
2193.384,1534.197,
2190.473,1516.8005,
2187.563,1577.3563,
2184.652,1605.7263,
2181.742,1657.911,
2178.831,1697.8881,
2175.920,1755.4577,
2173.010,1837.7534,
2170.099,1922.7089,
2167.189,2039.8384,
2164.278,2134.1626,
2161.368,2232.9614,
2158.457,2333.7655,
2155.546,2454.1559,
2152.636,2580.2019,
2149.725,2656.5251,
2146.815,2789.9454,
2143.904,2850.2611,
2140.993,2882.1388,
2138.083,2900.8032,
2135.172,2901.7794,
2132.262,2912.0194,
2129.351,2852.2841,
2126.441,2812.58,
2123.530,2718.5552,
2120.619,2550.6728,
2117.709,2399.7069,
2114.798,2259.3534,
2111.888,2123.6279,
2108.977,2013.2036,
2106.067,1926.3382,
2103.156,1791.9916,
2100.245,1735.2243,
2097.335,1687.5066,
2094.424,1644.9518,
2091.514,1635.5024,
2088.603,1581.1993,
2085.692,1578.1125,
2082.782,1564.6477,
2079.871,1564.3573,
2076.961,1525.9623,
2074.050,1553.7652,
2071.140,1544.5718,
2068.229,1547.0664,
2065.318,1525.5195,
2062.408,1481.3408,
2059.497,1500.5,
2056.587,1500.9363,
2053.676,1507.3159,
2050.766,1541.6327,
2047.855,1460.8765,
2044.944,1480.9199,
2042.034,1477.7009,
2039.123,1502.7315,
2036.213,1514.1544,
2033.302,1509.1631,
2030.391,1500.5214,
2027.481,1521.5424,
2024.570,1562.2777,
2021.660,1492.0395,
2018.749,1490.6299,
2015.839,1499.3084,
2012.928,1501.5252,
2010.017,1533.1458,
2007.107,1540.8313,
2004.196,1527.4523,
2001.286,1508.6034,
1998.375,1499.3789,
1995.465,1510.6223,
1992.554,1482.6973,
1989.643,1521.6946,
1986.733,1508.7184,
1983.822,1449.4945,
1980.912,1471.2997,
1978.001,1475.7416,
1975.090,1466.2653,
1972.180,1471.3524,
1969.269,1512.1208,
1966.359,1472.6276,
1963.448,1461.1655,
1960.538,1500.0874,
1957.627,1474.2593,
1954.716,1532.4115,
1951.806,1458.7965,
1948.895,1468.6124,
1945.985,1467.3137,
1943.074,1476.7261,
1940.164,1479.1444,
1937.253,1473.2983,
1934.342,1449.2928,
1931.432,1455.4046,
1928.521,1442.6127,
1925.611,1457.5939,
1922.700,1449.6298,
1919.790,1484.868,
1916.879,1475.4357,
1913.968,1453.2758,
1911.058,1447.6554,
1908.147,1438.7186,
1905.237,1444.7795,
1902.326,1466.9004,
1899.415,1428.139,
1896.505,1436.3764,
1893.594,1442.2409,
1890.684,1480.3871,
1887.773,1483.6556,
1884.863,1458.8559,
1881.952,1458.9224,
1879.041,1493.2661,
1876.131,1480.4474,
1873.220,1465.6615,
1870.310,1474.4607,
1867.399,1489.0261,
1864.489,1452.8606,
1861.578,1447.453,
1858.667,1484.8758,
1855.757,1463.2572,
1852.846,1458.5167,
1849.936,1479.1329,
1847.025,1501.4276,
1844.114,1501.4806,
1841.204,1500.229,
1838.293,1463.7924,
1835.383,1468.854,
1832.472,1509.0761,
1829.562,1553.1065,
1826.651,1561.3096,
1823.740,1537.3228,
1820.830,1524.8484,
1817.919,1508.5912,
1815.009,1527.5121,
1812.098,1539.3287,
1809.188,1557.1337,
1806.277,1546.5156,
1803.366,1571.4164,
1800.456,1580.1509,
1797.545,1558.2998,
1794.635,1537.2481,
1791.724,1591.25,
1788.813,1596.8572,
1785.903,1614.0911,
1782.992,1595.3722,
1780.082,1594.4677,
1777.171,1597.5798,
1774.261,1584.98,
1771.350,1609.995,
1768.439,1626.6728,
1765.529,1617.526,
1762.618,1625.2056,
1759.708,1634.2394,
1756.797,1654.6364,
1753.887,1678.0722,
1750.976,1706.0949,
1748.065,1686.4436,
1745.155,1672.1661,
1742.244,1669.2772,
1739.334,1688.4759,
1736.423,1718.7397,
1733.512,1744.7135,
1730.602,1766.9584,
1727.691,1762.2704,
1724.781,1756.8903,
1721.870,1799.7074,
1718.960,1820.1168,
1716.049,1818.0551,
1713.138,1829.2199,
1710.228,1854.748,
1707.317,1852.058,
1704.407,1828.7901,
1701.496,1910.1124,
1698.586,1923.7939,
1695.675,1859.6861,
1692.764,1942.3484,
1689.854,1943.4232,
1686.943,1950.0139,
1684.033,1977.5546,
1681.122,1955.6408,
1678.211,1986.9454,
1675.301,2113.8584,
1672.390,2120.238,
1669.480,2117.0362,
1666.569,2215.3672,
1663.659,2301.711,
1660.748,2271.6409,
1657.837,2393.5124,
1654.927,2404.594,
1652.016,2378.8537,
1649.106,2445.135,
1646.195,2522.1921,
1643.285,2602.0247,
1640.374,2636.0862,
1637.463,2675.6283,
1634.553,2698.2007,
1631.642,2829.8027,
1628.732,2971.9729,
1625.821,3093.3795,
1622.911,3290.1342,
1620.000,3498.6043,
1617.089,3697.2699,
1614.179,3878.1174,
1611.268,4113.3645,
1608.358,4276.6647,
1605.447,4449.2513,
1602.536,4478.8196,
1599.626,4523.4868,
1596.715,4480.0547,
1593.805,4450.2087,
1590.894,4473.6701,
1587.984,4431.3471,
1585.073,4385.1124,
1582.162,4399.1222,
1579.252,4334.5127,
1576.341,4313.6426,
1573.431,4308.3341,
1570.520,4293.4912,
1567.610,4182.6993,
1564.699,4154.2253,
1561.788,4128.377,
1558.878,4039.0978,
1555.967,3924.6309,
1553.057,3866.3881,
1550.146,3791.1083,
1547.235,3718.3724,
1544.325,3628.9517,
1541.414,3521.084,
1538.504,3471.7086,
1535.593,3484.3705,
1532.683,3439.9881,
1529.772,3360.3314,
1526.861,3341.2151,
1523.951,3287.8963,
1521.040,3210.5094,
1518.130,3185.9316,
1515.219,3141.0102,
1512.309,3141.9392,
1509.398,3147.6419,
1506.487,3097.5097,
1503.577,3103.4328,
1500.666,3056.2793,
1497.756,3083.0629,
1494.845,3018.6091,
1491.934,2978.8248,
1489.024,2848.8883,
1486.113,2850.7405,
1483.203,2893.882,
1480.292,2813.5503,
1477.382,2792.5923,
1474.471,2805.8302,
1471.560,2699.9488,
1468.650,2682.1646,
1465.739,2684.9236,
1462.829,2677.2659,
1459.918,2665.8577,
1457.008,2688.7119,
1454.097,2706.696,
1451.186,2701.9831,
1448.276,2713.1431,
1445.365,2702.5699,
1442.455,2698.7359,
1439.544,2715.7131,
1436.633,2648.7654,
1433.723,2677.5204,
1430.812,2629.3634,
1427.902,2618.2049,
1424.991,2616.3094,
1422.081,2566.7062,
1419.170,2548.425,
1416.259,2530.8588,
1413.349,2537.8234,
1410.438,2492.2654,
1407.528,2536.2679,
1404.617,2537.6094,
