,PL267D~1,
Raman shift [1/cm],Intensity,
3014.167,1.25,
3011.256,0.14997853,
3008.346,422.89638,
3005.435,505.36661,
3002.525,538.19519,
2999.614,544.71626,
2996.704,571.10876,
2993.793,549.23157,
2990.882,580.76136,
2987.972,606.21469,
2985.061,611.22046,
2982.151,649.1475,
2979.240,661.06271,
2976.329,701.03413,
2973.419,710.86489,
2970.508,728.16668,
2967.598,728.68012,
2964.687,741.54823,
2961.777,778.86572,
2958.866,785.25742,
2955.955,822.29861,
2953.045,865.8652,
2950.134,866.16548,
2947.224,872.39234,
2944.313,900.62037,
2941.403,929.25,
2938.492,934.23915,
2935.581,943.33586,
2932.671,953.13416,
2929.760,968.90384,
2926.850,987.94361,
2923.939,988.68454,
2921.028,994.14987,
2918.118,1000.4729,
2915.207,1023.0728,
2912.297,1031.2119,
2909.386,1040.6806,
2906.476,1020.1967,
2903.565,1037.3463,
2900.654,1045.25,
2897.744,1050.9231,
2894.833,1037.6209,
2891.923,1032.5448,
2889.012,1032.7529,
2886.102,1019.6257,
2883.191,1032.2358,
2880.280,1002.1495,
2877.370,1001.3139,
2874.459,1018.25,
2871.549,1031.2633,
2868.638,1054.6149,
2865.727,1071.5116,
2862.817,1066.9786,
2859.906,1072.25,
2856.996,1063.2908,
2854.085,1060.4118,
2851.175,1084.8705,
2848.264,1097.3873,
2845.353,1060.7108,
2842.443,1053.0208,
2839.532,1040.2204,
2836.622,1052.4635,
2833.711,1045.0506,
2830.801,1053.8324,
2827.890,1028.2308,
2824.979,1047.1639,
2822.069,1089.0453,
2819.158,1075.4306,
2816.248,1075.5261,
2813.337,1095.7756,
2810.427,1079.9484,
2807.516,1068.5163,
2804.605,1083.4976,
2801.695,1073.0131,
2798.784,1087.8845,
2795.874,1074.6695,
2792.963,1069.7497,
2790.052,1063.2498,
2787.142,1063.25,
2784.231,1054.0249,
2781.321,1046.0614,
2778.410,1066.4885,
2775.500,1074.7424,
2772.589,1051.4824,
2769.678,1077.1783,
2766.768,1080.685,
2763.857,1107.8801,
2760.947,1112.3572,
2758.036,1108.0715,
2755.126,1126.4893,
2752.215,1126.4409,
2749.304,1142.3345,
2746.394,1121.1552,
2743.483,1130.45,
2740.573,1137.573,
2737.662,1135.1124,
2734.751,1127.2984,
2731.841,1135.25,
2728.930,1149.3306,
2726.020,1154.8218,
2723.109,1177.0024,
2720.199,1171.6626,
2717.288,1167.688,
2714.377,1183.5707,
2711.467,1195.5775,
2708.556,1219.5052,
2705.646,1188.9119,
2702.735,1194.5954,
2699.825,1197.9354,
2696.914,1198.155,
2694.003,1233.6256,
2691.093,1206.7145,
2688.182,1208.4315,
2685.272,1205.8958,
2682.361,1211.9258,
2679.450,1223.3077,
2676.540,1228.0264,
2673.629,1221.5639,
2670.719,1239.2426,
2667.808,1240.4445,
2664.898,1241.2763,
2661.987,1250.3172,
2659.076,1265.0129,
2656.166,1254.8646,
2653.255,1266.1429,
2650.345,1284.2591,
2647.434,1294.7933,
2644.524,1305.0725,
2641.613,1303.4788,
2638.702,1304.2973,
2635.792,1303.0645,
2632.881,1298.7974,
2629.971,1305.505,
2627.060,1311.4178,
2624.149,1305.925,
2621.239,1317.0133,
2618.328,1321.25,
2615.418,1317.6,
2612.507,1335.6926,
2609.597,1332.1781,
2606.686,1360.4448,
2603.775,1375.1746,
2600.865,1390.25,
2597.954,1385.6333,
2595.044,1395.5627,
2592.133,1396.5812,
2589.223,1395.1416,
2586.312,1416.5464,
2583.401,1440.9033,
2580.491,1452.3173,
2577.580,1438.1856,
2574.670,1407.8289,
2571.759,1411.5325,
2568.848,1434.1176,
2565.938,1430.7262,
2563.027,1434.1523,
2560.117,1449.4089,
2557.206,1425.7998,
2554.296,1431.0852,
2551.385,1471.9521,
2548.474,1469.2496,
2545.564,1481.5852,
2542.653,1475.1124,
2539.743,1487.7931,
2536.832,1475.1883,
2533.922,1510.3604,
2531.011,1511.2005,
2528.100,1532.5672,
2525.190,1528.093,
2522.279,1526.0307,
2519.369,1512.4191,
2516.458,1516.568,
2513.548,1529.1859,
2510.637,1530.4182,
2507.726,1543.8782,
2504.816,1532.5623,
2501.905,1543.4238,
2498.995,1513.6388,
2496.084,1556.156,
2493.173,1583.8295,
2490.263,1578.1042,
2487.352,1559.0445,
2484.442,1601.674,
2481.531,1610.5159,
2478.621,1595.2878,
2475.710,1579.7177,
2472.799,1634.8241,
2469.889,1610.4938,
2466.978,1615.2396,
2464.068,1636.5305,
2461.157,1616.7149,
2458.247,1652.5738,
2455.336,1660.8057,
2452.425,1636.8773,
2449.515,1661.2874,
2446.604,1678.6254,
2443.694,1698.458,
2440.783,1682.5856,
2437.872,1689.724,
2434.962,1704.6141,
2432.051,1708.324,
2429.141,1718.0616,
2426.230,1724.1848,
2423.320,1746.3073,
2420.409,1732.5514,
2417.498,1743.9776,
2414.588,1760.4325,
2411.677,1783.8515,
2408.767,1752.0679,
2405.856,1758.462,
2402.946,1785.9533,
2400.035,1794.3603,
2397.124,1781.6083,
2394.214,1801.2232,
2391.303,1825.2222,
2388.393,1822.6011,
2385.482,1829.5891,
2382.571,1844.0983,
2379.661,1840.8546,
2376.750,1837.1466,
2373.840,1841.4468,
2370.929,1891.7302,
2368.019,1869.3811,
2365.108,1893.716,
2362.197,1887.6391,
2359.287,1878.8717,
2356.376,1906.1972,
2353.466,1904.6438,
2350.555,1901.5098,
2347.645,1910.2354,
2344.734,1908.6417,
2341.823,1917.051,
2338.913,1968.6783,
2336.002,1940.8457,
2333.092,1941.3075,
2330.181,1951.8305,
2327.270,1971.3699,
2324.360,1968.3584,
2321.449,1994.7874,
2318.539,1985.3356,
2315.628,1994.8295,
2312.718,1981.3513,
2309.807,2031.641,
2306.896,2053.9198,
2303.986,2032.3864,
2301.075,2041.7819,
2298.165,2034.6634,
2295.254,2031.2931,
2292.344,2030.8765,
2289.433,2054.6168,
2286.522,2068.3839,
2283.612,2062.2092,
2280.701,2092.7342,
2277.791,2114.7691,
2274.880,2104.106,
2271.969,2115.7603,
2269.059,2120.3127,
2266.148,2181.0981,
2263.238,2160.3697,
2260.327,2173.0087,
2257.417,2182.7756,
2254.506,2201.478,
2251.595,2218.1192,
2248.685,2208.25,
2245.774,2213.6565,
2242.864,2220.0929,
2239.953,2236.5741,
2237.043,2229.8197,
2234.132,2240.8524,
2231.221,2282.9348,
2228.311,2287.8595,
2225.400,2297.3195,
2222.490,2336.8494,
2219.579,2342.7795,
2216.669,2331.2548,
2213.758,2385.6945,
2210.847,2417.6681,
2207.937,2445.1099,
2205.026,2451.6937,
2202.116,2477.543,
2199.205,2515.0486,
2196.294,2547.184,
2193.384,2605.6691,
2190.473,2641.9777,
2187.563,2729.6367,
2184.652,2820.5459,
2181.742,2919.7089,
2178.831,3055.2541,
2175.920,3215.2592,
2173.010,3385.483,
2170.099,3591.4976,
2167.189,3867.8645,
2164.278,4132.042,
2161.368,4414.1017,
2158.457,4635.9694,
2155.546,4922.5916,
2152.636,5171.7017,
2149.725,5377.223,
2146.815,5491.3135,
2143.904,5614.3801,
2140.993,5695.1652,
2138.083,5703.7425,
2135.172,5648.9557,
2132.262,5566.0431,
2129.351,5482.1635,
2126.441,5316.9389,
2123.530,5071.8593,
2120.619,4823.1323,
2117.709,4515.1639,
2114.798,4230.9605,
2111.888,3951.4435,
2108.977,3700.8195,
2106.067,3474.2658,
2103.156,3301.9529,
2100.245,3167.203,
2097.335,3077.5589,
2094.424,2951.8201,
2091.514,2883.2392,
2088.603,2877.1163,
2085.692,2846.5105,
2082.782,2830.3865,
2079.871,2811.6059,
2076.961,2794.0895,
2074.050,2749.2318,
2071.140,2722.8137,
2068.229,2684.6237,
2065.318,2670.3362,
2062.408,2665.2803,
2059.497,2656.6369,
2056.587,2643.0292,
2053.676,2614.7515,
2050.766,2606.4809,
2047.855,2601.6519,
2044.944,2586.0384,
2042.034,2614.643,
2039.123,2603.8695,
2036.213,2599.6922,
2033.302,2590.4675,
2030.391,2631.8419,
2027.481,2642.8843,
2024.570,2640.6213,
2021.660,2619.61,
2018.749,2647.5919,
2015.839,2651.1384,
2012.928,2625.8356,
2010.017,2650.9254,
2007.107,2650.25,
2004.196,2638.9881,
2001.286,2636.1051,
1998.375,2629.4203,
1995.465,2615.5973,
1992.554,2626.3969,
1989.643,2594.4597,
1986.733,2598.464,
1983.822,2602.25,
1980.912,2608.1713,
1978.001,2638.9105,
1975.090,2637.1462,
1972.180,2597.3192,
1969.269,2612.2328,
1966.359,2601.2497,
1963.448,2597.0162,
1960.538,2648.1291,
1957.627,2641.4172,
1954.716,2690.7275,
1951.806,2582.5784,
1948.895,2645.1022,
1945.985,2631.9395,
1943.074,2605.9217,
1940.164,2600.7887,
1937.253,2596.8808,
1934.342,2594.9511,
1931.432,2602.086,
1928.521,2548.6887,
1925.611,2556.5224,
1922.700,2538.1754,
1919.790,2565.5617,
1916.879,2583.3433,
1913.968,2521.3275,
1911.058,2581.6855,
1908.147,2625.6003,
1905.237,2606.9633,
1902.326,2632.0989,
1899.415,2583.0439,
1896.505,2624.5213,
1893.594,2625.0822,
1890.684,2610.1584,
1887.773,2621.0949,
1884.863,2613.8719,
1881.952,2608.855,
1879.041,2599.1721,
1876.131,2649.999,
1873.220,2569.8514,
1870.310,2602.6625,
1867.399,2596.4099,
1864.489,2601.4572,
1861.578,2627.3272,
1858.667,2589.9835,
1855.757,2605.6092,
1852.846,2647.7321,
