,PL38DB~1,
Raman shift [1/cm],Intensity,
3014.167,3.625,
3011.256,-1.2250752,
3008.346,285.82033,
3005.435,337.27871,
3002.525,350.8901,
2999.614,370.73275,
2996.704,365.66108,
2993.793,392.00576,
2990.882,385.36547,
2987.972,398.70572,
2985.061,413.7383,
2982.151,438.16452,
2979.240,454.35884,
2976.329,459.13865,
2973.419,482.4404,
2970.508,493.3416,
2967.598,501.76837,
2964.687,518.95244,
2961.777,513.78718,
2958.866,531.62648,
2955.955,537.21349,
2953.045,550.22906,
2950.134,570.52877,
2947.224,587.4506,
2944.313,607.53526,
2941.403,616.74452,
2938.492,616.09385,
2935.581,636.03359,
2932.671,643.86535,
2929.760,664.33657,
2926.850,670.19981,
2923.939,699.86801,
2921.028,675.75427,
2918.118,692.74338,
2915.207,691.98591,
2912.297,679.71386,
2909.386,718.25273,
2906.476,708.66435,
2903.565,698.1576,
2900.654,701.80092,
2897.744,696.34841,
2894.833,677.92391,
2891.923,702.89751,
2889.012,700.00072,
2886.102,699.43716,
2883.191,680.64388,
2880.280,667.27093,
2877.370,644.00297,
2874.459,650.90196,
2871.549,707.73049,
2868.638,717.80645,
2865.727,734.18265,
2862.817,720.02342,
2859.906,722.7646,
2856.996,734.11368,
2854.085,720.78043,
2851.175,715.24546,
2848.264,721.34067,
2845.353,728.78389,
2842.443,704.99993,
2839.532,711.87882,
2836.622,708.04623,
2833.711,682.58103,
2830.801,695.10662,
2827.890,703.28932,
2824.979,706.3909,
2822.069,727.68186,
2819.158,714.38239,
2816.248,693.59026,
2813.337,725.15062,
2810.427,716.01481,
2807.516,715.25813,
2804.605,711.66827,
2801.695,732.07239,
2798.784,729.586,
2795.874,732.76484,
2792.963,721.48181,
2790.052,686.63079,
2787.142,721.16435,
2784.231,703.36724,
2781.321,717.75072,
2778.410,722.52982,
2775.500,712.83949,
2772.589,732.47057,
2769.678,730.12326,
2766.768,731.94344,
2763.857,736.73097,
2760.947,746.65022,
2758.036,765.02636,
2755.126,750.91346,
2752.215,738.30675,
2749.304,744.96492,
2746.394,750.10684,
2743.483,769.37494,
2740.573,761.99439,
2737.662,748.85872,
2734.751,757.74149,
2731.841,771.11218,
2728.930,778.13358,
2726.020,761.51273,
2723.109,757.96525,
2720.199,779.40938,
2717.288,781.88778,
2714.377,790.72074,
2711.467,801.39533,
2708.556,806.01868,
2705.646,808.69544,
2702.735,815.27963,
2699.825,809.98321,
2696.914,820.67273,
2694.003,808.72582,
2691.093,799.0534,
2688.182,803.78945,
2685.272,828.43012,
2682.361,812.26037,
2679.450,819.24224,
2676.540,819.60468,
2673.629,826.25725,
2670.719,830.06307,
2667.808,829.33319,
2664.898,816.32636,
2661.987,820.55849,
2659.076,829.24353,
2656.166,846.56009,
2653.255,853.17603,
2650.345,863.27291,
2647.434,862.02483,
2644.524,857.16937,
2641.613,869.91098,
2638.702,864.78281,
2635.792,881.68582,
2632.881,885.38706,
2629.971,886.4774,
2627.060,871.95688,
2624.149,876.73438,
2621.239,866.37055,
2618.328,893.54023,
2615.418,894.61137,
2612.507,896.28114,
2609.597,914.51322,
2606.686,912.50852,
2603.775,911.14882,
2600.865,941.97318,
2597.954,907.15205,
2595.044,929.8491,
2592.133,939.33822,
2589.223,941.21554,
2586.312,937.57477,
2583.401,939.74548,
2580.491,945.91349,
2577.580,933.66296,
2574.670,965.20385,
2571.759,972.76114,
2568.848,960.625,
2565.938,982.14884,
2563.027,967.37961,
2560.117,955.98015,
2557.206,987.65083,
2554.296,976.36413,
2551.385,971.13711,
2548.474,983.21756,
2545.564,989.40341,
2542.653,995.08809,
2539.743,992.67429,
2536.832,1011.2792,
2533.922,970.16115,
2531.011,1005.8248,
2528.100,1014.8236,
2525.190,1009.7193,
2522.279,1028.625,
2519.369,1023.4932,
2516.458,1009.9572,
2513.548,1009.4341,
2510.637,1041.8583,
2507.726,1013.6771,
2504.816,1040.687,
2501.905,1007.5963,
2498.995,1025.8932,
2496.084,1008.7435,
2493.173,1043.2306,
2490.263,1037.4679,
2487.352,1054.8353,
2484.442,1078.6379,
2481.531,1065.992,
2478.621,1069.7672,
2475.710,1063.5867,
2472.799,1055.1721,
2469.889,1066.4394,
2466.978,1070.1406,
2464.068,1084.6515,
2461.157,1094.6576,
2458.247,1076.4486,
2455.336,1102.7718,
2452.425,1089.3372,
2449.515,1119.1344,
2446.604,1116.3301,
2443.694,1111.8108,
2440.783,1135.964,
2437.872,1120.9167,
2434.962,1130.9891,
2432.051,1143.9646,
2429.141,1144.931,
2426.230,1143.5598,
2423.320,1144.3813,
2420.409,1160.9587,
2417.498,1151.9593,
2414.588,1153.7277,
2411.677,1170.9119,
2408.767,1174.3248,
2405.856,1162.5631,
2402.946,1168.4168,
2400.035,1185.01,
2397.124,1208.0635,
2394.214,1197.4614,
2391.303,1180.8736,
2388.393,1192.5553,
2385.482,1205.2725,
2382.571,1230.1186,
2379.661,1225.1833,
2376.750,1224.7801,
2373.840,1228.1344,
2370.929,1234.5384,
2368.019,1268.3849,
2365.108,1247.858,
2362.197,1265.7237,
2359.287,1279.8267,
2356.376,1241.6919,
2353.466,1259.4435,
2350.555,1260.9452,
2347.645,1268.2568,
2344.734,1287.9015,
2341.823,1303.4592,
2338.913,1291.8294,
2336.002,1275.9288,
2333.092,1273.108,
2330.181,1295.8218,
2327.270,1311.35,
2324.360,1315.7759,
2321.449,1328.0093,
2318.539,1336.8819,
2315.628,1350.0199,
2312.718,1345.3254,
2309.807,1350.625,
2306.896,1352.8926,
2303.986,1355.7094,
2301.075,1356.1782,
2298.165,1358.0288,
2295.254,1332.1851,
2292.344,1324.3594,
2289.433,1338.9995,
2286.522,1364.5133,
2283.612,1393.8061,
2280.701,1412.7416,
2277.791,1403.2261,
2274.880,1412.0611,
2271.969,1397.4275,
2269.059,1417.7967,
2266.148,1420.7886,
2263.238,1450.1115,
2260.327,1453.7976,
2257.417,1469.3878,
2254.506,1458.511,
2251.595,1450.4759,
2248.685,1453.4154,
2245.774,1460.7348,
2242.864,1482.8195,
2239.953,1486.9905,
2237.043,1496.6904,
2234.132,1509.5808,
2231.221,1517.8886,
2228.311,1534.4124,
2225.400,1545.3154,
2222.490,1538.8955,
2219.579,1567.8821,
2216.669,1597.0797,
2213.758,1613.1479,
2210.847,1585.9953,
2207.937,1597.8106,
2205.026,1667.7373,
2202.116,1653.6685,
2199.205,1701.625,
2196.294,1727.4769,
2193.384,1748.3355,
2190.473,1752.9149,
2187.563,1805.9392,
2184.652,1868.667,
2181.742,1872.1041,
2178.831,1955.4307,
2175.920,2049.1004,
2173.010,2153.5564,
2170.099,2239.2188,
2167.189,2375.2564,
2164.278,2483.9014,
2161.368,2643.9063,
2158.457,2779.9531,
2155.546,2891.5164,
2152.636,3043.5077,
2149.725,3180.0075,
2146.815,3279.7886,
2143.904,3339.0376,
2140.993,3374.9794,
2138.083,3405.3909,
2135.172,3419.1964,
2132.262,3392.4745,
2129.351,3398.2389,
2126.441,3273.7508,
2123.530,3172.8741,
2120.619,2997.158,
2117.709,2821.7534,
2114.798,2640.0319,
2111.888,2467.5154,
2108.977,2311.8037,
2106.067,2214.6391,
2103.156,2139.0365,
2100.245,2027.588,
2097.335,1963.447,
2094.424,1911.264,
2091.514,1854.5416,
2088.603,1828.9292,
2085.692,1807.2571,
2082.782,1802.9864,
2079.871,1795.7674,
2076.961,1778.6582,
2074.050,1769.4008,
2071.140,1780.4414,
2068.229,1760.2578,
2065.318,1755.439,
2062.408,1740.1326,
2059.497,1759.4643,
2056.587,1736.4512,
2053.676,1742.857,
2050.766,1759.6243,
2047.855,1733.9985,
2044.944,1714.8862,
2042.034,1724.1741,
2039.123,1705.9449,
2036.213,1714.7962,
2033.302,1725.4511,
2030.391,1759.0478,
2027.481,1776.3933,
2024.570,1748.6543,
2021.660,1725.7485,
2018.749,1753.587,
2015.839,1753.2976,
2012.928,1763.8314,
2010.017,1775.5349,
2007.107,1755.3689,
2004.196,1754.1369,
2001.286,1744.3529,
1998.375,1748.063,
1995.465,1754.1982,
1992.554,1741.4781,
1989.643,1779.2079,
1986.733,1742.682,
1983.822,1697.255,
1980.912,1733.5257,
1978.001,1719.3115,
1975.090,1716.2342,
1972.180,1702.9708,
1969.269,1728.855,
1966.359,1738.4626,
1963.448,1730.086,
1960.538,1754.9703,
1957.627,1749.0337,
1954.716,1713.6304,
1951.806,1716.2211,
1948.895,1727.8801,
1945.985,1727.991,
1943.074,1728.3555,
1940.164,1727.8361,
1937.253,1690.0295,
1934.342,1688.1721,
1931.432,1704.5935,
1928.521,1709.378,
1925.611,1715.5535,
1922.700,1672.7217,
1919.790,1714.8845,
1916.879,1726.4158,
1913.968,1718.6348,
1911.058,1722.2947,
1908.147,1706.3329,
1905.237,1642.7501,
1902.326,1687.3168,
1899.415,1705.1701,
1896.505,1721.4081,
1893.594,1702.6371,
1890.684,1681.723,
1887.773,1722.7447,
1884.863,1712.3562,
1881.952,1709.4573,
1879.041,1731.2418,
1876.131,1712.8224,
1873.220,1712.8551,
1870.310,1734.9747,
1867.399,1751.3851,
1864.489,1724.0144,
1861.578,1731.1032,
1858.667,1700.9035,
1855.757,1683.3684,
1852.846,1737.0763,
1849.936,1715.5779,
1847.025,1742.2089,
1844.114,1771.2815,
1841.204,1775.7019,
1838.293,1786.0876,
1835.383,1780.7535,
1832.472,1764.7415,
1829.562,1781.7622,
1826.651,1815.9761,
1823.740,1823.5292,
1820.830,1800.0185,
1817.919,1806.655,
1815.009,1793.3566,
1812.098,1807.6801,
1809.188,1803.0591,
1806.277,1813.3815,
1803.366,1848.2424,
1800.456,1826.2295,
1797.545,1836.4406,
1794.635,1839.7851,
1791.724,1878.9162,
1788.813,1901.0255,
1785.903,1896.2936,
1782.992,1884.2092,
1780.082,1891.6581,
1777.171,1852.6239,
1774.261,1872.3505,
1771.350,1936.9743,
1768.439,1946.2383,
1765.529,1919.263,
1762.618,1944.6019,
1759.708,1970.3316,
1756.797,1968.8674,
1753.887,1968.0871,
1750.976,1985.2389,
1748.065,1997.5405,
1745.155,2007.0121,
1742.244,2011.9493,
1739.334,1992.0838,
1736.423,2033.496,
1733.512,2063.3567,
1730.602,2065.877,
1727.691,2062.5544,
1724.781,2071.8505,
1721.870,2100.3775,
1718.960,2114.8473,
1716.049,2169.4804,
1713.138,2151.4101,
1710.228,2131.83,
1707.317,2158.8159,
1704.407,2201.2561,
1701.496,2207.4481,
1698.586,2210.397,
1695.675,2192.8465,
1692.764,2254.1086,
1689.854,2212.6604,
1686.943,2284.0619,
1684.033,2285.6498,
1681.122,2338.7074,
1678.211,2346.5584,
1675.301,2471.2396,
1672.390,2456.6459,
1669.480,2464.4352,
1666.569,2564.79,
1663.659,2578.8826,
1660.748,2656.8424,
1657.837,2770.4342,
1654.927,2806.3204,
1652.016,2794.1353,
1649.106,2816.1918,
1646.195,2881.0466,
1643.285,2981.5163,
1640.374,3064.2975,
1637.463,3143.814,
1634.553,3210.4722,
1631.642,3335.3623,
1628.732,3493.9687,
1625.821,3551.7944,
1622.911,3809.1655,
1620.000,3997.2438,
1617.089,4272.0926,
1614.179,4482.6746,
1611.268,4711.0369,
1608.358,4978.8891,
1605.447,5067.0542,
1602.536,5143.3803,
1599.626,5250.7375,
1596.715,5178.8485,
1593.805,5128.5914,
1590.894,5118.341,
1587.984,5125.4198,
1585.073,5100.2497,
1582.162,5083.1017,
1579.252,4978.3374,
1576.341,5001.2856,
1573.431,4951.5374,
1570.520,4948.3838,
1567.610,4893.0162,
1564.699,4921.927,
1561.788,4815.2741,
1558.878,4734.6317,
1555.967,4610.6333,
1553.057,4520.4529,
1550.146,4478.8869,
1547.235,4405.5924,
1544.325,4325.6033,
1541.414,4242.6994,
1538.504,4169.3659,
1535.593,4120.7139,
1532.683,4037.4444,
1529.772,3965.7625,
1526.861,3938.876,
1523.951,3868.571,
1521.040,3795.7836,
1518.130,3743.4225,
1515.219,3709.3049,
1512.309,3705.2015,
1509.398,3677.4767,
1506.487,3666.9086,
1503.577,3647.1304,
1500.666,3602.5058,
1497.756,3591.5654,
1494.845,3564.2237,
1491.934,3506.3226,
1489.024,3413.9233,
1486.113,3431.0237,
1483.203,3395.322,
1480.292,3369.4122,
1477.382,3333.2951,
1474.471,3350.1811,
1471.560,3266.9167,
1468.650,3222.3759,
1465.739,3188.1625,
1462.829,3174.0123,
1459.918,3164.5752,
1457.008,3171.8714,
1454.097,3199.6411,
1451.186,3220.6946,
1448.276,3221.4008,
1445.365,3205.625,
1442.455,3203.1651,
1439.544,3187.8756,
1436.633,3166.3638,
1433.723,3205.2572,
1430.812,3185.0048,
1427.902,3138.9711,
1424.991,3111.4859,
1422.081,3104.2027,
1419.170,3088.0719,
1416.259,3008.669,
1413.349,3030.6528,
1410.438,3023.3314,
1407.528,3047.4558,
1404.617,3062.1022,
1401.707,3015.6399,
1398.796,3037.9885,
1395.885,3104.1447,
1392.975,3109.1254,
1390.064,3125.5079,
1387.154,3118.9796,
1384.243,3087.6934,
1381.332,3081.5929,
1378.422,3152.2428,
1375.511,3280.5818,
1372.601,3471.5469,
1369.690,3481.6244,
1366.780,3472.7046,
1363.869,3527.2902,
1360.958,3621.2488,
1358.048,3694.2237,
1355.137,3761.7311,
1352.227,3850.9521,
1349.316,3925.0117,
1346.406,3960.0782,
1343.495,4018.5136,
1340.584,4116.0535,
1337.674,4131.3083,
1334.763,4206.7654,
1331.853,4289.289,
1328.942,4313.0827,
1326.032,4378.4278,
1323.121,4416.3359,
1320.210,4467.2439,
1317.300,4502.7906,
1314.389,4565.5566,
1311.479,4667.178,
1308.568,4765.593,
1305.657,4839.4825,
1302.747,4908.7075,
1299.836,5015.6791,
1296.926,5050.6071,
1294.015,5179.3124,
1291.105,5380.9858,
1288.194,5502.6754,
1285.283,5609.6814,
1282.373,5741.3434,
1279.462,5879.3293,
1276.552,5954.4518,
1273.641,6003.3449,
1270.731,6061.0384,
1267.820,6047.0018,
1264.909,6040.8774,
1261.999,6012.0605,
1259.088,5969.1908,
1256.178,5827.8791,
1253.267,5723.3023,
1250.356,5607.1957,
1247.446,5440.4123,
1244.535,5273.3484,
1241.625,5139.9511,
1238.714,5001.3526,
1235.804,4840.6883,
1232.893,4741.9008,
1229.982,4623.5211,
1227.072,4590.9299,
1224.161,4475.157,
1221.251,4376.196,
1218.340,4306.2216,
1215.430,4244.0875,
1212.519,4190.8925,
1209.608,4165.6881,
