,PL3CFB~1,
Raman shift [1/cm],Intensity,
3014.167,0.375,
3011.256,0.62494632,
3008.346,320.73358,
3005.435,379.60822,
3002.525,378.69491,
2999.614,404.22696,
2996.704,424.95953,
2993.793,418.48042,
2990.882,435.63453,
2987.972,436.41536,
2985.061,458.56221,
2982.151,492.22711,
2979.240,503.80655,
2976.329,517.13183,
2973.419,522.40555,
2970.508,537.54163,
2967.598,548.28303,
2964.687,559.68886,
2961.777,593.14465,
2958.866,581.04365,
2955.955,620.87052,
2953.045,614.79561,
2950.134,654.29048,
2947.224,647.74509,
2944.313,672.50962,
2941.403,686.50593,
2938.492,702.78963,
2935.581,709.75657,
2932.671,719.375,
2929.760,733.80964,
2926.850,719.83816,
2923.939,754.01519,
2921.028,759.53977,
2918.118,757.29439,
2915.207,760.02699,
2912.297,768.36231,
2909.386,788.36041,
2906.476,786.40589,
2903.565,785.79426,
2900.654,781.86945,
2897.744,768.36243,
2894.833,766.96264,
2891.923,786.64751,
2889.012,747.0802,
2886.102,757.375,
2883.191,772.36084,
2880.280,734.09748,
2877.370,686.7007,
2874.459,689.84048,
2871.549,737.58597,
2868.638,801.65126,
2865.727,788.08653,
2862.817,779.71726,
2859.906,810.32372,
2856.996,805.32518,
2854.085,795.24891,
2851.175,821.9684,
2848.264,799.53167,
2845.353,787.1809,
2842.443,789.95481,
2839.532,783.31544,
2836.622,790.43685,
2833.711,793.21958,
2830.801,784.97941,
2827.890,795.74912,
2824.979,798.43695,
2822.069,795.39774,
2819.158,795.09467,
2816.248,793.61632,
2813.337,811.63233,
2810.427,800.05956,
2807.516,804.22406,
2804.605,804.21395,
2801.695,818.73028,
2798.784,821.59677,
2795.874,812.9502,
2792.963,816.4466,
2790.052,763.38723,
2787.142,793.12512,
2784.231,797.56911,
2781.321,772.6893,
2778.410,791.48411,
2775.500,799.88707,
2772.589,798.49044,
2769.678,811.4432,
2766.768,824.56335,
2763.857,818.375,
2760.947,815.85924,
2758.036,828.6235,
2755.126,836.80449,
2752.215,845.01149,
2749.304,853.5027,
2746.394,847.01007,
2743.483,843.32503,
2740.573,836.60066,
2737.662,866.34394,
2734.751,857.09813,
2731.841,852.99587,
2728.930,845.88358,
2726.020,855.40104,
2723.109,873.60183,
2720.199,869.08128,
2717.288,881.77647,
2714.377,887.6668,
2711.467,882.04644,
2708.556,898.25837,
2705.646,901.27645,
2702.735,907.86726,
2699.825,900.86409,
2696.914,907.85137,
2694.003,902.67745,
2691.093,895.98269,
2688.182,906.55648,
2685.272,910.10046,
2682.361,911.5333,
2679.450,919.38741,
2676.540,917.61889,
2673.629,930.03867,
2670.719,915.95909,
2667.808,934.0132,
2664.898,945.55691,
2661.987,936.97493,
2659.076,916.04527,
2656.166,946.6478,
2653.255,932.74405,
2650.345,964.60005,
2647.434,974.97517,
2644.524,977.12798,
2641.613,960.77475,
2638.702,972.1225,
2635.792,984.71996,
2632.881,966.71443,
2629.971,966.48242,
2627.060,999.04499,
2624.149,972.375,
2621.239,990.41057,
2618.328,980.39229,
2615.418,1007.025,
2612.507,997.62012,
2609.597,992.8241,
2606.686,1015.375,
2603.775,1024.9782,
2600.865,1039.1975,
2597.954,1016.2375,
2595.044,1034.0358,
2592.133,1034.1521,
2589.223,1025.3508,
2586.312,1061.8624,
2583.401,1062.9663,
2580.491,1075.3606,
2577.580,1087.3024,
2574.670,1043.0983,
2571.759,1051.7337,
2568.848,1058.5518,
2565.938,1061.0893,
2563.027,1073.0113,
2560.117,1081.8516,
2557.206,1085.9359,
2554.296,1081.5169,
2551.385,1083.0691,
2548.474,1114.3014,
2545.564,1102.1031,
2542.653,1117.7005,
2539.743,1122.0414,
2536.832,1112.9058,
2533.922,1138.9965,
2531.011,1115.65,
2528.100,1122.7722,
2525.190,1143.3959,
2522.279,1146.9998,
2519.369,1140.5825,
2516.458,1137.2596,
2513.548,1121.857,
2510.637,1140.4528,
2507.726,1134.494,
2504.816,1161.9387,
2501.905,1147.4622,
2498.995,1158.4944,
2496.084,1162.2147,
2493.173,1182.4018,
2490.263,1171.4428,
2487.352,1189.3333,
2484.442,1184.9575,
2481.531,1182.6941,
2478.621,1187.6072,
2475.710,1180.5897,
2472.799,1215.0341,
2469.889,1210.652,
2466.978,1200.9728,
2464.068,1229.4015,
2461.157,1237.2951,
2458.247,1224.8015,
2455.336,1247.7977,
2452.425,1215.691,
2449.515,1238.0361,
2446.604,1270.3174,
2443.694,1258.4909,
2440.783,1250.5653,
2437.872,1289.6092,
2434.962,1271.2137,
2432.051,1275.3997,
2429.141,1267.2574,
2426.230,1277.4623,
2423.320,1307.8038,
2420.409,1287.2727,
2417.498,1288.9144,
2414.588,1318.0898,
2411.677,1314.7336,
2408.767,1317.7982,
2405.856,1306.3488,
2402.946,1335.2267,
2400.035,1337.1825,
2397.124,1309.9899,
2394.214,1349.8334,
2391.303,1338.2314,
2388.393,1355.7843,
2385.482,1350.9037,
2382.571,1343.3494,
2379.661,1359.3284,
2376.750,1379.7937,
2373.840,1388.9437,
2370.929,1373.5483,
2368.019,1395.7715,
2365.108,1410.4692,
2362.197,1408.5285,
2359.287,1415.375,
2356.376,1437.3363,
2353.466,1411.2824,
2350.555,1423.9196,
2347.645,1411.7035,
2344.734,1423.2552,
2341.823,1435.2092,
2338.913,1464.5332,
2336.002,1454.3415,
2333.092,1450.3637,
2330.181,1457.71,
2327.270,1494.5048,
2324.360,1485.2571,
2321.449,1494.1437,
2318.539,1485.3322,
2315.628,1495.929,
2312.718,1484.5931,
2309.807,1504.7849,
2306.896,1510.8789,
2303.986,1514.1153,
2301.075,1499.7155,
2298.165,1505.3368,
2295.254,1543.621,
2292.344,1547.4913,
2289.433,1516.46,
2286.522,1536.3214,
2283.612,1546.7959,
2280.701,1562.7606,
2277.791,1573.5754,
2274.880,1575.3791,
2271.969,1565.1487,
2269.059,1604.9173,
2266.148,1619.3249,
2263.238,1619.6723,
2260.327,1606.4099,
2257.417,1642.1561,
2254.506,1631.4434,
2251.595,1652.9349,
2248.685,1631.4405,
2245.774,1633.8913,
2242.864,1673.2728,
2239.953,1660.5611,
