,PL469F~1,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,0.3248819,
3008.346,281.47903,
3005.435,346.87677,
3002.525,381.52768,
2999.614,372.9893,
2996.704,380.01211,
2993.793,396.87039,
2990.882,407.15359,
2987.972,433.46581,
2985.061,450.4883,
2982.151,447.61365,
2979.240,463.85693,
2976.329,473.6291,
2973.419,490.45202,
2970.508,499.32493,
2967.598,511.70954,
2964.687,529.83696,
2961.777,548.71694,
2958.866,562.71081,
2955.955,562.41039,
2953.045,595.62331,
2950.134,591.2584,
2947.224,606.17213,
2944.313,636.52101,
2941.403,660.36359,
2938.492,673.52405,
2935.581,669.33207,
2932.671,688.89431,
2929.760,680.02884,
2926.850,705.70282,
2923.939,689.52916,
2921.028,712.45738,
2918.118,741.69238,
2915.207,725.08392,
2912.297,742.31576,
2909.386,754.77646,
2906.476,740.0576,
2903.565,725.53648,
2900.654,726.04537,
2897.744,723.16127,
2894.833,712.56045,
2891.923,714.8878,
2889.012,734.20737,
2886.102,712.00476,
2883.191,718.35329,
2880.280,694.19797,
2877.370,663.33439,
2874.459,647.23691,
2871.549,709.7831,
2868.638,748.15024,
2865.727,753.11345,
2862.817,745.26004,
2859.906,775.12144,
2856.996,759.40217,
2854.085,749.85399,
2851.175,752.42318,
2848.264,748.95334,
2845.353,755.28873,
2842.443,740.9931,
2839.532,743.22564,
2836.622,736.48699,
2833.711,717.61836,
2830.801,738.57647,
2827.890,723.60755,
2824.979,730.10307,
2822.069,753.61381,
2819.158,767.15397,
2816.248,747.15684,
2813.337,756.76647,
2810.427,748.80199,
2807.516,733.75657,
2804.605,757.43991,
2801.695,756.92761,
2798.784,732.55777,
2795.874,753.36443,
2792.963,747.30319,
2790.052,751.37221,
2787.142,747.62488,
2784.231,738.21351,
2781.321,752.375,
2778.410,745.32044,
2775.500,739.97017,
2772.589,762.95222,
2769.678,765.05419,
2766.768,780.23134,
2763.857,777.27288,
2760.947,799.34978,
2758.036,786.90361,
2755.126,799.42414,
2752.215,788.9931,
2749.304,782.5027,
2746.394,767.33868,
2743.483,777.825,
2740.573,796.00561,
2737.662,807.8972,
2734.751,785.375,
2731.841,792.51053,
2728.930,819.06588,
2726.020,800.38542,
2723.109,820.78717,
2720.199,815.375,
2717.288,823.53194,
2714.377,827.76254,
2711.467,840.71896,
2708.556,855.93879,
2705.646,836.24818,
2702.735,827.24358,
2699.825,865.77684,
2696.914,875.23228,
2694.003,857.43028,
2691.093,864.67826,
2688.182,844.91944,
2685.272,867.4632,
2682.361,848.13373,
2679.450,848.83592,
2676.540,855.67986,
2673.629,873.02969,
2670.719,881.58665,
2667.808,859.59089,
2664.898,873.55691,
2661.987,875.17513,
2659.076,883.86638,
2656.166,869.45717,
2653.255,900.40732,
2650.345,907.10277,
2647.434,928.97431,
2644.524,912.64123,
2641.613,912.97462,
2638.702,906.375,
2635.792,923.43582,
2632.881,919.05386,
2629.971,913.35491,
2627.060,912.70688,
2624.149,913.35002,
2621.239,901.87796,
2618.328,945.73919,
2615.418,924.73863,
2612.507,918.82161,
2609.597,920.65045,
2606.686,937.60796,
2603.775,963.85516,
2600.865,981.19417,
2597.954,959.7104,
2595.044,968.35729,
2592.133,972.375,
2589.223,979.50764,
2586.312,984.22926,
2583.401,989.27281,
2580.491,1004.1682,
2577.580,1014.3601,
2574.670,1001.5007,
