,PL4F15~1,
Raman shift [1/cm],Intensity,
3014.167,-0.875,
3011.256,-0.97502147,
3008.346,319.28164,
3005.435,408.0508,
3002.525,411.61493,
2999.614,431.31332,
2996.704,448.75386,
2993.793,433.45968,
2990.882,462.99524,
2987.972,462.23094,
2985.061,480.90825,
2982.151,507.18721,
2979.240,508.03848,
2976.329,550.67141,
2973.419,542.3096,
2970.508,560.39157,
2967.598,586.74267,
2964.687,582.46807,
2961.777,616.92873,
2958.866,630.79513,
2955.955,651.92585,
2953.045,658.79392,
2950.134,692.10463,
2947.224,691.23888,
2944.313,712.20335,
2941.403,742.68476,
2938.492,738.36888,
2935.581,738.14091,
2932.671,762.80309,
2929.760,757.93655,
2926.850,762.125,
2923.939,789.51747,
2921.028,793.54831,
2918.118,792.98268,
2915.207,800.61267,
2912.297,816.13769,
2909.386,818.73084,
2906.476,823.54354,
2903.565,831.77093,
2900.654,819.73673,
2897.744,817.62211,
2894.833,790.08354,
2891.923,807.9359,
2889.012,791.74928,
2886.102,797.74932,
2883.191,804.12122,
2880.280,760.5939,
2877.370,710.38677,
2874.459,709.88606,
2871.549,756.59916,
2868.638,822.40126,
2865.727,832.68265,
2862.817,850.58222,
2859.906,871.30164,
2856.996,854.63632,
2854.085,840.6817,
2851.175,843.33886,
2848.264,856.53699,
2845.353,823.75044,
2842.443,844.13893,
2839.532,820.48328,
2836.622,831.33854,
2833.711,821.822,
2830.801,820.61397,
2827.890,807.64774,
2824.979,833.81689,
2822.069,856.98853,
2819.158,853.48619,
2816.248,851.43579,
2813.337,856.37256,
2810.427,863.25723,
2807.516,866.85875,
2804.605,835.82453,
2801.695,857.51974,
2798.784,862.90323,
2795.874,851.54451,
2792.963,865.26798,
2790.052,833.13251,
2787.142,858.53273,
2784.231,836.15761,
2781.321,823.0679,
2778.410,847.08437,
2775.500,847.33949,
2772.589,877.08601,
2769.678,869.58916,
2766.768,852.26866,
2763.857,871.54504,
2760.947,880.23217,
2758.036,902.20783,
2755.126,886.49894,
2752.215,897.14763,
2749.304,897.97571,
2746.394,894.97176,
2743.483,895.92501,
2740.573,911.86844,
2737.662,887.97708,
2734.751,893.82842,
2731.841,918.125,
2728.930,911.22672,
2726.020,920.91609,
2723.109,939.99083,
2720.199,934.49682,
2717.288,919.74177,
2714.377,940.18273,
2711.467,953.33819,
2708.556,946.47616,
2705.646,945.66022,
2702.735,970.93684,
2699.825,957.46139,
2696.914,961.88681,
2694.003,964.9868,
2691.093,946.19718,
2688.182,973.76204,
2685.272,963.48773,
2682.361,954.15448,
2679.450,950.41718,
2676.540,959.28759,
2673.629,971.10704,
2670.719,969.49006,
2667.808,967.93046,
2664.898,982.22909,
2661.987,988.12533,
2659.076,988.03234,
2656.166,994.23757,
2653.255,1004.5638,
2650.345,1008.3646,
2647.434,1011.1827,
2644.524,1039.6886,
2641.613,1048.0678,
2638.702,1029.4091,
2635.792,1038.7192,
2632.881,1013.7623,
2629.971,1022.5547,
2627.060,1069.1306,
2624.149,1024.5844,
2621.239,1049.1724,
2618.328,1041.3793,
2615.418,1045.4659,
2612.507,1054.536,
2609.597,1047.5941,
2606.686,1069.9041,
2603.775,1082.248,
2600.865,1084.4799,
2597.954,1066.1374,
2595.044,1103.1516,
2592.133,1103.8512,
2589.223,1102.7755,
2586.312,1104.4214,
2583.401,1125.6359,
2580.491,1133.9182,
2577.580,1122.1118,
2574.670,1109.4205,
2571.759,1121.3476,
2568.848,1132.0697,
2565.938,1153.649,
2563.027,1143.6636,
2560.117,1133.4427,
2557.206,1117.7412,
2554.296,1143.8115,
2551.385,1140.1169,
2548.474,1137.4585,
2545.564,1171.112,
2542.653,1175.219,
2539.743,1194.5942,
2536.832,1188.8185,
2533.922,1186.7558,
2531.011,1221.7254,
2528.100,1193.5988,
2525.190,1198.8893,
2522.279,1217.9994,
2519.369,1199.0493,
2516.458,1202.0096,
2513.548,1207.643,
2510.637,1221.125,
2507.726,1214.5674,
2504.816,1210.8138,
2501.905,1222.3713,
2498.995,1228.9458,
2496.084,1235.3237,
2493.173,1241.7561,
2490.263,1241.2934,
2487.352,1236.7927,
2484.442,1258.1057,
2481.531,1271.0186,
2478.621,1264.5183,
2475.710,1286.2554,
2472.799,1302.8784,
2469.889,1293.3992,
2466.978,1295.6713,
2464.068,1294.3789,
2461.157,1312.585,
2458.247,1303.5661,
2455.336,1289.5731,
2452.425,1287.691,
2449.515,1323.493,
2446.604,1327.8877,
2443.694,1341.5905,
2440.783,1319.1667,
2437.872,1365.6664,
2434.962,1325.549,
2432.051,1338.1932,
2429.141,1363.9543,
2426.230,1346.5592,
2423.320,1375.7109,
2420.409,1377.5799,
2417.498,1387.1418,
2414.588,1373.3152,
2411.677,1385.5912,
2408.767,1393.5719,
2405.856,1392.7892,
2402.946,1413.2859,
2400.035,1443.0969,
2397.124,1425.6063,
2394.214,1435.9318,
2391.303,1417.81,
2388.393,1444.3227,
2385.482,1461.5081,
2382.571,1446.4284,
2379.661,1451.7995,
2376.750,1457.3318,
2373.840,1466.7719,
2370.929,1470.0817,
2368.019,1496.0887,
2365.108,1487.8711,
2362.197,1481.6675,
2359.287,1494.1166,
2356.376,1527.0686,
2353.466,1490.5188,
2350.555,1505.9505,
2347.645,1528.9012,
2344.734,1526.1849,
2341.823,1520.2079,
2338.913,1518.5653,
2336.002,1551.3617,
2333.092,1561.424,
2330.181,1568.9689,
2327.270,1585.4649,
2324.360,1569.6038,
2321.449,1585.9107,
2318.539,1588.8895,
2315.628,1611.6022,
2312.718,1581.962,
2309.807,1614.3299,
2306.896,1610.0702,
2303.986,1604.7875,
2301.075,1607.2314,
2298.165,1591.3364,
2295.254,1599.9096,
2292.344,1657.9176,
2289.433,1644.7814,
2286.522,1636.4777,
2283.612,1656.6569,
2280.701,1688.0308,
2277.791,1688.0467,
2274.880,1706.0591,
2271.969,1693.446,
2269.059,1709.4138,
2266.148,1703.8045,
2263.238,1720.6153,
2260.327,1734.9871,
2257.417,1734.0739,
2254.506,1737.125,
2251.595,1760.5321,
2248.685,1761.1847,
2245.774,1763.2348,
2242.864,1742.9953,
2239.953,1759.5591,
2237.043,1810.4357,
2234.132,1789.3718,
2231.221,1776.466,
2228.311,1826.0553,
2225.400,1817.9975,
2222.490,1853.6952,
2219.579,1882.2278,
2216.669,1886.6417,
2213.758,1900.7368,
2210.847,1948.0091,
2207.937,1937.9394,
2205.026,1966.7909,
2202.116,1989.6982,
2199.205,2002.7869,
2196.294,2036.4809,
2193.384,2077.282,
2190.473,2102.5687,
2187.563,2169.0573,
2184.652,2174.5539,
2181.742,2293.8762,
2178.831,2369.4482,
2175.920,2478.6751,
2173.010,2611.358,
2170.099,2783.5764,
2167.189,2908.5386,
2164.278,3125.6949,
2161.368,3300.5476,
2158.457,3516.8993,
2155.546,3708.152,
2152.636,3842.045,
2149.725,3991.3061,
2146.815,4163.9528,
2143.904,4222.6417,
2140.993,4250.0881,
2138.083,4233.3863,
2135.172,4240.9483,
2132.262,4182.7227,
2129.351,4143.9386,
2126.441,4020.2703,
2123.530,3887.8129,
2120.619,3657.0161,
2117.709,3435.9696,
2114.798,3236.409,
2111.888,3032.8425,
2108.977,2868.1779,
2106.067,2683.6911,
2103.156,2584.0946,
2100.245,2509.0547,
2097.335,2393.0308,
2094.424,2344.4557,
2091.514,2286.9127,
2088.603,2287.2771,
2085.692,2259.8909,
2082.782,2228.9885,
2079.871,2221.4821,
2076.961,2225.8021,
2074.050,2222.0402,
2071.140,2176.4587,
2068.229,2145.8659,
2065.318,2136.0145,
2062.408,2154.5115,
2059.497,2124.8511,
2056.587,2115.7294,
2053.676,2078.8443,
2050.766,2082.9703,
2047.855,2081.6978,
2044.944,2070.8493,
2042.034,2094.888,
2039.123,2089.3641,
2036.213,2085.8739,
2033.302,2082.2556,
2030.391,2071.8369,
2027.481,2092.698,
2024.570,2090.8538,
2021.660,2094.7702,
2018.749,2133.6189,
2015.839,2140.3409,
2012.928,2105.1938,
2010.017,2116.9947,
2007.107,2136.7549,
2004.196,2131.6964,
2001.286,2120.7716,
1998.375,2087.5482,
1995.465,2069.5518,
1992.554,2063.8662,
1989.643,2088.2263,
1986.733,2107.9145,
1983.822,2059.3067,
1980.912,2102.2928,
1978.001,2085.3959,
1975.090,2089.1632,
1972.180,2064.4708,
1969.269,2070.5417,
1966.359,2084.4223,
1963.448,2079.2809,
1960.538,2065.7639,
1957.627,2085.416,
1954.716,2075.4984,
1951.806,2077.1379,
1948.895,2046.3941,
1945.985,2089.7933,
1943.074,2067.6489,
1940.164,2073.7692,
1937.253,2052.895,
1934.342,2035.7063,
1931.432,2048.5887,
1928.521,2016.0576,
1925.611,2010.8197,
1922.700,2024.0394,
1919.790,2005.4547,
1916.879,2030.0325,
1913.968,2035.1213,
1911.058,2052.6805,
1908.147,2013.3425,
1905.237,2004.559,
1902.326,2073.2376,
1899.415,2035.0884,
1896.505,2068.8116,
1893.594,2047.2165,
1890.684,2047.674,
1887.773,2056.0559,
1884.863,2057.2981,
1881.952,2050.2425,
1879.041,2070.8197,
1876.131,2052.0649,
1873.220,2055.7135,
1870.310,2030.2058,
1867.399,2032.061,
1864.489,2044.1639,
1861.578,2047.5534,
1858.667,2072.4454,
1855.757,2077.7336,
1852.846,2073.6532,
1849.936,2081.9628,
1847.025,2087.468,
1844.114,2124.4803,
1841.204,2108.1635,
1838.293,2110.1117,
1835.383,2118.125,
1832.472,2121.6833,
1829.562,2138.8175,
1826.651,2179.9463,
1823.740,2202.4047,
1820.830,2192.0068,
1817.919,2195.4544,
1815.009,2174.8629,
1812.098,2134.3219,
1809.188,2213.6054,
1806.277,2146.7628,
1803.366,2214.6925,
1800.456,2191.4332,
1797.545,2230.2953,
1794.635,2229.4781,
1791.724,2276.6493,
1788.813,2259.3188,
1785.903,2251.8497,
1782.992,2270.274,
1780.082,2214.92,
1777.171,2220.4628,
1774.261,2234.5699,
1771.350,2251.0998,
1768.439,2306.5325,
1765.529,2356.7649,
1762.618,2379.125,
1759.708,2367.8858,
1756.797,2349.0568,
1753.887,2350.5871,
1750.976,2380.7114,
1748.065,2379.9207,
1745.155,2378.0669,
1742.244,2402.327,
1739.334,2399.8003,
1736.423,2449.2352,
1733.512,2426.2834,
1730.602,2438.2977,
1727.691,2432.0041,
1724.781,2439.7102,
1721.870,2493.0205,
1718.960,2519.1029,
1716.049,2562.3958,
1713.138,2553.8801,
1710.228,2555.4765,
1707.317,2591.5079,
1704.407,2635.6545,
1701.496,2645.5943,
1698.586,2650.7449,
1695.675,2671.7106,
1692.764,2667.4447,
1689.854,2671.9085,
1686.943,2751.3595,
1684.033,2779.4793,
1681.122,2721.1445,
1678.211,2827.0971,
1675.301,2925.8228,
1672.390,2920.2327,
1669.480,2956.871,
1666.569,3050.1534,
1663.659,3130.6476,
1660.748,3162.877,
1657.837,3202.2404,
1654.927,3252.9684,
1652.016,3290.968,
1649.106,3405.6146,
1646.195,3426.7314,
1643.285,3493.1048,
1640.374,3537.571,
1637.463,3653.7643,
1634.553,3745.5042,
1631.642,3905.4388,
1628.732,4026.3279,
1625.821,4228.2552,
1622.911,4426.0036,
1620.000,4583.1344,
1617.089,4911.4981,
1614.179,5174.6799,
1611.268,5400.6856,
1608.358,5621.6834,
1605.447,5818.8122,
1602.536,5968.9762,
1599.626,5996.6037,
1596.715,6027.1682,
1593.805,5945.1635,
1590.894,5895.4948,
1587.984,5849.4187,
1585.073,5829.5119,
1582.162,5841.3181,
1579.252,5759.84,
1576.341,5740.3239,
1573.431,5693.1346,
1570.520,5681.6538,
1567.610,5673.9288,
1564.699,5581.9463,
1561.788,5499.5339,
1558.878,5438.1592,
1555.967,5348.4339,
1553.057,5255.3497,
1550.146,5169.0451,
1547.235,5110.3313,
1544.325,5018.4748,
1541.414,4933.042,
1538.504,4863.3966,
1535.593,4799.1877,
1532.683,4755.0741,
1529.772,4660.1261,
1526.861,4584.8158,
1523.951,4568.2439,
1521.040,4474.4045,
1518.130,4410.0384,
1515.219,4366.5661,
1512.309,4323.179,
1509.398,4303.836,
1506.487,4296.7708,
1503.577,4287.3006,
1500.666,4285.171,
1497.756,4217.3288,
1494.845,4251.3224,
1491.934,4135.9801,
1489.024,4091.7054,
1486.113,4053.9636,
1483.203,4035.138,
1480.292,4059.4289,
1477.382,3958.2445,
1474.471,3890.1518,
1471.560,3931.55,
1468.650,3885.8475,
1465.739,3819.898,
1462.829,3821.6104,
1459.918,3815.6828,
1457.008,3840.7563,
1454.097,3824.2796,
1451.186,3763.5312,
1448.276,3807.284,
1445.365,3853.3722,
1442.455,3824.4981,
1439.544,3833.6572,
1436.633,3820.0565,
1433.723,3784.4105,
1430.812,3703.0116,
1427.902,3712.9524,
1424.991,3663.6688,
1422.081,3649.2803,
1419.170,3604.922,
1416.259,3611.8961,
1413.349,3584.9154,
1410.438,3577.9241,
1407.528,3593.9311,
1404.617,3611.5191,
1401.707,3649.3915,
1398.796,3660.132,
1395.885,3687.0112,
1392.975,3737.6036,
1390.064,3691.112,
1387.154,3646.3963,
1384.243,3649.1925,
1381.332,3624.6262,
1378.422,3736.0233,
1375.511,3792.2302,
1372.601,3979.2822,
1369.690,4062.8456,
1366.780,4190.5542,
1363.869,4245.8252,
1360.958,4274.9315,
1358.048,4373.5285,
1355.137,4453.5753,
1352.227,4490.7983,
1349.316,4573.227,
1346.406,4720.0887,
1343.495,4834.1285,
1340.584,4847.0167,
1337.674,4926.5571,
1334.763,4981.5717,
1331.853,5019.5882,
1328.942,5129.6396,
1326.032,5202.6653,
1323.121,5254.6552,
1320.210,5341.3763,
1317.300,5402.9147,
1314.389,5478.1956,
1311.479,5568.95,
1308.568,5637.3948,
1305.657,5705.5017,
1302.747,5811.4864,
1299.836,5957.99,
1296.926,6068.2697,
1294.015,6157.4441,
1291.105,6327.5474,
1288.194,6451.5654,
1285.283,6566.6254,
1282.373,6738.1792,
1279.462,6881.9081,
1276.552,6948.5975,
1273.641,6989.9382,
1270.731,7051.825,
1267.820,7088.9458,
1264.909,7046.74,
1261.999,7021.7921,
1259.088,7012.6709,
1256.178,6887.0824,
1253.267,6772.5272,
1250.356,6584.9703,
1247.446,6392.3663,
1244.535,6223.902,
1241.625,6046.9067,
1238.714,5881.8093,
1235.804,5767.4942,
1232.893,5611.0172,
1229.982,5531.0092,
1227.072,5468.5427,
1224.161,5345.614,
1221.251,5289.6221,
1218.340,5249.6213,
1215.430,5133.9276,
1212.519,5059.8219,
1209.608,5066.9987,
1206.698,5052.4013,
1203.787,5035.7683,
1200.877,5114.735,
1197.966,5108.4408,
1195.055,5186.6239,
1192.145,5352.6477,
1189.234,5433.6182,
1186.324,5518.8589,
1183.413,5590.257,
1180.503,5589.9132,
1177.592,5546.9228,
1174.681,5511.2141,
1171.771,5428.2802,
1168.860,5391.6635,
1165.950,5292.1766,
1163.039,5262.8394,
1160.129,5197.6004,
1157.218,5162.7782,
1154.307,5149.4925,
1151.397,5091.5741,
1148.486,5030.5803,
1145.576,4995.0004,
1142.665,4899.9937,
1139.754,4941.7564,
1136.844,4863.4862,
1133.933,4767.6474,
1131.023,4765.8369,
1128.112,4800.1977,
1125.202,4792.5791,
1122.291,4820.1277,
1119.380,4826.9171,
1116.470,4805.7364,
1113.559,4783.7938,
1110.649,4832.4772,
1107.738,4832.1908,
1104.828,4832.5071,
1101.917,4845.343,
1099.006,4801.2897,
1096.096,4845.201,
1093.185,4781.1068,
1090.275,4797.166,
1087.364,4792.5193,
1084.453,4777.4382,
1081.543,4754.6637,
1078.632,4761.5099,
