,PL5C1E~1,
Raman shift [1/cm],Intensity,
3014.167,2.5,
3011.256,-0.10012884,
3008.346,295.08953,
3005.435,339.65548,
3002.525,354.63255,
2999.614,374.69738,
2996.704,369.31443,
2993.793,377.86233,
2990.882,396.53812,
2987.972,400.60594,
2985.061,420.16995,
2982.151,435.23279,
2979.240,464.48576,
2976.329,468.7814,
2973.419,492.60757,
2970.508,504.2833,
2967.598,500.88233,
2964.687,500.38111,
2961.777,528.64568,
2958.866,536.15231,
2955.955,560.81194,
2953.045,556.10406,
2950.134,592.17057,
2947.224,591.61028,
2944.313,628.60114,
2941.403,651.83394,
2938.492,640.07453,
2935.581,654.17727,
2932.671,669.29394,
2929.760,664.16158,
2926.850,669.4406,
2923.939,679.77567,
2921.028,684.48225,
2918.118,726.15869,
2915.207,710.20247,
2912.297,708.49154,
2909.386,727.11313,
2906.476,710.73317,
2903.565,697.70963,
2900.654,714.40493,
2897.744,710.70116,
2894.833,717.428,
2891.923,708.5545,
2889.012,700.86416,
2886.102,703.27706,
2883.191,683.49811,
2880.280,678.75359,
2877.370,660.37214,
2874.459,664.61327,
2871.549,698.26345,
2868.638,737.50204,
2865.727,726.10386,
2862.817,728.05748,
2859.906,742.72792,
2856.996,745.99321,
2854.085,751.90127,
2851.175,759.99704,
2848.264,741.28917,
2845.353,723.6294,
2842.443,731.89582,
2839.532,732.39554,
2836.622,712.528,
2833.711,708.86265,
2830.801,701.11176,
2827.890,727.08039,
2824.979,721.48794,
2822.069,760.14746,
2819.158,726.83962,
2816.248,721.75289,
2813.337,746.9122,
2810.427,735.93388,
2807.516,748.44234,
2804.605,745.18749,
2801.695,743.17109,
2798.784,747.31315,
2795.874,741.51585,
2792.963,728.42862,
2790.052,736.4985,
2787.142,726.84192,
2784.231,725.95029,
2781.321,718.05998,
2778.410,713.57487,
2775.500,727.98793,
2772.589,738.26911,
2769.678,747.17572,
2766.768,757.8767,
2763.857,736.39788,
2760.947,759.48109,
2758.036,753.11144,
2755.126,777.26068,
2752.215,775.71358,
2749.304,774.9892,
2746.394,774.77015,
2743.483,797.64992,
2740.573,785.88484,
2737.662,761.9778,
2734.751,775.00985,
2731.841,796.04213,
2728.930,778.74174,
2726.020,763.51563,
2723.109,782.59267,
2720.199,787.22496,
2717.288,799.48176,
2714.377,794.05016,
2711.467,829.71319,
2708.556,818.15979,
2705.646,802.04927,
2702.735,810.67268,
2699.825,823.3473,
2696.914,837.78592,
2694.003,844.62845,
2691.093,839.69616,
2688.182,839.37333,
2685.272,842.89829,
2682.361,844.34716,
2679.450,840.91563,
2676.540,853.97157,
2673.629,831.81837,
2670.719,847.49261,
2667.808,827.76453,
2664.898,829.42218,
2661.987,848.43382,
2659.076,857.89871,
2656.166,858.7728,
2653.255,858.34525,
2650.345,867.87568,
2647.434,887.47199,
2644.524,900.77814,
2641.613,888.5,
2638.702,891.45266,
2635.792,897.21884,
2632.881,893.03577,
2629.971,874.79521,
2627.060,906.00031,
2624.149,899.36563,
2621.239,894.5,
2618.328,909.1609,
2615.418,913.11365,
2612.507,919.12457,
2609.597,916.67365,
2606.686,936.6044,
2603.775,918.57936,
2600.865,919.55803,
2597.954,932.97914,
2595.044,944.48229,
2592.133,952.16883,
2589.223,958.9579,
2586.312,963.11301,
2583.401,971.5839,
2580.491,953.77404,
2577.580,966.4835,
2574.670,962.31148,
2571.759,967.59076,
2568.848,963.61604,
2565.938,987.45245,
2563.027,984.08632,
2560.117,975.16351,
2557.206,982.48524,
2554.296,1015.0378,
2551.385,1002.2601,
2548.474,1003.648,
2545.564,998.53166,
2542.653,1009.2886,
2539.743,1017.6355,
2536.832,1026.1337,
2533.922,1022.4527,
2531.011,1023.8996,
2528.100,1036.5662,
2525.190,1014.5734,
2522.279,1023.7345,
2519.369,1029.1037,
2516.458,1041.063,
2513.548,1044.6455,
2510.637,1032.1148,
2507.726,1043.6859,
2504.816,1045.1246,
2501.905,1040.0652,
2498.995,1044.6347,
2496.084,1056.0609,
2493.173,1049.7897,
2490.263,1063.6797,
2487.352,1068.5417,
2484.442,1070.0696,
2481.531,1080.452,
2478.621,1114.6044,
2475.710,1101.27,
2472.799,1074.213,
2469.889,1104.3144,
2466.978,1113.7888,
2464.068,1146.807,
2461.157,1129.2651,
2458.247,1120.0295,
2455.336,1112.3747,
