,PL77CF~1,
Raman shift [1/cm],Intensity,
3014.167,1.25,
3011.256,0.25,
3008.346,184.55172,
3005.435,224.13693,
3002.525,236.04251,
2999.614,256.34869,
2996.704,248.88711,
2993.793,250.25922,
2990.882,252.853,
2987.972,265.21469,
2985.061,259.58005,
2982.151,283.26683,
2979.240,301.19962,
2976.329,307.75819,
2973.419,328.74268,
2970.508,317.56664,
2967.598,331.68012,
2964.687,334.9966,
2961.777,341.0279,
2958.866,331.56948,
2955.955,367.70352,
2953.045,375.04865,
2950.134,379.19755,
2947.224,388.59163,
2944.313,403.84544,
2941.403,419.5479,
2938.492,411.94105,
2935.581,411.8144,
2932.671,429.97104,
2929.760,432.57692,
2926.850,428.35451,
2923.939,439.89019,
2921.028,443.87358,
2918.118,460.92758,
2915.207,448.31338,
2912.297,472.16961,
2909.386,466.04562,
2906.476,475.5365,
2903.565,460.57297,
2900.654,464.64938,
2897.744,461.92312,
2894.833,441.61073,
2891.923,457.359,
2889.012,446.92052,
2886.102,431.22973,
2883.191,453.22734,
2880.280,420.89593,
2877.370,372.51177,
2874.459,366.29422,
2871.549,417.35549,
2868.638,457.02524,
2865.727,461.51155,
2862.817,453.33556,
2859.906,473.13604,
2856.996,469.26359,
2854.085,468.89076,
2851.175,478.05727,
2848.264,473.956,
2845.353,466.40097,
2842.443,469.65627,
2839.532,451.83217,
2836.622,458.31185,
2833.711,455.83555,
2830.801,456.34338,
2827.890,464.12059,
2824.979,464.71985,
2822.069,459.44333,
2819.158,476.63005,
2816.248,473.51447,
2813.337,503.41465,
2810.427,480.77204,
2807.516,476.04141,
2804.605,470.47596,
2801.695,472.42105,
2798.784,473.02823,
2795.874,477.52968,
2792.963,481.96426,
2790.052,469.25257,
2787.142,461.90808,
2784.231,459.96121,
2781.321,447.25576,
2778.410,463.07995,
2775.500,455.82552,
2772.589,488.25,
2769.678,482.68006,
2766.768,469.75679,
2763.857,494.19605,
2760.947,491.30043,
2758.036,478.07153,
2755.126,491.9124,
2752.215,497.39993,
2749.304,497.48381,
2746.394,494.76816,
2743.483,495.29997,
2740.573,504.68586,
2737.662,494.2707,
2734.751,513.2742,
2731.841,501.19505,
2728.930,503.0677,
2726.020,518.47454,
2723.109,525.5695,
2720.199,526.42487,
2717.288,530.56751,
2714.377,519.99164,
2711.467,530.80715,
2708.556,534.47358,
2705.646,535.85565,
2702.735,544.89947,
2699.825,521.4027,
2696.914,531.25048,
2694.003,534.22236,
2691.093,539.30414,
2688.182,550.43148,
2685.272,522.17034,
2682.361,526.76747,
2679.450,540.91253,
2676.540,538.49389,
2673.629,552.90469,
2670.719,541.54943,
2667.808,537.95819,
2664.898,553.31518,
2661.987,540.95003,
2659.076,562.32542,
2656.166,546.42749,
2653.255,553.9881,
2650.345,573.01044,
2647.434,580.02079,
2644.524,569.76325,
2641.613,577.53535,
2638.702,569.28156,
2635.792,581.06157,
2632.881,572.08361,
2629.971,561.99498,
2627.060,596.91937,
2624.149,582.59999,
2621.239,601.01927,
2618.328,579.84342,
2615.418,590.59545,
2612.507,598.28157,
2609.597,595.3518,
2606.686,613.69176,
2603.775,602.92857,
2600.865,599.77902,
2597.954,615.10626,
2595.044,615.55381,
2592.133,635.09089,
2589.223,619.17735,
2586.312,626.49619,
2583.401,642.25,
2580.491,629.90869,
2577.580,631.2434,
2574.670,636.10559,
2571.759,643.28511,
2568.848,619.54829,
2565.938,622.0594,
2563.027,646.93404,
2560.117,635.4649,
2557.206,637.52306,
2554.296,643.39188,
2551.385,641.44002,
2548.474,654.10205,
2545.564,666.9651,
2542.653,654.8708,
2539.743,665.18839,
2536.832,670.25,
2533.922,666.34462,
2531.011,668.40033,
2528.100,664.11413,
2525.190,676.36516,
2522.279,692.48449,
2519.369,698.75934,
2516.458,683.90369,
2513.548,665.2046,
2510.637,694.89738,
2507.726,679.55856,
2504.816,686.74943,
2501.905,694.6122,
2498.995,685.71253,
2496.084,682.15595,
2493.173,684.40761,
2490.263,702.77772,
2487.352,691.3752,
2484.442,696.52837,
2481.531,711.20204,
2478.621,713.87557,
2475.710,704.227,
2472.799,704.20961,
2469.889,716.15859,
2466.978,710.59029,
2464.068,707.25,
2461.157,731.36745,
2458.247,748.77951,
2455.336,749.69813,
2452.425,739.79245,
2449.515,732.78848,
2446.604,765.25,
2443.694,753.62168,
2440.783,745.25,
2437.872,760.03121,
2434.962,753.98733,
2432.051,754.71299,
2429.141,759.09702,
2426.230,777.07656,
2423.320,774.53632,
2420.409,756.05756,
2417.498,789.38767,
2414.588,779.72539,
2411.677,772.42929,
2408.767,776.49114,
2405.856,783.16186,
2402.946,791.19638,
2400.035,795.64437,
2397.124,795.23931,
2394.214,787.5744,
2391.303,785.03455,
2388.393,797.18027,
2385.482,811.80938,
2382.571,808.22438,
2379.661,807.4595,
2376.750,807.77205,
2373.840,807.91569,
2370.929,841.83847,
2368.019,839.29739,
2365.108,849.5301,
2362.197,836.26369,
2359.287,839.03997,
2356.376,868.20069,
2353.466,863.69011,
2350.555,860.75527,
2347.645,852.71228,
2344.734,858.16249,
2341.823,832.76408,
2338.913,887.63206,
2336.002,863.28352,
2333.092,866.69813,
2330.181,866.45974,
2327.270,881.2599,
2324.360,878.59432,
2321.449,889.83504,
2318.539,889.63225,
2315.628,892.61931,
2312.718,880.35131,
2309.807,910.86482,
2306.896,910.17956,
2303.986,888.03576,
2301.075,904.73932,
2298.165,889.70152,
2295.254,887.18537,
2292.344,917.09653,
2289.433,898.57045,
2286.522,903.97761,
2283.612,927.43114,
2280.701,944.63563,
2277.791,942.33015,
2274.880,947.45994,
2271.969,952.67387,
2269.059,948.95301,
2266.148,953.52045,
2263.238,962.24613,
2260.327,959.87077,
2257.417,963.98,
2254.506,963.19593,
2251.595,995.95174,
2248.685,990.78275,
2245.774,1008.6782,
2242.864,950.13027,
2239.953,974.97418,
2237.043,973.87392,
2234.132,998.56682,
2231.221,1015.9348,
2228.311,1023.4691,
2225.400,1043.2086,
2222.490,1013.9342,
2219.579,1036.7538,
2216.669,1027.2357,
2213.758,1057.6461,
2210.847,1077.8923,
2207.937,1092.6799,
2205.026,1069.9153,
2202.116,1108.561,
2199.205,1108.5378,
2196.294,1134.7219,
2193.384,1157.829,
2190.473,1159.8239,
2187.563,1172.5255,
2184.652,1233.3165,
2181.742,1269.2516,
2178.831,1325.3124,
2175.920,1361.913,
2173.010,1410.2035,
2170.099,1467.9787,
2167.189,1513.7953,
2164.278,1603.043,
2161.368,1690.392,
2158.457,1742.9874,
2155.546,1831.1722,
2152.636,1906.452,
2149.725,1983.505,
2146.815,2021.349,
2143.904,2090.3578,
2140.993,2107.1548,
2138.083,2118.1222,
2135.172,2152.7206,
2132.262,2135.596,
2129.351,2097.574,
2126.441,2062.7451,
2123.530,1958.0827,
2120.619,1845.6174,
2117.709,1762.3092,
2114.798,1665.6189,
2111.888,1571.2019,
2108.977,1476.846,
2106.067,1412.123,
2103.156,1354.6187,
2100.245,1295.2343,
2097.335,1266.7579,
2094.424,1228.3251,
2091.514,1191.8979,
2088.603,1209.2684,
2085.692,1212.7482,
2082.782,1201.1818,
2079.871,1187.5709,
2076.961,1179.6375,
2074.050,1177.9106,
2071.140,1171.4109,
2068.229,1171.9779,
2065.318,1160.533,
2062.408,1155.0684,
2059.497,1164.244,
2056.587,1160.8314,
2053.676,1143.9177,
2050.766,1133.7889,
2047.855,1109.3037,
2044.944,1143.7869,
2042.034,1136.146,
2039.123,1151.7719,
2036.213,1151.6766,
2033.302,1121.1849,
2030.391,1143.5882,
2027.481,1159.25,
2024.570,1143.2361,
2021.660,1176.944,
2018.749,1153.25,
2015.839,1149.6181,
2012.928,1126.0201,
2010.017,1130.769,
2007.107,1143.9248,
2004.196,1161.0953,
2001.286,1159.5398,
1998.375,1154.8169,
1995.465,1151.7438,
1992.554,1146.7441,
1989.643,1145.2846,
1986.733,1118.6412,
1983.822,1142.8268,
1980.912,1139.5668,
1978.001,1136.6229,
1975.090,1128.0775,
1972.180,1100.8378,
1969.269,1104.7616,
1966.359,1119.304,
1963.448,1097.0651,
1960.538,1102.2342,
1957.627,1128.4327,
1954.716,1099.198,
1951.806,1126.6907,
1948.895,1155.6528,
1945.985,1156.8758,
1943.074,1120.3239,
1940.164,1103.1345,
1937.253,1092.4021,
1934.342,1103.8227,
1931.432,1111.6727,
1928.521,1056.0514,
1925.611,1053.6393,
1922.700,1063.4586,
1919.790,1071.0014,
1916.879,1090.855,
1913.968,1053.298,
1911.058,1085.5053,
1908.147,1099.9288,
1905.237,1085.9927,
1902.326,1095.89,
1899.415,1046.0915,
1896.505,1072.9067,
1893.594,1074.6189,
1890.684,1052.3743,
1887.773,1071.8613,
1884.863,1096.1634,
1881.952,1083.9976,
1879.041,1108.5096,
1876.131,1110.1062,
1873.220,1107.3783,
1870.310,1077.546,
1867.399,1069.346,
1864.489,1065.4447,
1861.578,1069.5962,
1858.667,1070.732,
1855.757,1113.2536,
1852.846,1110.0038,
1849.936,1117.0868,
1847.025,1134.6004,
1844.114,1139.0076,
1841.204,1138.1731,
1838.293,1132.7791,
1835.383,1142.575,
1832.472,1154.5752,
1829.562,1128.0859,
1826.651,1144.6011,
1823.740,1194.3765,
1820.830,1153.4621,
1817.919,1155.1663,
1815.009,1159.25,
1812.098,1152.0689,
1809.188,1157.8159,
1806.277,1136.7369,
1803.366,1169.1003,
1800.456,1160.305,
1797.545,1161.8032,
