,PLAE2B~1,
Raman shift [1/cm],Intensity,
3014.167,0.375,
3011.256,-1.9250644,
3008.346,191.07092,
3005.435,233.10645,
3002.525,251.43261,
2999.614,263.85939,
2996.704,265.72963,
2993.793,263.87039,
2990.882,268.50476,
2987.972,286.34978,
2985.061,287.13855,
2982.151,300.53971,
2979.240,303.49001,
2976.329,319.13729,
2973.419,339.79066,
2970.508,341.94159,
2967.598,352.51837,
2964.687,356.33016,
2961.777,355.56302,
2958.866,356.37055,
2955.955,385.14046,
2953.045,381.74189,
2950.134,397.32255,
2947.224,413.06184,
2944.313,406.8693,
2941.403,428.01825,
2938.492,428.35331,
2935.581,426.82652,
2932.671,438.93292,
2929.760,443.87887,
2926.850,459.27049,
2923.939,444.13199,
2921.028,462.08096,
2918.118,463.13318,
2915.207,457.79284,
2912.297,481.30307,
2909.386,487.57208,
2906.476,478.31321,
2903.565,489.69797,
2900.654,475.42254,
2897.744,474.40014,
2894.833,478.84918,
2891.923,465.34609,
2889.012,464.33454,
2886.102,451.91825,
2883.191,472.35046,
2880.280,439.55203,
2877.370,415.47392,
2874.459,395.01038,
2871.549,447.40164,
2868.638,463.55645,
2865.727,505.52888,
2862.817,490.18917,
2859.906,504.26104,
2856.996,503.375,
2854.085,484.88967,
2851.175,517.13408,
2848.264,506.87016,
2845.353,478.54754,
2842.443,489.96873,
2839.532,487.61385,
2836.622,490.67839,
2833.711,476.5979,
2830.801,481.25956,
2827.890,477.375,
2824.979,485.72094,
2822.069,485.4546,
2819.158,498.07581,
2816.248,494.67421,
2813.337,493.50914,
2810.427,509.54442,
2807.516,508.11609,
2804.605,502.76202,
2801.695,493.58551,
2798.784,495.78362,
2795.874,494.78923,
2792.963,503.87489,
2790.052,487.378,
2787.142,513.36165,
2784.231,483.44023,
2781.321,476.0036,
2778.410,494.9194,
2775.500,505.31155,
2772.589,498.56842,
2769.678,507.02009,
2766.768,524.1595,
2763.857,519.217,
2760.947,525.41913,
2758.036,538.30497,
2755.126,531.61432,
2752.215,517.73851,
2749.304,538.03324,
2746.394,537.71779,
2743.483,524.77498,
2740.573,518.61611,
2737.662,533.02441,
2734.751,524.72446,
2731.841,541.64607,
2728.930,536.803,
2726.020,539.71701,
2723.109,536.62258,
2720.199,538.2188,
2717.288,545.60129,
2714.377,555.76254,
2711.467,553.52226,
2708.556,568.46005,
2705.646,561.92427,
2702.735,565.03995,
2699.825,557.01679,
2696.914,578.70913,
2694.003,563.86118,
2691.093,569.30399,
2688.182,584.95722,
2685.272,580.81739,
2682.361,576.34552,
2679.450,582.91408,
2676.540,548.51315,
2673.629,594.74724,
2670.719,575.44801,
2667.808,572.47227,
2664.898,575.89445,
2661.987,575.10829,
2659.076,587.34051,
2656.166,583.27969,
2653.255,593.67432,
2650.345,601.05558,
2647.434,597.23325,
2644.524,625.24784,
2641.613,604.375,
2638.702,602.40656,
2635.792,608.96922,
2632.881,604.22026,
2629.971,596.39509,
2627.060,635.87594,
2624.149,623.78126,
2621.239,625.88982,
2618.328,604.30752,
2615.418,624.71136,
2612.507,629.58051,
2609.597,629.74227,
2606.686,657.67418,
2603.775,640.45436,
2600.865,633.02345,
2597.954,664.32709,
2595.044,664.03576,
2592.133,664.15206,
2589.223,664.26658,
2586.312,668.62119,
2583.401,677.19249,
2580.491,679.99035,
2577.580,661.35685,
2574.670,658.40038,
2571.759,678.82449,
2568.848,656.97157,
2565.938,655.89856,
2563.027,678.3978,
2560.117,667.00118,
2557.206,680.41559,
2554.296,660.6885,
2551.385,666.57309,
2548.474,689.63448,
2545.564,702.12176,
2542.653,711.74413,
2539.743,704.77026,
2536.832,713.375,
2533.922,720.69038,
2531.011,737.07528,
2528.100,712.38192,
2525.190,711.02418,
2522.279,736.43704,
2519.369,714.05445,
2516.458,709.71069,
2513.548,722.89303,
2510.637,722.51424,
2507.726,722.17801,
2504.816,737.99844,
2501.905,742.17195,
2498.995,723.27078,
2496.084,736.14851,
2493.173,728.95381,
2490.263,732.55467,
2487.352,755.4986,
2484.442,739.64693,
2481.531,756.69409,
2478.621,755.46502,
2475.710,779.31366,
2472.799,770.88173,
2469.889,761.13399,
2466.978,766.08621,
2464.068,773.29035,
2461.157,778.75999,
2458.247,780.375,
2455.336,779.71551,
2452.425,787.39859,
2449.515,792.44154,
2446.604,811.20221,
2443.694,794.3281,
2440.783,803.37838,
2437.872,818.39045,
2434.962,793.95103,
2432.051,801.78864,
2429.141,811.7808,
2426.230,834.00599,
2423.320,843.27514,
2420.409,832.45843,
2417.498,835.74299,
2414.588,858.90725,
2411.677,836.05631,
2408.767,849.5689,
2405.856,838.18927,
2402.946,843.42862,
2400.035,837.18251,
2397.124,846.49799,
2394.214,853.753,
2391.303,851.98272,
2388.393,835.45868,
2385.482,859.96502,
2382.571,865.71687,
2379.661,869.07255,
2376.750,888.4784,
2373.840,887.31566,
2370.929,870.53745,
2368.019,898.90581,
2365.108,890.69961,
2362.197,906.94489,
2359.287,892.21511,
2356.376,906.34154,
2353.466,917.98117,
2350.555,919.1401,
2347.645,918.04653,
2344.734,917.52708,
2341.823,908.54083,
2338.913,922.73023,
2336.002,930.30796,
2333.092,930.80046,
2330.181,938.46447,
2327.270,953.76994,
2324.360,931.58489,
2321.449,939.69813,
2318.539,940.8857,
2315.628,952.53408,
2312.718,951.19218,
2309.807,963.85319,
2306.896,965.33587,
2303.986,964.2972,
2301.075,978.05587,
2298.165,962.60553,
2295.254,969.15957,
2292.344,972.42475,
2289.433,985.05455,
2286.522,977.59384,
2283.612,1004.6378,
2280.701,972.90873,
2277.791,978.21657,
2274.880,999.87297,
2271.969,1004.6013,
2269.059,1014.5467,
2266.148,1037.2364,
2263.238,1039.6762,
2260.327,1053.9612,
2257.417,1048.375,
2254.506,1045.1385,
2251.595,1050.6513,
2248.685,1044.3808,
2245.774,1079.9238,
2242.864,1054.2553,
2239.953,1077.5061,
2237.043,1061.6475,
2234.132,1068.3879,
2231.221,1067.4266,
2228.311,1082.5116,
2225.400,1114.4181,
2222.490,1095.1147,
2219.579,1143.4084,
2216.669,1128.3368,
2213.758,1146.8116,
