,PLC057~1,
Raman shift [1/cm],Intensity,
3014.167,-0.875,
3011.256,-0.32498926,
3008.346,244.56095,
3005.435,290.0508,
3002.525,307.88003,
2999.614,327.79771,
2996.704,331.4353,
2993.793,324.23042,
2990.882,339.68988,
2987.972,335.2713,
2985.061,365.8984,
2982.151,375.17038,
2979.240,391.64307,
2976.329,397.64957,
2973.419,418.66416,
2970.508,408.6249,
2967.598,424.08082,
2964.687,442.64742,
2961.777,455.71488,
2958.866,457.7981,
2955.955,470.37276,
2953.045,492.49189,
2950.134,514.74312,
2947.224,522.06806,
2944.313,523.72044,
2941.403,546.37545,
2938.492,543.27405,
2935.581,558.09798,
2932.671,554.64864,
2929.760,563.50191,
2926.850,566.49793,
2923.939,574.16707,
2921.028,579.45454,
2918.118,597.00662,
2915.207,596.58686,
2912.297,613.01499,
2909.386,617.90603,
2906.476,605.28793,
2903.565,605.02871,
2900.654,604.46574,
2897.744,624.08728,
2894.833,615.35191,
2891.923,590.09609,
2889.012,597.4198,
2886.102,591.35337,
2883.191,600.11934,
2880.280,565.55562,
2877.370,518.38677,
2874.459,517.59048,
2871.549,567.59916,
2868.638,604.76211,
2865.727,633.54043,
2862.817,620.95387,
2859.906,619.37856,
2856.996,629.62274,
2854.085,623.08297,
2851.175,647.69728,
2848.264,648.272,
2845.353,607.62104,
2842.443,622.13893,
2839.532,607.02054,
2836.622,611.40039,
2833.711,613.60693,
2830.801,614.01691,
2827.890,607.64774,
2824.979,625.47094,
2822.069,625.15912,
2819.158,627.74495,
2816.248,635.34316,
2813.337,625.73353,
2810.427,644.69112,
2807.516,633.86609,
2804.605,634.53365,
2801.695,623.67761,
2798.784,622.45969,
2795.874,630.82419,
2792.963,644.48213,
2790.052,616.13101,
2787.142,628.29619,
2784.231,616.86882,
2781.321,602.38221,
2778.410,630.6694,
2775.500,642.59328,
2772.589,637.58677,
2769.678,636.01922,
2766.768,639.05317,
2763.857,649.38704,
2760.947,640.62815,
2758.036,658.91492,
2755.126,646.40065,
2752.215,665.67945,
2749.304,660.8696,
2746.394,658.70162,
2743.483,663.17497,
2740.573,659.25328,
2737.662,687.78477,
2734.751,676.42607,
2731.841,673.80083,
2728.930,681.06556,
2726.020,696.4566,
2723.109,683.59942,
2720.199,700.89071,
2717.288,696.19435,
2714.377,704.73746,
2711.467,702.27226,
2708.556,721.38016,
2705.646,721.20949,
2702.735,727.125,
2699.825,732.50502,
2696.914,721.12452,
2694.003,726.58354,
2691.093,717.9108,
2688.182,725.47093,
2685.272,723.13354,
2682.361,702.88373,
2679.450,732.60638,
2676.540,723.98273,
2673.629,716.12949,
2670.719,731.46789,
2667.808,754.4441,
2664.898,723.82636,
2661.987,721.25836,
2659.076,744.81895,
2656.166,747.41506,
2653.255,737.86819,
2650.345,745.23752,
2647.434,761.98239,
2644.524,765.33361,
2641.613,766.41098,
2638.702,758.33015,
2635.792,757.21773,
2632.881,754.15495,
2629.971,743.50753,
2627.060,767.45813,
2624.149,775.09687,
2621.239,785.88241,
2618.328,791.7859,
2615.418,784.125,
2612.507,795.29492,
2609.597,802.125,
2606.686,796.51456,
2603.775,802.92659,
2600.865,805.06697,
2597.954,810.61034,
2595.044,837.81233,
2592.133,827.62176,
2589.223,825.01658,
2586.312,841.92903,
2583.401,843.75641,
2580.491,850.94712,
2577.580,851.06889,
2574.670,826.53407,
2571.759,836.81165,
2568.848,830.06425,
2565.938,828.45838,
2563.027,836.39536,
2560.117,849.05021,
2557.206,874.67112,
2554.296,858.89388,
2551.385,859.07511,
2548.474,859.75437,
2545.564,874.46023,
2542.653,885.43037,
2539.743,890.53258,
2536.832,878.49135,
2533.922,901.17231,
2531.011,897.80054,
2528.100,890.72085,
2525.190,905.44959,
2522.279,894.90565,
2519.369,878.27545,
2516.458,874.33109,
2513.548,883.63371,
2510.637,911.80131,
2507.726,911.82014,
2504.816,903.75184,
2501.905,912.69024,
2498.995,928.79596,
2496.084,902.85677,
2493.173,923.80911,
2490.263,906.76566,
2487.352,928.6258,
2484.442,937.56184,
2481.531,946.39612,
2478.621,956.28612,
2475.710,936.32436,
2472.799,957.93222,
2469.889,955.30508,
2466.978,935.09436,
2464.068,926.9557,
2461.157,979.04995,
2458.247,986.27205,
2455.336,990.40094,
2452.425,985.10141,
2449.515,990.2955,
2446.604,1014.4845,
2443.694,991.33385,
2440.783,993.46059,
2437.872,1015.2134,
2434.962,994.0144,
2432.051,1010.4153,
2429.141,1002.0429,
2426.230,998.86424,
2423.320,1035.2395,
2420.409,1021.343,
2417.498,1026.493,
2414.588,1036.5775,
2411.677,1028.0174,
2408.767,1029.6781,
2405.856,1045.4702,
2402.946,1050.8632,
2400.035,1042.2353,
2397.124,1042.6972,
2394.214,1052.2054,
2391.303,1061.1304,
2388.393,1045.7575,
2385.482,1075.3185,
2382.571,1082.9477,
2379.661,1086.3808,
2376.750,1098.4377,
2373.840,1098.7125,
2370.929,1102.06,
2368.019,1110.6921,
2365.108,1092.9156,
2362.197,1115.6265,
2359.287,1103.7801,
2356.376,1126.0739,
2353.466,1117.399,
2350.555,1111.1605,
2347.645,1130.5329,
2344.734,1132.4891,
2341.823,1146.8928,
2338.913,1128.8549,
2336.002,1145.3834,
2333.092,1150.8835,
2330.181,1159.8974,
2327.270,1168.685,
2324.360,1173.7807,
2321.449,1177.7271,
2318.539,1189.3146,
2315.628,1180.0071,
2312.718,1159.1602,
2309.807,1189.218,
2306.896,1195.3065,
2303.986,1187.3979,
2301.075,1196.9336,
2298.165,1184.9326,
2295.254,1204.6726,
2292.344,1219.7059,
2289.433,1212.7968,
2286.522,1215.6652,
2283.612,1209.5344,
2280.701,1245.0711,
2277.791,1229.686,
2274.880,1248.9029,
2271.969,1265.0962,
2269.059,1273.8825,
2266.148,1274.7227,
2263.238,1300.7118,
2260.327,1269.9527,
2257.417,1285.1578,
2254.506,1299.3387,
2251.595,1295.9868,
2248.685,1288.4423,
2245.774,1322.2673,
2242.864,1308.8283,
2239.953,1298.0904,
2237.043,1323.9561,
2234.132,1328.7328,
2231.221,1319.913,
2228.311,1310.6456,
2225.400,1362.0819,
2222.490,1394.011,
2219.579,1391.8602,
2216.669,1394.6369,
2213.758,1401.9093,
2210.847,1432.1124,
2207.937,1442.9214,
2205.026,1462.5696,
2202.116,1460.7471,
2199.205,1473.0746,
2196.294,1486.307,
2193.384,1524.5186,
2190.473,1547.5628,
2187.563,1611.1492,
2184.652,1625.0111,
2181.742,1689.6041,
2178.831,1760.1796,
2175.920,1839.3491,
2173.010,1912.4289,
2170.099,2005.6498,
2167.189,2144.656,
2164.278,2238.0808,
2161.368,2383.2643,
2158.457,2508.6548,
2155.546,2638.4251,
2152.636,2763.561,
2149.725,2885.5075,
2146.815,2953.3898,
2143.904,2967.9502,
2140.993,3030.289,
2138.083,3043.2435,
2135.172,3066.562,
2132.262,3030.9393,
2129.351,2983.98,
2126.441,2912.6297,
2123.530,2782.621,
2120.619,2630.9974,
2117.709,2482.1194,
2114.798,2344.7974,
2111.888,2204.8773,
2108.977,2065.8468,
2106.067,1933.737,
2103.156,1861.4937,
2100.245,1766.1131,
2097.335,1741.7062,
2094.424,1686.5673,
2091.514,1631.047,
2088.603,1627.7194,
2085.692,1624.8946,
2082.782,1602.9885,
2079.871,1585.6244,
2076.961,1582.1896,
2074.050,1588.6705,
2071.140,1555.7805,
2068.229,1533.3971,
2065.318,1543.311,
2062.408,1558.125,
2059.497,1525.6607,
2056.587,1506.2529,
2053.676,1500.5921,
2050.766,1531.4307,
2047.855,1505.6376,
2044.944,1523.391,
2042.034,1526.073,
2039.123,1527.7647,
2036.213,1518.4916,
2033.302,1506.8642,
2030.391,1501.5488,
2027.481,1521.698,
2024.570,1558.6242,
2021.660,1534.0171,
2018.749,1520.6569,
2015.839,1528.4754,
2012.928,1500.4002,
2010.017,1530.3975,
2007.107,1533.0315,
2004.196,1539.3393,
2001.286,1535.436,
1998.375,1528.5167,
1995.465,1485.075,
1992.554,1520.454,
1989.643,1495.2656,
1986.733,1495.0346,
1983.822,1510.9839,
1980.912,1508.9863,
1978.001,1496.9729,
1975.090,1490.6807,
1972.180,1491.7128,
1969.269,1477.5216,
1966.359,1472.9898,
1963.448,1489.5794,
1960.538,1467.0991,
1957.627,1519.865,
1954.716,1491.1879,
1951.806,1472.9631,
1948.895,1505.4469,
1945.985,1485.491,
1943.074,1479.4054,
1940.164,1456.6437,
1937.253,1430.0507,
1934.342,1432.4667,
1931.432,1452.226,
1928.521,1447.6552,
1925.611,1406.3395,
1922.700,1418.4938,
1919.790,1414.6511,
1916.879,1438.2418,
1913.968,1461.0992,
1911.058,1436.3232,
1908.147,1441.3834,
1905.237,1455.1323,
1902.326,1443.2139,
1899.415,1423.0933,
1896.505,1434.1733,
1893.594,1443.3079,
1890.684,1427.1839,
1887.773,1430.297,
1884.863,1452.33,
1881.952,1458.8225,
1879.041,1450.8036,
1876.131,1443.2387,
1873.220,1429.9214,
1870.310,1432.7662,
1867.399,1453.7891,
1864.489,1408.1765,
1861.578,1435.993,
1858.667,1455.5921,
1855.757,1464.125,
1852.846,1463.3712,
1849.936,1466.2641,
1847.025,1491.5313,
1844.114,1502.0426,
1841.204,1502.3243,
1838.293,1508.1583,
1835.383,1471.73,
1832.472,1503.7893,
1829.562,1524.2654,
1826.651,1529.0654,
1823.740,1555.2362,
1820.830,1539.9752,
1817.919,1551.0413,
1815.009,1554.2688,
1812.098,1509.2431,
1809.188,1573.5357,
1806.277,1538.0324,
1803.366,1539.491,
1800.456,1561.07,
1797.545,1562.7986,
1794.635,1587.19,
1791.724,1577.0958,
1788.813,1583.7142,
1785.903,1558.3323,
1782.992,1584.052,
1780.082,1575.0998,
1777.171,1578.1341,
1774.261,1609.2049,
1771.350,1606.1038,
1768.439,1599.762,
1765.529,1618.0399,
1762.618,1639.665,
1759.708,1625.1685,
1756.797,1647.0265,
1753.887,1666.3816,
1750.976,1668.125,
1748.065,1672.4261,
1745.155,1680.8733,
1742.244,1678.8279,
1739.334,1691.1885,
1736.423,1700.2446,
1733.512,1710.5844,
1730.602,1735.0695,
1727.691,1745.9633,
1724.781,1740.0458,
1721.870,1762.268,
1718.960,1796.0809,
1716.049,1793.7353,
1713.138,1779.3001,
1710.228,1800.623,
1707.317,1807.6633,
1704.407,1826.0929,
1701.496,1869.1447,
1698.586,1852.7973,
1695.675,1886.6819,
1692.764,1913.7398,
1689.854,1895.9911,
1686.943,1906.7203,
1684.033,1986.1133,
1681.122,1904.5694,
1678.211,1967.5064,
1675.301,2056.8506,
1672.390,2097.1549,
1669.480,2107.6625,
1666.569,2174.8233,
1663.659,2229.0107,
1660.748,2224.2267,
1657.837,2332.3278,
1654.927,2385.8204,
1652.016,2373.9512,
1649.106,2409.1814,
1646.195,2491.7963,
1643.285,2519.3984,
1640.374,2533.5292,
1637.463,2647.2599,
1634.553,2710.5437,
1631.642,2806.7211,
1628.732,2952.7294,
1625.821,3054.2218,
1622.911,3201.291,
1620.000,3403.5549,
1617.089,3647.2295,
1614.179,3843.5694,
1611.268,4001.2509,
1608.358,4159.6333,
1605.447,4292.526,
1602.536,4425.9298,
1599.626,4404.7672,
1596.715,4451.1355,
1593.805,4373.8465,
1590.894,4318.3302,
1587.984,4306.9284,
1585.073,4256.7776,
1582.162,4215.5644,
1579.252,4236.1289,
1576.341,4182.8463,
1573.431,4190.8371,
1570.520,4178.78,
1567.610,4119.4771,
1564.699,4072.1238,
1561.788,4047.0406,
1558.878,3983.7729,
1555.967,3905.5932,
1553.057,3829.3669,
1550.146,3758.1069,
1547.235,3676.815,
1544.325,3608.0207,
1541.414,3542.5406,
1538.504,3501.4732,
1535.593,3448.8943,
1532.683,3400.9626,
1529.772,3350.5133,
1526.861,3264.6295,
1523.951,3195.3985,
1521.040,3126.6338,
1518.130,3112.0169,
1515.219,3062.7642,
1512.309,3083.188,
1509.398,3061.2657,
1506.487,3044.1809,
1503.577,2984.7988,
1500.666,2997.7306,
1497.756,2931.659,
1494.845,2936.0839,
1491.934,2887.1659,
1489.024,2899.6784,
1486.113,2889.9256,
1483.203,2806.5254,
1480.292,2758.7905,
1477.382,2744.0425,
1474.471,2742.8924,
1471.560,2698.1337,
1468.650,2717.3385,
1465.739,2700.8195,
1462.829,2666.0109,
1459.918,2651.2576,
1457.008,2684.1716,
1454.097,2663.2039,
1451.186,2609.7691,
1448.276,2635.3492,
1445.365,2645.9812,
1442.455,2648.5177,
1439.544,2668.6454,
1436.633,2614.2511,
1433.723,2613.2406,
1430.812,2628.845,
1427.902,2549.0877,
1424.991,2505.4906,
1422.081,2513.2998,
1419.170,2477.8345,
1416.259,2498.047,
1413.349,2475.4258,
1410.438,2488.5179,
1407.528,2458.8568,
1404.617,2448.8676,
1401.707,2478.8526,
1398.796,2487.2684,
1395.885,2491.6606,
1392.975,2537.0842,
1390.064,2560.3494,
1387.154,2536.9486,
1384.243,2576.0875,
1381.332,2510.3022,
1378.422,2604.1343,
1375.511,2681.8871,
1372.601,2725.5172,
1369.690,2819.1334,
1366.780,2876.8949,
1363.869,2954.2344,
1360.958,2998.9315,
1358.048,3053.0301,
1355.137,3111.5119,
1352.227,3170.5239,
1349.316,3231.5106,
1346.406,3295.4596,
1343.495,3368.0971,
1340.584,3405.1598,
1337.674,3476.5955,
1334.763,3571.9839,
1331.853,3568.2749,
1328.942,3584.1354,
1326.032,3690.5244,
1323.121,3763.0287,
1320.210,3786.1183,
1317.300,3818.6366,
1314.389,3919.8071,
1311.479,4024.086,
1308.568,4096.0441,
1305.657,4186.254,
1302.747,4261.617,
1299.836,4310.9728,
1296.926,4431.1326,
1294.015,4581.9016,
1291.105,4708.7592,
1288.194,4772.2508,
1285.283,4862.8853,
1282.373,4988.4137,
1279.462,5107.9081,
1276.552,5159.7313,
1273.641,5189.6323,
1270.731,5226.7175,
1267.820,5196.6953,
1264.909,5211.7072,
1261.999,5193.7588,
1259.088,5183.7255,
1256.178,5064.0776,
1253.267,4952.0615,
1250.356,4821.1824,
1247.446,4664.7539,
1244.535,4504.8842,
1241.625,4358.1659,
1238.714,4246.0183,
1235.804,4163.9213,
1232.893,4043.7521,
1229.982,4030.936,
1227.072,3936.7835,
1224.161,3849.4366,
1221.251,3768.6082,
1218.340,3736.4078,
1215.430,3684.88,
1212.519,3610.4515,
1209.608,3591.9944,
1206.698,3630.9546,
1203.787,3613.3562,
1200.877,3646.6792,
1197.966,3639.486,
1195.055,3736.3953,
1192.145,3873.3399,
1189.234,3939.7255,
1186.324,4005.4026,
1183.413,4053.8661,
1180.503,4065.5093,
1177.592,4065.7612,
1174.681,4025.9606,
1171.771,3940.2087,
1168.860,3857.1514,
1165.950,3818.486,
1163.039,3792.2681,
1160.129,3749.3235,
1157.218,3730.4131,
1154.307,3720.913,
1151.397,3673.4886,
1148.486,3614.8224,
1145.576,3625.7691,
1142.665,3525.435,
1139.754,3527.7022,
1136.844,3514.7183,
1133.933,3475.2807,
1131.023,3437.49,
1128.112,3409.6981,
1125.202,3397.5791,
1122.291,3425.7544,
1119.380,3437.5667,
1116.470,3482.5757,
1113.559,3471.1135,
1110.649,3484.4607,
1107.738,3451.2596,
1104.828,3437.0105,
1101.917,3476.8176,
1099.006,3485.1356,
1096.096,3439.2001,
1093.185,3456.7601,
1090.275,3471.0733,
1087.364,3426.7825,
1084.453,3416.9367,
1081.543,3448.4743,
1078.632,3464.5892,
1075.722,3438.6295,
1072.811,3444.3804,
1069.901,3433.9012,
1066.990,3472.7332,
1064.079,3495.7353,
1061.169,3530.2924,
