,PLD23C~1,
Raman shift [1/cm],Intensity,
3014.167,2,
3011.256,-0.95009663,
3008.346,297.98372,
3005.435,366.03887,
3002.525,377.51007,
2999.614,378.81168,
2996.704,391.35463,
2993.793,404.38076,
2990.882,410.16788,
2987.972,442.99496,
2985.061,438.89655,
2982.151,460.53952,
2979.240,479.26616,
2976.329,486.50819,
2973.419,507.95353,
2970.508,527.16663,
2967.598,532.71687,
2964.687,547.47758,
2961.777,550.71798,
2958.866,582.67162,
2955.955,590.41812,
2953.045,605.43175,
2950.134,615.83095,
2947.224,635.76866,
2944.313,661.55057,
2941.403,662.73814,
2938.492,680.88348,
2935.581,704.26869,
2932.671,693.55792,
2929.760,688.34616,
2926.850,719.53684,
2923.939,717.84113,
2921.028,728.64132,
2918.118,754.41687,
2915.207,743.12676,
2912.297,750.01269,
2909.386,753.0073,
2906.476,745.51968,
2903.565,759.16148,
2900.654,747.43581,
2897.744,734.55997,
2894.833,714.84509,
2891.923,736,
2889.012,720,
2886.102,732.08107,
2883.191,740,
2880.280,710.25359,
2877.370,711.49417,
2874.459,686.74865,
2871.549,726.39478,
2868.638,773.868,
2865.727,759.21535,
2862.817,753.87034,
2859.906,774.46725,
2856.996,756.45698,
2854.085,761.59873,
2851.175,769.1175,
2848.264,761.64217,
2845.353,776.59023,
2842.443,756.00348,
2839.532,774.73121,
2836.622,749.72461,
2833.711,740.15542,
2830.801,734.00735,
2827.890,742.03843,
2824.979,742.69189,
2822.069,764.94314,
2819.158,746.6981,
2816.248,750.40158,
2813.337,757.81463,
2810.427,771.52204,
2807.516,763.42453,
2804.605,781.16105,
2801.695,772.30263,
2798.784,781.18685,
2795.874,766.98415,
2792.963,777.49989,
2790.052,740.00751,
2787.142,758.69719,
2784.231,735.74224,
2781.321,765.11996,
2778.410,742.87057,
2775.500,743.01965,
2772.589,776.34481,
2769.678,766.21155,
2766.768,780.43495,
2763.857,780.21195,
2760.947,806.08826,
2758.036,794.58583,
2755.126,800.90171,
2752.215,805.80905,
2749.304,805.6169,
2746.394,794.65721,
2743.483,805.95003,
2740.573,816.9691,
2737.662,794.56361,
2734.751,804.46595,
2731.841,795.51282,
2728.930,814,
2726.020,821.22975,
2723.109,818.13417,
2720.199,822.94058,
2717.288,838.15694,
2714.377,831.9377,
2711.467,847.42637,
2708.556,844.12758,
2705.646,836.85913,
2702.735,835.68042,
2699.825,865.14006,
2696.914,877.14272,
2694.003,846.61464,
2691.093,851.14319,
2688.182,864.58222,
2685.272,846.87624,
2682.361,864.09389,
2679.450,859.42804,
2676.540,872.83741,
2673.629,869.64571,
2670.719,879,
2667.808,891.36774,
2664.898,861.46691,
2661.987,899.26671,
2659.076,889.65303,
2656.166,900.06491,
2653.255,907.40646,
2650.345,908.43194,
2647.434,918.28608,
2644.524,930.06954,
2641.613,929.0572,
2638.702,930.98422,
2635.792,954.25223,
2632.881,929.49417,
2629.971,949.30217,
2627.060,940.66937,
