,PLE689~1,
Raman shift [1/cm],Intensity,
3014.167,0.625,
3011.256,-2.5251396,
3008.346,378.62264,
3005.435,451.4766,
3002.525,491.0976,
2999.614,485.68341,
2996.704,489.11262,
2993.793,515.12039,
2990.882,527.66312,
2987.972,523.93779,
2985.061,576.75799,
2982.151,573.55106,
2979.240,602.0423,
2976.329,610.64684,
2973.419,642.25581,
2970.508,657.27491,
2967.598,678.38604,
2964.687,677.92323,
2961.777,677.18905,
2958.866,726.94893,
2955.955,740.38385,
2953.045,764.72568,
2950.134,780.54048,
2947.224,798.19438,
2944.313,805.04095,
2941.403,839.16195,
2938.492,836.1047,
2935.581,874.41515,
2932.671,884.77946,
2929.760,875.87118,
2926.850,895.46823,
2923.939,901.06425,
2921.028,898.23083,
2918.118,961.06076,
2915.207,941.34037,
2912.297,945.65039,
2909.386,935.95349,
2906.476,930.00418,
2903.565,946.73834,
2900.654,945.13055,
2897.744,946.31069,
2894.833,932.75881,
2891.923,938.0833,
2889.012,920.2435,
2886.102,933.16825,
2883.191,917.63444,
2880.280,911.58672,
2877.370,879.30534,
2874.459,855.07807,
2871.549,921.21743,
2868.638,971.21879,
2865.727,947.99422,
2862.817,967.38301,
2859.906,946.67628,
2856.996,953.16802,
2854.085,966.5116,
2851.175,972.76955,
2848.264,975.20334,
2845.353,972.67605,
2842.443,931.62152,
2839.532,933.07277,
2836.622,946.82683,
2833.711,910.24668,
2830.801,938.71103,
2827.890,945.10226,
2824.979,947.82292,
2822.069,940.96616,
2819.158,966.06435,
2816.248,947.41842,
2813.337,989.17134,
2810.427,971.76413,
2807.516,986.08515,
2804.605,973.4519,
2801.695,959.16451,
2798.784,972.625,
2795.874,972.06565,
2792.963,961.26787,
2790.052,951.62714,
2787.142,963.11188,
2784.231,942.78807,
2781.321,957.50504,
2778.410,968.55013,
2775.500,983.23982,
2772.589,974.0088,
2769.678,970.44407,
2766.768,1002.5396,
2763.857,986.15294,
2760.947,1005.1597,
2758.036,986.05797,
2755.126,1025.5823,
2752.215,1011.0295,
2749.304,1014.8588,
2746.394,1019.3549,
2743.483,1021.775,
2740.573,1009.8816,
