,PL28A0~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,0.70004295,
3008.346,75.81682,
3005.435,90.23145,
3002.525,105.38758,
2999.614,89.966263,
2996.704,114.31443,
2993.793,100.76613,
2990.882,90.194647,
2987.972,103.5454,
2985.061,110.7266,
2982.151,107.61933,
2979.240,128.43537,
2976.329,128.01911,
2973.419,132.5,
2970.508,139.89996,
2967.598,120.07711,
2964.687,144.33628,
2961.777,131.97004,
2958.866,139.83432,
2955.955,147.60618,
2953.045,149.55372,
2950.134,168.01019,
2947.224,167.55694,
2944.313,171.74715,
2941.403,167.54745,
2938.492,173.92547,
2935.581,176.72576,
2932.671,174.98069,
2929.760,177.96538,
2926.850,183.18647,
2923.939,194.34113,
2921.028,196.66477,
2918.118,197.05919,
2915.207,196.38615,
2912.297,191.53808,
2909.386,201.68249,
2906.476,196.91854,
2903.565,203.45185,
2900.654,193.99445,
2897.744,215.28627,
2894.833,202.21127,
2891.923,180.74029,
2889.012,201.66763,
2886.102,196.68784,
2883.191,190.50472,
2880.280,191.51435,
2877.370,176.85464,
2874.459,208.03452,
2871.549,206.11854,
2868.638,202.04434,
2865.727,209.78847,
2862.817,202.12835,
2859.906,205.95584,
2856.996,212.98415,
2854.085,200.65543,
2851.175,215.85841,
2848.264,223.78433,
2845.353,215.5,
2842.443,214.30209,
2839.532,203.96274,
2836.622,202.80339,
2833.711,195.03374,
2830.801,199.08971,
2827.890,219.68706,
2824.979,211.72204,
2822.069,198.69333,
2819.158,218.92049,
2816.248,219.27026,
2813.337,211.03657,
2810.427,232.63913,
2807.516,211.60797,
2804.605,218.63942,
2801.695,206.36842,
2798.784,197.16531,
2795.874,219.94593,
2792.963,210.5716,
2790.052,228.497,
2787.142,224.59204,
2784.231,216.79037,
2781.321,213.25432,
2778.410,220.35026,
2775.500,212.20241,
2772.589,225.5,
2769.678,219.00174,
2766.768,222.05147,
2763.857,225.76204,
2760.947,208.95272,
2758.036,215.05422,
2755.126,228.69017,
2752.215,226.84088,
2749.304,240.20142,
2746.394,229.47787,
2743.483,221.09997,
2740.573,222.06414,
2737.662,228.17012,
2734.751,222.12634,
2731.841,223.52748,
2728.930,234.05086,
2726.020,240.84201,
2723.109,230.65492,
2720.199,225.16553,
2717.288,235.23722,
2714.377,238.59574,
2711.467,234.28681,
2708.556,233.85116,
2705.646,236.41551,
2702.735,241.66237,
2699.825,237.5,
2696.914,232.64272,
2694.003,239.913,
2691.093,246.8213,
2688.182,235.09926,
2685.272,244.38478,
2682.361,238.59389,
2679.450,241.00621,
2676.540,268.11384,
2673.629,246.84531,
2670.719,247.28096,
2667.808,247.64591,
2664.898,241.5,
2661.987,247.73346,
