,PL35D3~1,
Raman shift [1/cm],Intensity,
3014.167,-1.125,
3011.256,1.2750859,
3008.346,140.72025,
3005.435,161.76193,
3002.525,183.97008,
2999.614,183.06332,
2996.704,186.19356,
2993.793,180.37039,
2990.882,192.91312,
2987.972,193.89518,
2985.061,203.1952,
2982.151,213.39769,
2979.240,221.97577,
2976.329,214.86954,
2973.419,244.21364,
2970.508,237.49166,
2967.598,249.59187,
2964.687,263.39742,
2961.777,259.25103,
2958.866,260.20784,
2955.955,266.94579,
2953.045,270.47906,
2950.134,290.17236,
2947.224,285.15969,
2944.313,307.90848,
2941.403,313.44617,
2938.492,326.59858,
2935.581,325.94495,
2932.671,321.59604,
2929.760,331.15193,
2926.850,318.76335,
2923.939,339.39368,
2921.028,342.33381,
2918.118,343.91783,
2915.207,364.52054,
2912.297,343.95539,
2909.386,362.28376,
2906.476,354.5885,
2903.565,368.08463,
2900.654,346.85279,
2897.744,349.76185,
2894.833,338.81318,
2891.923,343.1731,
2889.012,365.875,
2886.102,365.27095,
2883.191,365.87406,
2880.280,359.63576,
2877.370,345.30524,
2874.459,360.69889,
2871.549,360.4408,
2868.638,369.46675,
2865.727,379.58653,
2862.817,382.14639,
2859.906,380.50748,
2856.996,375.84783,
2854.085,375.71322,
2851.175,384.4684,
2848.264,394.13999,
2845.353,368.41418,
2842.443,382.89241,
2839.532,370.97946,
2836.622,370.60547,
2833.711,368.52019,
2830.801,367.26324,
2827.890,385.25617,
2824.979,391.47917,
2822.069,373.00009,
2819.158,384.63511,
2816.248,391.85184,
2813.337,380.57621,
2810.427,392.91908,
2807.516,396.08359,
2804.605,375.875,
2801.695,365.12498,
2798.784,382.80515,
2795.874,388.44492,
2792.963,385.37489,
2790.052,381.87521,
2787.142,388.34854,
2784.231,384.22902,
2781.321,375.88076,
2778.410,389.63008,
2775.500,379.45052,
2772.589,391.45222,
2769.678,385.66345,
2766.768,394.97794,
2763.857,392.13897,
2760.947,388.30881,
2758.036,400.74775,
2755.126,404.5438,
2752.215,393.55675,
2749.304,405.44872,
2746.394,395.08669,
2743.483,403.02497,
2740.573,395.56742,
2737.662,394.67233,
2734.751,405.08378,
2731.841,382.36034,
2728.930,417.23959,
2726.020,410.3397,
2723.109,432.96767,
2720.199,407.0312,
2717.288,414.3312,
2714.377,419.09992,
2711.467,431.84204,
2708.556,434.66237,
2705.646,423.95949,
2702.735,419.53479,
2699.825,422.65686,
2696.914,436.11319,
2694.003,433.875,
2691.093,431.1963,
2688.182,426.34759,
2685.272,424.27329,
2682.361,430.05731,
2679.450,441.78443,
2676.540,441.89532,
2673.629,443.87051,
2670.719,440.73636,
2667.808,444.53455,
2664.898,437.61527,
2661.987,456.70872,
2659.076,458.78234,
2656.166,449.52003,
2653.255,444.98724,
2650.345,447.3632,
2647.434,476.81727,
2644.524,471.47699,
2641.613,486.21755,
2638.702,473.98547,
2635.792,474.31269,
2632.881,465.36917,
2629.971,476.45228,
2627.060,476.20937,
2624.149,468.79375,
2621.239,474.38389,
2618.328,471.49352,
2615.418,467.52046,
