,PL4E72~1,
Raman shift [1/cm],Intensity,
3014.167,-4.125,
3011.256,0.62505368,
3008.346,145.31638,
3005.435,176.57112,
3002.525,186.94994,
2999.614,195.39967,
2996.704,218.40695,
2993.793,211.52189,
2990.882,192.61547,
2987.972,210.83969,
2985.061,215.40211,
2982.151,214.90356,
2979.240,233.40731,
2976.329,247.89138,
2973.419,247.50581,
2970.508,266.22489,
2967.598,266.875,
2964.687,266.875,
2961.777,285.90083,
2958.866,287.19151,
2955.955,303.04536,
2953.045,297.47906,
2950.134,325.66217,
2947.224,330.35897,
2944.313,351.3693,
2941.403,333.41013,
2938.492,333.88585,
2935.581,345.21364,
2932.671,360.6776,
2929.760,360.50959,
2926.850,366.88214,
2923.939,375.59462,
2921.028,376.875,
2918.118,389.5954,
2915.207,405.82453,
2912.297,401.93001,
2909.386,401.07938,
2906.476,377.88346,
2903.565,386.03648,
2900.654,378.5929,
2897.744,384.78699,
2894.833,377.46264,
2891.923,376.875,
2889.012,385.5802,
2886.102,389.23041,
2883.191,391.86839,
2880.280,390.63576,
2877.370,368.45642,
2874.459,392.93784,
2871.549,394.62513,
2868.638,376.14513,
2865.727,402.875,
2862.817,417.44718,
2859.906,423.90064,
2856.996,423.41349,
2854.085,409.59348,
2851.175,420.68227,
2848.264,413.37016,
2845.353,411.78873,
2842.443,406.67709,
2839.532,400.99443,
2836.622,401.59961,
2833.711,388.3491,
2830.801,394.16985,
2827.890,410.04284,
2824.979,403.67708,
2822.069,400.9546,
2819.158,410.91543,
2816.248,415.12789,
2813.337,414.2567,
2810.427,421.8819,
2807.516,401.45781,
2804.605,403.60576,
2801.695,394.26974,
2798.784,398.72715,
2795.874,410.74045,
2792.963,396.44628,
2790.052,409.87135,
2787.142,394.88835,
2784.231,414.875,
2781.321,416.19507,
2778.410,421.35091,
2775.500,402.40672,
2772.589,407.75956,
2769.678,398.52009,
2766.768,414.0362,
2763.857,413.08502,
2760.947,411.89391,
2758.036,433.51206,
2755.126,403.63568,
2752.215,411.66142,
2749.304,438.55483,
2746.394,421.10882,
2743.483,442.37498,
2740.573,443.32631,
2737.662,411.92676,
2734.751,440.17607,
2731.841,433.98306,
2728.930,431.38358,
2726.020,433.6713,
2723.109,454.96767,
2720.199,446.65938,
2717.288,446.96259,
2714.377,436.55434,
2711.467,456.71126,
2708.556,456.73647,
2705.646,451.35384,
2702.735,444.71263,
2699.825,451.32046,
2696.914,461.97047,
2694.003,465.56281,
2691.093,454.33949,
2688.182,449.18315,
2685.272,447.8309,
2682.361,457.69269,
2679.450,457.29063,
2676.540,464.54981,
2673.629,453.85255,
2670.719,460.02102,
2667.808,482.61047,
2664.898,466.69309,
2661.987,480.37517,
2659.076,465.92674,
2656.166,492.45511,
2653.255,478.65561,
2650.345,481.85141,
2647.434,494.96074,
2644.524,495.10281,
2641.613,492.50354,
2638.702,504.66985,
2635.792,489.99963,
2632.881,499.80345,
2629.971,492.66016,
2627.060,516.04219,
2624.149,512.79375,
2621.239,522.89279,
2618.328,499.83261,
2615.418,502.525,
2612.507,503.66949,
2609.597,526.21233,
2606.686,516.45934,
2603.775,515.51389,
2600.865,530.22318,
2597.954,521.30623,
2595.044,532.84843,
2592.133,540.70941,
2589.223,544.54974,
2586.312,536.50818,
2583.401,528.07937,
2580.491,525.14904,
2577.580,538.90471,
2574.670,554.93784,
2571.759,541.6173,
2568.848,544.7535,
2565.938,518.97009,
2563.027,539.97272,
2560.117,552.04325,
2557.206,549.73847,
2554.296,544.38987,
2551.385,558.26311,
2548.474,551.76347,
2545.564,550.62176,
2542.653,555.89513,
2539.743,576.36884,
2536.832,566.30303,
2533.922,578.98538,
2531.011,580.65044,
2528.100,572.73913,
2525.190,564.43525,
2522.279,598.98394,
2519.369,579.66753,
2516.458,585.77018,
2513.548,592.06592,
2510.637,579.16614,
2507.726,598.56273,
2504.816,599.56271,
2501.905,601.68659,
2498.995,610.20287,
2496.084,585.40811,
2493.173,595.50679,
2490.263,606.45919,
2487.352,607.33247,
2484.442,598.29255,
2481.531,608.45477,
2478.621,608.33945,
2475.710,604.02836,
2472.799,621.40866,
2469.889,613.875,
2466.978,604.49365,
2464.068,606.62105,
2461.157,629.02997,
2458.247,636.43385,
2455.336,637.89652,
2452.425,618.15328,
2449.515,640.24299,
2446.604,642.875,
2443.694,646.3635,
2440.783,652.92342,
2437.872,641.78662,
2434.962,656.41879,
2432.051,641.09126,
2429.141,640.0634,
2426.230,644.22309,
2423.320,653.93226,
2420.409,653.79157,
2417.498,663.07163,
2414.588,653.24767,
2411.677,661.37298,
2408.767,661.02854,
2405.856,686.74174,
2402.946,681.45856,
2400.035,680.48063,
2397.124,680.00868,
2394.214,690.71141,
2391.303,673.58774,
2388.393,672.11454,
2385.482,683.39032,
2382.571,708.39421,
2379.661,692.6891,
2376.750,695.66061,
2373.840,700.81566,
2370.929,718.65841,
2368.019,704.72966,
2365.108,720.08442,
2362.197,724.25037,
2359.287,711.90842,
2356.376,700.88733,
2353.466,707.94851,
2350.555,730.60463,
2347.645,724.34783,
2344.734,733.23906,
2341.823,734.85842,
2338.913,722.00636,
2336.002,734.47067,
2333.092,749.01275,
2330.181,752.34816,
2327.270,783.00482,
2324.360,748.21932,
2321.449,755.25935,
2318.539,761.06768,
2315.628,764.29546,
2312.718,759.22522,
2309.807,743.60754,
2306.896,778.35543,
2303.986,773.05034,
2301.075,785.74731,
2298.165,780.70171,
2295.254,789.61648,
2292.344,782.34802,
2289.433,784.875,
2286.522,789.4955,
2283.612,786.97448,
2280.701,787.33688,
2277.791,814.11358,
2274.880,795.44701,
2271.969,788.84619,
2269.059,794.8396,
2266.148,808.06365,
2263.238,796.28041,
2260.327,818.18525,
2257.417,815.28,
2254.506,840.32516,
2251.595,842.87866,
2248.685,840.61154,
2245.774,833.66633,
2242.864,868.86506,
2239.953,839.19225,
2237.043,843.10928,
2234.132,855.62823,
2231.221,856.4538,
2228.311,878.49095,
2225.400,861.94452,
2222.490,893.30485,
2219.579,867.50738,
2216.669,878.31061,
2213.758,897.7456,
2210.847,922.63819,
2207.937,909.64864,
2205.026,956.32078,
2202.116,926.9546,
2199.205,944.81265,
2196.294,955.92496,
2193.384,992.45304,
2190.473,953.11208,
2187.563,993.74933,
2184.652,970.88724,
2181.742,1005.309,
2178.831,1058.7466,
2175.920,1084.9497,
2173.010,1126.9527,
2170.099,1180.6037,
2167.189,1221.7289,
2164.278,1342.8097,
2161.368,1385.3005,
2158.457,1476.4108,
2155.546,1553.1155,
2152.636,1623.593,
2149.725,1692.4723,
2146.815,1754.1064,
2143.904,1830.5702,
2140.993,1836.3351,
2138.083,1887.3097,
2135.172,1892.7323,
2132.262,1905.4938,
2129.351,1899.0991,
2126.441,1841.3311,
2123.530,1804.5506,
2120.619,1683.8843,
2117.709,1624.0682,
2114.798,1509.394,
2111.888,1432.6772,
2108.977,1347.0935,
2106.067,1274.8221,
2103.156,1206.9647,
2100.245,1188.828,
2097.335,1109.6603,
2094.424,1081.9865,
2091.514,1075.4286,
2088.603,1062.4878,
2085.692,1046.0016,
2082.782,1026.8228,
2079.871,1018.1959,
2076.961,1038.3251,
2074.050,1009.1174,
2071.140,1015.1623,
2068.229,1019.6979,
2065.318,1006.9855,
2062.408,1001.2918,
2059.497,1000.8631,
2056.587,989.78209,
2053.676,980.34207,
2050.766,959.49159,
2047.855,985.67565,
2044.944,979.14102,
2042.034,982.77098,
2039.123,995.67635,
2036.213,995.60828,
2033.302,973.98377,
2030.391,975.0274,
2027.481,983.08227,
2024.570,984.03217,
2021.660,969.76194,
2018.749,989.91299,
2015.839,993.16175,
2012.928,1002.1284,
2010.017,981.90106,
2007.107,980.29369,
2004.196,985.99407,
2001.286,990.875,
1998.375,969.30314,
1995.465,992.12589,
1992.554,977.2105,
1989.643,955.53171,
1986.733,952.40658,
1983.822,1011.3484,
1980.912,982.1318,
1978.001,967.47613,
1975.090,976.53758,
1972.180,957.66754,
1969.269,959.91234,
1966.359,953.63171,
1963.448,938.72572,
1960.538,958.22029,
1957.627,946.04217,
1954.716,950.67391,
1951.806,957.12339,
1948.895,960.34466,
1945.985,943.5433,
1943.074,921.39895,
1940.164,928.58655,
1937.253,916.10138,
1934.342,913.00334,
1931.432,913.44282,
1928.521,916.51231,
1925.611,925.31654,
1922.700,911.62915,
1919.790,911.32005,
1916.879,907.22375,
1913.968,908.87254,
1911.058,922.2804,
1908.147,913.07791,
1905.237,909.26472,
1902.326,918.56684,
1899.415,917.72132,
1896.505,898.00757,
1893.594,905.14635,
1890.684,897.03193,
1887.773,890.918,
1884.863,888.77249,
1881.952,925.63211,
1879.041,901.26803,
1876.131,910.67761,
1873.220,904.5431,
1870.310,894.52075,
1867.399,901.74705,
1864.489,868.19908,
1861.578,902.74299,
1858.667,922.04864,
1855.757,926.88216,
1852.846,914.10066,
1849.936,899.5727,
1847.025,912.28131,
1844.114,939.28913,
1841.204,931.14773,
1838.293,922.36585,
1835.383,957.38597,
1832.472,973.57239,
1829.562,946.79453,
1826.651,957.43965,
1823.740,958.41138,
1820.830,968.76489,
1817.919,953.32996,
1815.009,929.18162,
1812.098,973.44977,
1809.188,988.25482,
1806.277,983.98566,
1803.366,985.75855,
1800.456,980.30389,
1797.545,1000.7263,
1794.635,970.71117,
1791.724,1034.6324,
1788.813,991.67989,
1785.903,1012.9719,
1782.992,1015.9748,
1780.082,981.62424,
1777.171,1004.5393,
1774.261,1013.0303,
1771.350,1040.8962,
1768.439,1040.4285,
1765.529,1046.1482,
1762.618,1026.6512,
1759.708,1026.3752,
1756.797,1032.7386,
1753.887,1005.8998,
1750.976,1035.9718,
1748.065,1042.9841,
1745.155,1052.2297,
1742.244,1096.6576,
1739.334,1063.5762,
1736.423,1036.6358,
1733.512,1063.9808,
1730.602,1086.8433,
1727.691,1106.2282,
1724.781,1112.4482,
1721.870,1153.1133,
1718.960,1125.0523,
1716.049,1148.756,
1713.138,1164.28,
1710.228,1105.8245,
1707.317,1154.3721,
1704.407,1174.4526,
1701.496,1160.3787,
1698.586,1191.2145,
1695.675,1130.2468,
1692.764,1200.666,
1689.854,1225.9223,
1686.943,1222.0436,
1684.033,1219.9247,
1681.122,1231.6711,
1678.211,1250.6942,
1675.301,1276.7948,
1672.390,1299.1113,
1669.480,1377.8188,
1666.569,1371.3194,
1663.659,1406.365,
1660.748,1435.8364,
1657.837,1434.4874,
1654.927,1463.023,
1652.016,1510.9236,
1649.106,1512.7526,
1646.195,1508.1148,
1643.285,1519.6751,
1640.374,1597.0632,
1637.463,1607.0099,
1634.553,1669.4513,
1631.642,1708.5048,
1628.732,1766.5742,
1625.821,1883.9385,
1622.911,1980.3284,
1620.000,2114.1742,
1617.089,2204.084,
1614.179,2421.6144,
1611.268,2502.9751,
1608.358,2649.8047,
1605.447,2801.1333,
1602.536,2793.101,
1599.626,2829.5922,
1596.715,2870.0866,
1593.805,2773.7098,
1590.894,2783.8918,
1587.984,2770.4193,
1585.073,2784.0405,
1582.162,2714.2399,
1579.252,2694.1469,
1576.341,2706.4931,
1573.431,2647.2211,
1570.520,2619.9381,
1567.610,2612.4043,
1564.699,2592.0242,
1561.788,2558.8189,
1558.878,2483.6953,
1555.967,2443.3044,
1553.057,2405.9788,
