,PL6DEB~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,2.7500537,
3008.346,29.668082,
3005.435,51.92226,
3002.525,51.170022,
2999.614,39.287009,
2996.704,57.443292,
2993.793,53.133064,
2990.882,50.954177,
2987.972,44.126124,
2985.061,56.142841,
2982.151,47.926057,
2979.240,55.633078,
2976.329,64.513651,
2973.419,62.845956,
2970.508,71.616663,
2967.598,59.334538,
2964.687,69.820652,
2961.777,58.598134,
2958.866,68.328384,
2955.955,81.070789,
2953.045,73.651015,
2950.134,82.819246,
2947.224,61.768658,
2944.313,91.146012,
2941.403,89.785585,
2938.492,91.276418,
2935.581,86.295707,
2932.671,90.682425,
2929.760,98.188454,
2926.850,79.783836,
2923.939,96.401883,
2921.028,103.10013,
2918.118,92.161211,
2915.207,110.82922,
2912.297,90.114245,
2909.386,108.39416,
2906.476,97.132034,
2903.565,95.838517,
2900.654,92.882719,
2897.744,113.81142,
2894.833,99.824727,
2891.923,84.781993,
2889.012,107.58381,
2886.102,109.62432,
2883.191,104.00755,
2880.280,85.014346,
2877.370,74.27905,
2874.459,102.65399,
2871.549,99.447522,
2868.638,99.453616,
2865.727,101,
2862.817,109.74331,
2859.906,89.709396,
2856.996,111.95924,
2854.085,89.310868,
2851.175,103.62046,
2848.264,110.35783,
2845.353,113.1941,
2842.443,111.6181,
2839.532,95.223885,
2836.622,90.39323,
2833.711,93.836744,
2830.801,92.80588,
2827.890,102.69059,
2824.979,114.79002,
2822.069,106,
2819.158,104.47978,
2816.248,107.22974,
2813.337,109.56707,
2810.427,110.17631,
2807.516,94.215939,
2804.605,103.59135,
2801.695,100.30263,
2798.784,103.63038,
2795.874,107.86016,
2792.963,106.92862,
2790.052,112.99893,
2787.142,101.39485,
2784.231,104.48448,
2781.321,109.06862,
2778.410,118.77539,
2775.500,106.93655,
2772.589,120.07646,
2769.678,112.53584,
2766.768,114.43495,
2763.857,115.63199,
2760.947,108.43381,
2758.036,109.85994,
2755.126,119.90812,
2752.215,117.3819,
2749.304,110.78778,
2746.394,110.51816,
2743.483,103.35001,
2740.573,106.43586,
2737.662,118.56361,
2734.751,118.9758,
2731.841,104.2967,
2728.930,116.73315,
2726.020,113.67882,
2723.109,120.34025,
2720.199,116.21562,
2717.288,116.4562,
2714.377,122.96656,
