,PLB286~1,
Raman shift [1/cm],Intensity,
3014.167,-1.625,
3011.256,1.2250752,
3008.346,242.81095,
3005.435,286.91564,
3002.525,298.96001,
2999.614,307.89967,
2996.704,325.45541,
2993.793,322.6227,
2990.882,327.76429,
2987.972,329.39518,
2985.061,341.35531,
2982.151,345.21029,
2979.240,365.27423,
2976.329,379.14275,
2973.419,406.03636,
2970.508,420.77496,
2967.598,430.41918,
2964.687,419.0163,
2961.777,440.05889,
2958.866,464.7212,
2955.955,458.75773,
2953.045,477.12669,
2950.134,493.61991,
2947.224,512.26112,
2944.313,519.16133,
2941.403,542.80383,
2938.492,544.375,
2935.581,560.57374,
2932.671,540.1776,
2929.760,553.375,
2926.850,567.59116,
2923.939,576.81425,
2921.028,597.8693,
2918.118,602.2755,
2915.207,602.2547,
2912.297,604.35384,
2909.386,607.96624,
2906.476,622.11093,
2903.565,600.9076,
2900.654,587.42254,
2897.744,612.50072,
2894.833,609.59173,
2891.923,598.6731,
2889.012,609.87211,
2886.102,604.27366,
2883.191,636.33535,
2880.280,631.26017,
2877.370,656.85751,
2874.459,670.43784,
2871.549,655.71704,
2868.638,650.42036,
2865.727,641.03269,
2862.817,646.93248,
2859.906,652.34936,
2856.996,655.82292,
2854.085,639.20688,
2851.175,642.82978,
2848.264,651.522,
2845.353,641.52597,
2842.443,638.79171,
2839.532,617.38997,
2836.622,602.43685,
2833.711,602.59006,
2830.801,627.05074,
2827.890,624.50441,
2824.979,638.67105,
2822.069,621.47735,
2819.158,628.85478,
2816.248,656.25921,
2813.337,650.69452,
2810.427,658.27995,
2807.516,638.70625,
2804.605,630.17067,
2801.695,631.63816,
2798.784,624.11423,
2795.874,633.52541,
2792.963,625.73213,
2790.052,647.37028,
2787.142,616.95392,
2784.231,622.18089,
2781.321,626.63221,
2778.410,642.05521,
2775.500,622.82363,
2772.589,635.83677,
2769.678,635.66171,
2766.768,637.86821,
2763.857,640.48097,
2760.947,642.85294,
2758.036,668.17772,
2755.126,661.32586,
2752.215,663.77953,
2749.304,664.9919,
2746.394,656.31654,
2743.483,660.62497,
2740.573,679.79541,
2737.662,661.15163,
2734.751,661.49149,
2731.841,682.88966,
2728.930,681.90472,
2726.020,687.27836,
2723.109,674.43725,
2720.199,704.2969,
2717.288,692.76186,
2714.377,689.85828,
2711.467,699.30907,
2708.556,708.07732,
2705.646,709.82573,
2702.735,713.20232,
2699.825,701.50589,
2696.914,726.13777,
2694.003,697.40264,
2691.093,714.64334,
2688.182,707.5187,
2685.272,716.45466,
2682.361,720.92194,
2679.450,720.71247,
2676.540,724.51727,
2673.629,727.7248,
2670.719,715.87869,
2667.808,720.03455,
2664.898,714.56955,
2661.987,740.70855,
2659.076,747.62931,
2656.166,748.11534,
2653.255,735.1131,
2650.345,743.15903,
2647.434,750.40387,
2644.524,766.7803,
2641.613,778.11793,
2638.702,785.28031,
2635.792,758.59235,
2632.881,773.4166,
2629.971,775.50251,
2627.060,770.21031,
2624.149,757.59062,
2621.239,769.6413,
2618.328,786.14577,
2615.418,770.98411,
2612.507,797.6161,
2609.597,782.02769,
2606.686,777.3228,
2603.775,787.29564,
2600.865,809.2522,
2597.954,791.52494,
2595.044,815.03576,
2592.133,816.375,
2589.223,820.8329,
2586.312,823.52074,
2583.401,831.49548,
2580.491,826.04813,
2577.580,834.375,
2574.670,839.35627,
2571.759,843.01627,
2568.848,828.78933,
2565.938,818.94625,
2563.027,846.30225,
2560.117,856.45912,
2557.206,861.18312,
2554.296,842.60612,
2551.385,847.68094,
2548.474,853.74563,
2545.564,891.33037,
2542.653,883.62667,
2539.743,893.51055,
2536.832,885.39556,
2533.922,882.61154,
2531.011,893.25035,
2528.100,879.17638,
2525.190,902.46393,
2522.279,895.93778,
2519.369,904.05445,
2516.458,889.14766,
2513.548,909.26555,
2510.637,917.68241,
2507.726,922.375,
2504.816,915.06158,
2501.905,913.43293,
2498.995,914.95697,
2496.084,906.53527,
2493.173,921.71772,
2490.263,929.39759,
2487.352,917.91593,
2484.442,910.50775,
2481.531,925.22068,
2478.621,932.91055,
2475.710,944.36733,
2472.799,940.66203,
2469.889,944.49414,
2466.978,953.04514,
2464.068,954.24803,
2461.157,947.37988,
2458.247,958.13959,
2455.336,973.39265,
2452.425,975.00234,
2449.515,965.50808,
2446.604,1002.6769,
2443.694,974.67677,
2440.783,976.32996,
2437.872,983.61481,
2434.962,1007.1815,
2432.051,1000.3939,
2429.141,1004.0046,
2426.230,1002.9839,
2423.320,1027.5894,
2420.409,1025.6442,
2417.498,1025.1868,
2414.588,1015.8351,
2411.677,1034.0841,
2408.767,1012.2756,
