,PLEB4C~1,
Raman shift [1/cm],Intensity,
3014.167,0.5,
3011.256,0.25005368,
3008.346,301.37308,
3005.435,362.92757,
3002.525,388.46253,
2999.614,392.68832,
2996.704,414.89896,
2993.793,408.27074,
2990.882,405.4923,
2987.972,426.51513,
2985.061,429.05665,
2982.151,446.99413,
2979.240,473.76616,
2976.329,465.98089,
2973.419,502.26893,
2970.508,519.43331,
2967.598,524.54779,
2964.687,531.70856,
2961.777,561.1498,
2958.866,577.50445,
2955.955,595.02431,
2953.045,592.30541,
2950.134,627.86151,
2947.224,626.52488,
2944.313,669.14031,
2941.403,678.5,
2938.492,682.22358,
2935.581,697.76869,
2932.671,709.33688,
2929.760,706.33079,
2926.850,726.0297,
2923.939,730.90188,
2921.028,749.92967,
2918.118,759.17758,
2915.207,764.81044,
2912.297,746.65233,
2909.386,757.32481,
2906.476,765.88764,
2903.565,762.59629,
2900.654,761.32408,
2897.744,760.78916,
2894.833,771.1291,
2891.923,740.52559,
2889.012,765.66185,
2886.102,779.68784,
2883.191,771.50661,
2880.280,755.47607,
2877.370,749.34881,
2874.459,754.02832,
2871.549,760.46058,
2868.638,811.23192,
2865.727,789.50763,
2862.817,813.04278,
2859.906,796.80483,
2856.996,829.4683,
2854.085,804.81087,
2851.175,818.12046,
2848.264,819.7205,
2845.353,817.41373,
2842.443,798.32646,
2839.532,776.27611,
2836.622,776.3763,
2833.711,766.07771,
2830.801,774.69412,
2827.890,802.8549,
2824.979,800.72204,
2822.069,773.82979,
2819.158,808.20081,
2816.248,804.05211,
2813.337,804.72683,
2810.427,811.27961,
2807.516,809.76625,
2804.605,800.66105,
2801.695,798.59212,
2798.784,810.83469,
2795.874,779.77968,
2792.963,795.78596,
2790.052,813.49743,
2787.142,777.98688,
2784.231,773.27486,
2781.321,769.69434,
2778.410,785.42513,
2775.500,774.07552,
2772.589,790.23165,
2769.678,796.53758,
2766.768,807.16799,
2763.857,811.81599,
2760.947,808.46848,
2758.036,846.70408,
2755.126,841.07692,
2752.215,830.22277,
2749.304,821.28778,
2746.394,840.84279,
2743.483,828.99998,
2740.573,832.61283,
2737.662,830.0429,
2734.751,823.17473,
2731.841,835.2033,
2728.930,851.17371,
2726.020,859.61748,
2723.109,860.95367,
2720.199,865.44058,
2717.288,854.55473,
2714.377,854.30394,
2711.467,894.82856,
2708.556,868.19137,
2705.646,875.88029,
2702.735,874.5,
2699.825,870.09816,
2696.914,878.45274,
2694.003,889.27073,
2691.093,900.30384,
2688.182,895.28074,
2685.272,881.68634,
2682.361,909.04148,
2679.450,883.88276,
2676.540,885.27644,
2673.629,882.79592,
2670.719,899.5,
2667.808,907.11092,
2664.898,901.13618,
2661.987,921.7002,
