,PLF753~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,-0.44998926,
3008.346,43.95164,
3005.435,65.69258,
3002.525,68.585011,
2999.614,63.049346,
2996.704,72.265975,
2993.793,66.646888,
2990.882,62.992297,
2987.972,67.964685,
2985.061,67.206905,
2982.151,67.954616,
2979.240,73.784226,
2976.329,65.99454,
2973.419,80.922978,
2970.508,86.84999,
2967.598,80.477912,
2964.687,84.269022,
2961.777,90.68389,
2958.866,82.331354,
2955.955,91.070789,
2953.045,80.769598,
2950.134,100.18075,
2947.224,101.94306,
2944.313,106.74145,
2941.403,115,
2938.492,105.98915,
2935.581,110.8601,
2932.671,111,
2929.760,119.01924,
2926.850,115.57481,
2923.939,120.68226,
2921.028,122.24715,
2918.118,121.16121,
2915.207,132.17723,
2912.297,134.99154,
2909.386,129.78103,
2906.476,121.19382,
2903.565,125.5326,
2900.654,123.05864,
2897.744,127.82399,
2894.833,114.82473,
2891.923,107.891,
2889.012,125.12717,
2886.102,108.33515,
2883.191,128.97451,
2880.280,113.1531,
2877.370,105.70929,
2874.459,117.64779,
2871.549,127.31593,
2868.638,121.68042,
2865.727,133.97308,
2862.817,119.61365,
2859.906,118.34188,
2856.996,123.98641,
2854.085,122.59873,
2851.175,137.04818,
2848.264,137.43133,
2845.353,143,
2842.443,133.01741,
2839.532,130.41783,
2836.622,118.45508,
2833.711,118.89639,
2830.801,114.30221,
2827.890,143.72902,
2824.979,136.58004,
2822.069,118.11372,
2819.158,131.04043,
2816.248,136.74711,
2813.337,134.34024,
2810.427,134.13223,
2807.516,123.42453,
2804.605,139.30047,
2801.695,123.26316,
2798.784,123.14785,
2795.874,136.72561,
2792.963,120.85702,
2790.052,143.99442,
2787.142,127.57892,
2784.231,126.41925,
2781.321,137.74856,
2778.410,138.97969,
2775.500,141.40483,
2772.589,132.46177,
2769.678,136.46416,
2766.768,137.81165,
2763.857,134.10597,
2760.947,134.96848,
2758.036,141.01281,
2755.126,144.19017,
2752.215,134.89533,
2749.304,148.67983,
2746.394,141.57662,
2743.483,138.9,
2740.573,136.22566,
2737.662,129.36094,
2734.751,138.50985,
2731.841,131.89194,
2728.930,140.95773,
2726.020,137.56655,
2723.109,147.77317,
2720.199,142.44991,
2717.288,142.49269,
2714.377,138.96656,
