,PL0BCA~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.75,
3011.256,-0.84991411,
3008.346,348.06989,
3005.435,417.86661,
3002.525,434.84508,
2999.614,459.03701,
2996.704,455.38711,
2993.793,469.85542,
2990.882,488.70418,
2987.972,490.93162,
2985.061,531.1835,
2982.151,533.22731,
2979.240,552.85077,
2976.329,559.26911,
2973.419,582.96515,
2970.508,607.54992,
2967.598,604.99257,
2964.687,625.92935,
2961.777,626.27996,
2958.866,660.08581,
2955.955,680.27431,
2953.045,690.96926,
2950.134,709.14358,
2947.224,725.94569,
2944.313,760.00855,
2941.403,766.52418,
2938.492,767.18632,
2935.581,771.45429,
2932.671,768.79294,
2929.760,794.97694,
2926.850,797.16805,
2923.939,802.91358,
2921.028,786.12642,
2918.118,823.63162,
2915.207,841.45892,
2912.297,832.80078,
2909.386,828.96168,
2906.476,825.68821,
2903.565,830.40999,
2900.654,846.24445,
2897.744,833.56142,
2894.833,834.83218,
2891.923,837.47749,
2889.012,826.62861,
2886.102,792.40002,
2883.191,751.77454,
2880.280,702.54421,
2877.370,529.26187,
2874.459,491.03317,
2871.549,617.59336,
2868.638,820.80763,
2865.727,810.77692,
2862.817,852.09489,
2859.906,844.94087,
2856.996,881.69566,
2854.085,879.66594,
2851.175,881.91568,
2848.264,894.73066,
2845.353,889.14612,
2842.443,874.12841,
2839.532,893.52611,
2836.622,904.05339,
2833.711,904.69819,
2830.801,904.64926,
2827.890,917.18882,
2824.979,923.108,
2822.069,919.90921,
2819.158,934.13005,
2816.248,940.72684,
2813.337,928.20366,
2810.427,935.57369,
2807.516,955.74265,
2804.605,940.40626,
2801.695,943.96051,
2798.784,973.94092,
2795.874,944.33049,
2792.963,931.89277,
2790.052,915.753,
2787.142,930.94742,
2784.231,923.2671,
2781.321,922.12716,
2778.410,926.0901,
2775.500,936.00379,
2772.589,929.94494,
2769.678,957.6818,
2766.768,951.86652,
2763.857,967.59393,
2760.947,971.68065,
2758.036,982.77561,
2755.126,968.50428,
2752.215,990.8773,
2749.304,992.75,
2746.394,985.11493,
2743.483,992.64996,
2740.573,990.10394,
2737.662,995.64349,
2734.751,1006.5654,
2731.841,1007.3983,
2728.930,980.16084,
2726.020,1000.7448,
2723.109,1001.1829,
2720.199,1017.3969,
2717.288,1038.2391,
2714.377,1022.4005,
2711.467,1043.2093,
2708.556,1046.9942,
2705.646,1070.5106,
2702.735,1058.7397,
2699.825,1058.0428,
2696.914,1065.3214,
2694.003,1038.2183,
2691.093,1060.8571,
2688.182,1065.8596,
2685.272,1072.9093,
2682.361,1077.1146,
2679.450,1070.8406,
2676.540,1079.9329,
2673.629,1089.4137,
2670.719,1097.1733,
2667.808,1108.3609,
2664.898,1087.2305,
2661.987,1095.3835,
2659.076,1103.6228,
2656.166,1106.3474,
2653.255,1123.8571,
2650.345,1123.7736,
2647.434,1141.1498,
2644.524,1138.2248,
2641.613,1143.0643,
2638.702,1166.3713,
2635.792,1146.1239,
2632.881,1159.9463,
2629.971,1140.1928,
2627.060,1131.5797,
2624.149,1165.8031,
2621.239,1156.7204,
2618.328,1140.1739,
2615.418,1151.7409,
2612.507,1170.6432,
2609.597,1207.9037,
2606.686,1175.5934,
2603.775,1199.2698,
2600.865,1193.3984,
2597.954,1203.4208,
2595.044,1221.3753,
2592.133,1236.2532,
2589.223,1235.2921,
2586.312,1253.6244,
2583.401,1235.4836,
2580.491,1235.0385,
2577.580,1256.7583,
2574.670,1258.9826,
2571.759,1248.9974,
2568.848,1259.0981,
2565.938,1267.7975,
2563.027,1262.3819,
2560.117,1247.1893,
2557.206,1256.4622,
2554.296,1289.5784,
2551.385,1289.626,
2548.474,1299.8983,
2545.564,1291.1615,
2542.653,1304.5285,
2539.743,1313.75,
2536.832,1307.7089,
2533.922,1331.955,
2531.011,1344.2,
2528.100,1332.621,
2525.190,1305.5668,
2522.279,1311.1872,
2519.369,1306.0892,
2516.458,1330.7571,
2513.548,1333.0864,
2510.637,1353.7826,
2507.726,1329.6831,
2504.816,1328.6857,
2501.905,1325.8659,
2498.995,1351.1973,
2496.084,1333.8023,
2493.173,1362.4609,
2490.263,1383.9184,
2487.352,1406.4579,
2484.442,1400.6044,
2481.531,1413.8084,
2478.621,1414.5367,
2475.710,1435.589,
2472.799,1413.0236,
2469.889,1406.7805,
2466.978,1420.9045,
2464.068,1397.0621,
2461.157,1422.7924,
2458.247,1435.0588,
2455.336,1436.0044,
2452.425,1432.6179,
2449.515,1451.1845,
2446.604,1469.0519,
2443.694,1460.8199,
2440.783,1471.8468,
2437.872,1475.5158,
2434.962,1501.0034,
2432.051,1514.7747,
2429.141,1497.3796,
2426.230,1501.0329,
2423.320,1512.2786,
2420.409,1518.0704,
2417.498,1529.9551,
2414.588,1538.5598,
2411.677,1521.2879,
2408.767,1538.5325,
2405.856,1536.9001,
2402.946,1562.0306,
2400.035,1550.8791,
2397.124,1557.3115,
2394.214,1567.9136,
2391.303,1570.5678,
2388.393,1540.1011,
2385.482,1514.5872,
2382.571,1540.7756,
2379.661,1542.2847,
2376.750,1591.8483,
2373.840,1625.5156,
2370.929,1645.5659,
2368.019,1626.3866,
2365.108,1636.7081,
2362.197,1634.9475,
2359.287,1662.355,
2356.376,1654.7623,
2353.466,1646.9932,
2350.555,1637.3301,
2347.645,1646.8546,
2344.734,1691.151,
2341.823,1671.2641,
2338.913,1701.0127,
2336.002,1721.8624,
2333.092,1719.8075,
2330.181,1726.5582,
2327.270,1728.805,
2324.360,1737.3632,
2321.449,1755.5051,
2318.539,1755.9182,
2315.628,1763.0682,
2312.718,1755.0848,
2309.807,1747.2529,
2306.896,1760.9472,
2303.986,1761.6333,
2301.075,1783.1968,
2298.165,1776.5576,
2295.254,1758.1378,
2292.344,1789.0198,
2289.433,1768.7886,
2286.522,1783.8839,
2283.612,1804.6212,
2280.701,1810.0191,
2277.791,1818.5515,
2274.880,1843.0999,
2271.969,1872.034,
2269.059,1859.938,
