,PL12AC~1,
Wavenumbers [1/cm],Intensity,
3014.167,4,
3011.256,-2.3499678,
3008.346,362.80538,
3005.435,429.11661,
3002.525,442.13255,
2999.614,479.53374,
2996.704,468.81443,
2993.793,482.61002,
2990.882,514.33577,
2987.972,514.98487,
2985.061,532.83747,
2982.151,548.43192,
2979.240,569.74809,
2976.329,582.2541,
2973.419,596.33864,
2970.508,623.53315,
2967.598,623.05141,
2964.687,644,
2961.777,647.62397,
2958.866,676.00297,
2955.955,683.38273,
2953.045,704.40271,
2950.134,717.93585,
2947.224,717.62272,
2944.313,767.60684,
2941.403,795.76277,
2938.492,775.98915,
2935.581,781.5644,
2932.671,807.96139,
2929.760,825.15771,
2926.850,813.14963,
2923.939,821.32245,
2921.028,829.18252,
2918.118,853.7204,
2915.207,848.17078,
2912.297,850.96192,
2909.386,862.19708,
2906.476,841.65171,
2903.565,856.67703,
2900.654,859.94136,
2897.744,872.25824,
2894.833,818.12363,
2891.923,842.65071,
2889.012,816.95376,
2886.102,812.67029,
2883.191,795.00472,
2880.280,682.13393,
2877.370,495.76198,
2874.459,381.42205,
2871.549,591.14597,
2868.638,824.56069,
2865.727,824.53073,
2862.817,857.94383,
2859.906,864.93732,
2856.996,888.46151,
2854.085,886.43696,
2851.175,883.68977,
2848.264,896.69633,
2845.353,913,
2842.443,917.39234,
2839.532,923.22389,
2836.622,913.48307,
2833.711,901.31868,
2830.801,916.88456,
2827.890,908.10314,
2824.979,928.67982,
2822.069,925.50037,
2819.158,958.35848,
2816.248,934.27605,
2813.337,951.92804,
2810.427,971.77961,
2807.516,979.52516,
2804.605,976.69953,
2801.695,978.59207,
2798.784,972.48254,
2795.874,956.70447,
2792.963,970.50011,
2790.052,952.0045,
2787.142,949.03958,
2784.231,958.58075,
2781.321,942.6857,
2778.410,940.48984,
2775.500,966.97585,
2772.589,961.65367,
2769.678,971.53236,
2766.768,969.76697,
2763.857,981.84586,
2760.947,1005.9559,
2758.036,983.7515,
2755.126,981.61325,
2752.215,1012.9547,
2749.304,981.64034,
2746.394,989.69353,
2743.483,1009.7499,
2740.573,998.8207,
2737.662,1000.4571,
2734.751,1010.1165,
2731.841,1005.6483,
2728.930,1019.1823,
2726.020,1023.2402,
2723.109,1050.2987,
2720.199,1041.4312,
2717.288,1051.1569,
2714.377,1061.4833,
2711.467,1059.7209,
2708.556,1071.1811,
2705.646,1101.1832,
2702.735,1058.6907,
2699.825,1097.651,
2696.914,1091.3327,
2694.003,1093.8163,
2691.093,1081.2322,
2688.182,1073.3081,
2685.272,1092.0085,
2682.361,1079.2467,
2679.450,1093.5844,
2676.540,1104.7561,
2673.629,1086.0314,
2670.719,1088.0582,
2667.808,1127.4437,
2664.898,1130.1819,
2661.987,1114.7998,
2659.076,1125.3297,
2656.166,1140.1775,
2653.255,1148.2194,
2650.345,1147.3757,
2647.434,1179.1137,
2644.524,1163.247,
2641.613,1166.5713,
2638.702,1159.0947,
2635.792,1170.7188,
2632.881,1178.6606,
2629.971,1163.1878,
2627.060,1169.9981,
2624.149,1173.0563,
2621.239,1186.0534,
2618.328,1188.9576,
2615.418,1189.9909,
2612.507,1198.9644,
2609.597,1189.2854,
2606.686,1219.8835,
2603.775,1217.0833,
2600.865,1222.6484,
2597.954,1258.1375,
2595.044,1255.5368,
2592.133,1242.8085,
2589.223,1240.9642,
2586.312,1287.5076,
2583.401,1269.0183,
2580.491,1286.4519,
2577.580,1264.0017,
2574.670,1263.3396,
2571.759,1254.5959,
2568.848,1254.2928,
2565.938,1270.5714,
2563.027,1282.5863,
2560.117,1274.299,
2557.206,1307.2989,
2554.296,1294.4325,
2551.385,1301.8019,
2548.474,1306.1855,
2545.564,1344.9554,
2542.653,1330.6208,
2539.743,1322.1725,
2536.832,1334.4299,
2533.922,1351.8108,
2531.011,1342.4748,
2528.100,1340.4704,
2525.190,1338.534,
2522.279,1344.531,
2519.369,1341.6411,
2516.458,1345.3251,
2513.548,1354.6088,
2510.637,1348.906,
2507.726,1372.0669,
2504.816,1372.5017,
2501.905,1365.1451,
2498.995,1383.7014,
2496.084,1390.0384,
2493.173,1403.947,
2490.263,1402.9774,
2487.352,1408.2504,
2484.442,1420.2655,
2481.531,1414.4098,
2478.621,1431.8532,
2475.710,1439.954,
2472.799,1433.5067,
2469.889,1446.543,
2466.978,1441.0724,
2464.068,1431.0846,
2461.157,1439.7325,
2458.247,1451.2648,
2455.336,1428.6418,
2452.425,1484.4293,
2449.515,1484.8212,
2446.604,1503.9424,
2443.694,1490.3717,
2440.783,1526.5327,
2437.872,1495.5315,
2434.962,1525.7558,
2432.051,1517.4819,
2429.141,1526.9002,
2426.230,1536.0221,
2423.320,1526.1571,
2420.409,1526.6218,
2417.498,1548.1377,
2414.588,1571.1749,
2411.677,1552.3944,
2408.767,1572.8652,
2405.856,1578.0787,
2402.946,1572.9053,
2400.035,1618.9625,
2397.124,1590.5401,
2394.214,1581.2708,
2391.303,1592.9668,
2388.393,1575.1116,
2385.482,1565.0881,
2382.571,1545.9744,
2379.661,1569.3951,
2376.750,1607.628,
2373.840,1629.9812,
2370.929,1628.0541,
2368.019,1616.4329,
2365.108,1647.2539,
2362.197,1672.5699,
2359.287,1665.8234,
2356.376,1687.956,
2353.466,1679.637,
2350.555,1673.1601,
2347.645,1678,
2344.734,1690.6083,
2341.823,1700.8839,
2338.913,1702.6179,
2336.002,1723.6292,
2333.092,1727.5057,
2330.181,1729.4911,
2327.270,1735.615,
2324.360,1759.3608,
2321.449,1784.8776,
2318.539,1781.7645,
2315.628,1760.5384,
2312.718,1783.3811,
2309.807,1776.6831,
2306.896,1790.2833,
2303.986,1807.3507,
2301.075,1796.9575,
2298.165,1803.7599,
2295.254,1782.5601,
2292.344,1825.3111,
2289.433,1837.6255,
2286.522,1827,
2283.612,1851.8419,
2280.701,1863,
2277.791,1877.2787,
2274.880,1872.1978,
2271.969,1909.2634,
2269.059,1898.6758,
2266.148,1898.5409,
2263.238,1918.6911,
2260.327,1913.5518,
2257.417,1922.8978,
2254.506,1929,
2251.595,1934.1382,
2248.685,1951.9942,
2245.774,1966.9119,
2242.864,1957,
2239.953,1957.2276,
2237.043,1953.7139,
2234.132,1941.4935,
2231.221,1948.3696,
2228.311,1988.6636,
2225.400,2015.4636,
2222.490,2067.2997,
2219.579,2066.8457,
2216.669,2067.938,
2213.758,2094.6981,
2210.847,2084.267,
2207.937,2110.697,
2205.026,2152.0012,
2202.116,2124.7197,
2199.205,2157.3861,
2196.294,2195.116,
2193.384,2193.053,
