,PL21A3~1,
Wavenumbers [1/cm],Intensity,
3014.167,5.875,
3011.256,-1.8249356,
3008.346,349.09392,
3005.435,426.95274,
3002.525,419.77992,
2999.614,474.22042,
2996.704,459.00799,
2993.793,479.24654,
2990.882,489.78335,
2987.972,497.9204,
2985.061,520.61886,
2982.151,543.15904,
2979.240,564.30655,
2976.329,567.11271,
2973.419,586.79798,
2970.508,606.90825,
2967.598,624.82721,
2964.687,632.94905,
2961.777,623.84917,
2958.866,667.54662,
2955.955,673.01658,
2953.045,691.2598,
2950.134,714.60972,
2947.224,731.84653,
2944.313,736.71759,
2941.403,749.08942,
2938.492,758.43868,
2935.581,766.14369,
2932.671,765.99517,
2929.760,798.41736,
2926.850,809.76335,
2923.939,799.58992,
2921.028,824.58096,
2918.118,832.5148,
2915.207,843.23591,
2912.297,838.93001,
2909.386,835.10127,
2906.476,845.06882,
2903.565,823.74462,
2900.654,852.60401,
2897.744,842.66127,
2894.833,825.05027,
2891.923,811.71149,
2889.012,799.58598,
2886.102,786.04257,
2883.191,773.8835,
2880.280,667.88452,
2877.370,494.95664,
2874.459,429.27764,
2871.549,578.87659,
2868.638,813.43365,
2865.727,826.50578,
2862.817,858.84823,
2859.906,846.07728,
2856.996,860.7799,
2854.085,863.38967,
2851.175,897.70339,
2848.264,894.99299,
2845.353,876.28477,
2842.443,893.67709,
2839.532,901.96449,
2836.622,914.06054,
2833.711,922.93464,
2830.801,904.98309,
2827.890,916.89422,
2824.979,909.517,
2822.069,915.05695,
2819.158,931.25505,
2816.248,947.56421,
2813.337,943.57621,
2810.427,959.26481,
2807.516,958.50813,
2804.605,964.3702,
2801.695,972.82235,
2798.784,945.50131,
2795.874,952.2998,
2792.963,953.94638,
2790.052,942.87714,
2787.142,928.45392,
2784.231,948.58305,
2781.321,922.93786,
2778.410,930.51458,
2775.500,952.12879,
2772.589,935.95297,
2769.678,959.76575,
2766.768,964.00509,
2763.857,958.13897,
2760.947,968.39706,
2758.036,1002.372,
2755.126,973.10791,
2752.215,985.27953,
2749.304,989.98111,
2746.394,993.5464,
2743.483,1003.5749,
2740.573,978.06509,
2737.662,992.21523,
2734.751,987.94309,
2731.841,994.25413,
2728.930,1006.019,
2726.020,1022.4363,
2723.109,1032.1945,
2720.199,1023.0719,
2717.288,1018.8568,
2714.377,1013.4252,
2711.467,1040.6289,
2708.556,1047.1836,
2705.646,1080.9033,
2702.735,1054.7075,
2699.825,1066.1023,
2696.914,1074.0177,
2694.003,1081.2506,
2691.093,1054.3395,
2688.182,1069.8031,
2685.272,1068.7071,
2682.361,1090.2691,
2679.450,1086.6281,
2676.540,1076.1799,
2673.629,1093.8615,
2670.719,1099.875,
2667.808,1074.1882,
2664.898,1091.2777,
2661.987,1099.742,
2659.076,1118.8578,
2656.166,1105.1043,
2653.255,1130.5485,
2650.345,1111.875,
2647.434,1161.3894,
2644.524,1152.2035,
2641.613,1140.5324,
2638.702,1141.9381,
2635.792,1162.9418,
2632.881,1157.0114,
2629.971,1167.2776,
2627.060,1171.3778,
2624.149,1161.7375,
2621.239,1162.5968,
2618.328,1172.2141,
2615.418,1176.225,
2612.507,1167.6339,
2609.597,1171.4159,
2606.686,1177.4071,
2603.775,1198.9187,
2600.865,1223.8716,
2597.954,1209.1687,
2595.044,1225.6243,
2592.133,1228.2765,
2589.223,1206.2118,
2586.312,1261.6288,
2583.401,1249.4663,
2580.491,1232.0962,
2577.580,1250.8849,
2574.670,1261.5795,
2571.759,1268.9204,
2568.848,1245.9412,
2565.938,1263.5418,
2563.027,1258.1931,
2560.117,1268.9685,
2557.206,1266.0669,
2554.296,1276.3304,
2551.385,1274.5691,
2548.474,1299.4679,
2545.564,1313.6534,
2542.653,1309.8851,
2539.743,1332.7148,
2536.832,1323.9759,
2533.922,1346.9854,
2531.011,1349.4754,
2528.100,1320.2826,
2525.190,1330.1734,
2522.279,1331.4529,
2519.369,1321.6675,
2516.458,1328.8821,
2513.548,1330.4024,
2510.637,1359.5965,
2507.726,1378.0683,
2504.816,1359.1873,
2501.905,1338.397,
2498.995,1346.8153,
2496.084,1352.9273,
2493.173,1365.5591,
2490.263,1406.7508,
2487.352,1417.4593,
2484.442,1428.3118,
2481.531,1409.2368,
2478.621,1402.4817,
2475.710,1407.1434,
2472.799,1438.4221,
2469.889,1409.4539,
2466.978,1397.0914,
2464.068,1419.9862,
2461.157,1424.6026,
2458.247,1406.6102,
2455.336,1425.9357,
2452.425,1459.3797,
2449.515,1451.1016,
2446.604,1463.7529,
2443.694,1483.0847,
2440.783,1481.3491,
2437.872,1497.1667,
2434.962,1508.8151,
2432.051,1510.1217,
2429.141,1486.3516,
2426.230,1503.3104,
2423.320,1518.0468,
2420.409,1513.8427,
2417.498,1520.507,
2414.588,1535.7646,
2411.677,1540.5204,
2408.767,1553.5748,
2405.856,1535.7155,
2402.946,1545.6194,
2400.035,1561.8656,
2397.124,1574.0087,
2394.214,1577.899,
2391.303,1548.7314,
2388.393,1549.8611,
2385.482,1531.7562,
2382.571,1521.2553,
2379.661,1524.8281,
2376.750,1578.0818,
2373.840,1599.2875,
2370.929,1611.7667,
2368.019,1628.5006,
2365.108,1647.0844,
2362.197,1652.4449,
2359.287,1640.1101,
2356.376,1667.8186,
2353.466,1639.6627,
2350.555,1662.2307,
2347.645,1669.9691,
2344.734,1672.9995,
2341.823,1691.6428,
2338.913,1681.1183,
2336.002,1702.449,
2333.092,1728.875,
2330.181,1716.0489,
2327.270,1732.6649,
2324.360,1726.4457,
2321.449,1756.1981,
2318.539,1746.1502,
2315.628,1731.6903,
2312.718,1742.2406,
2309.807,1768.7137,
2306.896,1753.3789,
2303.986,1760.966,
2301.075,1777.5133,
2298.165,1787.6636,
2295.254,1767.3489,
2292.344,1783.4062,
2289.433,1770.9214,
2286.522,1799.3034,
2283.612,1832.1263,
2280.701,1839.0095,
2277.791,1799.7184,
2274.880,1844.303,
2271.969,1850.1301,
2269.059,1869.1638,
2266.148,1867.9318,
2263.238,1846.7823,
2260.327,1896.4955,
2257.417,1887.6011,
2254.506,1908.761,
2251.595,1893.3041,
2248.685,1928.2287,
2245.774,1913.8425,
2242.864,1925.2541,
2239.953,1901.875,
2237.043,1911.6161,
2234.132,1936.7866,
2231.221,1961.9293,
2228.311,1947.9987,
2225.400,1944.3948,
2222.490,1998.9174,
2219.579,2008.9007,
