,PL28C2~1,
Wavenumbers [1/cm],Intensity,
3014.167,3.875,
3011.256,-1.2749248,
3008.346,131.52798,
3005.435,150.75839,
3002.525,144.08249,
2999.614,174.53865,
2996.704,163.52037,
2993.793,176.48502,
2990.882,181.09641,
2987.972,179.88509,
2985.061,192.51541,
2982.151,197.94894,
2979.240,204.875,
2976.329,198.86408,
2973.419,212.47526,
2970.508,229.00819,
2967.598,245.72801,
2964.687,232.42663,
2961.777,220.2252,
2958.866,239.53919,
2955.955,239.08076,
2953.045,259.77432,
2950.134,253.66217,
2947.224,267.18816,
2944.313,272.03241,
2941.403,274.43476,
2938.492,288.62027,
2935.581,282.4505,
2932.671,289.19691,
2929.760,309.03271,
2926.850,296.07688,
2923.939,309.11331,
2921.028,314.1044,
2918.118,313.13571,
2915.207,314.16608,
2912.297,301.91308,
2909.386,310.63414,
2906.476,309.1924,
2903.565,299.97129,
2900.654,304.81636,
2897.744,307.57327,
2894.833,285.52445,
2891.923,304.09301,
2889.012,286.20448,
2886.102,277.12908,
2883.191,236.89954,
2880.280,149.77928,
2877.370,-1.0956327,
2874.459,-58.325924,
2871.549,72.691727,
2868.638,263.56973,
2865.727,280.77496,
2862.817,299.33222,
2859.906,280.98896,
2856.996,305.26858,
2854.085,321.83297,
2851.175,327.68227,
2848.264,340.27732,
2845.353,323.98284,
2842.443,329.67361,
2839.532,349.50175,
2836.622,355.26823,
2833.711,337.67561,
2830.801,342.8603,
2827.890,347.66167,
2824.979,342.13487,
2822.069,356.77265,
2819.158,347.11489,
2816.248,363.80552,
2813.337,356.00914,
2810.427,364.875,
2807.516,356.45781,
2804.605,353.32693,
2801.695,371.92765,
2798.784,350.16662,
2795.874,357.72988,
2792.963,365.66085,
2790.052,354.878,
2787.142,346.69092,
2784.231,347.3921,
2781.321,364.05782,
2778.410,358.92956,
2775.500,353.55776,
2772.589,346.75956,
2769.678,356.55072,
2766.768,364.00509,
2763.857,359.19292,
2760.947,367.31511,
2758.036,361.26356,
2755.126,348.43911,
2752.215,372.66142,
2749.304,354.19517,
2746.394,371.08669,
2743.483,368.02502,
2740.573,382.61844,
2737.662,378.78919,
2734.751,388.61783,
2731.841,379.30723,
2728.930,366.16298,
2726.020,371.74711,
2723.109,387.24566,
2720.199,387.7969,
2717.288,384.96259,
2714.377,391.97074,
2711.467,384.48159,
2708.556,390.17268,
2705.646,408.70602,
2702.735,398.70232,
2699.825,399.7223,
2696.914,396.3509,
2694.003,377.98556,
2691.093,406.32145,
2688.182,395.41944,
2685.272,405.43261,
2682.361,415.42194,
2679.450,410.25776,
2676.540,418.69208,
2673.629,417.17541,
2670.719,420.9554,
2667.808,414.875,
2664.898,414.51118,
2661.987,409.5747,
2659.076,415.33188,
2656.166,429.3902,
2653.255,411.1369,
2650.345,414.06738,
2647.434,448.53204,
2644.524,432.52003,
2641.613,441.67576,
2638.702,420.42734,
2635.792,450.40839,
2632.881,440.22608,
2629.971,446.61998,
2627.060,460.04593,
2624.149,420.36251,
2621.239,434.16502,
2618.328,433.68036,
2615.418,444.24317,
2612.507,438.80382,
2609.597,456.68139,
2606.686,439.01758,
2603.775,456.0377,
2600.865,457.99443,
2597.954,434.92911,
2595.044,464.79529,
2592.133,463.30792,
2589.223,455.3329,
2586.312,453.2871,
2583.401,456.97361,
2580.491,474.88945,
2577.580,483.8552,
2574.670,476.85627,
2571.759,478.86473,
2568.848,478.10709,
2565.938,486.92269,
2563.027,477.14319,
2560.117,466.34227,
2557.206,446.41006,
2554.296,487.61413,
2551.385,470.56099,
2548.474,469.57872,
2545.564,490.21023,
2542.653,491.57969,
2539.743,492.51671,
2536.832,483.89556,
2533.922,502.70154,
2531.011,491.32505,
2528.100,487.74259,
2525.190,511.17336,
2522.279,500.65565,
2519.369,476.17687,
2516.458,490.77372,
2513.548,502.68408,
2510.637,504.44462,
2507.726,496.00139,
2504.816,502.56384,
2501.905,510.06341,
2498.995,505.53191,
2496.084,519.24784,
2493.173,509.74288,
2490.263,512.62757,
2487.352,529.54113,
2484.442,532.41244,
2481.531,540.44433,
2478.621,500.84174,
2475.710,524.79065,
2472.799,514.36827,
2469.889,520.23789,
2466.978,514.05036,
2464.068,517.5364,
2461.157,529.18007,
2458.247,530.24279,
2455.336,555.4484,
2452.425,550.06839,
2449.515,540.69622,
2446.604,558.40728,
2443.694,555.03783,
2440.783,551.82658,
2437.872,556.13025,
2434.962,562.08698,
2432.051,561.82565,
2429.141,558.89271,
2426.230,563.41866,
2423.320,565.13198,
2420.409,570.36221,
2417.498,566.08005,
2414.588,586.12966,
2411.677,588.40884,
2408.767,576.12795,
2405.856,566.55601,
2402.946,573.35757,
2400.035,584.57219,
2397.124,583.11029,
2394.214,584.76501,
2391.303,582.34451,
2388.393,577.70519,
2385.482,548.93248,
2382.571,537.16564,
2379.661,558.34004,
2376.750,583.23942,
2373.840,613.91554,
2370.929,609.97247,
2368.019,615.34419,
2365.108,622.75982,
2362.197,623.82026,
2359.287,621.49672,
2356.376,616.87852,
2353.466,609.45032,
2350.555,616.66503,
2347.645,628.53194,
