,PL2D64~1,
Wavenumbers [1/cm],Intensity,
3014.167,5.5,
3011.256,-3.0999141,
3008.346,363.80054,
3005.435,447.80742,
3002.525,455.21756,
2999.614,483.17271,
2996.704,482.0402,
2993.793,507.61463,
2990.882,522.84347,
2987.972,532.51009,
2985.061,543.36701,
2982.151,549.21596,
2979.240,579.88116,
2976.329,593.7541,
2973.419,625.39243,
2970.508,626.04997,
2967.598,637.93012,
2964.687,651.27581,
2961.777,687.30373,
2958.866,716.5193,
2955.955,716.30085,
2953.045,711.33446,
2950.134,731.62831,
2947.224,755.66722,
2944.313,785.1631,
2941.403,794.22673,
2938.492,785.79811,
2935.581,809.10733,
2932.671,816.94208,
2929.760,839.26156,
2926.850,833.38835,
2923.939,833.93925,
2921.028,855.7649,
2918.118,875.56172,
2915.207,891.85446,
2912.297,864.62271,
2909.386,878.46352,
2906.476,882.84829,
2903.565,863.72667,
2900.654,859.28765,
2897.744,841.28627,
2894.833,829.44836,
2891.923,838.1218,
2889.012,808.45954,
2886.102,785.17029,
2883.191,734.53587,
2880.280,556.9449,
2877.370,199.36694,
2874.459,72.160991,
2871.549,383.41049,
2868.638,763.11219,
2865.727,806.90377,
2862.817,875.11628,
2859.906,860.47436,
2856.996,878.87999,
2854.085,922.22482,
2851.175,910.87954,
2848.264,919.55416,
2845.353,918.67254,
2842.443,931.29164,
2839.532,924.52994,
2836.622,913.53385,
2833.711,923.13735,
2830.801,915.60074,
2827.890,934.98431,
2824.979,946.3761,
2822.069,960.68195,
2819.158,970.79919,
2816.248,975.695,
2813.337,979.86097,
2810.427,983.33058,
2807.516,978.02516,
2804.605,961.28608,
2801.695,992.67105,
2798.784,996.98254,
2795.874,978.48415,
2792.963,981.28542,
2790.052,951.50493,
2787.142,961.56581,
2784.231,954.98448,
2781.321,971.19146,
2778.410,986.47969,
2775.500,985.84138,
2772.589,980.34557,
2769.678,981.71155,
2766.768,982.13688,
2763.857,1005.816,
2760.947,1006.4937,
2758.036,1013.1242,
2755.126,998.21154,
2752.215,1025.1775,
2749.304,1023.3094,
2746.394,1003.6249,
2743.483,1037.6501,
2740.573,1029.9359,
2737.662,1045.8299,
2734.751,1037.9176,
2731.841,1018.337,
2728.930,1033.1526,
2726.020,1044.6279,
2723.109,1053.0671,
2720.199,1077.0093,
2717.288,1068.3613,
2714.377,1073.0456,
2711.467,1072.6967,
2708.556,1076.1063,
2705.646,1108.9226,
2702.735,1113.0077,
2699.825,1117.5654,
2696.914,1098.3091,
2694.003,1100.6837,
2691.093,1105.6781,
2688.182,1109.5378,
2685.272,1088.8983,
2682.361,1106.5055,
2679.450,1112.3437,
2676.540,1112.3781,
2673.629,1109.1547,
2670.719,1107.4344,
2667.808,1092.0836,
2664.898,1114.9416,
2661.987,1129.2004,
2659.076,1132.153,
2656.166,1147.6775,
2653.255,1143.2058,
2650.345,1164.157,
2647.434,1195.5289,
2644.524,1188.7397,
2641.613,1185.8721,
2638.702,1181.7525,
2635.792,1198.9407,
2632.881,1174.5,
2629.971,1174.5,
2627.060,1182.1625,
2624.149,1209.0688,
2621.239,1201.5,
2618.328,1181.6021,
2615.418,1211.8091,
2612.507,1214.4328,
2609.597,1216.7655,
