,PL3CCC~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.5,
3011.256,-0.099914107,
3008.346,172.60946,
3005.435,205.92403,
3002.525,207.32998,
2999.614,232.97533,
2996.704,229.04846,
2993.793,232.36694,
2990.882,241.32441,
2987.972,245.56558,
2985.061,262.49015,
2982.151,267.5,
2979.240,288.5,
2976.329,284.74317,
2973.419,290.76162,
2970.508,294.89996,
2967.598,314.54779,
2964.687,319.79823,
2961.777,322.68802,
2958.866,317.50742,
2955.955,329.50661,
2953.045,336.8848,
2950.134,348.71283,
2947.224,340.89497,
2944.313,381.75855,
2941.403,387.40511,
2938.492,380.35095,
2935.581,385.95152,
2932.671,374.62017,
2929.760,393.67695,
2926.850,412.34323,
2923.939,408.01868,
2921.028,425.60013,
2918.118,428.9597,
2915.207,421.79108,
2912.297,417.50423,
2909.386,422.5073,
2906.476,433.56179,
2903.565,426.35556,
2900.654,427.95802,
2897.744,421.36171,
2894.833,418.33491,
2891.923,431.9327,
2889.012,429.87572,
2886.102,417.23109,
2883.191,380.52832,
2880.280,342.88276,
2877.370,262.2676,
2874.459,285.60086,
2871.549,345.00027,
2868.638,428.32469,
2865.727,420.52692,
2862.817,445.81549,
2859.906,437.6396,
2856.996,448.98868,
2854.085,450.61975,
2851.175,449.97591,
2848.264,471.61799,
2845.353,448.71567,
2842.443,462.49304,
2839.532,456.85828,
2836.622,452.77539,
2833.711,462.87048,
2830.801,473.08971,
2827.890,452.62235,
2824.979,463.89583,
2822.069,476.43177,
2819.158,471.64016,
2816.248,493.67184,
2813.337,467.81952,
2810.427,476.36087,
2807.516,463.72328,
2804.605,493.47836,
2801.695,479.88156,
2798.784,493.79977,
2795.874,474.21504,
2792.963,472.21426,
2790.052,462.50193,
2787.142,472.85527,
2784.231,469.24224,
2781.321,487.11707,
2778.410,470.64974,
2775.500,467.30966,
2772.589,468.61696,
2769.678,488.78671,
2766.768,487.74661,
2763.857,477.81792,
2760.947,494.4937,
2758.036,506.20708,
2755.126,485.11325,
2752.215,503.15912,
2749.304,479.33097,
2746.394,491.34676,
2743.483,492.85001,
2740.573,494.16152,
2737.662,500.59616,
2734.751,498.87366,
2731.841,502.82417,
2728.930,495.13541,
2726.020,517.05093,
2723.109,519.70608,
2720.199,512.18761,
2717.288,514.98907,
2714.377,520.92098,
2711.467,522.27033,
2708.556,530.54253,
2705.646,540.7958,
2702.735,538.17011,
2699.825,549.81458,
2696.914,529.35633,
2694.003,537.0691,
2691.093,548.69616,
2688.182,543.02741,
2685.272,554.55264,
2682.361,530.74673,
2679.450,548.62345,
2676.540,542.60162,
2673.629,543.8498,
2670.719,551.91591,
2667.808,550.98636,
2664.898,557.31809,
2661.987,553.99983,
2659.076,571.06679,
2656.166,554.33977,
2653.255,567.5,
2650.345,568.28403,
2647.434,604.87096,
2644.524,580.16424,
2641.613,575.35732,
2638.702,575.54734,
2635.792,578.90876,
2632.881,582.01748,
2629.971,592.39258,
2627.060,582.83125,
2624.149,589.39376,
2621.239,573.74259,
2618.328,597.56748,
2615.418,577.16364,
2612.507,590.29047,
2609.597,608.3982,
2606.686,600.30522,
2603.775,601.9008,
2600.865,608.32254,
2597.954,623.40417,
2595.044,620.50886,
2592.133,612.99676,
2589.223,603.25894,
2586.312,611.32915,
2583.401,617.2336,
2580.491,614.61061,
2577.580,639.5033,
2574.670,641.77674,
2571.759,633.69179,
2568.848,628.96963,
2565.938,628.16648,
2563.027,647.27958,
2560.117,635.22897,
2557.206,629.97971,
2554.296,643.5,
2551.385,634.73991,
2548.474,638.98179,
2545.564,655.18344,
2542.653,663.47987,
2539.743,646.95687,
2536.832,652.01028,
2533.922,679.46846,
2531.011,672.8254,
2528.100,656.76828,
2525.190,661.40574,
2522.279,676.51514,
2519.369,648.34955,
2516.458,653.4058,
2513.548,663.60012,
2510.637,650.89783,
2507.726,684.06505,
2504.816,680.43799,
2501.905,678.63049,
2498.995,679.23185,
2496.084,696.38147,
2493.173,679.57914,
2490.263,699.65709,
2487.352,700.3748,
2484.442,702.34153,
2481.531,705.54796,
2478.621,702.87443,
2475.710,716.53067,
2472.799,719.7601,
2469.889,722.83242,
2466.978,721.28357,
2464.068,701.26184,
2461.157,736.80019,
2458.247,721.9855,
2455.336,723.07727,
2452.425,723.08964,
2449.515,732.74532,
2446.604,738.02532,
2443.694,732.87168,
2440.783,748.79054,
2437.872,742.24475,
2434.962,742.06681,
2432.051,763.91364,
2429.141,750.41787,
2426.230,750.97847,
2423.320,767.85684,
2420.409,769.15406,
2417.498,753.49158,
2414.588,763.67487,
2411.677,785.92627,
2408.767,770.75295,
2405.856,763.05719,
2402.946,782.93521,
2400.035,800.99531,
2397.124,783.58023,
2394.214,766.33919,
2391.303,792.4336,
2388.393,774.63946,
2385.482,767.36781,
2382.571,766.5,
2379.661,777.66259,
2376.750,779.71439,
2373.840,814.56229,
2370.929,817.6083,
2368.019,818.51106,
2365.108,835.15183,
2362.197,830.88905,
2359.287,826.11337,
2356.376,817.51233,
