,PL3F62~1,
Wavenumbers [1/cm],Intensity,
3014.167,4.75,
3011.256,-0.49994632,
3008.346,303.32018,
3005.435,332.86661,
3002.525,354.60011,
2999.614,377.79935,
2996.704,376.11289,
2993.793,389.25461,
2990.882,394.78812,
2987.972,414.68442,
2985.061,427.02097,
2982.151,444.65923,
2979.240,452.4696,
2976.329,457.78822,
2973.419,472.22676,
2970.508,503.41653,
2967.598,508.60301,
2964.687,500.07744,
2961.777,524.80992,
2958.866,533.08729,
2955.955,530.02655,
2953.045,565.41892,
2950.134,567.19603,
2947.224,578.0311,
2944.313,614.10969,
2941.403,609.96442,
2938.492,619.19716,
2935.581,609.43838,
2932.671,628.07191,
2929.760,640.9577,
2926.850,659.86165,
2923.939,655.99301,
2921.028,660.39132,
2918.118,666.29535,
2915.207,699.15493,
2912.297,675.8177,
2909.386,685.72811,
2906.476,692.0674,
2903.565,678.76704,
2900.654,682.71357,
2897.744,679.64942,
2894.833,678.76018,
2891.923,668.47749,
2889.012,638.16041,
2886.102,644.25272,
2883.191,609.7736,
2880.280,541.98442,
2877.370,368.22127,
2874.459,295.24109,
2871.549,449.64558,
2868.638,649.71895,
2865.727,659.30765,
2862.817,710.72323,
2859.906,696.4594,
2856.996,727.17075,
2854.085,718.34239,
2851.175,720.84637,
2848.264,733.17166,
2845.353,720.8794,
2842.443,733.93747,
2839.532,736.98885,
2836.622,741.6263,
2833.711,725.01687,
2830.801,728.84338,
2827.890,739.58216,
2824.979,757.50384,
2822.069,738.98881,
2819.158,757.84973,
2816.248,759.23263,
2813.337,789.82196,
2810.427,781.91942,
2807.516,783.85797,
2804.605,782.54567,
2801.695,776.65788,
2798.784,779.23254,
2795.874,763.2935,
2792.963,769.82095,
2790.052,753.75107,
2787.142,753.69754,
2784.231,744.7842,
2781.321,754.3786,
2778.410,774.12435,
2775.500,788.75,
2772.589,777.98089,
2769.678,770.46677,
2766.768,782.47624,
2763.857,775.27794,
2760.947,799.81935,
2758.036,797.19578,
2755.126,793.03205,
2752.215,798.4954,
2749.304,780.79318,
2746.394,796.67735,
2743.483,819.85,
2740.573,804.7809,
2737.662,804.63314,
2734.751,801.30824,
2731.841,835.64379,
2728.930,811.48712,
2726.020,826.40799,
2723.109,830.389,
2720.199,842.47496,
2717.288,846.03102,
2714.377,834.17098,
2711.467,844.04452,
2708.556,859.32474,
2705.646,870.87682,
2702.735,866.26805,
2699.825,885.21728,
2696.914,876.2259,
2694.003,845.63129,
2691.093,861.78492,
2688.182,850.67815,
2685.272,859.75,
2682.361,871.57315,
2679.450,871.34678,
2676.540,856.46134,
2673.629,887.76347,
2670.719,893.95426,
2667.808,879.81998,
2664.898,891.76264,
2661.987,899.28309,
2659.076,884.51293,
2656.166,898.87983,
2653.255,912.11905,
2650.345,914.96597,
2647.434,939.69313,
2644.524,943.95861,
2641.613,940.23586,
2638.702,953.57641,
2635.792,916.59347,
2632.881,941.84485,
2629.971,929.08539,
2627.060,963.91781,
2624.149,942.34689,
2621.239,931.50741,
2618.328,952.51297,
2615.418,964.4409,
2612.507,955.61165,
2609.597,962.1991,
2606.686,963.08736,
2603.775,964.5873,
2600.865,973.33367,
2597.954,979.80411,
2595.044,994.80314,
2592.133,992.53354,
2589.223,991.61736,
2586.312,1027.8957,
2583.401,1026.8923,
2580.491,1011.1491,
2577.580,1031.745,
2574.670,1029.5802,
2571.759,1019.6387,
2568.848,1033.6231,
2565.938,1028.3214,
2563.027,1030.4568,
2560.117,1032.3762,
2557.206,1042.1744,
2554.296,1033.4365,
2551.385,1042.8821,
2548.474,1046.5277,
2545.564,1059.2752,
2542.653,1078.9614,
2539.743,1063.7007,
2536.832,1063.2192,
2533.922,1071.2073,
2531.011,1096.7253,
2528.100,1081.8197,
2525.190,1102.6295,
2522.279,1085.5307,
2519.369,1058.6369,
2516.458,1082.6593,
2513.548,1101.7046,
2510.637,1085.6885,
2507.726,1082.2519,
2504.816,1088.564,
2501.905,1092.0689,
2498.995,1106.4069,
2496.084,1115.5235,
2493.173,1114.4079,
2490.263,1108.5703,
2487.352,1142.6264,
2484.442,1159.902,
2481.531,1143.798,
2478.621,1134.9822,
2475.710,1142.7883,
2472.799,1145.037,
2469.889,1143.052,
2466.978,1148.3067,
2464.068,1158.2844,
2461.157,1151.9849,
2458.247,1169.3235,
2455.336,1166.112,
2452.425,1187.9293,
2449.515,1178.0619,
2446.604,1210.5633,
2443.694,1198.2606,
2440.783,1209.3277,
2437.872,1238.7135,
2434.962,1224.6164,
2432.051,1215.0591,
2429.141,1229.5149,
2426.230,1230.2937,
2423.320,1234.1641,
2420.409,1246.2884,
2417.498,1248.3652,
2414.588,1238.2101,
2411.677,1269.5389,
2408.767,1281.8967,
2405.856,1253.4048,
2402.946,1276.078,
2400.035,1271.5669,
2397.124,1272.8516,
2394.214,1266.3988,
2391.303,1275.2527,
2388.393,1268.3128,
2385.482,1264.7059,
2382.571,1229.7756,
2379.661,1243.9356,
2376.750,1298.6415,
2373.840,1319.7312,
2370.929,1322.75,
2368.019,1334.641,
2365.108,1335.2866,
2362.197,1315.3609,
2359.287,1325.7249,
2356.376,1330.7465,
2353.466,1337.7191,
2350.555,1352.4652,
2347.645,1362.1579,
2344.734,1373.5703,
2341.823,1370.8495,
2338.913,1384.5261,
2336.002,1386.4462,
2333.092,1361.1066,
2330.181,1385.2103,
2327.270,1403.365,
2324.360,1402.5731,
2321.449,1417.1956,
2318.539,1413.8356,
2315.628,1421.2372,
2312.718,1409.5011,
2309.807,1408.7747,
2306.896,1426.0254,
2303.986,1446.6267,
2301.075,1467.5372,
2298.165,1447.8072,
2295.254,1463.2761,
2292.344,1431.9574,
2289.433,1457.5223,
2286.522,1470.3751,
2283.612,1462.9605,
2280.701,1524.6019,
2277.791,1480.9522,
2274.880,1511.676,
2271.969,1517.9763,
2269.059,1515.6328,
2266.148,1546.8502,
2263.238,1543.4566,
2260.327,1570.5772,
2257.417,1536.5272,
2254.506,1566.7728,
2251.595,1568.0373,
2248.685,1575.5884,
2245.774,1590.4641,
2242.864,1560.3335,
2239.953,1563.9708,
2237.043,1559.8289,
2234.132,1587.0097,
2231.221,1607.962,
2228.311,1600.7023,
2225.400,1633.3411,
2222.490,1658.9488,
2219.579,1673.8862,
2216.669,1645.3144,
2213.758,1661.103,
2210.847,1677.556,
2207.937,1703.6506,
2205.026,1712.7494,
2202.116,1741.0738,
2199.205,1759.6636,
2196.294,1757.5439,
2193.384,1792.9335,
2190.473,1797.3181,
2187.563,1822.0932,
2184.652,1894.5573,
2181.742,1924.2524,
