,PL425B~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.5,
3011.256,-0.74994632,
3008.346,152.03267,
3005.435,177.61661,
3002.525,178.74497,
2999.614,189.58963,
2996.704,179.05671,
2993.793,196.98618,
2990.882,209.75953,
2987.972,209.46469,
2985.061,218.01726,
2982.151,231.33529,
2979.240,253.55038,
2976.329,232.71587,
2973.419,246.02324,
2970.508,257.9999,
2967.598,256.64337,
2964.687,260.93274,
2961.777,260.68802,
2958.866,278.50297,
2955.955,287.40043,
2953.045,287.92061,
2950.134,303.76528,
2947.224,291.06938,
2944.313,310.94943,
2941.403,302.80931,
2938.492,329.32925,
2935.581,315.79571,
2932.671,328.65879,
2929.760,329.98463,
2926.850,338.39549,
2923.939,347.09812,
2921.028,359.66477,
2918.118,354.28212,
2915.207,363.84801,
2912.297,329.62271,
2909.386,357.66789,
2906.476,353.36797,
2903.565,344.51704,
2900.654,349.68703,
2897.744,352.37428,
2894.833,347.86073,
2891.923,344.9583,
2889.012,330.62139,
2886.102,308.67301,
2883.191,295.4915,
2880.280,187.20331,
2877.370,22.09913,
2874.459,-83.543432,
2871.549,94.277302,
2868.638,305.37823,
2865.727,319.6808,
2862.817,334.72992,
2859.906,333.86752,
2856.996,363.91169,
2854.085,370.29619,
2851.175,368.93365,
2848.264,394.85783,
2845.353,373.41373,
2842.443,374.29164,
2839.532,369.85828,
2836.622,379.5957,
2833.711,393.03374,
2830.801,397.08971,
2827.890,402.1451,
2824.979,407.48794,
2822.069,394.77293,
2819.158,404.43799,
2816.248,405.40736,
2813.337,402.18048,
2810.427,402.72039,
2807.516,407.60062,
2804.605,420.27404,
2801.695,420.59212,
2798.784,415.23923,
2795.874,409.37073,
2792.963,408.0717,
2790.052,395.50408,
2787.142,405.94731,
2784.231,412.27328,
2781.321,392.56286,
2778.410,400.55456,
2775.500,408.20241,
2772.589,414.26911,
2769.678,414.35665,
2766.768,414.06505,
2763.857,399.18594,
2760.947,414.00315,
2758.036,421.27711,
2755.126,404.40171,
2752.215,418.8819,
2749.304,413.16008,
2746.394,421.61691,
2743.483,427.85001,
2740.573,423.83848,
2737.662,419.30768,
2734.751,435.03405,
2731.841,442.2033,
2728.930,424.39828,
2726.020,434.17361,
2723.109,435.95367,
2720.199,429.53735,
2717.288,453.13139,
