,PL580C~1,
Wavenumbers [1/cm],Intensity,
3014.167,8.125,
3011.256,1.0750966,
3008.346,172.33543,
3005.435,227.70097,
3002.525,219.16247,
2999.614,251.60939,
2996.704,232.3549,
2993.793,238.36348,
2990.882,247.68988,
2987.972,240.24103,
2985.061,273.32206,
2982.151,287.88635,
2979.240,282.4054,
2976.329,284.60043,
2973.419,303.86338,
2970.508,316.99161,
2967.598,314.45592,
2964.687,307.81114,
2961.777,313.31302,
2958.866,333.13242,
2955.955,339.81967,
2953.045,359.63952,
2950.134,368.38161,
2947.224,385.81184,
2944.313,374.22614,
2941.403,377.47035,
2938.492,458.78907,
2935.581,784.04726,
2932.671,404.92327,
2929.760,397.19423,
2926.850,410.44568,
2923.939,397.64368,
2921.028,427.55467,
2918.118,425.72702,
2915.207,441.53639,
2912.297,413.24348,
2909.386,421.32938,
2906.476,440.05475,
2903.565,408.07685,
2900.654,416.97129,
2897.744,424.11243,
2894.833,415.70246,
2891.923,421.34301,
2889.012,394.66257,
2886.102,397.25204,
2883.191,353.15993,
2880.280,260.77569,
2877.370,109.44508,
2874.459,21.213449,
2871.549,176.52084,
2868.638,369.22799,
2865.727,390.36726,
2862.817,431.44049,
2859.906,415.94836,
2856.996,441.07518,
2854.085,440.6817,
2851.175,466.02863,
2848.264,463.978,
2845.353,460.08187,
2842.443,456.12848,
2839.532,443.03551,
2836.622,465.82161,
2833.711,460.96958,
2830.801,470.71471,
2827.890,472.51833,
2824.979,474.8909,
2822.069,476.23872,
2819.158,484.60478,
2816.248,481.37789,
2813.337,484.9189,
2810.427,490.64704,
2807.516,489.28328,
2804.605,503.49038,
2801.695,495.99342,
2798.784,480.30777,
2795.874,491.82947,
2792.963,488.91042,
2790.052,477.12607,
2787.142,475.45404,
2784.231,471.6421,
2781.321,471.81646,
2778.410,481.71003,
2775.500,486.48603,
2772.589,490.73968,
2769.678,486.1591,
2766.768,499.61821,
2763.857,499.17895,
2760.947,504.08717,
2758.036,512.52636,
2755.126,505.22329,
2752.215,505.6342,
2749.304,503.52969,
2746.394,503.72375,
2743.483,514.37501,
2740.573,501.47894,
2737.662,498.01849,
2734.751,503.91622,
2731.841,528.42354,
2728.930,505.79871,
2726.020,513.13021,
2723.109,525.99083,
2720.199,524.69376,
2717.288,526.93157,
2714.377,545.79976,
2711.467,549.125,
2708.556,544.43363,
2705.646,545.19544,
2702.735,547.29768,
2699.825,554.59228,
2696.914,566.6491,
2694.003,550.63882,
2691.093,547.42826,
2688.182,547.52574,
2685.272,554.44363,
2682.361,559.30731,
2679.450,551.21557,
2676.540,547.26727,
2673.629,545.16541,
2670.719,553.46051,
2667.808,555.75726,
2664.898,561.44991,
2661.987,566.25869,
2659.076,579.25216,
2656.166,567.91712,
2653.255,584.83078,
2650.345,594.02155,
2647.434,611.83892,
2644.524,598.89719,
2641.613,595.32487,
2638.702,595.09344,
2635.792,593.71922,
2632.881,608.60088,
2629.971,601.18528,
2627.060,598.45813,
2624.149,606.09687,
2621.239,604.8587,
2618.328,605.29455,
2615.418,601.82499,
2612.507,600.77712,
2609.597,597.31861,
2606.686,603.48846,
2603.775,619.20834,
2600.865,635.47655,
2597.954,622.83752,
2595.044,621.75034,
2592.133,626.23323,
2589.223,623.125,
2586.312,637.04966,
2583.401,641.42798,
2580.491,649.15389,
2577.580,660.12995,
2574.670,654.82288,
2571.759,635.32705,
2568.848,663.46768,
2565.938,635.50578,
2563.027,659.58863,
2560.117,656.40536,
2557.206,665.78182,
2554.296,648.69937,
2551.385,656.30695,
2548.474,654.34731,
2545.564,676.46023,
2542.653,669.81963,
2539.743,668.66813,
2536.832,667.39042,
2533.922,682.92,
2531.011,673.97467,
2528.100,678.26087,
2525.190,681.03074,
2522.279,658.35949,
2519.369,668.25676,
2516.458,680.125,
2513.548,673.65236,
2510.637,664.64579,
2507.726,703.74954,
2504.816,706.25014,
2501.905,681.15427,
2498.995,700.60275,
2496.084,702.29918,
2493.173,692.44089,
2490.263,700.70919,
2487.352,723.499,
2484.442,712.82734,
2481.531,716.8591,
2478.621,716.73165,
2475.710,735.8873,
2472.799,702.41203,
2469.889,708.66796,
2466.978,727.73321,
2464.068,732.9557,
2461.157,736.85258,
2458.247,725.25738,
2455.336,739.99586,
2452.425,738.10141,
2449.515,756.68219,
2446.604,768.72878,
2443.694,744.70642,
2440.783,770.22523,
