,PL605E~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.75,
3011.256,2.6499785,
3008.346,232.10433,
3005.435,253.48145,
3002.525,280.52517,
2999.614,283.61103,
2996.704,279.47577,
2993.793,281.36924,
2990.882,290.26906,
2987.972,288.82063,
2985.061,302.75,
2982.151,314.19875,
2979.240,327.59885,
2976.329,320.97679,
2973.419,320.07272,
2970.508,342.14996,
2967.598,313.08815,
2964.687,337.36209,
2961.777,340.18595,
2958.866,350.40528,
2955.955,358.92036,
2953.045,361.28243,
2950.134,353.53717,
2947.224,355.51866,
2944.313,383.54772,
2941.403,373.58303,
2938.492,371.33537,
2935.581,374.93283,
2932.671,374.71139,
2929.760,381.21538,
2926.850,373.16805,
2923.939,381.59113,
2921.028,392.39132,
2918.118,388.12909,
2915.207,380.75,
2912.297,379.75423,
2909.386,380.896,
2906.476,364.39325,
2903.565,342.58852,
2900.654,337.18581,
2897.744,329.2974,
2894.833,283.02855,
2891.923,277.4808,
2889.012,229.46676,
2886.102,169.13111,
2883.191,61.831185,
2880.280,-367.4224,
2877.370,-1146.888,
2874.459,-1440.6441,
2871.549,-686.19247,
2868.638,-33.806992,
2865.727,125.10757,
2862.817,195.42244,
2859.906,268.48503,
2856.996,292.23868,
2854.085,324.67863,
2851.175,353.39159,
2848.264,349.31867,
2845.353,346.44014,
2842.443,375.75348,
2839.532,375.07834,
2836.622,399.10938,
2833.711,382.43132,
2830.801,391.14559,
2827.890,396.00176,
2824.979,400.25603,
2822.069,401.90921,
2819.158,418.03033,
2816.248,403.81948,
2813.337,418.43048,
2810.427,418.97039,
2807.516,407.85797,
2804.605,438.2548,
2801.695,406.60523,
2798.784,436.49738,
2795.874,410.19065,
2792.963,407.75021,
2790.052,396.75343,
2787.142,406.43431,
2784.231,396.17083,
2781.321,423.98991,
2778.410,398.16497,
2775.500,394.15483,
2772.589,423.21025,
2769.678,400.50087,
2766.768,402.43156,
2763.857,412.27601,
2760.947,424.34141,
2758.036,418.41867,
2755.126,433.65812,
2752.215,417.30445,
2749.304,436.04673,
2746.394,450.99802,
2743.483,434.15003,
2740.573,434.07303,
2737.662,433.54733,
2734.751,437.81809,
2731.841,424.50641,
2728.930,421.16084,
2726.020,439.52025,
2723.109,448.82191,
2720.199,429.80942,
2717.288,426.01278,
2714.377,430.49164,
2711.467,443.34011,
2708.556,443.14368,
2705.646,444.97536,
2702.735,455.567,
2699.825,445.13002,
2696.914,457.22637,
2694.003,456.28172,
2691.093,437.66094,
2688.182,464.37,
2685.272,444.35171,
2682.361,438.56769,
2679.450,439.58126,
2676.540,461.36384,
2673.629,445.73653,
2670.719,451.10767,
2667.808,463.11774,
2664.898,472.12646,
2661.987,463.61631,
2659.076,452.36853,
2656.166,467.15263,
2653.255,474.67007,
2650.345,467.22913,
2647.434,478.12182,
2644.524,491.20563,
2641.613,492.17866,
2638.702,498.67109,
2635.792,484.40802,
2632.881,463.82155,
2629.971,489.2871,
2627.060,483.08375,
2624.149,479.29063,
2621.239,479.50148,
2618.328,482.13148,
2615.418,489.75454,
2612.507,495.81716,
2609.597,497.11727,
2606.686,507.41264,
2603.775,503.99207,
2600.865,516.10155,
2597.954,504.32497,
2595.044,517.40191,
2592.133,523.80736,
2589.223,532.88264,
2586.312,512.65449,
2583.401,524.95437,
2580.491,519.84616,
2577.580,514.74505,
2574.670,515.34758,
2571.759,513.18922,
2568.848,486.46262,
2565.938,510.32125,
2563.027,524.87052,
2560.117,522.36685,
2557.206,521.70941,
2554.296,535.48913,
2551.385,516.24596,
2548.474,520.19461,
2545.564,532.4651,
2542.653,542.72987,
2539.743,530.15758,
2536.832,553.60795,
2533.922,559.51346,
2531.011,549.14963,
2528.100,553.81967,
2525.190,569.09549,
2522.279,535.6562,
2519.369,529.52384,
2516.458,520.30595,
2513.548,518.32276,
2510.637,525.47152,
2507.726,556.12176,
2504.816,561.81201,
2501.905,565.24268,
2498.995,546.16803,
2496.084,553.66987,
2493.173,559.61854,
2490.263,573.91838,
2487.352,569.8752,
2484.442,579.0155,
2481.531,586.32455,
2478.621,590.26663,
2475.710,574.84201,
2472.799,584.77693,
2469.889,586.99101,
2466.978,595.75,
2464.068,594.79232,
2461.157,596.28996,
2458.247,602.75,
2455.336,587.58168,
2452.425,585.99057,
2449.515,617.60863,
2446.604,621.28228,
2443.694,613.2615,
2440.783,617.22748,
2437.872,621.56768,
2434.962,618.06336,
2432.051,618.82402,
2429.141,627.84985,
2426.230,649.57656,
2423.320,637.10684,
2420.409,645.21163,
2417.498,633.56179,
2414.588,652.82215,
2411.677,636.64243,
2408.767,638.80905,
2405.856,654.68809,
2402.946,645.4819,
2400.035,655.13499,
2397.124,639.18851,
2394.214,629.88401,
2391.303,624.57317,
2388.393,596.64992,
2385.482,520.7462,
2382.571,436.42094,
2379.661,480.14453,
2376.750,619.26193,
2373.840,659.2594,
2370.929,684.4576,
2368.019,694.5936,
2365.108,699.23691,
2362.197,712.55547,
2359.287,699.77507,
2356.376,714.7183,
2353.466,720.34074,
2350.555,727.88518,
2347.645,719.76459,
2344.734,723.72239,
2341.823,746.43492,
2338.913,747.73058,
2336.002,730.41271,
2333.092,735.45096,
2330.181,724.13369,
2327.270,731.92492,
2324.360,743.54011,
2321.449,739.30443,
2318.539,752.87845,
2315.628,785.2528,
2312.718,769.36893,
2309.807,778.86193,
2306.896,765.23826,
2303.986,767.27603,
2301.075,757.85645,
2298.165,768.29848,
2295.254,776.68537,
2292.344,767.27277,
2289.433,779.74227,
2286.522,788.53116,
2283.612,791.84948,
2280.701,782.69172,
2277.791,819.18708,
2274.880,787.31389,
2271.969,811.61831,
2269.059,818.30858,
2266.148,834.80008,
2263.238,832.65348,
2260.327,826.16385,
2257.417,841.4761,
2254.506,853.73567,
2251.595,832.60087,
2248.685,828.91157,
2245.774,837.46408,
2242.864,869.45326,
2239.953,850.52242,
2237.043,853.25678,
2234.132,855.99677,
2231.221,848.06522,
2228.311,850.96907,
