,PL6E66~1,
Wavenumbers [1/cm],Intensity,
3014.167,3.375,
3011.256,-0.87494632,
3008.346,305.64228,
3005.435,349.18419,
3002.525,356.375,
2999.614,381.31659,
2996.704,386.0647,
2993.793,394.24194,
2990.882,397.55059,
2987.972,421.36491,
2985.061,441.54252,
2982.151,450.88087,
2979.240,481.42538,
2976.329,480.87773,
2973.419,503.63662,
2970.508,504.07498,
2967.598,522.04046,
2964.687,527.79212,
2961.777,516.00722,
2958.866,540.7019,
2955.955,553.16924,
2953.045,573.1446,
2950.134,599.22632,
2947.224,618.8305,
2944.313,630.77956,
2941.403,627.24407,
2938.492,651.82216,
2935.581,642.06338,
2932.671,653.41361,
2929.760,671.50196,
2926.850,665.89042,
2923.939,685.17406,
2921.028,696.08096,
2918.118,683.23773,
2915.207,700.07747,
2912.297,700.35807,
2909.386,679.55749,
2906.476,680.43679,
2903.565,708.55353,
2900.654,677.52871,
2897.744,694.22413,
2894.833,692.27172,
2891.923,695.0224,
2889.012,678.03974,
2886.102,669.27366,
2883.191,653.38066,
2880.280,583.45631,
2877.370,407.7184,
2874.459,331.62715,
2871.549,496.53376,
2868.638,664.93161,
2865.727,702.1942,
2862.817,717.01805,
2859.906,709.17272,
2856.996,724.83198,
2854.085,733.49475,
2851.175,753.51362,
2848.264,755.13516,
2845.353,765.46918,
2842.443,739.54854,
2839.532,760.82277,
2836.622,763.55469,
2833.711,749.69368,
2830.801,758.96471,
2827.890,773.41343,
2824.979,768.28893,
2822.069,784.12481,
2819.158,773.77663,
2816.248,802.08737,
2813.337,803.90062,
2810.427,800.50034,
2807.516,784.12344,
2804.605,815.17067,
2801.695,818.33553,
2798.784,799.14915,
2795.874,816.12703,
2792.963,783.58936,
2790.052,796.37264,
2787.142,789.44081,
2784.231,789.24612,
2781.321,784.56358,
2778.410,789.0349,
2775.500,795.20431,
2772.589,796.7588,
2769.678,810.83221,
2766.768,828.38857,
2763.857,799.11489,
2760.947,830.91598,
2758.036,834.83358,
2755.126,830.27671,
2752.215,841.03412,
2749.304,845.1196,
2746.394,840.58669,
2743.483,841.925,
2740.573,829.95459,
2737.662,845.8528,
2734.751,853.86065,
2731.841,855.75413,
2728.930,859.803,
2726.020,858.26794,
2723.109,863.14817,
2720.199,878.00318,
2717.288,875.90055,
2714.377,872.6668,
2711.467,893.60467,
2708.556,883.76868,
2705.646,892.36094,
2702.735,898.54768,
2699.825,898.50589,
2696.914,907.75638,
2694.003,915.30182,
2691.093,919.89246,
2688.182,913.19352,
2685.272,894.25124,
2682.361,907.92194,
2679.450,899.92649,
2676.540,921.47662,
2673.629,924.38398,
2670.719,936.43324,
2667.808,938.71545,
2664.898,921.27091,
2661.987,923.30816,
2659.076,940.81464,
2656.166,947.23203,
2653.255,962.34268,
2650.345,950.15903,
2647.434,1004.0032,
2644.524,986.67235,
2641.613,977.57487,
2638.702,982.26453,
2635.792,972.93731,
2632.881,1002.0888,
2629.971,976.13311,
2627.060,987.87531,
2624.149,995.02186,
2621.239,1004.872,
2618.328,998.29023,
2615.418,998.36591,
2612.507,1001.1339,
2609.597,1016.7223,
2606.686,1013.1802,
2603.775,1021.498,
2600.865,1037.4911,
2597.954,1044.9438,
2595.044,1032.08,
2592.133,1047.2224,
2589.223,1042.7602,
2586.312,1039.7669,
2583.401,1053.6195,
2580.491,1070.1682,
2577.580,1048.4179,
2574.670,1073.5448,
2571.759,1077.4306,
2568.848,1072.4965,
2565.938,1062.3273,
2563.027,1077.2295,
2560.117,1090.5526,
2557.206,1111.3602,
2554.296,1109.7411,
2551.385,1091.755,
2548.474,1105.8196,
2545.564,1117.1218,
2542.653,1109.4052,
2539.743,1130.9797,
2536.832,1118.5993,
2533.922,1142.17,
2531.011,1133.2247,
2528.100,1130.5805,
2525.190,1152.5791,
2522.279,1139.7184,
2519.369,1126.9787,
2516.458,1146.1654,
2513.548,1167.6567,
2510.637,1139.6209,
2507.726,1148.059,
2504.816,1162.8756,
2501.905,1139.5927,
2498.995,1170.5542,
2496.084,1167.2426,
2493.173,1160.0068,
2490.263,1176.5434,
2487.352,1198.7089,
2484.442,1206.0902,
