,PL7EB6~1,
Wavenumbers [1/cm],Intensity,
3014.167,5.875,
3011.256,-3.2749248,
3008.346,138.51831,
3005.435,158.83613,
3002.525,157.66751,
2999.614,178.49836,
2996.704,161.3348,
2993.793,176.98042,
2990.882,189.61547,
2987.972,195.875,
2985.061,203.41196,
2982.151,205.82962,
2979.240,220.19154,
2976.329,213.36135,
2973.419,229.32121,
2970.508,236.12495,
2967.598,231.73524,
2964.687,247.91984,
2961.777,245.96901,
2958.866,245.54662,
2955.955,242.66924,
2953.045,269.2598,
2950.134,275.02368,
2947.224,275.41591,
2944.313,288.93127,
2941.403,292.43476,
2938.492,301.86415,
2935.581,311.66515,
2932.671,301.99517,
2929.760,317.84425,
2926.850,295.80846,
2923.939,312.51519,
2921.028,318.03977,
2918.118,331.95561,
2915.207,336.28639,
2912.297,323.92578,
2909.386,314.05019,
2906.476,318.38622,
2903.565,328.55203,
2900.654,342.82746,
2897.744,336.48526,
2894.833,303.81318,
2891.923,326.82381,
2889.012,313.58598,
2886.102,307.29121,
2883.191,311.87217,
2880.280,244.497,
2877.370,177.42748,
2874.459,87.542195,
2871.549,204.29642,
2868.638,310.88318,
2865.727,308.29806,
2862.817,337.46188,
2859.906,316.69836,
2856.996,336.84783,
2854.085,348.15652,
2851.175,367.89613,
2848.264,364.14966,
2845.353,356.57306,
2842.443,349.66316,
2839.532,366.86003,
2836.622,338.66731,
2833.711,364.08223,
2830.801,355.28529,
2827.890,366.24912,
2824.979,370.86294,
2822.069,368.93186,
2819.158,371.21462,
2816.248,370.61053,
2813.337,359.71035,
2810.427,377.57335,
2807.516,382.97562,
2804.605,386.69231,
2801.695,383.6513,
2798.784,376.09677,
2795.874,373.57947,
2792.963,375.16053,
2790.052,380.87286,
2787.142,375.34854,
2784.231,362.71351,
2781.321,375.12068,
2778.410,368.02474,
2775.500,384.59706,
2772.589,370.22133,
2769.678,372.41084,
2766.768,382.42647,
2763.857,386.40101,
2760.947,379.84978,
2758.036,394.51206,
2755.126,396.35363,
2752.215,385.6204,
2749.304,374.89659,
2746.394,375.01404,
2743.483,398.425,
2740.573,388.22894,
2737.662,392.00221,
2734.751,402.31676,
2731.841,400.98306,
2728.930,397.99785,
2726.020,401.31887,
2723.109,405.30792,
2720.199,405.89367,
2717.288,413.61222,
2714.377,412.61664,
2711.467,403.39918,
2708.556,427.08763,
2705.646,441.1708,
2702.735,436.88016,
2699.825,444.80956,
2696.914,419.54087,
2694.003,408.31564,
2691.093,427.5537,
2688.182,423.23796,
2685.272,427.67158,
2682.361,436.875,
2679.450,434.04374,
2676.540,441.97662,
2673.629,438.24724,
2670.719,427.94062,
2667.808,427.11818,
2664.898,433.27773,
2661.987,432.10846,
2659.076,446.47629,
2656.166,447.15192,
2653.255,466.43622,
2650.345,456.3632,
2647.434,450.93273,
2644.524,467.4697,
2641.613,469.84672,
2638.702,472.90656,
2635.792,487.87798,
2632.881,466.60711,
2629.971,470.49247,
2627.060,462.70781,
2624.149,471.46874,
2621.239,467.10573,
2618.328,465.79023,
2615.418,461.55227,
2612.507,473.62988,
2609.597,477.51771,
2606.686,492.30468,
2603.775,459.2758,
2600.865,471.04909,
2597.954,479.01874,
2595.044,486.16995,
2592.133,480.81116,
2589.223,477.22448,
2586.312,506.84494,
2583.401,483.13782,
2580.491,498.97116,
2577.580,507.85189,
2574.670,496.91911,
2571.759,490.01114,
2568.848,490.22313,
2565.938,503.35116,
2563.027,495.43417,
2560.117,509.46386,
2557.206,504.56135,
2554.296,507.875,
2551.385,514.00706,
2548.474,512.72667,
2545.564,526.3052,
2542.653,517.01259,
2539.743,515.69016,
2536.832,523.32359,
2533.922,541.92231,
2531.011,543.50012,
2528.100,527.08054,
2525.190,534.84877,
2522.279,528.54671,
2519.369,523.68621,
2516.458,536.77018,
2513.548,552.77488,
2510.637,519.85872,
2507.726,535.18727,
2504.816,542.62585,
2501.905,536.5128,
2498.995,541.57641,
2496.084,540.86109,
2493.173,549.875,
2490.263,551.47048,
2487.352,571.7498,
2484.442,569.72939,
2481.531,574.50795,
2478.621,564.59059,
2475.710,571.81366,
2472.799,565.84807,
2469.889,576.72265,
2466.978,576.8235,
2464.068,554.76382,
2461.157,573.72003,
2458.247,569.72795,
2455.336,570.21551,
2452.425,578.7901,
2449.515,571.71493,
2446.604,593.33577,
2443.694,598.40951,
2440.783,592.49437,
2437.872,592.20318,
2434.962,597.46026,
2432.051,606.40621,
2429.141,610.21638,
2426.230,616.02751,
2423.320,611.40363,
2420.409,608.1186,
2417.498,620.03794,
2414.588,632.96243,
2411.677,623.16187,
2408.767,628.59843,
2405.856,618.12264,
2402.946,617.98224,
2400.035,618.07688,
2397.124,616.43649,
2394.214,617.631,
2391.303,610.33909,
2388.393,621.81921,
2385.482,621.09531,
2382.571,595.875,
2379.661,605.92133,
2376.750,639.66061,
2373.840,650.30626,
2370.929,646.90749,
2368.019,660.22413,
2365.108,662.31741,
2362.197,641.34616,
2359.287,638.85829,
2356.376,659.84154,
2353.466,661.26883,
2350.555,660.50491,
2347.645,666.34783,
2344.734,663.41876,
2341.823,686.44384,
2338.913,666.51977,
2336.002,676.37011,
2333.092,679.54195,
2330.181,683.47342,
2327.270,699.26994,
2324.360,697.33727,
2321.449,698.39882,
2318.539,706.85359,
2315.628,708.66477,
2312.718,702.80892,
2309.807,696.96801,
2306.896,711.62304,
2303.986,713.48541,
2301.075,709.47077,
2298.165,707.26928,
2295.254,709.83191,
2292.344,712.66337,
2289.433,723.25728,
2286.522,726.12062,
2283.612,732.05614,
2280.701,736.27859,
2277.791,728.99522,
2274.880,740.22084,
2271.969,768.55401,
2269.059,751.46899,
2266.148,759.11373,
2263.238,743.38467,
2260.327,746.5991,
2257.417,750.94055,
2254.506,766.761,
2251.595,758.72587,
2248.685,775.65957,
2245.774,797.89667,
2242.864,787.42114,
2239.953,775.8682,
2237.043,763.94035,
2234.132,798.85669,
2231.221,803.82065,
2228.311,769.90983,
2225.400,797.88991,
2222.490,776.87203,
2219.579,834.55881,
2216.669,820.44893,
2213.758,832.27111,
2210.847,842.84478,
2207.937,839.95644,
2205.026,826.31873,
2202.116,850.85694,
2199.205,859.10041,
2196.294,858.74298,
2193.384,860.61199,
2190.473,860.59096,
2187.563,893.01034,
2184.652,921.92928,
2181.742,940.58112,
2178.831,974.83222,
2175.920,988.0353,
