,PL8772~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.625,
3011.256,-1.2749785,
3008.346,411.18008,
3005.435,491.31758,
3002.525,492.625,
2999.614,534.52631,
2996.704,536.53634,
2993.793,547.32201,
2990.882,579.71665,
2987.972,602.72085,
2985.061,618.52155,
2982.151,636.64183,
2979.240,646.27232,
2976.329,668.13865,
2973.419,697.59445,
2970.508,696.02496,
2967.598,715.00733,
2964.687,739.34035,
2961.777,772.12087,
2958.866,757.28771,
2955.955,788.42585,
2953.045,810.94494,
2950.134,835.83783,
2947.224,841.96303,
2944.313,890.32158,
2941.403,897.97035,
2938.492,903.1453,
2935.581,902.16238,
2932.671,887.54777,
2929.760,919.80195,
2926.850,914.77463,
2923.939,953.66707,
2921.028,951.24858,
2918.118,967.32651,
2915.207,979.03639,
2912.297,950.74348,
2909.386,977.80019,
2906.476,978.9115,
2903.565,962.52871,
2900.654,960.13055,
2897.744,952.38613,
2894.833,935.68682,
2891.923,951.59941,
2889.012,933.87356,
2886.102,909.02638,
2883.191,861.65143,
2880.280,720.45749,
2877.370,509.6021,
2874.459,400.68863,
2871.549,639.17907,
2868.638,915.73412,
2865.727,922.19028,
2862.817,970.91109,
2859.906,978.56232,
2856.996,1017.5163,
2854.085,1028.4212,
2851.175,1019.5498,
2848.264,1015.6792,
2845.353,1048.6761,
2842.443,1029.9825,
2839.532,1055.7594,
2836.622,1040.7148,
2833.711,1041.4099,
2830.801,1048.4235,
2827.890,1051.7089,
2824.979,1060.403,
2822.069,1076.7842,
2819.158,1088.3447,
2816.248,1092.8432,
2813.337,1082.9652,
2810.427,1094.2283,
2807.516,1091.8409,
2804.605,1109.5385,
2801.695,1090.796,
2798.784,1103.4422,
2795.874,1073.7648,
2792.963,1092.0539,
2790.052,1094.6263,
2787.142,1052.4147,
2784.231,1074.9154,
2781.321,1055.8822,
2778.410,1078.7747,
2775.500,1092.2836,
2772.589,1098.1227,
2769.678,1080.799,
2766.768,1112.7998,
2763.857,1092.3109,
2760.947,1111.6565,
2758.036,1140.3449,
2755.126,1118.625,
2752.215,1132.4524,
2749.304,1113.2222,
2746.394,1162.0484,
2743.483,1155.375,
2740.573,1161.0454,
2737.662,1150.5288,
2734.751,1138.2952,
2731.841,1165.2221,
2728.930,1154.2987,
2726.020,1161.0741,
2723.109,1170.8311,
2720.199,1193.1938,
2717.288,1189.9936,
2714.377,1201.6873,
2711.467,1184.28,
2708.556,1207.6359,
2705.646,1219.442,
2702.735,1223.6198,
2699.825,1230.8523,
2696.914,1235.5295,
2694.003,1245.0835,
2691.093,1221.678,
2688.182,1201.0428,
2685.272,1251.625,
2682.361,1244.9252,
2679.450,1235.3328,
2676.540,1250.1982,
2673.629,1232.9434,
2670.719,1250.5446,
2667.808,1225.23,
2664.898,1245.5598,
2661.987,1271.5252,
2659.076,1290.2263,
2656.166,1273.192,
2653.255,1289.6675,
2650.345,1302.066,
