,PL8D1F~1,
Wavenumbers [1/cm],Intensity,
3014.167,4.125,
3011.256,-2.3748926,
3008.346,100.90797,
3005.435,121.77871,
3002.525,123.50252,
2999.614,140.64967,
2996.704,133.67346,
2993.793,142.8773,
2990.882,140.56012,
2987.972,145.16031,
2985.061,157.00185,
2982.151,167.52837,
2979.240,175.75808,
2976.329,168.10862,
2973.419,195.83283,
2970.508,194.44164,
2967.598,194.88604,
2964.687,190.60258,
2961.777,185.68905,
2958.866,208.79365,
2955.955,203.08961,
2953.045,225.22568,
2950.134,233.76349,
2947.224,226.97906,
2944.313,252.52956,
2941.403,249.86314,
2938.492,255.27405,
2935.581,255.30783,
2932.671,257.60569,
2929.760,267.00578,
2926.850,279.70695,
2923.939,273.125,
2921.028,265.41904,
2918.118,283.68419,
2915.207,278.30223,
2912.297,260.20539,
2909.386,277.15419,
2906.476,277.03232,
2903.565,274.60945,
2900.654,263.90154,
2897.744,276.72269,
2894.833,252.95991,
2891.923,273.0449,
2889.012,251.4198,
2886.102,236.89663,
2883.191,206.15143,
2880.280,114.80438,
2877.370,-52.502651,
2874.459,-140.61665,
2871.549,34.61301,
2868.638,220.72697,
2865.727,244.78269,
2862.817,248.49665,
2859.906,255.65775,
2856.996,288.60009,
2854.085,273.87917,
2851.175,292.55272,
2848.264,312.52732,
2845.353,304.71523,
2842.443,294.90968,
2839.532,314.33392,
2836.622,316.33854,
2833.711,322.5991,
2830.801,306.8375,
2827.890,306.14422,
2824.979,312.8909,
2822.069,312.21598,
2819.158,318.98484,
2816.248,320.11342,
2813.337,298.05304,
2810.427,326.98587,
2807.516,333.70781,
2804.605,329.46874,
2801.695,333.83556,
2798.784,338.64246,
2795.874,322.70549,
2792.963,318.62511,
2790.052,323.12457,
2787.142,318.57231,
2784.231,314.96351,
2781.321,311.00504,
2778.410,327.44479,
2775.500,321.40294,
2772.589,325.89411,
2769.678,325.51748,
2766.768,320.63179,
2763.857,335.967,
2760.947,336.63446,
2758.036,340.66642,
2755.126,333.64637,
2752.215,335.8704,
2749.304,334.7419,
2746.394,342.64316,
2743.483,341.52498,
2740.573,333.59176,
2737.662,346.01849,
2734.751,340.75134,
2731.841,346.61218,
2728.930,342.24785,
2726.020,350.57407,
2723.109,336.39334,
2720.199,350.0469,
2717.288,355.91333,
2714.377,358.90008,
2711.467,354.86237,
2708.556,374.2951,
2705.646,372.20949,
2702.735,349.47553,
2699.825,377.86323,
2696.914,355.3145,
2694.003,358.82255,
2691.093,373.10695,
2688.182,363.54278,
2685.272,372.24022,
2682.361,381.18395,
2679.450,369.46247,
2676.540,385.10468,
2673.629,382.79765,
2670.719,373.05938,
2667.808,391.95775,
2664.898,377.16391,
2661.987,378.99164,
2659.076,385.10775,
2656.166,376.07734,
2653.255,385.60629,
2650.345,395.53335,
2647.434,411.35335,
2644.524,400.03626,
2641.613,398.55366,
2638.702,391.26703,
2635.792,390.28153,
2632.881,410.06511,
2629.971,399.95034,
2627.060,413.62594,
2624.149,396.47814,
2621.239,397.14872,
2618.328,407.25216,
2615.418,407.13863,
2612.507,417.87988,
2609.597,420.85953,
2606.686,409.87802,
2603.775,407.52182,
2600.865,402.47655,
2597.954,407.50831,
2595.044,412.15157,
2592.133,411.01677,
2589.223,423.93238,
2586.312,425.49182,
2583.401,434.81844,
2580.491,440.30288,
2577.580,432.13325,
2574.670,432.42047,
2571.759,422.87757,
2568.848,416.0697,
2565.938,435.22023,
2563.027,435.75909,
2560.117,441.48015,
2557.206,435.18035,
2554.296,446.46825,
2551.385,435.86088,
2548.474,434.19935,
2545.564,436.25162,
2542.653,447.67198,
2539.743,451.68045,
2536.832,435.04275,
2533.922,468.98308,
2531.011,454.90044,
2528.100,428.86364,
2525.190,467.14057,
2522.279,457.70292,
2519.369,443.69137,
2516.458,451.13916,
2513.548,446.89801,
2510.637,445.72355,
2507.726,465.1287,
2504.816,453.56243,
