,PLA93A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.5,
3011.256,-0.99989263,
3008.346,243.43112,
3005.435,292.65194,
3002.525,295.38758,
2999.614,335.41037,
2996.704,318.00413,
2993.793,344.36694,
2990.882,355.01906,
2987.972,319.62612,
2985.061,362.67736,
2982.151,381.09663,
2979.240,398.33461,
2976.329,394.50546,
2973.419,434.0086,
2970.508,421.7832,
2967.598,439.40442,
2964.687,444.18614,
2961.777,446.97004,
2958.866,463.5,
2955.955,469.57079,
2953.045,486.80203,
2950.134,499.07434,
2947.224,493.72416,
2944.313,537.74715,
2941.403,543.97628,
2938.492,549.63821,
2935.581,546.79571,
2932.671,542.58156,
2929.760,557.98463,
2926.850,564.5,
2923.939,576.14019,
2921.028,563.17046,
2918.118,587.66121,
2915.207,608.68368,
2912.297,582.64386,
2909.386,592.11313,
2906.476,610.39886,
2903.565,574.51704,
2900.654,573.56975,
2897.744,588.23598,
2894.833,570.79891,
2891.923,575.5,
2889.012,543.83526,
2886.102,530.85541,
2883.191,504.52077,
2880.280,350.49994,
2877.370,126.9596,
2874.459,52.745941,
2871.549,263.34336,
2868.638,518.1081,
2865.727,537.71535,
2862.817,579.00132,
2859.906,576.89315,
2856.996,599.97962,
2854.085,615.9433,
2851.175,605.92772,
2848.264,623.33366,
2845.353,652.52948,
2842.443,623.67354,
2839.532,649.60446,
2836.622,648.67969,
2833.711,634.81868,
2830.801,615.31323,
2827.890,638.31294,
2824.979,650.77193,
2822.069,661.47726,
2819.158,661.02022,
2816.248,663.5,
2813.337,671.43782,
2810.427,664.7066,
2807.516,689.39203,
2804.605,677.45673,
2801.695,672.89474,
2798.784,670.86962,
2795.874,672.48943,
2792.963,675.4284,
2790.052,654.50365,
2787.142,657.85527,
2784.231,668.43477,
2781.321,665.5,
2778.410,666.32995,
2775.500,674.39276,
2772.589,664.57646,
2769.678,670.49652,
2766.768,676.57183,
2763.857,694.23603,
2760.947,689.51261,
2758.036,691.5,
2755.126,694.59829,
2752.215,692.35007,
2749.304,684.41548,
2746.394,701.85073,
2743.483,707.35008,
2740.573,696.93586,
2737.662,709.60651,
2734.751,698.12634,
2731.841,727.17767,
2728.930,717.52114,
2726.020,711.70891,
2723.109,730.75725,
2720.199,730.85314,
2717.288,744.81388,
2714.377,731.50458,
2711.467,711.59781,
2708.556,754.74421,
2705.646,757.97884,
2702.735,732.85053,
2699.825,745.58726,
2696.914,777.12005,
2694.003,755.88536,
2691.093,753.58906,
2688.182,742.91778,
2685.272,756.97795,
2682.361,763.28821,
2679.450,753.88276,
2676.540,765.19514,
2673.629,758.46408,
2670.719,777.71165,
2667.808,779.5,
2664.898,786.75973,
2661.987,785.23329,
2659.076,765.17027,
2656.166,788.45234,
2653.255,789.31802,
2650.345,811.07714,
2647.434,814.55687,
2644.524,809.9053,
2641.613,815.07134,
2638.702,807.59469,
2635.792,802.34347,
2632.881,813.73794,
2629.971,803.05023,
2627.060,832.66906,
2624.149,818.09374,
2621.239,845.29299,
2618.328,815.54239,
2615.418,821.14546,
2612.507,822.43284,
2609.597,841.11278,
2606.686,841.33132,
2603.775,844.6627,
2600.865,855.02902,
2597.954,858.69166,
2595.044,867.12534,
2592.133,866.71646,
2589.223,865.84948,
2586.312,875.47489,
2583.401,880.37595,
2580.491,891.77404,
2577.580,896.5033,
2574.670,897.66979,
2571.759,877.33306,
2568.848,892.13551,
2565.938,879.59523,
2563.027,879.76819,
2560.117,901.37855,
2557.206,912.69188,
2554.296,923.32838,
2551.385,919.87197,
2548.474,906.64795,
2545.564,908.31007,
2542.653,932.95302,
2539.743,922.03081,
2536.832,915.7243,
2533.922,927.64192,
2531.011,939.79972,
2528.100,933.57312,
2525.190,924.45287,
2522.279,921.96898,
2519.369,929.99066,
2516.458,943.17847,
2513.548,946.79105,
2510.637,954.19259,
2507.726,941.06875,
2504.816,927.56314,
2501.905,936.36951,
2498.995,948.44028,
2496.084,950.56622,
2493.173,963.57914,
2490.263,977.27516,
2487.352,1000.3748,
2484.442,1000.6328,
2481.531,990.59592,
2478.621,982.17775,
2475.710,1004.4463,
2472.799,997.99327,
2469.889,1006.2867,
2466.978,1001.2321,
2464.068,990.75395,
2461.157,1016.4951,
2458.247,995.5,
2455.336,1009.3493,
2452.425,1012.934,
2449.515,1018.2173,
2446.604,1029.7949,
2443.694,1044.1982,
2440.783,1049.8322,
2437.872,1062.1718,
2434.962,1051.924,
2432.051,1069.4449,
2429.141,1049.7947,
2426.230,1066.1531,
