,PLAB12~1,
Wavenumbers [1/cm],Intensity,
3014.167,0,
3011.256,1.2499463,
3008.346,235.05143,
3005.435,254,
3002.525,270.64262,
2999.614,268.76234,
2996.704,268.68144,
2993.793,270.10542,
2990.882,287.25953,
2987.972,288.1009,
2985.061,299.13299,
2982.151,315.30086,
2979.240,308,
2976.329,308,
2973.419,310.47676,
2970.508,317.61666,
2967.598,317.71687,
2964.687,321.97079,
2961.777,319.15393,
2958.866,327.66271,
2955.955,325.41151,
2953.045,347.18345,
2950.134,349.81925,
2947.224,347.34163,
2944.313,350.46083,
2941.403,361.72673,
2938.492,366.57453,
2935.581,367.29571,
2932.671,332.80693,
2929.760,364.7923,
2926.850,353.4703,
2923.939,369.43925,
2921.028,358.89987,
2918.118,370.13727,
2915.207,358.00645,
2912.297,369.97884,
2909.386,367.74454,
2906.476,353.86797,
2903.565,339.5326,
2900.654,319.93025,
2897.744,281.33945,
2894.833,289.03128,
2891.923,266.0545,
2889.012,221.21965,
2886.102,156.21354,
2883.191,47.085906,
2880.280,-373.49295,
2877.370,-1119.4869,
2874.459,-1378.1869,
2871.549,-702.56101,
2868.638,-44.192055,
2865.727,129.85375,
2862.817,185.48662,
2859.906,245.76067,
2856.996,273.00906,
2854.085,310.61142,
2851.175,334.73795,
2848.264,332.0735,
2845.353,360.65493,
2842.443,349.39234,
2839.532,364.53726,
2836.622,374.08984,
2833.711,374.25903,
2830.801,378.10074,
2827.890,374.89686,
2824.979,382.56798,
2822.069,376.27293,
2819.158,399.61995,
2816.248,398.25289,
2813.337,392.81463,
2810.427,396.0069,
2807.516,409.25156,
2804.605,410.34374,
2801.695,405.65791,
2798.784,405.36962,
2795.874,391.4248,
2792.963,391.78564,
2790.052,381.00193,
2787.142,383.97377,
2784.231,390.16149,
2781.321,401.25144,
2778.410,398.77539,
2775.500,383.10724,
2772.589,411.99848,
2769.678,386.67919,
2766.768,391.30486,
2763.857,400.52601,
2760.947,407.05674,
2758.036,400.7515,
2755.126,403.38034,
2752.215,390.64073,
2749.304,396.31832,
2746.394,420.34279,
2743.483,414.54995,
2740.573,410.69242,
2737.662,412.78698,
2734.751,417.88351,
2731.841,414.32417,
2728.930,405.572,
2726.020,411.55613,
2723.109,419.09267,
2720.199,424.29372,
2717.288,418.12408,
2714.377,418.57902,
2711.467,426.65604,
2708.556,423.94653,
2705.646,424.7042,
2702.735,439.45615,
2699.825,412.65097,
2696.914,433.04773,
2694.003,440.17399,
2691.093,417.4284,
2688.182,435.14741,
2685.272,441.79658,
2682.361,442.7238,
2679.450,420.09057,
2676.540,438.59352,
2673.629,420.65918,
2670.719,429.13864,
2667.808,432,
2664.898,452.286,
2661.987,433.73329,
2659.076,433.74569,
2656.166,445.88743,
2653.255,449.03741,
2650.345,458.19238,
2647.434,464.48557,
2644.524,464.01921,
2641.613,462.39975,
2638.702,462.92109,
2635.792,471.93918,
2632.881,457.84526,
2629.971,463.97991,
2627.060,465.50156,
2624.149,455.29687,
2621.239,458,
2618.328,462.42387,
2615.418,483.94547,
2612.507,482.55741,
2609.597,463.36727,
2606.686,476.0261,
2603.775,479.68254,
2600.865,479.59042,
2597.954,497.52086,
2595.044,495.59877,
2592.133,494.49028,
2589.223,499.15686,
2586.312,500.92466,
2583.401,489.59125,
2580.491,491.09616,
2577.580,495.0066,
2574.670,493.46526,
2571.759,479,
2568.848,491.34813,
2565.938,500.04769,
2563.027,490.26819,
2560.117,497.2617,
2557.206,493.86347,
2554.296,480.29062,
2551.385,501,
2548.474,504.51859,
2545.564,525.36689,
2542.653,525.84228,
2539.743,520.51848,
2536.832,503.14205,
2533.922,508.07885,
2531.011,516.5747,
2528.100,527.59931,
2525.190,529.79057,
2522.279,503.23449,
2519.369,504.07571,
2516.458,497.77974,
2513.548,493.52736,
2510.637,526.04521,
2507.726,538.87732,
2504.816,535.93799,
2501.905,547.11585,
2498.995,518.61241,
2496.084,539.09405,
2493.173,545.68477,
2490.263,540.85421,
2487.352,533.54253,
2484.442,550.84153,
2481.531,561.94682,
2478.621,551.7867,
2475.710,562.93866,
2472.799,558.69951,
2469.889,565.63711,
2466.978,571.103,
2464.068,573.08465,
2461.157,573.96248,
2458.247,577.14705,
2455.336,572.70254,
2452.425,579.9151,
2449.515,583.96259,
2446.604,592.71202,
2443.694,588.81416,
2440.783,611.62275,
2437.872,580.83869,
2434.962,594.59448,
2432.051,587.58055,
2429.141,613.54107,
2426.230,598.30382,
2423.320,617.68575,
2420.409,614.48721,
2417.498,615.58989,
2414.588,626.99236,
2411.677,629.10354,
2408.767,617.39468,
2405.856,632.89297,
2402.946,603.52368,
2400.035,625.27467,
2397.124,628.10161,
2394.214,616.45841,
2391.303,598.42548,
2388.393,546.95571,
2385.482,499.4981,
2382.571,414.82266,
2379.661,455.09237,
2376.750,573.3026,
2373.840,627.54994,
2370.929,641.88087,
2368.019,647.1564,
2365.108,658.7199,
2362.197,664.81916,
2359.287,665.19332,
2356.376,692.95245,
2353.466,684.39383,
2350.555,678.09972,
2347.645,684.35362,
2344.734,692.27188,
2341.823,704.76783,
2338.913,703.15819,
2336.002,698.15782,
2333.092,716.50567,
2330.181,707.17395,
2327.270,716.22993,
2324.360,706.09194,
2321.449,724.06122,
2318.539,721.02141,
2315.628,727.57954,
2312.718,745.89869,
2309.807,737.11193,
2306.896,724.74804,
2303.986,734.44165,
2301.075,739.97875,
2298.165,738.99046,
2295.254,721.40932,
2292.344,754.00841,
2289.433,731.06955,
2286.522,742.83934,
2283.612,752.18114,
2280.701,767.65469,
2277.791,759.1603,
2274.880,764.71197,
2271.969,781.44445,
2269.059,785.71116,
2266.148,797.88648,
2263.238,779.0116,
2260.327,793.20692,
2257.417,800.74444,
2254.506,804.26776,
2251.595,794.42177,
2248.685,842.71908,
2245.774,817.45125,
2242.864,819.28679,
2239.953,813.77922,
2237.043,826.88286,
2234.132,831.91164,
2231.221,820.81386,
2228.311,836.4858,
2225.400,823.9288,
2222.490,858.78508,
2219.579,875.10285,
2216.669,872.55008,
2213.758,872.43661,
2210.847,880.41813,
2207.937,871.40718,
2205.026,878.88892,
2202.116,884.29298,
2199.205,909.012,
2196.294,935.85995,
2193.384,917.73795,
2190.473,935.02935,
2187.563,951.06284,
2184.652,970.3257,
2181.742,1006.591,
2178.831,1024.2686,
2175.920,1078.8069,
2173.010,1092.8492,
2170.099,1145.3269,
2167.189,1184.653,
2164.278,1286.2985,
2161.368,1363.9986,
2158.457,1428.3138,
2155.546,1508.6347,
2152.636,1580.9892,
2149.725,1660.0872,
2146.815,1733.8644,
2143.904,1784.1152,
2140.993,1833.5713,
2138.083,1874.2705,
2135.172,1887.3782,
2132.262,1902,
2129.351,1865.7515,
2126.441,1807.1746,
2123.530,1772.9898,
2120.619,1675.6059,
2117.709,1597.4223,
2114.798,1485.2111,
2111.888,1382.5642,
2108.977,1302.7682,
2106.067,1234.0141,
2103.156,1190.0856,
2100.245,1106.9875,
2097.335,1081.4607,
2094.424,1040.7607,
2091.514,1031.4193,
2088.603,1007.9309,
2085.692,990.13388,
2082.782,965.6226,
2079.871,958,
2076.961,950.51662,
2074.050,922.16364,
2071.140,945.32181,
2068.229,940.7409,
2065.318,926.2965,
2062.408,923.59834,
2059.497,918.80357,
2056.587,902.26773,
2053.676,895.81662,
2050.766,908.92227,
2047.855,899.86084,
2044.944,862.86217,
2042.034,876.65898,
2039.123,886.42087,
2036.213,883.9444,
2033.302,874.34776,
2030.391,903.11796,
2027.481,888.73197,
2024.570,895.8567,
2021.660,883.94607,
2018.749,871.46813,
2015.839,859.34515,
2012.928,868.91946,
2010.017,872.64929,
2007.107,876.93085,
2004.196,871.27378,
2001.286,866.22967,
1998.375,888.48426,
1995.465,851.37679,
1992.554,817.96489,
