,PLABB4~1,
Wavenumbers [1/cm],Intensity,
3014.167,4.875,
3011.256,0.37510737,
3008.346,418.31945,
3005.435,498.4121,
3002.525,504.55509,
2999.614,562.58799,
2996.704,548.52037,
2993.793,542.10426,
2990.882,577.64589,
2987.972,602.80437,
2985.061,607.49571,
2982.151,607.9775,
2979.240,657.99001,
2976.329,681.15094,
2973.419,697.01312,
2970.508,718.27496,
2967.598,727.875,
2964.687,730.26291,
2961.777,747.37087,
2958.866,770.88688,
2955.955,797.37052,
2953.045,816.97568,
2950.134,810.95952,
2947.224,841.55825,
2944.313,869.3693,
2941.403,891.38732,
2938.492,885.59858,
2935.581,894.10076,
2932.671,917.95656,
2929.760,922.6673,
2926.850,918.92726,
2923.939,949.31425,
2921.028,955.72798,
2918.118,968.7755,
2915.207,988.7676,
2912.297,971.99348,
2909.386,986.66332,
2906.476,985.09971,
2903.565,984.61722,
2900.654,981.71018,
2897.744,963.88757,
2894.833,971.47282,
2891.923,969.5224,
2889.012,967.33743,
2886.102,943.00204,
2883.191,903.90521,
2880.280,852.51611,
2877.370,713.36355,
2874.459,651.27144,
2871.549,768.48128,
2868.638,956.93263,
2865.727,986.32498,
2862.817,1020.3763,
2859.906,1008.3052,
2856.996,1021.2957,
2854.085,1028.312,
2851.175,1054.0618,
2848.264,1038.728,
2845.353,1055.5731,
2842.443,1042.6736,
2839.532,1043.0989,
2836.622,1069.3301,
2833.711,1066.616,
2830.801,1042.0912,
2827.890,1068.9781,
2824.979,1073.5049,
2822.069,1075.3526,
2819.158,1112.3143,
2816.248,1122.0584,
2813.337,1092.1945,
2810.427,1095.0003,
2807.516,1122.3928,
2804.605,1120.3702,
2801.695,1127.6908,
2798.784,1118.9489,
2795.874,1101.4344,
2792.963,1106.4463,
2790.052,1084.8789,
2787.142,1074.9146,
2784.231,1106.4542,
2781.321,1091.435,
2778.410,1084.0451,
2775.500,1115.0412,
2772.589,1090.7985,
2769.678,1105.7657,
2766.768,1100.2653,
2763.857,1127.7189,
2760.947,1132.3088,
2758.036,1161.6905,
2755.126,1134.7212,
2752.215,1172.916,
2749.304,1125.92,
2746.394,1143.3568,
2743.483,1151.075,
2740.573,1135.1316,
2737.662,1147.9815,
2734.751,1158.2729,
2731.841,1186.7138,
2728.930,1148.447,
2726.020,1164.4416,
2723.109,1183.514,
2720.199,1194.875,
2717.288,1194.875,
2714.377,1198.3583,
2711.467,1208.9563,
2708.556,1234.2262,
2705.646,1234.2553,
2702.735,1239.058,
2699.825,1254.875,
2696.914,1245.97,
2694.003,1242.3888,
2691.093,1235.1602,
2688.182,1216.5291,
2685.272,1245.1936,
2682.361,1246.5104,
2679.450,1240.7516,
2676.540,1265.1392,
2673.629,1273.893,
2670.719,1274.2253,
2667.808,1272.2154,
2664.898,1285.6805,
2661.987,1278.2418,
2659.076,1296.9677,
2656.166,1286.7493,
2653.255,1318.2491,
2650.345,1328.2598,
2647.434,1332.7613,
2644.524,1349.4002,
2641.613,1352.1038,
2638.702,1341.1117,
2635.792,1351.878,
2632.881,1328.875,
2629.971,1334.9824,
2627.060,1390.2131,
2624.149,1348.6594,
2621.239,1378.6917,
2618.328,1359.875,
2615.418,1363.525,
2612.507,1370.2544,
2609.597,1386.2223,
2606.686,1368.5357,
2603.775,1424.7163,
2600.865,1415.1139,
2597.954,1422.6354,
2595.044,1423.1611,
2592.133,1445.493,
2589.223,1417.2118,
2586.312,1436.4378,
2583.401,1459.1999,
2580.491,1466.7933,
2577.580,1464.9014,
2574.670,1481.4285,
2571.759,1468.0111,
2568.848,1461.6375,
2565.938,1494.7322,
2563.027,1469.6046,
2560.117,1479.1928,
2557.206,1491.6425,
2554.296,1495.9574,
2551.385,1482.313,
2548.474,1497.6531,
2545.564,1542.6088,
2542.653,1512.0428,
2539.743,1519.9489,
2536.832,1519.161,
2533.922,1551.0485,
2531.011,1565.1747,
2528.100,1564.8123,
2525.190,1544.2258,
2522.279,1548.6254,
2519.369,1554.8189,
2516.458,1544.994,
2513.548,1560.3476,
2510.637,1569.0757,
2507.726,1547.5069,
2504.816,1560.6292,
2501.905,1571.4549,
2498.995,1593.9347,
2496.084,1594.875,
2493.173,1578.8482,
2490.263,1601.7734,
2487.352,1601.8782,
2484.442,1650.1534,
2481.531,1641.6571,
2478.621,1635.0172,
2475.710,1660.7907,
2472.799,1649.1351,
2469.889,1659.9637,
2466.978,1671.7101,
2464.068,1637.3564,
2461.157,1660.6825,
2458.247,1682.9047,
2455.336,1713.875,
2452.425,1671.0825,
2449.515,1698.5736,
2446.604,1705.5364,
2443.694,1695.0847,
2440.783,1721.6881,
2437.872,1715.0994,
2434.962,1765.7322,
2432.051,1756.0419,
2429.141,1733.5755,
2426.230,1765.6154,
2423.320,1751.1892,
2420.409,1763.8427,
2417.498,1775.2935,
2414.588,1806.0269,
2411.677,1798.0901,
2408.767,1810.1988,
2405.856,1824.6536,
2402.946,1828.0895,
2400.035,1804.0041,
2397.124,1815.9071,
2394.214,1840.8482,
2391.303,1828.4055,
2388.393,1812.1424,
2385.482,1785.0647,
