,PLB1A0~1,
Wavenumbers [1/cm],Intensity,
3014.167,5.375,
3011.256,-1.7250215,
3008.346,197.16221,
3005.435,237.9121,
3002.525,251.98015,
2999.614,252.70229,
2996.704,257.92346,
2993.793,244.6227,
2990.882,255.978,
2987.972,258.41031,
2985.061,256.95134,
2982.151,268.39183,
2979.240,271.17347,
2976.329,282.38046,
2973.419,286.48257,
2970.508,290.14167,
2967.598,291.28303,
2964.687,298.86821,
2961.777,290.99897,
2958.866,296.36906,
2955.955,311.20464,
2953.045,315.55845,
2950.134,315.76858,
2947.224,311.34653,
2944.313,323.85791,
2941.403,329.94617,
2938.492,331.39669,
2935.581,319.54192,
2932.671,319.81708,
2929.760,338.39424,
2926.850,332.10658,
2923.939,330.13669,
2921.028,329.76917,
2918.118,339.03369,
2915.207,327.78639,
2912.297,327.375,
2909.386,326.16332,
2906.476,327.01825,
2903.565,302.77721,
2900.654,295.51761,
2897.744,279.11098,
2894.833,244.35464,
2891.923,227.6186,
2889.012,182.71604,
2886.102,130.1926,
2883.191,-37.483397,
2880.280,-432.68257,
2877.370,-1247.949,
2874.459,-1481.5916,
2871.549,-735.40924,
2868.638,-70.773737,
2865.727,71.886447,
2862.817,128.31883,
2859.906,200.61715,
2856.996,245.35689,
2854.085,256.41703,
2851.175,289.80272,
2848.264,284.73283,
2845.353,311.61224,
2842.443,326.36804,
2839.532,326.16608,
2836.622,339.46484,
2833.711,345.41897,
2830.801,341.88603,
2827.890,338.39422,
2824.979,336.79496,
2822.069,338.50009,
2819.158,356.59603,
2816.248,369.12211,
2813.337,359.41645,
2810.427,367.72762,
2807.516,362.74187,
2804.605,379.99757,
2801.695,350.76974,
2798.784,366.34008,
2795.874,353.52012,
2792.963,343.66053,
2790.052,362.37007,
2787.142,349.79608,
2784.231,349.53649,
2781.321,358.24928,
2778.410,350.15039,
2775.500,338.31155,
2772.589,369.98968,
2769.678,355.19755,
2766.768,381.21776,
2763.857,354.90294,
2760.947,372.40022,
2758.036,379.76356,
2755.126,357.375,
2752.215,359.5023,
2749.304,366.60881,
2746.394,377.89316,
2743.483,373.475,
2740.573,377.03652,
2737.662,371.71523,
2734.751,376.93324,
2731.841,380.05083,
2728.930,365.84528,
2726.020,375.48727,
2723.109,368.39575,
2720.199,347.96244,
2717.288,352.48084,
2714.377,373.62878,
2711.467,388.85082,
2708.556,381.32153,
2705.646,369.40311,
2702.735,395.68426,
2699.825,385.09141,
2696.914,404.04183,
2694.003,385.788,
2691.093,385.55311,
2688.182,392.46759,
2685.272,378.77329,
2682.361,381.01037,
2679.450,374.54374,
2676.540,374.55792,
2673.629,388.02071,
2670.719,388.38239,
2667.808,388.13182,
2664.898,400.67364,
2661.987,394.1748,
2659.076,396.84913,
2656.166,405.97237,
2653.255,413.85629,
2650.345,401.0465,
2647.434,417.97517,
2644.524,426.69156,
2641.613,434.48939,
2638.702,438.34344,
2635.792,406.65616,
2632.881,404.48814,
2629.971,416.33482,
2627.060,413.20594,
2624.149,429.61875,
2621.239,415.10277,
2618.328,427.84126,
2615.418,438.70682,
2612.507,438.75445,
2609.597,431.10953,
2606.686,424.97142,
2603.775,445.33134,
2600.865,431.08148,
2597.954,441.71659,
2595.044,459.45471,
2592.133,445.04383,
2589.223,440.24236,
2586.312,442.20415,
2583.401,441.82391,
2580.491,436.56732,
2577.580,437.38985,
2574.670,443.60763,
2571.759,430.86987,
2568.848,435.4303,
2565.938,430.70824,
2563.027,441.54547,
2560.117,437.73948,
2557.206,445.51153,
2554.296,438.748,
2551.385,449.31704,
2548.474,456.48615,
2545.564,466.0901,
2542.653,477.21728,
2539.743,460.53519,
2536.832,470.02922,
2533.922,482.17,
2531.011,470.74988,
2528.100,469.57708,
2525.190,476.44303,
2522.279,456.60949,
2519.369,461.97874,
2516.458,441.69299,
2513.548,444.60199,
2510.637,476.43648,
2507.726,483.3081,
2504.816,492.43701,
2501.905,473.95488,
2498.995,489.375,
2496.084,485.69554,
2493.173,485.66474,
2490.263,513.11628,
2487.352,484.29153,
2484.442,490.06448,
2481.531,506.21546,
2478.621,497.2328,
2475.710,502.33666,
2472.799,497.375,
2469.889,501.25312,
2466.978,508.26157,
2464.068,507.45965,
2461.157,507.02753,
2458.247,504.36033,
2455.336,514.96992,
2452.425,530.85615,
2449.515,537.12968,
2446.604,534.66994,
2443.694,524.65376,
2440.783,532.94933,
2437.872,538.63025,
2434.962,536.18146,
2432.051,530.85686,
2429.141,548.81622,
2426.230,534.28768,
2423.320,547.47486,
2420.409,553.7532,
2417.498,553.77668,
2414.588,560.73238,
2411.677,558.01642,
2408.767,552.92815,
2405.856,564.49882,
2402.946,568.53586,
2400.035,580.36562,
2397.124,557.47661,
2394.214,552.3214,
2391.303,541.90549,
2388.393,496.52841,
2385.482,431.84246,
2382.571,350.00751,
2379.661,394.63025,
2376.750,519.14795,
2373.840,576.8656,
2370.929,577.38583,
2368.019,597.18227,
2365.108,599.5373,
2362.197,602.58321,
2359.287,607.76163,
2356.376,651.30103,
2353.466,623.39043,
2350.555,618.58497,
2347.645,631.58425,
2344.734,617.73439,
2341.823,646.778,
2338.913,656.46751,
2336.002,645.04958,
2333.092,650.74292,
2330.181,635.81237,
2327.270,639.93496,
2324.360,655.7783,
2321.449,652.55866,
2318.539,648.54627,
2315.628,639.63639,
2312.718,662.40585,
2309.807,653.71657,
2306.896,657.36717,
2303.986,669.60241,
2301.075,662.22616,
2298.165,673.30822,
2295.254,649.06438,
2292.344,668.47871,
2289.433,677.73409,
2286.522,689.50889,
2283.612,695.7551,
2280.701,672.14186,
2277.791,699.61545,
2274.880,703.23504,
2271.969,693.82767,
2269.059,699.75376,
2266.148,737.74562,
2263.238,711.59124,
2260.327,710.9268,
2257.417,717.66333,
2254.506,721.03884,
2251.595,729.375,
2248.685,738.94997,
2245.774,735.16633,
2242.864,742.08821,
2239.953,744.40963,
2237.043,724.7782,
2234.132,736.375,
2231.221,741.34918,
2228.311,750.33375,
2225.400,761.60016,
2222.490,773.83112,
2219.579,792.69119,
2216.669,793.36546,
2213.758,801.89788,
2210.847,789.25411,
2207.937,771.94505,
2205.026,815.04235,
2202.116,802.66798,
2199.205,826.56206,
2196.294,851.67295,
2193.384,837.37596,
2190.473,861.55224,
2187.563,864.4185,
2184.652,878.04397,
2181.742,909.98933,
2178.831,937.4451,
2175.920,966.44969,
2173.010,1007.0025,
2170.099,1065.3031,
2167.189,1119.7194,
2164.278,1177.0594,
2161.368,1249.0874,
2158.457,1315.4871,
2155.546,1379.2827,
2152.636,1444.9706,
2149.725,1518.4689,
2146.815,1557.4073,
2143.904,1641.1854,
2140.993,1673.1262,
2138.083,1695.375,
2135.172,1703.8036,
2132.262,1707.368,
2129.351,1723.2544,
2126.441,1658.6952,
