,PLB20C~1,
Wavenumbers [1/cm],Intensity,
3014.167,4.125,
3011.256,0.42506442,
3008.346,408.88202,
3005.435,461.5879,
3002.525,480.01258,
2999.614,508.27304,
2996.704,500.48789,
2993.793,502.34505,
2990.882,534.16312,
2987.972,552.07455,
2985.061,561.18906,
2982.151,577.19894,
2979.240,612.35502,
2976.329,618.10316,
2973.419,634.3096,
2970.508,653.6249,
2967.598,688.74267,
2964.687,687.81114,
2961.777,687.87706,
2958.866,715.12797,
2955.955,728.57852,
2953.045,746.65743,
2950.134,756.49821,
2947.224,778.9506,
2944.313,811.6193,
2941.403,817.99407,
2938.492,843.69953,
2935.581,833.15202,
2932.671,852.32673,
2929.760,857.38269,
2926.850,872.13214,
2923.939,888.36801,
2921.028,885.83096,
2918.118,906.8454,
2915.207,917.77699,
2912.297,910.18001,
2909.386,918.73813,
2906.476,911.22614,
2903.565,905.91537,
2900.654,921.02993,
2897.744,900.03699,
2894.833,885.29009,
2891.923,874.125,
2889.012,860.66835,
2886.102,835.79529,
2883.191,781.16465,
2880.280,623.40245,
2877.370,374.26495,
2874.459,235.94348,
2871.549,526.10049,
2868.638,825.23412,
2865.727,853.07879,
2862.817,917.11293,
2859.906,898.49252,
2856.996,929.53216,
2854.085,945.72373,
2851.175,958.93227,
2848.264,953.54666,
2845.353,965.52112,
2842.443,946.90968,
2839.532,987.28901,
2836.622,979.58008,
2833.711,970.02922,
2830.801,962.72206,
2827.890,984.95716,
2824.979,984.26096,
2822.069,1018.8634,
2819.158,993.08457,
2816.248,1019.5034,
2813.337,1037.2177,
2810.427,1032.9928,
2807.516,1032.7581,
2804.605,1027.2861,
2801.695,1034.2698,
2798.784,1026.6035,
2795.874,1033.8242,
2792.963,1035.9104,
2790.052,1024.1261,
2787.142,995.54608,
2784.231,1007.3501,
2781.321,1007.9422,
2778.410,1026.3496,
2775.500,1032.0616,
2772.589,980.85968,
2769.678,1037.34,
2766.768,1052.793,
2763.857,1047.9709,
2760.947,1076.6092,
2758.036,1068.195,
2755.126,1050.8793,
2752.215,1071.125,
2749.304,1087.6987,
2746.394,1053.8628,
2743.483,1085.175,
2740.573,1070.4789,
2737.662,1051.1561,
2734.751,1072.6832,
2731.841,1074.9089,
2728.930,1118.2862,
2726.020,1087.5584,
2723.109,1118.1347,
2720.199,1116.3593,
2717.288,1122.1432,
2714.377,1108.4168,
2711.467,1130.6821,
2708.556,1138.5187,
2705.646,1129.3644,
2702.735,1150.4858,
2699.825,1176.6359,
2696.914,1157.5054,
2694.003,1167.6844,
2691.093,1147.5534,
2688.182,1148.4709,
2685.272,1171.0012,
2682.361,1177.5781,
2679.450,1169.2937,
2676.540,1173.9827,
2673.629,1168.4523,
2670.719,1179.4753,
2667.808,1163.195,
2664.898,1169.9042,
2661.987,1191.9587,
2659.076,1226.3276,
2656.166,1208.7396,
2653.255,1223.8682,
2650.345,1217.125,
2647.434,1251.0681,
2644.524,1257.6502,
2641.613,1252.125,
2638.702,1236.3775,
2635.792,1253.1888,
2632.881,1262.1783,
2629.971,1217.6683,
2627.060,1247.4606,
2624.149,1243.825,
2621.239,1277.6576,
2618.328,1268.8283,
2615.418,1265.4432,
2612.507,1273.9867,
2609.597,1273.3086,
2606.686,1285.2033,
2603.775,1271.6845,
2600.865,1314.4664,
2597.954,1330.3167,
2595.044,1331.8123,
2592.133,1331.4053,
2589.223,1310.9439,
2586.312,1342.5169,
2583.401,1355.9206,
2580.491,1361.7548,
2577.580,1353.125,
2574.670,1356.7226,
2571.759,1359.5188,
2568.848,1337.6608,
2565.938,1350.7915,
2563.027,1363.3183,
2560.117,1357.6484,
2557.206,1358.9885,
2554.296,1388.3561,
2551.385,1396.497,
2548.474,1386.7915,
2545.564,1417.0487,
2542.653,1405.9136,
2539.743,1416.2359,
2536.832,1416.1867,
2533.922,1449.2196,
2531.011,1449.0755,
2528.100,1427.2609,
2525.190,1429.2402,
