,PLB712~1,
Wavenumbers [1/cm],Intensity,
3014.167,5.25,
3011.256,-0.99994632,
3008.346,333.3873,
3005.435,405.40194,
3002.525,406.55257,
2999.614,449.67598,
2996.704,445.39124,
2993.793,444.08929,
2990.882,470.68512,
2987.972,476.18442,
2985.061,485.86087,
2982.151,516.01135,
2979.240,535.48002,
2976.329,533.71451,
2973.419,556.0654,
2970.508,567.58327,
2967.598,585.82349,
2964.687,595.33967,
2961.777,604.12191,
2958.866,626.91568,
2955.955,640.39158,
2953.045,636.73548,
2950.134,657.70774,
2947.224,671.33182,
2944.313,698.81196,
2941.403,715.92929,
2938.492,702.00612,
2935.581,727.58864,
2932.671,731.36584,
2929.760,730.0308,
2926.850,754.83195,
2923.939,753.25,
2921.028,754.79119,
2918.118,785.75252,
2915.207,793.88909,
2912.297,752.38963,
2909.386,761.26459,
2906.476,761.60675,
2903.565,781.02333,
2900.654,776.89816,
2897.744,774.94827,
2894.833,754.54891,
2891.923,754.3846,
2889.012,735.04191,
2886.102,727.00136,
2883.191,666.30286,
2880.280,484.40304,
2877.370,177.28541,
2874.459,99.823334,
2871.549,540.09549,
2868.638,730.20259,
2865.727,747.14233,
2862.817,757.46523,
2859.906,792.16168,
2856.996,801.24094,
2854.085,810.29203,
2851.175,826.70478,
2848.264,848.24033,
2845.353,824.27157,
2842.443,838.42702,
2839.532,842.72771,
2836.622,863.3737,
2833.711,856.31748,
2830.801,836.55221,
2827.890,856.97902,
2824.979,871.65789,
2822.069,868.10216,
2819.158,860.95081,
2816.248,886.68631,
2813.337,889.47683,
2810.427,896.98553,
2807.516,902.40828,
2804.605,923.55047,
2801.695,891.67102,
2798.784,893.289,
2795.874,871.94919,
2792.963,884.32138,
2790.052,876.2515,
2787.142,872.89473,
2784.231,858.05747,
2781.321,884.50721,
2778.410,900.76016,
2775.500,881.1669,
2772.589,905.01911,
2769.678,899.53671,
2766.768,897.68495,
2763.857,900.46388,
2760.947,927.2437,
2758.036,923.70858,
2755.126,913.15812,
2752.215,913.82285,
2749.304,917.88849,
2746.394,923.75397,
2743.483,936.00003,
2740.573,943.44475,
2737.662,934.14349,
2734.751,932.2258,
2731.841,940.73718,
2728.930,942.61856,
2726.020,947.02025,
2723.109,958.09508,
2720.199,950.54372,
2717.288,969.93249,
2714.377,995.3123,
2711.467,979.61044,
2708.556,992.37758,
2705.646,967.3626,
2702.735,1018.2603,
2699.825,1014.0663,
2696.914,1006.5359,
2694.003,990.2321,
2691.093,1012.3391,
2688.182,988.68481,
2685.272,1006.1703,
2682.361,1006.4323,
2679.450,1018.1594,
2676.540,990.7581,
2673.629,1008.2814,
2670.719,1023.1548,
2667.808,1049.715,
2664.898,1023.1196,
2661.987,1051.8167,
2659.076,1048.7586,
2656.166,1036.0421,
2653.255,1060.6565,
2650.345,1082.8507,
2647.434,1099.1354,
2644.524,1080.6864,
2641.613,1092.1934,
2638.702,1076.6603,
2635.792,1085.1254,
2632.881,1090.9106,
2629.971,1085.9076,
2627.060,1084.0816,
2624.149,1090.4406,
2621.239,1080.4985,
2618.328,1084.0977,
2615.418,1107.2318,
2612.507,1106.5623,
2609.597,1111.24,
2606.686,1122.497,
2603.775,1124.373,
2600.865,1121.2534,
2597.954,1158.5792,
2595.044,1156.483,
2592.133,1165.1862,
2589.223,1144.6595,
2586.312,1177.5164,
2583.401,1168.7391,
2580.491,1159.7308,
2577.580,1184.2715,
2574.670,1192.2687,
2571.759,1177.0479,
2568.848,1203.2391,
2565.938,1146.2973,
2563.027,1190.225,
2560.117,1182.6145,
2557.206,1168.6891,
2554.296,1209.3919,
2551.385,1203.936,
2548.474,1198.0277,
2545.564,1205.9334,
2542.653,1200.2701,
2539.743,1219.7562,
2536.832,1238.8837,
2533.922,1228.2973,
2531.011,1239.7743,
2528.100,1238.2604,
2525.190,1246.5012,
2522.279,1248.1713,
2519.369,1229.5706,
2516.458,1248.369,
2513.548,1271.0044,
2510.637,1259.4182,
2507.726,1274.1273,
2504.816,1276.8137,
2501.905,1272.0762,
2498.995,1261.5638,
2496.084,1279.797,
2493.173,1276.4606,
2490.263,1329.3054,
2487.352,1313.9595,
2484.442,1325.6933,
2481.531,1302.1384,
2478.621,1330.4065,
2475.710,1317.388,
2472.799,1337.2231,
2469.889,1352.9453,
2466.978,1348.8171,
2464.068,1350.9114,
2461.157,1347.5175,
2458.247,1348.353,
2455.336,1365.1854,
2452.425,1365.5755,
2449.515,1366.3165,
2446.604,1379.0842,
2443.694,1384.9252,
2440.783,1415.0146,
2437.872,1394.1771,
2434.962,1382.7938,
2432.051,1385.9975,
2429.141,1417.9618,
2426.230,1404.2279,
2423.320,1420.8785,
2420.409,1433.3267,
2417.498,1450.6433,
2414.588,1445.7101,
2411.677,1434.6803,
2408.767,1450.5502,
2405.856,1467.4714,
2402.946,1464.7201,
2400.035,1484.6256,
2397.124,1475.6671,
2394.214,1453.3036,
2391.303,1462.6477,
2388.393,1454.8407,
2385.482,1394.7175,
2382.571,1385.0727,
2379.661,1420.8773,
2376.750,1475.9864,
2373.840,1473.3281,
2370.929,1536.5461,
2368.019,1547.2247,
2365.108,1549.7186,
2362.197,1547.5022,
2359.287,1560.4684,
2356.376,1566.2359,
2353.466,1556.9796,
2350.555,1538.2605,
2347.645,1570.1308,
2344.734,1585.7062,
2341.823,1566.6148,
2338.913,1572.2694,
2336.002,1591.8122,
2333.092,1607.4453,
2330.181,1623.5671,
2327.270,1632.92,
2324.360,1643.7123,
2321.449,1639.2806,
2318.539,1636.7393,
2315.628,1639.7372,
2312.718,1655.3822,
2309.807,1641.2064,
2306.896,1656.0137,
2303.986,1668.2111,
2301.075,1674.7819,
2298.165,1682.8271,
2295.254,1688.1854,
2292.344,1676.4658,
2289.433,1663.64,
2286.522,1694.6784,
2283.612,1731.6416,
2280.701,1734.3262,
2277.791,1747.0515,
2274.880,1763.896,
2271.969,1749.4475,
2269.059,1762.0348,
2266.148,1740.5839,
2263.238,1791.0222,
2260.327,1823.8359,
2257.417,1792.6733,
2254.506,1801.7002,
2251.595,1805.9664,
2248.685,1818.2442,
2245.774,1816.0413,
2242.864,1835.028,
2239.953,1842.6087,
2237.043,1828.6914,
2234.132,1845.5226,
2231.221,1871.909,
2228.311,1880.5992,
2225.400,1894.5464,
2222.490,1876.0058,
2219.579,1906.3786,
2216.669,1922.719,
2213.758,1952.0801,
2210.847,1938.4566,
2207.937,1999.3997,
2205.026,1988.4722,
2202.116,1994.1831,
2199.205,2005.25,
2196.294,2041.2179,
2193.384,2082.7495,
2190.473,2101.9777,
2187.563,2116.5013,
2184.652,2172.7684,
2181.742,2216.5705,
2178.831,2297.6237,
2175.920,2364.485,
2173.010,2437.7046,
2170.099,2593.7014,
2167.189,2735.0537,
