,PLBFB8~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.125,
3011.256,-1.5749356,
3008.346,228.87353,
3005.435,258.5879,
3002.525,265.125,
2999.614,286.02631,
2996.704,290.08067,
2993.793,304.14343,
2990.882,305.37683,
2987.972,301.22085,
2985.061,328.54866,
2982.151,331.19894,
2979.240,349.69345,
2976.329,337.8709,
2973.419,384.51011,
2970.508,383.24156,
2967.598,390.83825,
2964.687,398.97486,
2961.777,379.6973,
2958.866,407.78771,
2955.955,416.16039,
2953.045,414.62838,
2950.134,437.91217,
2947.224,441.80825,
2944.313,465.57443,
2941.403,486.11359,
2938.492,478.50709,
2935.581,475.43662,
2932.671,469.36535,
2929.760,478.07501,
2926.850,483.17726,
2923.939,494.08293,
2921.028,501.125,
2918.118,509.74591,
2915.207,521.83392,
2912.297,517.15885,
2909.386,519.32208,
2906.476,513.28793,
2903.565,506.70574,
2900.654,521.64166,
2897.744,497.32616,
2894.833,511.06318,
2891.923,499.2051,
2889.012,464.95737,
2886.102,452.41961,
2883.191,424.14199,
2880.280,282.91921,
2877.370,72.747455,
2874.459,-60.396319,
2871.549,190.48195,
2868.638,422.0919,
2865.727,472.70957,
2862.817,508.61162,
2859.906,510.125,
2856.996,527.04801,
2854.085,528.28043,
2851.175,553.31773,
2848.264,561.272,
2845.353,552.14657,
2842.443,555.92013,
2839.532,561.67723,
2836.622,561.73177,
2833.711,556.18464,
2830.801,552.62132,
2827.890,564.60226,
2824.979,565.39693,
2822.069,576.14774,
2819.158,574.32446,
2816.248,592.77947,
2813.337,599.125,
2810.427,598.16908,
2807.516,583.6575,
2804.605,606.75962,
2801.695,610.29605,
2798.784,590.52954,
2795.874,581.11972,
2792.963,587.41074,
2790.052,576.12757,
2787.142,586.17746,
2784.231,578.05977,
2781.321,587.99352,
2778.410,577.34961,
2775.500,574.63707,
2772.589,585.04854,
2769.678,600.01575,
2766.768,597.76188,
2763.857,599.28493,
2760.947,603.04304,
2758.036,596.05497,
2755.126,613.54808,
2752.215,626.52953,
2749.304,618.14659,
2746.394,605.39515,
2743.483,604.62502,
2740.573,604.56086,
2737.662,617.24186,
2734.751,622.24149,
2731.841,632.04442,
2728.930,601.41298,
2726.020,624.7934,
2723.109,644.74325,
2720.199,631.84996,
2717.288,637.03741,
2714.377,641.34992,
2711.467,649.45248,
2708.556,663.99742,
2705.646,689.85747,
2702.735,655.15079,
2699.825,671.32133,
2696.914,661.31545,
2694.003,669.538,
2691.093,681.35725,
2688.182,674.96055,
2685.272,651.9927,
2682.361,678.81932,
2679.450,659.92339,
2676.540,680.36889,
2673.629,689.13847,
2670.719,683.76733,
2667.808,668.90317,
2664.898,678.16391,
2661.987,696.4253,
2659.076,686.30389,
2656.166,693.91712,
2653.255,706.98044,
2650.345,716.72573,
2647.434,725.61057,
2644.524,718.58063,
2641.613,721.61086,
2638.702,713.29859,
2635.792,732.47294,
2632.881,720.33299,
2629.971,709.82283,
2627.060,727.12625,
2624.149,725.85311,
2621.239,731.61611,
2618.328,733.20977,
2615.418,739.77046,
2612.507,739.81673,
2609.597,706.87949,
2606.686,745.39808,
2603.775,727.40277,
2600.865,749.94079,
2597.954,747.98745,
2595.044,771.73262,
2592.133,765.55792,
2589.223,737.96814,
2586.312,773.125,
2583.401,777.61407,
2580.491,768.60581,
2577.580,800.1052,
2574.670,785.63436,
2571.759,775.82192,
2568.848,773.125,
2565.938,779.22009,
2563.027,796.19775,
2560.117,806.37737,
2557.206,781.67482,
2554.296,812.80463,
2551.385,797.63711,
2548.474,818.16218,
2545.564,828.87176,
2542.653,824.06124,
2539.743,835.14965,
2536.832,822.55303,
2533.922,827.23538,
2531.011,825.8757,
2528.100,802.52569,
2525.190,828.79508,
2522.279,830.04635,
2519.369,812.35116,
2516.458,812.67387,
2513.548,809.97948,
2510.637,809.4939,
2507.726,821.0581,
2504.816,842.00099,
2501.905,829.45854,
2498.995,861.28893,
2496.084,845.97865,
2493.173,841.125,
2490.263,827.5634,
2487.352,871.29353,
2484.442,892.14429,
2481.531,879.75795,
2478.621,859.09174,
2475.710,894.94864,
2472.799,875.82451,
2469.889,889.06406,
2466.978,885.35186,
2464.068,900.36316,
2461.157,900.66496,
2458.247,902.00729,
2455.336,895.78449,
2452.425,897.90802,
2449.515,902.35162,
2446.604,907.59968,
2443.694,909.84624,
2440.783,925.84122,
2437.872,927.34379,
2434.962,932.59966,
2432.051,936.4893,
2429.141,937.85447,
2426.230,922.10287,
2423.320,946.13967,
2420.409,936.55436,
2417.498,954.9031,
2414.588,955.22008,
2411.677,963.51944,
2408.767,971.59547,
2405.856,952.86792,
2402.946,958.60757,
2400.035,977.01468,
2397.124,967.31753,
2394.214,957.12779,
2391.303,962.83232,
2388.393,974.49251,
2385.482,919.1212,
2382.571,902.77032,
2379.661,926.38054,
2376.750,982.22334,
2373.840,1000.2031,
2370.929,1016.9301,
2368.019,1031.7032,
2365.108,1031.358,
2362.197,1025.3332,
2359.287,1034.5033,
2356.376,1032.1338,
2353.466,1044.8237,
2350.555,1027.8153,
2347.645,1044.0853,
2344.734,1040.6089,
2341.823,1054.8597,
2338.913,1049.6504,
2336.002,1083.192,
2333.092,1081.0099,
2330.181,1088.6339,
2327.270,1087.235,
2324.360,1101.2005,
2321.449,1097.1386,
2318.539,1069.5287,
2315.628,1078.3764,
2312.718,1071.7594,
2309.807,1099.5102,
2306.896,1096.4161,
2303.986,1126.0472,
2301.075,1126.2314,
