,PLC19D~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.25,
3011.256,-1.4499356,
3008.346,446.56446,
3005.435,502.79064,
3002.525,523.55257,
2999.614,564.8643,
2996.704,563.7098,
2993.793,593.37385,
2990.882,595.37976,
2987.972,603.40639,
2985.061,650.65396,
2982.151,662.44327,
2979.240,692.03423,
2976.329,709.79095,
2973.419,739.55809,
2970.508,750.99985,
2967.598,767.68012,
2964.687,776.25,
2961.777,774.43802,
2958.866,807.91865,
2955.955,831.05085,
2953.045,861.87197,
2950.134,881.45113,
2947.224,892.13253,
2944.313,926.7443,
2941.403,948.76232,
2938.492,946.12264,
2935.581,953.25,
2932.671,975.29728,
2929.760,1003.6961,
2926.850,994.35451,
2923.939,1026.9696,
2921.028,1011.2969,
2918.118,1027.9515,
2915.207,1062.6174,
2912.297,1047.3812,
2909.386,1060.6369,
2906.476,1068.1489,
2903.565,1041.8448,
2900.654,1062.6272,
2897.744,1029.1494,
2894.833,1033.6209,
2891.923,1046.3846,
2889.012,1021.6315,
2886.102,1005.6865,
2883.191,988.26982,
2880.280,908.53704,
2877.370,778.29665,
2874.459,721.9234,
2871.549,872.19832,
2868.638,1036.2602,
2865.727,1066.8269,
2862.817,1102.5093,
2859.906,1094.9708,
2856.996,1098.6526,
2854.085,1131.6933,
2851.175,1109.0361,
2848.264,1126.0198,
2845.353,1108.9912,
2842.443,1106.0347,
2839.532,1139.429,
2836.622,1121.6771,
2833.711,1122.6283,
2830.801,1112.1493,
2827.890,1127.4178,
2824.979,1165.9918,
2822.069,1152.1477,
2819.158,1144.7702,
2816.248,1162.1921,
2813.337,1167.6732,
2810.427,1201.772,
2807.516,1186.9408,
2804.605,1189.637,
2801.695,1196.3027,
2798.784,1215.289,
2795.874,1181.5297,
2792.963,1193.0359,
2790.052,1167.2562,
2787.142,1159.9868,
2784.231,1168.5714,
2781.321,1178.4328,
2778.410,1168.7398,
2775.500,1165.3572,
2772.589,1176.0971,
2769.678,1194.4275,
2766.768,1184.6403,
2763.857,1187.2018,
2760.947,1227.7721,
2758.036,1248.1928,
2755.126,1236.8205,
2752.215,1224.3589,
2749.304,1219.973,
2746.394,1209.8124,
2743.483,1237,
2740.573,1210.8605,
2737.662,1228.1849,
2734.751,1249.2016,
2731.841,1240.3581,
2728.930,1258.1483,
2726.020,1271.2604,
2723.109,1273.9305,
2720.199,1275.6218,
2717.288,1274.4617,
2714.377,1291.5038,
2711.467,1295.528,
2708.556,1311.6972,
2705.646,1327.1374,
2702.735,1314.7526,
2699.825,1328.01,
2696.914,1326.2973,
2694.003,1340.7264,
2691.093,1314.8577,
2688.182,1347.5789,
2685.272,1336.6127,
2682.361,1333.191,
2679.450,1337.8344,
2676.540,1352.5345,
2673.629,1358.6178,
2670.719,1354.1696,
2667.808,1368.8123,
2664.898,1369.1722,
2661.987,1363.8167,
2659.076,1386.9439,
2656.166,1391.2845,
2653.255,1403.8486,
2650.345,1405.2827,
