,PLCB58~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.25,
3011.256,-2.8999248,
3008.346,341.17569,
3005.435,407.36661,
3002.525,425.13758,
2999.614,427.62664,
2996.704,436.61289,
2993.793,448.71774,
2990.882,468.16606,
2987.972,483.28531,
2985.061,505.76726,
2982.151,505.87519,
2979.240,526.91156,
2976.329,542.97952,
2973.419,561.91136,
2970.508,581.58327,
2967.598,595.44116,
2964.687,604.02581,
2961.777,614.68595,
2958.866,638.25891,
2955.955,639.15043,
2953.045,685.53412,
2950.134,688.21792,
2947.224,696.13253,
2944.313,729.84544,
2941.403,738.59535,
2938.492,746.12264,
2935.581,749.72853,
2932.671,759.33156,
2929.760,775.80386,
2926.850,765.24286,
2923.939,814.65659,
2921.028,803.80894,
2918.118,830.0699,
2915.207,836.90199,
2912.297,823.33039,
2909.386,837.01643,
2906.476,849.8539,
2903.565,826.83074,
2900.654,822.80309,
2897.744,841.07399,
2894.833,824.36346,
2891.923,842.14431,
2889.012,819.37139,
2886.102,824.00136,
2883.191,776.29059,
2880.280,716.24518,
2877.370,573.67462,
2874.459,541.81634,
2871.549,655.185,
2868.638,812.12414,
2865.727,853.69998,
2862.817,864.43583,
2859.906,859.04772,
2856.996,872.71603,
2854.085,874.96848,
2851.175,891.77409,
2848.264,884.25967,
2845.353,899.79709,
2842.443,891.22911,
2839.532,889.07102,
2836.622,895.42969,
2833.711,887.35361,
2830.801,890.14926,
2827.890,904.66961,
2824.979,935.94189,
2822.069,933.19314,
2819.158,925.96967,
2816.248,926.73263,
2813.337,950.32196,
2810.427,948.63291,
2807.516,973.35062,
2804.605,951.90626,
2801.695,969.03949,
2798.784,947.39377,
2795.874,949.66951,
2792.963,954.39277,
2790.052,912.25858,
2787.142,962.11838,
2784.231,943.34784,
2781.321,965.86707,
2778.410,949.39974,
2775.500,952.18655,
2772.589,930.4824,
2769.678,971.03149,
2766.768,979.51018,
2763.857,998.25,
2760.947,988.18696,
2758.036,997.73419,
2755.126,970.05342,
2752.215,999.01379,
2749.304,992.80398,
2746.394,990.30846,
2743.483,1012.9499,
2740.573,1006.0707,
2737.662,997.69674,
2734.751,1007.0654,
2731.841,1029.305,
2728.930,1019.8814,
2726.020,1016.0359,
2723.109,1018.7037,
2720.199,1035.2687,
2717.288,1042.4434,
2714.377,1042.7333,
2711.467,1051.7577,
2708.556,1081.5477,
2705.646,1100.081,
2702.735,1082.4227,
2699.825,1090.2064,
2696.914,1082.5354,
2694.003,1094.3329,
2691.093,1096.9456,
2688.182,1065.8493,
2685.272,1083.8432,
2682.361,1105.0087,
2679.450,1107.1266,
2676.540,1099.1484,
2673.629,1093.2545,
2670.719,1113.0892,
2667.808,1109.0768,
2664.898,1121.2763,
2661.987,1124.6504,
2659.076,1137.6315,
2656.166,1147.5055,
2653.255,1117.6939,
2650.345,1149.0431,
2647.434,1183.6787,
2644.524,1174.7367,
2641.613,1175.1934,
2638.702,1172.4552,
