,PLD00A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.875,
3011.256,0.42506442,
3008.346,393.59846,
3005.435,446.89532,
3002.525,477.48518,
2999.614,494.69902,
2996.704,487.39923,
2993.793,505.45968,
2990.882,541.77382,
2987.972,533.17545,
2985.061,563.96247,
2982.151,596.28971,
2979.240,616.49192,
2976.329,629.40094,
2973.419,631.41717,
2970.508,657.47489,
2967.598,671.45954,
2964.687,675.73709,
2961.777,712.98865,
2958.866,713.80998,
2955.955,717.2024,
2953.045,755.71115,
2950.134,779.15708,
2947.224,784.9506,
2944.313,822.56304,
2941.403,828.04152,
2938.492,840.41226,
2935.581,826.33485,
2932.671,855.39963,
2929.760,856.45966,
2926.850,872.5953,
2923.939,893.40538,
2921.028,877.48368,
2918.118,909.44742,
2915.207,929.125,
2912.297,927.13346,
2909.386,924.68706,
2906.476,916.38061,
2903.565,929.62649,
2900.654,916.74783,
2897.744,922.69754,
2894.833,900.25881,
2891.923,915.3141,
2889.012,903.62789,
2886.102,874.79529,
2883.191,854.13255,
2880.280,748.06755,
2877.370,642.81701,
2874.459,541.50903,
2871.549,690.12606,
2868.638,885.00118,
2865.727,923.57498,
2862.817,937.95387,
2859.906,949.44124,
2856.996,966.02537,
2854.085,955.55561,
2851.175,979.40817,
2848.264,974.47316,
2845.353,982.17605,
2842.443,956.29506,
2839.532,986.00557,
2836.622,983.18685,
2833.711,988.5991,
2830.801,980.93088,
2827.890,976.89245,
2824.979,992.86678,
2822.069,1019.2501,
2819.158,1026.3245,
2816.248,1031.3316,
2813.337,1015.0116,
2810.427,1026.552,
2807.516,1020.7655,
2804.605,1025.9423,
2801.695,1038.7434,
2798.784,1042.4207,
2795.874,1033.9852,
2792.963,1037.5537,
2790.052,1033.1267,
2787.142,1004.454,
2784.231,1006.3191,
2781.321,1006.1994,
2778.410,1029.6555,
2775.500,1022.9543,
2772.589,1012.1655,
2769.678,1051.4799,
2766.768,1041.6454,
2763.857,1045.4429,
2760.947,1066.1439,
2758.036,1069.9721,
2755.126,1057.4989,
2752.215,1070.8068,
2749.304,1039.0837,
2746.394,1059.3004,
2743.483,1089.2749,
2740.573,1066.8638,
2737.662,1087.4445,
2734.751,1081.4745,
2731.841,1092.1525,
2728.930,1084.0021,
2726.020,1096.809,
2723.109,1124.3103,
2720.199,1119.85,
2717.288,1127.7564,
2714.377,1123.9001,
2711.467,1131.6492,
2708.556,1141.2635,
2705.646,1160.1673,
2702.735,1137.9626,
2699.825,1148.9723,
2696.914,1152.0773,
2694.003,1150.5656,
2691.093,1165.7857,
2688.182,1162.5976,
2685.272,1148.5674,
2682.361,1170.1064,
2679.450,1181.9811,
2676.540,1162.2469,
2673.629,1164.143,
2670.719,1181.1758,
2667.808,1176.0977,
2664.898,1199.3847,
2661.987,1194.4582,
2659.076,1218.056,
2656.166,1206.4496,
2653.255,1219.0927,
2650.345,1247.6785,
2647.434,1278.125,
2644.524,1265.77,
2641.613,1259.8396,
2638.702,1237.5827,
2635.792,1245.6235,
2632.881,1264.6308,
2629.971,1243.0779,
2627.060,1250.4581,
2624.149,1254.8812,
2621.239,1259.628,
2618.328,1269.7184,
2615.418,1276.8204,
2612.507,1279.0182,
2609.597,1273.5941,
2606.686,1303.3198,
2603.775,1301.7242,
2600.865,1330.4698,
2597.954,1327.2208,
2595.044,1328.7946,
2592.133,1342.1888,
2589.223,1352.0166,
2586.312,1352.1501,
2583.401,1344.5556,
2580.491,1341.4663,
2577.580,1331.1465,
2574.670,1352.1504,
2571.759,1382.4837,
2568.848,1380.2465,
2565.938,1355.9821,
2563.027,1362.2955,
2560.117,1350.8633,
2557.206,1386.8077,
2554.296,1378.3859,
2551.385,1391.935,
2548.474,1377.1618,
2545.564,1421.5106,
2542.653,1423.0411,
2539.743,1420.5695,
2536.832,1432.6764,
2533.922,1452.0304,
2531.011,1446.4,
2528.100,1438.0623,
2525.190,1476.7688,
2522.279,1449.7029,
2519.369,1439.6157,
2516.458,1438.9047,
2513.548,1452.4521,
2510.637,1445.9858,
2507.726,1460.6863,
2504.816,1478.7518,
2501.905,1460.9079,
2498.995,1475.4529,
2496.084,1462.6164,
2493.173,1492.5724,
2490.263,1504.8889,
2487.352,1496.2101,
2484.442,1517.4227,
2481.531,1502.3325,
2478.621,1516.3194,
2475.710,1527.1173,
2472.799,1523.9053,
2469.889,1541.3633,
2466.978,1570.0116,
2464.068,1532.818,
2461.157,1539.7025,
2458.247,1554.0663,
2455.336,1562.2111,
2452.425,1542.0778,
2449.515,1540.7966,
2446.604,1605.844,
2443.694,1578.148,
2440.783,1607.9414,
2437.872,1615.7449,
2434.962,1624.5075,
2432.051,1628.4835,
2429.141,1630.9253,
2426.230,1622.0598,
2423.320,1650.382,
2420.409,1648.8046,
2417.498,1659.0576,
2414.588,1669.4026,
2411.677,1670.8422,
2408.767,1683.8012,
2405.856,1662.3107,
2402.946,1661.1786,
2400.035,1672.0147,
2397.124,1666.1143,
2394.214,1680.5086,
2391.303,1716.4068,
2388.393,1685.4761,
2385.482,1713.4947,
2382.571,1667.6186,
2379.661,1679.4272,
2376.750,1710.753,
2373.840,1740.1655,
2370.929,1726.3308,
2368.019,1756.7869,
2365.108,1763.824,
2362.197,1754.7086,
2359.287,1753.9317,
2356.376,1804.0352,
2353.466,1764.2602,
2350.555,1782.7051,
2347.645,1807.623,
2344.734,1838.0974,
2341.823,1829.3406,
2338.913,1827.4802,
2336.002,1832.4623,
2333.092,1842.0675,
2330.181,1841.3526,
2327.270,1884.5398,
2324.360,1878.4268,
2321.449,1894.4923,
2318.539,1887.489,
2315.628,1900.6378,
2312.718,1886.7594,
2309.807,1897.8081,
2306.896,1905.8652,
2303.986,1910.3913,
2301.075,1929.7633,
2298.165,1939.1155,
2295.254,1915.6636,
2292.344,1919.9092,
2289.433,1935.7582,
2286.522,1946.1204,
2283.612,1980.6862,
2280.701,1975.143,
2277.791,1968.8463,
2274.880,1992.5449,
2271.969,2008.3884,
2269.059,1998.9179,
2266.148,2010.6091,
2263.238,2020.4223,
2260.327,2030.1594,
2257.417,2026.1394,
2254.506,2060.3843,
2251.595,2084.6813,
2248.685,2096.3885,
2245.774,2106.938,
2242.864,2081.1624,
2239.953,2092.4837,
2237.043,2084.8007,
2234.132,2095.9795,
2231.221,2121.1535,
2228.311,2088.3725,
2225.400,2152.6747,
2222.490,2152.9071,
2219.579,2223.4926,
2216.669,2226.6226,
2213.758,2231.691,
2210.847,2227.6766,
2207.937,2252.0256,
2205.026,2253.9023,
2202.116,2280.711,
2199.205,2321.8996,
2196.294,2341.365,
2193.384,2345.862,
2190.473,2388.74,
2187.563,2418.357,
2184.652,2471.2458,
2181.742,2529.0831,
2178.831,2606.4791,
2175.920,2672.4984,
2173.010,2820.1584,
2170.099,2990.2436,
2167.189,3105.4596,
2164.278,3314.3361,
2161.368,3506.5474,
2158.457,3727.4757,
2155.546,3925.4396,
2152.636,4181.4117,
2149.725,4420.4202,
2146.815,4585.4867,
2143.904,4747.6714,
2140.993,4878.5163,
2138.083,4958.8209,
2135.172,5016.4277,
2132.262,4995.0616,
2129.351,4932.6317,
2126.441,4808.9208,
2123.530,4746.6333,
2120.619,4501.1169,
2117.709,4272.7305,
2114.798,3987.9585,
2111.888,3702.593,
2108.977,3462.6945,
2106.067,3278.61,
2103.156,3090.7934,
2100.245,2947.0805,
2097.335,2858.1826,
2094.424,2723.2954,
2091.514,2676.4446,
2088.603,2610.3278,
2085.692,2594.8946,
2082.782,2570.1612,
2079.871,2500.6933,
2076.961,2506.7689,
2074.050,2533.5068,
2071.140,2479.8723,
2068.229,2455.0625,
2065.318,2433.904,
2062.408,2433.9654,
2059.497,2413.5298,
2056.587,2415.125,
2053.676,2402.8757,
2050.766,2412.1243,
2047.855,2353.2674,
2044.944,2358.657,
2042.034,2369.2349,
2039.123,2394.1654,
2036.213,2393.7028,
2033.302,2391.9293,
2030.391,2384.1761,
2027.481,2360.2715,
2024.570,2383.6242,
2021.660,2432.4051,
2018.749,2444.5674,
2015.839,2405.6631,
2012.928,2406.5965,
2010.017,2401.0468,
2007.107,2415.0802,
2004.196,2421.5178,
2001.286,2416.5208,
1998.375,2361.8474,
1995.465,2371.9491,
1992.554,2346.9429,
1989.643,2358.5374,
1986.733,2360.3189,
1983.822,2388.2631,
1980.912,2323.7192,
1978.001,2329.7521,
1975.090,2323.9525,
1972.180,2325.6755,
1969.269,2329.5014,
1966.359,2318.8817,
1963.448,2331.0048,
1960.538,2340.1825,
1957.627,2355.3913,
1954.716,2318.2741,
1951.806,2305.8702,
1948.895,2325.4812,
1945.985,2354.5678,
1943.074,2316.151,
1940.164,2298.4617,
1937.253,2299.0861,
1934.342,2265.4411,
1931.432,2262.5982,
1928.521,2287.8141,
1925.611,2253.041,
1922.700,2237.9164,
1919.790,2265.6854,
1916.879,2289.6603,
1913.968,2272.1484,
1911.058,2254.5004,
1908.147,2201.347,
1905.237,2263.6543,
1902.326,2205.2553,
1899.415,2220.7542,
1896.505,2193.6974,
1893.594,2230.5671,
1890.684,2264.4191,
1887.773,2250.0221,
1884.863,2255.4485,
1881.952,2296.0247,
1879.041,2296.0212,
1876.131,2267.6936,
1873.220,2267.3551,
1870.310,2236.5645,
1867.399,2244.9491,
1864.489,2253.7356,
1861.578,2245.526,
1858.667,2259.125,
1855.757,2267.0964,
1852.846,2309.6788,
1849.936,2326.9168,
1847.025,2298.3586,
1844.114,2328.2545,
1841.204,2343.083,
1838.293,2326.1167,
1835.383,2338.776,
1832.472,2351.0554,
1829.562,2350.6534,
1826.651,2340.6034,
1823.740,2354.5963,
1820.830,2396.6214,
1817.919,2355.8193,
1815.009,2398.0677,
1812.098,2378.4006,
1809.188,2379.8149,
1806.277,2365.457,
1803.366,2414.3246,
1800.456,2426.5647,
1797.545,2431.9123,
1794.635,2415.4141,
1791.724,2457.3968,
1788.813,2478.1109,
1785.903,2433.8905,
1782.992,2408.9819,
1780.082,2318.4215,
1777.171,2230.4419,
1774.261,2224.9711,
1771.350,2368.032,
1768.439,2466.6396,
1765.529,2516.0361,
1762.618,2547.4838,
1759.708,2552.3096,
1756.797,2535.9735,
1753.887,2561.2037,
1750.976,2557.3593,
1748.065,2583.7502,
1745.155,2564.4995,
1742.244,2554.6784,
1739.334,2630.9109,
1736.423,2640.2222,
1733.512,2647.8608,
1730.602,2690.0298,
1727.691,2726.6901,
1724.781,2711.3143,
1721.870,2767.092,
1718.960,2742.6579,
1716.049,2750.0655,
1713.138,2792.4548,
1710.228,2806.0874,
1707.317,2869.9296,
1704.407,2853.8683,
1701.496,2855.6827,
1698.586,2886.6165,
1695.675,2893.8035,
1692.764,2949.0349,
1689.854,2961.6919,
1686.943,2963.0913,
1684.033,3046.9891,
1681.122,3018.6518,
1678.211,3107.2684,
1675.301,3106.1312,
1672.390,3234.116,
1669.480,3231.7106,
1666.569,3304.8233,
1663.659,3359.8926,
1660.748,3408.246,
1657.837,3516.628,
1654.927,3540.929,
1652.016,3618.2147,
1649.106,3703.6428,
1646.195,3766.5706,
1643.285,3868.3353,
1640.374,3964.5675,
1637.463,4036.0161,
1634.553,4250.5633,
1631.642,4415.5137,
1628.732,4634.2094,
1625.821,4816.3442,
1622.911,5149.2372,
1620.000,5507.5769,
1617.089,5783.6125,
1614.179,6293.4887,
1611.268,6684.5884,
1608.358,7013.6734,
1605.447,7277.0984,
1602.536,7334.0599,
1599.626,7414.3994,
1596.715,7412.049,
1593.805,7411.125,
1590.894,7360.9268,
1587.984,7303.0256,
1585.073,7176.0106,
1582.162,7058.2782,
1579.252,7021.9407,
1576.341,6969.2601,
1573.431,6972.7885,
1570.520,6953.4293,
1567.610,6904.3989,
1564.699,6805.2965,
1561.788,6693.5483,
1558.878,6598.6763,
1555.967,6467.722,
1553.057,6334.7465,
1550.146,6214.1506,
1547.235,6083.889,
1544.325,5968.4408,
1541.414,5882.0005,
1538.504,5790.1205,
1535.593,5706.9363,
1532.683,5598.8656,
1529.772,5477.213,
1526.861,5457.6554,
1523.951,5485.9069,
1521.040,5486.0318,
1518.130,5448.2857,
1515.219,5335.8044,
1512.309,5330.1294,
1509.398,5215.9088,
1506.487,5084.6775,
1503.577,4975.8884,
1500.666,4977.171,
1497.756,4904.8282,
1494.845,4887.0038,
1491.934,4836.0589,
1489.024,4815.8465,
1486.113,4688.0965,
1483.203,4619.5059,
1480.292,4513.6977,
1477.382,4506.6322,
1474.471,4403.9941,
1471.560,4349.6294,
1468.650,4298.762,
1465.739,4261.8318,
1462.829,4216.316,
1459.918,4154.5556,
1457.008,4121.0788,
1454.097,4105.1846,
1451.186,4108.4229,
1448.276,4138.1837,
1445.365,4139.0168,
1442.455,4143.6175,
1439.544,4184.9651,
1436.633,4163.1051,
1433.723,4140.5109,
1430.812,4117.0459,
1427.902,4140.877,
1424.991,4130.4516,
1422.081,4146.6396,
1419.170,4194.7843,
1416.259,4228.8571,
1413.349,4212.4678,
1410.438,4205.125,
1407.528,4216.7124,
1404.617,4152.0825,
1401.707,4127.0322,
1398.796,4110.4188,
1395.885,4091.515,
1392.975,4110.8952,
1390.064,4057.2258,
1387.154,4010.313,
1384.243,4064.6086,
1381.332,4085.2397,
1378.422,4087.4962,
1375.511,4269.2317,
1372.601,4424.1841,
1369.690,4460.27,
1366.780,4561.5453,
1363.869,4632.8931,
1360.958,4734.6327,
1358.048,4858.2221,
1355.137,4954.654,
1352.227,5037.8769,
1349.316,5143.4504,
1346.406,5254.779,
1343.495,5342.2975,
1340.584,5426.4452,
1337.674,5520.5971,
1334.763,5639.89,
1331.853,5607.4369,
1328.942,5777.7916,
1326.032,5864.3747,
1323.121,5999.9022,
1320.210,6088.0735,
1317.300,6187.2649,
1314.389,6337.2519,
1311.479,6481.9887,
1308.568,6618.7305,
1305.657,6791.1354,
1302.747,6949.2513,
1299.836,7094.9066,
1296.926,7296.7645,
1294.015,7525.6761,
1291.105,7811.6151,
1288.194,8028.8422,
1285.283,8200.8575,
1282.373,8426.4134,
1279.462,8586.869,
1276.552,8733.149,
1273.641,8844.227,
1270.731,8871.4101,
1267.820,8949.3185,
1264.909,8971.7846,
1261.999,8987.3302,
1259.088,8883.3484,
1256.178,8708.4031,
1253.267,8545.8658,
1250.356,8290.4355,
1247.446,7989.8112,
1244.535,7673.7148,
1241.625,7357.2698,
1238.714,7040.8552,
1235.804,6764.7514,
1232.893,6649.9232,
1229.982,6427.8746,
1227.072,6331.9116,
1224.161,6240.2341,
1221.251,6160.0972,
1218.340,6051.3182,
1215.430,5928.7017,
1212.519,5849.4674,
1209.608,5819.62,
1206.698,5812.0401,
1203.787,5815.8084,
1200.877,5720.709,
1197.966,5875.3644,
1195.055,6048.6552,
1192.145,6132.7244,
1189.234,6306.8352,
1186.324,6468.0415,
1183.413,6536.5412,
1180.503,6566.7447,
1177.592,6589.8012,
1174.681,6498.0154,
1171.771,6442.3104,
1168.860,6450.3483,
1165.950,6399.5225,
1163.039,6368.2681,
1160.129,6383.7192,
1157.218,6345.8018,
1154.307,6284.5278,
1151.397,6260.8348,
1148.486,6203.1279,
1145.576,6180.1116,
1142.665,6041.5972,
1139.754,6053.7202,
1136.844,5973.688,
1133.933,5941.817,
1131.023,5911.1341,
1128.112,5851.6995,
1125.202,5808.0526,
1122.291,5793.253,
1119.380,5801.2376,
1116.470,5812.7105,
1113.559,5820.311,
1110.649,5776.2858,
1107.738,5729.6206,
1104.828,5726.3529,
1101.917,5725.4554,
1099.006,5682.0937,
1096.096,5739.7923,
1093.185,5685.3561,
1090.275,5718.3514,
1087.364,5775.1536,
1084.453,5839.3098,
1081.543,5919.8911,
1078.632,5990.5268,
1075.722,6018.0832,
1072.811,6043.9675,
1069.901,5985.459,
1066.990,5927.7751,
1064.079,5892.668,
1061.169,5874.9451,
1058.258,5862.7727,
1055.348,5867.3531,
1052.437,5904.8646,
1049.527,5933.9236,
1046.616,5928.7106,
1043.705,5961.2679,
1040.795,5950.6929,
1037.884,6006.8938,
1034.974,6068.2835,
1032.063,6073.2399,
1029.153,6113.4632,
1026.242,6099.6239,
1023.331,6182.453,
1020.421,6215.1583,
1017.510,6243.4155,
1014.600,6306.6473,
1011.689,6380.9577,
1008.778,6433.0489,
1005.868,6579.2833,
1002.957,6708.3365,
1000.047,6907.2131,
997.136,7153.2593,
994.226,7311.2476,
991.315,7336.5112,
988.404,7303.7735,
985.494,7305.4564,
982.583,7230.9359,
979.673,7252.3175,
976.762,7247.099,
973.852,7249.2693,
970.941,7268.3105,
968.030,7278.0384,
965.120,7317.4186,
962.209,7387.327,
959.299,7358.7548,
956.388,7350.5245,
953.477,7381.7866,
950.567,7410.0666,
947.656,7393.2445,
944.746,7417.0321,
941.835,7420.5544,
938.925,7414.5445,
936.014,7424.7823,
933.103,7399.6377,
930.193,7327.1274,
927.282,7311.9299,
924.372,7179.1696,
921.461,7087.7486,
918.551,6931.5769,
915.640,6814.7531,
912.729,6750.1172,
909.819,6655.5656,
906.908,6621.0262,
903.998,6613.5575,
901.087,6625.4916,
898.176,6660.8023,
895.266,6714.6125,
892.355,6772.5068,
889.445,6811.9524,
886.534,6951.5486,
883.624,6984.5077,
880.713,7047.347,
877.802,7060.3115,
874.892,6926.6703,
871.981,6704.0869,
869.071,6575.4333,
866.160,6691.8069,
863.250,6841.1427,
860.339,6953.0586,
857.428,6993.568,
854.518,6912.766,
851.607,6831.2232,
848.697,6661.6783,
845.786,6569.3284,
842.875,6591.0708,
839.965,6707.3834,
837.054,6882.2832,
834.144,6896.3719,
831.233,6866.4607,
828.323,6800.1732,
825.412,6752.0227,
822.501,6731.3158,
819.591,6582.564,
816.680,6479.5671,
813.770,6396.2338,
810.859,6327.2819,
807.949,6260.4932,
805.038,6184.9613,
802.127,6117.4648,
799.217,6115.5973,
796.306,6039.3677,
793.396,6022.5606,
790.485,6084.9134,
787.574,6070.2148,
784.664,6098.9187,
781.753,6171.8944,
778.843,6245.3117,
775.932,6298.2359,
773.022,6320.4623,
770.111,6303.2931,
767.200,6235.8908,
764.290,6199.5223,
761.379,6173.5519,
758.469,6145.6841,
755.558,6124.6874,
752.648,6110.0245,
749.737,6056.8602,
746.826,6021.2668,
743.916,5989.6247,
741.005,5923.6706,
738.095,5831.1167,
735.184,5701.4251,
732.274,5660.9617,
729.363,5734.7073,
726.452,5871.0486,
723.542,5887.2364,
720.631,6063.969,
717.721,6121.5621,
714.810,6140.8749,
711.899,6173.7686,
708.989,6197.9763,
706.078,6218.1576,
703.168,6221.9106,
700.257,6149.75,
697.347,6060.7324,
694.436,6106.1032,
691.525,6105.2994,
688.615,6083.742,
685.704,6087.0977,
682.794,6130.1248,
679.883,6202.8459,
676.973,6218.8733,
674.062,6220.2108,
671.151,6200.2768,
668.241,6178.7457,
665.330,6182.2089,
662.420,6078.3738,
659.509,6076.8079,
656.598,6130.5345,
653.688,6216.4906,
650.777,6319.3401,
647.867,6355.1749,
644.956,6353.8377,
642.046,6278.8871,
639.135,6177.1424,
636.224,6162.0613,
633.314,6149.3583,
630.403,6114.1996,
627.493,6091.3569,
624.582,6086.5936,
621.672,6070.7537,
618.761,6029.0883,
615.850,6041.4704,
612.940,6101.743,
610.029,6173.6532,
607.119,6146.8058,
604.208,6085.9039,
601.297,6118.4575,
598.387,6139.8692,
595.476,6058.8101,
592.566,6129.6463,
589.655,6085.7586,
586.745,6023.8793,
583.834,5983.7838,
580.923,5985.9497,
578.013,5956.9145,
575.102,5981.2459,
572.192,6012.628,
569.281,6038.076,
566.371,6104.599,
563.460,6095.6047,
560.549,6102.7688,
557.639,6119.8106,
554.728,6130.032,
551.818,6176.0707,
548.907,6245.2381,
545.996,6263.2967,
543.086,6237.3256,
540.175,6261.4637,
537.265,6276.8863,
534.354,6341.3245,
531.444,6401.7969,
528.533,6406.2905,
525.622,6408.6184,
522.712,6514.7001,
519.801,6625.8956,
516.891,6695.751,
513.980,6698.8482,
511.070,6829.4293,
508.159,6944.2984,
505.248,7036.1627,
502.338,7119.2082,
499.427,7292.8704,
496.517,7343.0846,
493.606,7406.0206,
490.695,7523.804,
487.785,7521.4947,
484.874,7526.941,
481.964,7531.3708,
479.053,7538.8246,
476.143,7562.6314,
473.232,7509.4503,
470.321,7507.1015,
467.411,7527.125,
464.500,7528.4437,
461.590,7580.5141,
458.679,7623.19,
455.769,7696.2202,
452.858,7810.6129,
449.947,7863.3242,
447.037,7973.6337,
444.126,8062.1553,
441.216,8100.3469,
438.305,8084.3464,
435.395,8119.4963,
432.484,8168.2977,
429.573,8205.0425,
426.663,8187.5592,
423.752,7956.6741,
420.842,7688.1512,
417.931,7510.6111,
415.020,7593.2721,
412.110,8117.0336,
409.199,8491.4989,
406.289,8676.9755,
403.378,8657.8202,
400.468,8567.8569,
397.557,8593.1107,
394.646,8686.1429,
391.736,8802.4188,
388.825,8874.0707,
385.915,8843.5022,
383.004,8829.2492,
380.094,8908.0463,
377.183,8926.1058,
374.272,9035.3388,
371.362,9113.4122,
368.451,9094.9577,
365.541,9174.5145,
362.630,9234.3618,
359.719,9266.125,
356.809,9269.795,
353.898,9330.4477,
350.988,9324.3406,
348.077,9316.4509,
345.167,9347.1145,
342.256,9406.1329,
339.345,9381.1418,
336.435,9340.7939,
333.524,9333.5578,
330.614,9379.0123,
327.703,9443.9521,
324.793,9480.2666,
321.882,9446.3485,
318.971,9538.5354,
316.061,9665.3462,
313.150,9803.463,
310.240,9926.6542,
307.329,9983.2935,
304.418,10029.658,
301.508,10069.183,
298.597,10103.243,
295.687,10036.369,
292.776,10049.375,
289.866,10142.772,
286.955,10278.698,
284.044,10401.222,
281.134,10470.752,
278.223,10500.598,
275.313,10592.705,
272.402,10686.481,
269.492,10744.244,
266.581,10754.386,
263.670,10772.031,
260.760,10935.93,
257.849,11110.637,
254.939,11195.034,
252.028,11317.731,
249.117,11360.014,
246.207,11372.361,
243.296,11438.977,
240.386,11459.838,
237.475,11493.25,
234.565,11533.399,
231.654,11522.444,
228.743,11508.618,
225.833,11518.724,
222.922,11560.989,
220.012,11558.075,
217.101,11668.517,
214.191,11762.269,
211.280,11689.523,
208.369,11732.568,
205.459,11777.685,
202.548,11801.225,
199.638,11749.704,
