,PLD1E6~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.75,
3011.256,-1.0499571,
3008.346,337.48343,
3005.435,394.55919,
3002.525,400.95749,
2999.614,422.83963,
2996.704,438.20154,
2993.793,454.98848,
2990.882,456.97141,
2987.972,457.92153,
2985.061,504.60716,
2982.151,504.89789,
2979.240,535.00191,
2976.329,532.26365,
2973.419,573.47375,
2970.508,567.94988,
2967.598,570.99257,
2964.687,593.36209,
2961.777,614.3058,
2958.866,619.75148,
2955.955,643.55085,
2953.045,655.06994,
2950.134,674.50509,
2947.224,686.68947,
2944.313,715.60399,
2941.403,730.00045,
2938.492,753.28115,
2935.581,741.79293,
2932.671,735.62983,
2929.760,753.99618,
2926.850,766.01128,
2923.939,782.98831,
2921.028,791.06179,
2918.118,767.25252,
2915.207,784.80693,
2912.297,795.69499,
2909.386,811.52373,
2906.476,836.22186,
2903.565,792.26555,
2900.654,808.47901,
2897.744,797.44827,
2894.833,778.286,
2891.923,796.91351,
2889.012,771.00433,
2886.102,752.52163,
2883.191,723.77454,
2880.280,558.73559,
2877.370,307.47137,
2874.459,228.757,
2871.549,454.94872,
2868.638,721.08593,
2865.727,774.11922,
2862.817,802.97992,
2859.906,808.30839,
2856.996,837.77717,
2854.085,849.35507,
2851.175,849.1566,
2848.264,854.25484,
2845.353,860.34023,
2842.443,851.33329,
2839.532,873.51115,
2836.622,853.23307,
2833.711,856.84578,
2830.801,845.26838,
2827.890,887.18882,
2824.979,907.23191,
2822.069,897.6704,
2819.158,893.03033,
2816.248,911.6921,
2813.337,917.29634,
2810.427,928.08883,
2807.516,916.815,
2804.605,923.18029,
2801.695,922.5263,
2798.784,929.789,
2795.874,896.61016,
2792.963,897.60723,
2790.052,923.74485,
2787.142,908.48677,
2784.231,903.58851,
2781.321,901.63581,
2778.410,923.11042,
2775.500,905.32552,
2772.589,909.09785,
2769.678,937.99913,
2766.768,944.18495,
2763.857,915.01783,
2760.947,952.24054,
2758.036,949.90286,
2755.126,955.74359,
2752.215,977.53642,
2749.304,956.45327,
2746.394,969.13706,
2743.483,981.75,
2740.573,965.7809,
2737.662,953.00443,
2734.751,971.40054,
2731.841,997.29213,
2728.930,980.44485,
2726.020,993.08681,
2723.109,991.31708,
2720.199,999.75,
2717.288,997.03102,
2714.377,1002.5874,
2711.467,977.84781,
2708.556,1024.6431,
2705.646,1027.8485,
2702.735,1042.5979,
2699.825,1069.9555,
2696.914,1052.1777,
2694.003,1057.7224,
2691.093,1036.9101,
2688.182,1020.5137,
2685.272,1051.1042,
2682.361,1058.4738,
2679.450,1052.8282,
2676.540,1049.3191,
2673.629,1063.8084,
2670.719,1055.7352,
2667.808,1061.9445,
2664.898,1082.0749,
2661.987,1078.9502,
2659.076,1083.2586,
2656.166,1069.0918,
2653.255,1106.3061,
2650.345,1118.0785,
2647.434,1121.2076,
2644.524,1128.642,
2641.613,1128.7789,
2638.702,1150.4975,
2635.792,1132.5297,
2632.881,1145.9047,
2629.971,1133.6627,
2627.060,1146.0825,
2624.149,1146.7781,
2621.239,1138.9985,
2618.328,1148.3858,
2615.418,1160.4273,
2612.507,1162.5761,
2609.597,1150.4027,
2606.686,1161.9448,
2603.775,1165.1508,
2600.865,1180.7466,
2597.954,1213.9355,
2595.044,1196.4285,
2592.133,1193.75,
2589.223,1216.0395,
2586.312,1197.5791,
2583.401,1199.8923,
2580.491,1218.9951,
2577.580,1247.7566,
2574.670,1256.1778,
2571.759,1255.0882,
2568.848,1249.6893,
2565.938,1247.4644,
2563.027,1240.3863,
2560.117,1246.049,
2557.206,1251.9271,
2554.296,1255.3244,
2551.385,1258.9899,
2548.474,1247.75,
2545.564,1287.4521,
2542.653,1266.75,
2539.743,1280.0836,
2536.832,1308.0977,
2533.922,1331.135,
2531.011,1295.4998,
2528.100,1291.5548,
2525.190,1314.1635,
2522.279,1293.5155,
2519.369,1296.9004,
2516.458,1319.6416,
2513.548,1335.6953,
2510.637,1305.1478,
2507.726,1337.6905,
2504.816,1336.626,
2501.905,1341.1268,
2498.995,1359.5861,
2496.084,1367.2308,
2493.173,1355.8553,
2490.263,1353.559,
2487.352,1365.9603,
2484.442,1398.5915,
2481.531,1390.213,
2478.621,1377.1244,
2475.710,1393.704,
2472.799,1400.575,
2469.889,1430.0547,
2466.978,1416.8634,
2464.068,1404.2579,
2461.157,1409.9001,
2458.247,1402.706,
2455.336,1413.431,
2452.425,1430.5802,
2449.515,1431.4486,
2446.604,1456.743,
2443.694,1458.4473,
2440.783,1446.8919,
2437.872,1470.6041,
2434.962,1470.9528,
2432.051,1493.4786,
2429.141,1503.3265,
2426.230,1510.2285,
2423.320,1484.3785,
2420.409,1502.4997,
2417.498,1521.3652,
2414.588,1525.9249,
2411.677,1573.997,
2408.767,1548.185,
2405.856,1515.8025,
2402.946,1531.2924,
2400.035,1537.7594,
2397.124,1544.1297,
2394.214,1572.5864,
2391.303,1559.2141,
2388.393,1510.9731,
2385.482,1494.75,
2382.571,1469.1667,
2379.661,1503.9825,
2376.750,1557.528,
2373.840,1600.025,
2370.929,1597.7933,
2368.019,1612.423,
2365.108,1639.2631,
2362.197,1600.2622,
2359.287,1642.8263,
2356.376,1644.7729,
2353.466,1642.1438,
2350.555,1642.96,
2347.645,1660.1036,
2344.734,1665.6578,
2341.823,1637.1977,
2338.913,1677.5724,
2336.002,1687.8743,
2333.092,1715.7613,
2330.181,1730.2947,
2327.270,1721.4101,
2324.360,1726.8515,
2321.449,1708.2126,
2318.539,1729.4106,
2315.628,1745.1193,
2312.718,1732.8513,
2309.807,1740.6381,
2306.896,1754.5137,
2303.986,1774.9774,
2301.075,1781.1756,
2298.165,1756.7882,
2295.254,1738.0731,
2292.344,1787.1691,
2289.433,1794.0782,
2286.522,1805.5847,
2283.612,1842.5919,
2280.701,1826.9205,
2277.791,1832.3511,
2274.880,1847.392,
2271.969,1839.6924,
2269.059,1839.3903,
2266.148,1878.0138,
2263.238,1868.8581,
2260.327,1845.1638,
2257.417,1860.7133,
2254.506,1895.9865,
2251.595,1905.3172,
2248.685,1904.3308,
2245.774,1896.4424,
2242.864,1895.3984,
2239.953,1911.1223,
2237.043,1926.9054,
2234.132,1931.5162,
2231.221,1922.8533,
2228.311,1921.7088,
2225.400,1955.5662,
2222.490,1989.5058,
2219.579,2021.5881,
2216.669,2030.2715,
2213.758,2043.3618,
2210.847,2064.8407,
2207.937,2036.0937,
2205.026,2083.0844,
2202.116,2059.7808,
2199.205,2102.7357,
2196.294,2138.626,
2193.384,2144.855,
2190.473,2174.3474,
2187.563,2199.9723,
2184.652,2252.2263,
2181.742,2305.593,
2178.831,2373.4505,
2175.920,2448.9686,
2173.010,2529.229,
2170.099,2635.4068,
2167.189,2791.525,
2164.278,2922.6676,
2161.368,3108.3158,
2158.457,3297.1902,
2155.546,3508.4262,
2152.636,3692.2125,
2149.725,3899.3606,
2146.815,4028.4465,
2143.904,4174.4005,
2140.993,4320.4957,
2138.083,4389.6315,
2135.172,4443.658,
2132.262,4480.3266,
2129.351,4426.5222,
2126.441,4397.1965,
2123.530,4282.9664,
2120.619,4016.5582,
2117.709,3832.5946,
2114.798,3608.9491,
2111.888,3361.8303,
2108.977,3145.3923,
2106.067,2980.5771,
2103.156,2842.0496,
2100.245,2681.6923,
2097.335,2579.2736,
2094.424,2496.7663,
2091.514,2448.4325,
2088.603,2380.5611,
2085.692,2341.8802,
2082.782,2314.734,
2079.871,2271.9624,
2076.961,2312.3919,
2074.050,2253.9742,
2071.140,2243.2554,
2068.229,2259.9466,
2065.318,2230.6502,
2062.408,2214.2273,
2059.497,2194.1071,
2056.587,2212.3774,
2053.676,2201.2515,
2050.766,2203.1342,
2047.855,2175.8671,
2044.944,2150.1394,
2042.034,2179.698,
