,PLD8DD~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.75,
3011.256,-3.1998819,
3008.346,383.62733,
3005.435,442.55919,
3002.525,462.43009,
2999.614,488.64225,
2996.704,495.07681,
2993.793,480.83698,
2990.882,517.65835,
2987.972,520.81054,
2985.061,540.28696,
2982.151,560.31808,
2979.240,588.58461,
2976.329,598.28003,
2973.419,613.01162,
2970.508,633.79987,
2967.598,649.79779,
2964.687,658.86889,
2961.777,660.50206,
2958.866,680.07541,
2955.955,706.68582,
2953.045,716.5196,
2950.134,740.78208,
2947.224,755.74641,
2944.313,780.7614,
2941.403,791.47673,
2938.492,800.72831,
2935.581,797.08864,
2932.671,808.71139,
2929.760,814.68077,
2926.850,814.69774,
2923.939,838.50699,
2921.028,844.12642,
2918.118,868.48929,
2915.207,870.40199,
2912.297,844.88117,
2909.386,866.16605,
2906.476,887.26122,
2903.565,865.84629,
2900.654,866.40926,
2897.744,878.43569,
2894.833,848.80164,
2891.923,878.24052,
2889.012,792.83093,
2886.102,804.97837,
2883.191,779.77643,
2880.280,633.63511,
2877.370,392.52364,
2874.459,275.29152,
2871.549,508.05421,
2868.638,798.58695,
2865.727,813.99226,
2862.817,874.73793,
2859.906,860.85255,
2856.996,916.14358,
2854.085,908.94112,
2851.175,923.39159,
2848.264,921.88733,
2845.353,912.0088,
2842.443,933.73259,
2839.532,934.77994,
2836.622,954.53646,
2833.711,932.4988,
2830.801,925.04485,
2827.890,945.8147,
2824.979,960.60197,
2822.069,969.6704,
2819.158,965.03033,
2816.248,985.18631,
2813.337,977.96705,
2810.427,1011.1026,
2807.516,998.54141,
2804.605,993.34135,
2801.695,994.57895,
2798.784,969.89377,
2795.874,998.31992,
2792.963,977.24946,
2790.052,982.74614,
2787.142,966.32892,
2784.231,953.1056,
2781.321,970.94434,
2778.410,986.67513,
2775.500,986.04759,
2772.589,968.67354,
2769.678,994.31646,
2766.768,1018.185,
2763.857,1003.8059,
2760.947,1034.2721,
2758.036,1017.4187,
2755.126,1011.406,
2752.215,1044.0046,
2749.304,1018.9641,
2746.394,1032.7863,
2743.483,1031.1,
2740.573,1027.2168,
2737.662,1043.7707,
2734.751,1047.7016,
2731.841,1027.2628,
2728.930,1051.038,
2726.020,1077.1991,
2723.109,1060.3586,
2720.199,1078.3001,
2717.288,1077.7135,
2714.377,1079.9126,
2711.467,1096.1599,
2708.556,1114.0793,
2705.646,1093.0316,
2702.735,1097.2629,
2699.825,1112.6846,
2696.914,1106.845,
2694.003,1126.1175,
2691.093,1135.2133,
2688.182,1116.6233,
2685.272,1126.3161,
2682.361,1117.6321,
2679.450,1107.0999,
2676.540,1129.0955,
2673.629,1131.481,
2670.719,1127.1585,
2667.808,1138.8473,
2664.898,1134.6848,
2661.987,1143.0832,
2659.076,1131.7672,
2656.166,1158.2175,
2653.255,1153.8248,
2650.345,1172.9188,
2647.434,1205.9495,
2644.524,1194.0858,
2641.613,1207.8072,
2638.702,1221.5448,
2635.792,1202.6892,
2632.881,1203.0295,
2629.971,1212.75,
2627.060,1176.41,
2624.149,1230.2094,
2621.239,1219.4778,
2618.328,1220.5805,
2615.418,1225.0455,
2612.507,1257.8843,
2609.597,1255.0354,
2606.686,1249.4247,
2603.775,1256.2659,
2600.865,1237.3984,
2597.954,1261.0375,
2595.044,1268.0715,
2592.133,1283.5909,
2589.223,1277.4847,
2586.312,1310.6545,
2583.401,1324.75,
2580.491,1306.601,
2577.580,1293.7962,
2574.670,1325.9011,
2571.759,1337.851,
2568.848,1341.2196,
2565.938,1310.3688,
2563.027,1334.8705,
2560.117,1321.5631,
2557.206,1328.2703,
2554.296,1359.5189,
2551.385,1343.932,
2548.474,1351.8244,
2545.564,1360.655,
2542.653,1377.9077,
2539.743,1380.2685,
2536.832,1386.3014,
2533.922,1367.3019,
2531.011,1400.9251,
2528.100,1384.3562,
2525.190,1394.6766,
2522.279,1385.5004,
2519.369,1389.279,
2516.458,1381.6523,
2513.548,1371.6685,
2510.637,1409.4263,
2507.726,1419.1255,
2504.816,1426.7511,
2501.905,1422.3878,
2498.995,1433.5708,
2496.084,1432.5897,
2493.173,1435.6447,
2490.263,1437.1432,
2487.352,1485.0004,
2484.442,1483.3453,
2481.531,1462.117,
2478.621,1475.1055,
2475.710,1505.3666,
2472.799,1456.9832,
2469.889,1467.052,
2466.978,1486.7396,
2464.068,1493.6654,
2461.157,1502.2851,
2458.247,1488.603,
2455.336,1500.3019,
2452.425,1531.6038,
2449.515,1502.8727,
2446.604,1517.8513,
2443.694,1554.2155,
2440.783,1566.6081,
2437.872,1557.3124,
2434.962,1549.6901,
2432.051,1572.4539,
2429.141,1566.9561,
2426.230,1593.4031,
2423.320,1596.4358,
2420.409,1596.641,
2417.498,1606.9298,
2414.588,1607.6626,
2411.677,1606.1485,
2408.767,1642.9911,
2405.856,1638.4048,
2402.946,1629.5891,
2400.035,1638.4378,
2397.124,1649.381,
2394.214,1630.5356,
2391.303,1658.54,
2388.393,1635.9034,
2385.482,1609.455,
2382.571,1573.9914,
2379.661,1571.9123,
2376.750,1651.3212,
2373.840,1689.8687,
2370.929,1702.6525,
2368.019,1713.0265,
2365.108,1731.4935,
2362.197,1744.7226,
2359.287,1709.6319,
2356.376,1701.7465,
2353.466,1735.4642,
2350.555,1712.4652,
2347.645,1748.2082,
2344.734,1735.8052,
2341.823,1783.8048,
2338.913,1781.1052,
2336.002,1800.1781,
2333.092,1814.5434,
2330.181,1808.0313,
2327.270,1810.695,
2324.360,1840.9599,
2321.449,1844.2262,
2318.539,1837.3035,
2315.628,1823.0114,
2312.718,1824.5826,
2309.807,1841.2035,
2306.896,1840.5528,
2303.986,1873.8021,
2301.075,1860.5161,
2298.165,1874.4718,
2295.254,1863.1809,
2292.344,1896.2854,
2289.433,1869.8118,
2286.522,1890.8839,
2283.612,1933.0128,
2280.701,1903.8801,
2277.791,1913.7519,
2274.880,1946.9518,
2271.969,1969.1451,
2269.059,1951.8672,
