,PLDF41~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.375,
3011.256,0.77508589,
3008.346,396.44459,
3005.435,446.02871,
3002.525,448.54502,
2999.614,507.43341,
2996.704,498.59665,
2993.793,518.87039,
2990.882,537.62683,
2987.972,538.29933,
2985.061,552.19277,
2982.151,583.97163,
2979.240,591.27423,
2976.329,610.4023,
2973.419,631.54368,
2970.508,663.62495,
2967.598,653.71315,
2964.687,677.03193,
2961.777,669.75103,
2958.866,707.38094,
2955.955,716.82852,
2953.045,744.20946,
2950.134,759.04557,
2947.224,772.51375,
2944.313,800.58867,
2941.403,805.62545,
2938.492,807.41838,
2935.581,827.375,
2932.671,826.85569,
2929.760,833.04808,
2926.850,842.00921,
2923.939,868.85161,
2921.028,881.91619,
2918.118,876.71631,
2915.207,901.50176,
2912.297,874.53156,
2909.386,894.76187,
2906.476,880.50703,
2903.565,879.74611,
2900.654,891.44475,
2897.744,859.33728,
2894.833,853.48846,
2891.923,851.8077,
2889.012,817.91257,
2886.102,804.1926,
2883.191,758.40143,
2880.280,535.05915,
2877.370,181.60825,
2874.459,37.90411,
2871.549,369.40376,
2868.638,764.80779,
2865.727,834.39026,
2862.817,861.05951,
2859.906,865.31232,
2856.996,896.80028,
2854.085,906.33297,
2851.175,928.6793,
2848.264,925.77732,
2845.353,940.66329,
2842.443,915.96177,
2839.532,945.22564,
2836.622,985.39714,
2833.711,950.05632,
2830.801,936.28897,
2827.890,957.18794,
2824.979,972.85691,
2822.069,968.70479,
2819.158,1002.6958,
2816.248,1004.6511,
2813.337,1019.5604,
2810.427,1006.8089,
2807.516,1008.375,
2804.605,1005.3534,
2801.695,1008.1645,
2798.784,1022.6358,
2795.874,987.9502,
2792.963,1001.0897,
2790.052,1006.3759,
2787.142,973.92769,
2784.231,983.21351,
2781.321,974.56934,
2778.410,992.78997,
2775.500,1001.0336,
2772.589,1011.9522,
2769.678,1018.2316,
2766.768,1012.2585,
2763.857,1023.481,
2760.947,1031.8908,
2758.036,1051.3178,
2755.126,1056.375,
2752.215,1062.2251,
2749.304,1036.8445,
2746.394,1045.1854,
2743.483,1063.225,
2740.573,1042.4214,
2737.662,1047.0555,
2734.751,1053.5838,
2731.841,1061.1864,
2728.930,1061.6418,
2726.020,1073.5943,
2723.109,1078.4677,
2720.199,1079.7468,
2717.288,1098.7071,
2714.377,1076.0255,
2711.467,1105.0629,
2708.556,1120.9072,
2705.646,1113.7553,
2702.735,1127.5528,
2699.825,1143.2659,
2696.914,1123.2791,
2694.003,1133.7604,
2691.093,1138.1608,
2688.182,1138.8476,
2685.272,1119.4461,
2682.361,1142.5868,
2679.450,1133.589,
2676.540,1149.5579,
2673.629,1153.3974,
2670.719,1147.229,
2667.808,1172.2077,
2664.898,1153.6085,
2661.987,1181.0085,
2659.076,1177.028,
2656.166,1187.3101,
2653.255,1181.8937,
2650.345,1187.6472,
2647.434,1207.6891,
2644.524,1193.8114,
2641.613,1186.1179,
2638.702,1190.3277,
2635.792,1212.4677,
2632.881,1238.2735,
2629.971,1200.7707,
2627.060,1205.3713,
2624.149,1226.6469,
2621.239,1237.4165,
2618.328,1222.8413,
2615.418,1236.0295,
2612.507,1243.2367,
2609.597,1262.5387,
2606.686,1227.2445,
2603.775,1262.7401,
