,PLDFFE~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.5,
3011.256,0.74994632,
3008.346,525.83805,
3005.435,598.84629,
3002.525,631.20022,
2999.614,652.87664,
2996.704,665.95154,
2993.793,668.73848,
2990.882,683.14882,
2987.972,698.48991,
2985.061,706.69706,
2982.151,745.92019,
2979.240,748.31271,
2976.329,792.04095,
2973.419,791.11489,
2970.508,810.88334,
2967.598,805.11767,
2964.687,817.08084,
2961.777,852.08988,
2958.866,850.15677,
2955.955,874.12388,
2953.045,891.84899,
2950.134,907.54378,
2947.224,909.49641,
2944.313,946.64601,
2941.403,976.57208,
2938.492,980.47831,
2935.581,966.27424,
2932.671,970.22104,
2929.760,988.86541,
2926.850,998.60451,
2923.939,1006.3038,
2921.028,995.81179,
2918.118,1011.4194,
2915.207,1015.3292,
2912.297,1041.4154,
2909.386,1041.2081,
2906.476,1018.0112,
2903.565,978.17703,
2900.654,982.05309,
2897.744,963.17312,
2894.833,931.31455,
2891.923,900.60569,
2889.012,822.29769,
2886.102,743.90682,
2883.191,607.59251,
2880.280,98.963949,
2877.370,-844.64345,
2874.459,-1178.5356,
2871.549,-282.54583,
2868.638,540.44812,
2865.727,752.33447,
2862.817,863.04541,
2859.906,914.61396,
2856.996,945.36414,
2854.085,979.90127,
2851.175,1022.0511,
2848.264,1032.794,
2845.353,1031.7588,
2842.443,1043.5,
2839.532,1022.5449,
2836.622,1066.2025,
2833.711,1078.3006,
2830.801,1067.2985,
2827.890,1079.1906,
2824.979,1102.2039,
2822.069,1116.4545,
2819.158,1117.4407,
2816.248,1124.7529,
2813.337,1121.1805,
2810.427,1124.5882,
2807.516,1142.7012,
2804.605,1164.4135,
2801.695,1136.0526,
2798.784,1155.2084,
2795.874,1111.9248,
2792.963,1138.6434,
2790.052,1101.5107,
2787.142,1115.6183,
2784.231,1103.0481,
2781.321,1130.2486,
2778.410,1121.5203,
2775.500,1106.8414,
2772.589,1140.9228,
2769.678,1136.9642,
2766.768,1164.2845,
2763.857,1152.554,
2760.947,1172.0536,
2758.036,1160.1687,
2755.126,1156.0214,
2752.215,1153.9908,
2749.304,1183.1366,
2746.394,1169.3689,
2743.483,1188.05,
2740.573,1150.3516,
2737.662,1165.2973,
2734.751,1177.3835,
2731.841,1191.663,
2728.930,1195.1526,
2726.020,1196.6175,
2723.109,1207.7061,
2720.199,1223.5781,
2717.288,1209.5547,
2714.377,1218.0121,
2711.467,1231.1066,
2708.556,1230.0213,
2705.646,1215.2887,
2702.735,1269.6314,
2699.825,1243.3255,
2696.914,1244.2141,
2694.003,1274.2155,
2691.093,1260.1426,
2688.182,1258.8459,
2685.272,1265.1899,
2682.361,1237.3177,
2679.450,1261.6892,
2676.540,1259.7439,
2673.629,1260.2176,
2670.719,1254.8429,
2667.808,1276.8677,
2664.898,1284.5515,
2661.987,1314.3001,
2659.076,1295.0604,
2656.166,1284.5345,
2653.255,1323.0884,
2650.345,1322.7396,
2647.434,1351.0136,
2644.524,1324.1139,
2641.613,1352.9865,
2638.702,1359.6105,
2635.792,1358.2188,
2632.881,1346.5299,
2629.971,1329.7751,
2627.060,1351.9991,
2624.149,1354.4469,
2621.239,1355.2633,
2618.328,1393.3555,
2615.418,1384.0909,
2612.507,1384.6108,
2609.597,1355.4182,
2606.686,1405.1365,
2603.775,1403.3413,
2600.865,1404.442,
2597.954,1427.9312,
2595.044,1438.8127,
2592.133,1440.4426,
2589.223,1440.2832,
2586.312,1469.1332,
2583.401,1458.4598,
2580.491,1469.4711,
2577.580,1443.5363,
2574.670,1460.7955,
2571.759,1431.4341,
2568.848,1434.7874,
2565.938,1451.6905,
2563.027,1444.3523,
2560.117,1455.8272,
2557.206,1474.2122,
2554.296,1489.1865,
2551.385,1503.8881,
2548.474,1515.6851,
2545.564,1509.6583,
2542.653,1523.2148,
2539.743,1521.3019,
2536.832,1520.6645,
2533.922,1531.5788,
2531.011,1539.2498,
2528.100,1553.4303,
2525.190,1565.034,
2522.279,1512.9538,
2519.369,1534.3496,
2516.458,1492.7061,
2513.548,1503.6269,
2510.637,1566.7622,
2507.726,1564.2435,
2504.816,1571.1234,
2501.905,1568.8043,
2498.995,1566.7986,
2496.084,1582.845,
2493.173,1603.5262,
2490.263,1606.6797,
2487.352,1619.6653,
2484.442,1603.0632,
2481.531,1625.8243,
2478.621,1649.7133,
2475.710,1652.3466,
2472.799,1635.213,
2469.889,1651.2562,
2466.978,1666.7164,
2464.068,1639.8121,
2461.157,1672.9225,
2458.247,1679.456,
2455.336,1682.2671,
2452.425,1681.066,
2449.515,1716.3399,
2446.604,1706.9379,
2443.694,1693.9894,
2440.783,1737.9809,
2437.872,1696.3541,
2434.962,1705.6336,
2432.051,1740.5493,
2429.141,1743.4823,
2426.230,1780.0879,
2423.320,1773.3575,
2420.409,1758.391,
2417.498,1780.0478,
2414.588,1791.6825,
2411.677,1802.747,
2408.767,1786.0413,
2405.856,1799.7833,
2402.946,1787.7556,
2400.035,1840.7371,
2397.124,1811.746,
