,PLE6E5~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.125,
3011.256,-0.97502147,
3008.346,231.17643,
3005.435,250.16387,
3002.525,268.76762,
2999.614,267.68995,
2996.704,275.03634,
2993.793,264.86809,
2990.882,272.94941,
2987.972,287.09978,
2985.061,279.90825,
2982.151,298.26115,
2979.240,313.75808,
2976.329,312.8709,
2973.419,316.60176,
2970.508,323.74166,
2967.598,328.125,
2964.687,322.39402,
2961.777,325.18492,
2958.866,330.78474,
2955.955,343.16039,
2953.045,341.22568,
2950.134,339.45443,
2947.224,337.52356,
2944.313,347.08013,
2941.403,356.03011,
2938.492,355.67784,
2935.581,355.57652,
2932.671,342.97054,
2929.760,374.86731,
2926.850,360.11786,
2923.939,353.32594,
2921.028,363.22513,
2918.118,343.82651,
2915.207,354.94777,
2912.297,357.11231,
2909.386,347.48268,
2906.476,344.63622,
2903.565,323.81908,
2900.654,293.71452,
2897.744,297.84841,
2894.833,263.7541,
2891.923,255.0449,
2889.012,203.29841,
2886.102,139.44531,
2883.191,-2.766438,
2880.280,-466.0474,
2877.370,-1278.4781,
2874.459,-1533.8416,
2871.549,-757.10623,
2868.638,-46.112416,
2865.727,91.817244,
2862.817,164.75598,
2859.906,239.58084,
2856.996,264.52763,
2854.085,292.28678,
2851.175,316.7184,
2848.264,312.9045,
2845.353,342.9309,
2842.443,338.11804,
2839.532,350.33392,
2836.622,385.91146,
2833.711,375.44368,
2830.801,361.33382,
2827.890,384.51833,
2824.979,369.55702,
2822.069,381.22735,
2819.158,388.22473,
2816.248,399.32,
2813.337,405.46524,
2810.427,401.91151,
2807.516,408.5925,
2804.605,422.79085,
2801.695,396.99342,
2798.784,413.72046,
2795.874,400.125,
2792.963,400.76787,
2790.052,385.12843,
2787.142,382.94092,
2784.231,393.57687,
2781.321,396.94218,
2778.410,391.28112,
2775.500,389.10085,
2772.589,392.00956,
2769.678,379.0568,
2766.768,407.33088,
2763.857,399.283,
2760.947,403.64706,
2758.036,396.95933,
2755.126,393.50534,
2752.215,389.27493,
2749.304,407.67713,
2746.394,403.58471,
2743.483,401.82497,
2740.573,413.44803,
2737.662,401.79512,
2734.751,406.91622,
2731.841,418.93636,
2728.930,391.84099,
2726.020,406.4566,
2723.109,408.67133,
2720.199,408.84996,
2717.288,405.33667,
2714.377,405.8332,
2711.467,414.9283,
2708.556,418.2951,
2705.646,416.20949,
2702.735,431.11468,
2699.825,432.37414,
2696.914,444.125,
2694.003,447.5559,
2691.093,425.21406,
2688.182,439.745,
2685.272,445.29286,
2682.361,423.33679,
2679.450,420.00155,
2676.540,447.88111,
2673.629,434.46582,
2670.719,439.47528,
2667.808,430.8059,
2664.898,446.34582,
2661.987,442.99164,
2659.076,439.50647,
2656.166,441.27209,
2653.255,460.31207,
2650.345,451.98888,
2647.434,455.23961,
2644.524,465.19454,
2641.613,466.23939,
2638.702,475.99875,
2635.792,471.28153,
2632.881,458.73232,
2629.971,480.78961,
2627.060,481.95844,
2624.149,471.93751,
2621.239,476.15464,
2618.328,462.7859,
2615.418,461.09773,
2612.507,472.50445,
2609.597,471.21682,
2606.686,481.68324,
2603.775,483.32341,
2600.865,478.88951,
2597.954,506.98126,
2595.044,504.45538,
2592.133,501.45617,
2589.223,483.96814,
2586.312,494.41648,
2583.401,492.8586,
2580.491,499.67308,
2577.580,498.12335,
2574.670,491.31352,
2571.759,478.87757,
2568.848,481.125,
2565.938,485.93454,
2563.027,479.00231,
2560.117,486.01288,
2557.206,494.22094,
2554.296,497.38587,
2551.385,510.93498,
2548.474,508.125,
2545.564,505.21997,
2542.653,523.36661,
2539.743,518.32216,
2536.832,499.85958,
2533.922,521.98308,
2531.011,519.72444,
2528.100,526.99605,
2525.190,531.56475,
2522.279,511.45329,
2519.369,515.71005,
2516.458,499.56197,
2513.548,500.02488,
2510.637,527.86279,
2507.726,544.43356,
2504.816,534.18474,
2501.905,526.05244,
2498.995,540.76669,
2496.084,535.125,
2493.173,545.62533,
2490.263,550.93403,
2487.352,564.83287,
2484.442,556.98582,
2481.531,559.9175,
2478.621,562.82167,
2475.710,555.21701,
2472.799,571.81105,
2469.889,568.18868,
2466.978,563.55785,
2464.068,561.4636,
2461.157,589.84771,
2458.247,562.80156,
2455.336,568.50856,
2452.425,552.75234,
2449.515,602.73831,
2446.604,607.125,
2443.694,590.84535,
2440.783,600.1768,
2437.872,584.41672,
2434.962,595.27707,
2432.051,602.17435,
2429.141,611.51309,
2426.230,613.32057,
2423.320,630.55377,
2420.409,622.8814,
2417.498,615.74859,
2414.588,610.125,
2411.677,632.73056,
2408.767,629.96653,
2405.856,642.33696,
2402.946,628.75592,
2400.035,632.62031,
2397.124,612.69718,
2394.214,621.881,
2391.303,594.76051,
2388.393,550.25052,
2385.482,493.32809,
2382.571,389.7447,
2379.661,449.05449,
2376.750,591.6344,
2373.840,635.71254,
2370.929,647.96255,
2368.019,670.2814,
2365.108,684.61191,
2362.197,685.38795,
2359.287,676.92333,
2356.376,690.10211,
2353.466,689.27564,
2350.555,710.4203,
2347.645,723.71705,
2344.734,701.27241,
2341.823,714.79334,
2338.913,714.32945,
2336.002,702.87849,
2333.092,727.32029,
2330.181,707.22737,
2327.270,717.0799,
2324.360,713.45284,
2321.449,712.67943,
2318.539,728.80698,
2315.628,731.54546,
2312.718,735.30782,
2309.807,744.78343,
2306.896,740.88087,
2303.986,746.60555,
2301.075,742.48673,
2298.165,773.03913,
2295.254,745.92209,
