,PLF44C~1,
Wavenumbers [1/cm],Intensity,
3014.167,4.125,
3011.256,-1.4749141,
3008.346,388.8004,
3005.435,479.6621,
3002.525,476.29502,
2999.614,502.17435,
2996.704,510.02809,
2993.793,519.32662,
2990.882,544.82735,
2987.972,548.13004,
2985.061,569.51911,
2982.151,593.36365,
2979.240,628.89498,
2976.329,623.89821,
2973.419,612.87801,
2970.508,669.94154,
2967.598,680.5993,
2964.687,682.54212,
2961.777,681.62913,
2958.866,713.79365,
2955.955,739.2024,
2953.045,735.81183,
2950.134,765.36991,
2947.224,788.60538,
2944.313,826.99038,
2941.403,833.85173,
2938.492,838.53963,
2935.581,830.71641,
2932.671,863.44257,
2929.760,871.44042,
2926.850,872.0656,
2923.939,879.88669,
2921.028,892.6193,
2918.118,921.04439,
2915.207,928.48591,
2912.297,888.33233,
2909.386,908.08122,
2906.476,908.66711,
2903.565,895.125,
2900.654,890.8429,
2897.744,889.82327,
2894.833,869.83627,
2891.923,879.1795,
2889.012,837.62789,
2886.102,813.02366,
2883.191,789.13822,
2880.280,559.87611,
2877.370,209.38719,
2874.459,99.597476,
2871.549,417.66682,
2868.638,779.82791,
2865.727,844.68265,
2862.817,881.52605,
2859.906,872.91131,
2856.996,927.54575,
2854.085,924.87917,
2851.175,963.78772,
2848.264,948.26233,
2845.353,945.59947,
2842.443,965.92709,
2839.532,961.02054,
2836.622,968.36654,
2833.711,968.85813,
2830.801,947.04632,
2827.890,995.60226,
2824.979,982.27303,
2822.069,992.4093,
2819.158,1012.1843,
2816.248,1004.8721,
2813.337,1007.8262,
2810.427,1019.2132,
2807.516,1028.0673,
2804.605,1029.1154,
2801.695,1043.7565,
2798.784,1007.7513,
2795.874,1012.9746,
2792.963,1028.4823,
2790.052,996.13294,
2787.142,999.09877,
2784.231,1021.6079,
2781.321,1039.0564,
2778.410,1023.125,
2775.500,1023.8909,
2772.589,1007.5883,
2769.678,1033.1967,
2766.768,1024.8201,
2763.857,1031.5508,
2760.947,1046.4705,
2758.036,1044.1506,
2755.126,1037.3088,
2752.215,1062.0387,
2749.304,1049.8067,
2746.394,1048.4757,
2743.483,1075.425,
2740.573,1057.72,
2737.662,1047.8055,
2734.751,1066.0569,
2731.841,1090.0719,
2728.930,1086.697,
2726.020,1087.6759,
2723.109,1082.3518,
2720.199,1096.5936,
2717.288,1100.0045,
2714.377,1114.4745,
2711.467,1106.3382,
2708.556,1131.2732,
2705.646,1141.9137,
2702.735,1158.9523,
2699.825,1154.1032,
2696.914,1147.0295,
2694.003,1160.9234,
2691.093,1158.3922,
2688.182,1146.2346,
2685.272,1157.4436,
2682.361,1158.3663,
2679.450,1152.0016,
2676.540,1170.7592,
2673.629,1158.1026,
2670.719,1163.6287,
2667.808,1191.5687,
2664.898,1169.1765,
2661.987,1194.9584,
2659.076,1218.0733,
2656.166,1183.4972,
2653.255,1204.4192,
2650.345,1224.2375,
2647.434,1232.1819,
2644.524,1224.0555,
2641.613,1227.125,
2638.702,1220.2355,
2635.792,1247.441,
2632.881,1230.5177,
2629.971,1227.6551,
2627.060,1241.9553,
2624.149,1251.425,
2621.239,1270.9476,
2618.328,1216.9477,
2615.418,1257.4614,
2612.507,1246.8167,
2609.597,1254.7478,
2606.686,1279.0989,
2603.775,1286.4861,
2600.865,1289.3605,
2597.954,1305.5083,
2595.044,1322.0453,
2592.133,1321.1694,
2589.223,1311.7997,
2586.312,1323.125,
2583.401,1322.6761,
2580.491,1316.3173,
2577.580,1343.1531,
2574.670,1351.8229,
2571.759,1331.226,
2568.848,1345.2963,
2565.938,1343.7441,
2563.027,1341.2227,
2560.117,1354.5643,
2557.206,1344.8519,
2554.296,1379.8115,
2551.385,1387.067,
2548.474,1375.2358,
2545.564,1381.6818,
2542.653,1389.4941,
2539.743,1385.4833,
2536.832,1408.4521,
2533.922,1449.7465,
2531.011,1425.575,
2528.100,1407.5988,
