,PLIQUI~2,
Wavenumbers [1/cm],Intensity,
3014.167,0.5,
3011.256,0.19993558,
3008.346,461.10769,
3005.435,529.77209,
3002.525,565.69016,
2999.614,574.87664,
2996.704,591.35876,
2993.793,597.88076,
2990.882,598.58394,
2987.972,614.58072,
2985.061,627.8399,
2982.151,645.63615,
2979.240,679.52849,
2976.329,713.76502,
2973.419,708.5611,
2970.508,720.33337,
2967.598,725.26827,
2964.687,751.42595,
2961.777,740.59401,
2958.866,773.15083,
2955.955,801.32964,
2953.045,797.81994,
2950.134,826.35132,
2947.224,821.46794,
2944.313,837.87108,
2941.403,859.21532,
2938.492,862.22358,
2935.581,855.9356,
2932.671,870.6245,
2929.760,883.87691,
2926.850,891.61165,
2923.939,891.10282,
2921.028,915.40622,
2918.118,920.37657,
2915.207,904.86091,
2912.297,910.51269,
2909.386,900.68249,
2906.476,902.36797,
2903.565,895.4689,
2900.654,875.88827,
2897.744,858.53772,
2894.833,844.5931,
2891.923,800.22749,
2889.012,766.00867,
2886.102,707.29733,
2883.191,563.61706,
2880.280,117.7965,
2877.370,-732.28319,
2874.459,-1052.7808,
2871.549,-228.46805,
2868.638,526.26667,
2865.727,685.93832,
2862.817,768.72992,
2859.906,812.7792,
2856.996,845.43207,
2854.085,899.23116,
2851.175,933.78317,
2848.264,923.06867,
2845.353,950.39216,
2842.443,939.90975,
2839.532,946.24618,
2836.622,947.38216,
2833.711,961.39639,
2830.801,945.11176,
2827.890,969.08745,
2824.979,959.32621,
2822.069,976.63647,
2819.158,991.16038,
2816.248,988.02895,
2813.337,989.03657,
2810.427,1011.1171,
2807.516,1016.7012,
2804.605,1023.2091,
2801.695,1011.0263,
2798.784,1011.7218,
2795.874,1006.4894,
2792.963,1002.3568,
2790.052,995.49979,
2787.142,987.97354,
2784.231,978.17701,
2781.321,1009.1799,
2778.410,998.21445,
2775.500,995.94863,
2772.589,990.80886,
2769.678,1015.4624,
2766.768,1021.8767,
2763.857,1020.1339,
2760.947,1037.4874,
2758.036,1034.6529,
2755.126,1044.1752,
2752.215,1020.4364,
2749.304,1041.3075,
2746.394,1058.7338,
2743.483,1077.8,
2740.573,1055.6592,
2737.662,1057.8195,
2734.751,1064.6891,
2731.841,1048.0659,
2728.930,1038.216,
2726.020,1065.6227,
2723.109,1074.5,
2720.199,1065.8905,
2717.288,1086.5876,
2714.377,1085.7584,
2711.467,1078.8934,
2708.556,1088.8402,
2705.646,1101.5704,
2702.735,1093.6675,
2699.825,1115.531,
2696.914,1097.8322,
2694.003,1132.9309,
2691.093,1117.7322,
2688.182,1121.2637,
2685.272,1117.1458,
2682.361,1104.6528,
2679.450,1105.9609,
2676.540,1128.0732,
2673.629,1113.8049,
2670.719,1117.5074,
2667.808,1130.5759,
2664.898,1164.6945,
2661.987,1167.5998,
2659.076,1152.3901,
2656.166,1159.1146,
2653.255,1182.4252,
2650.345,1172.7396,
2647.434,1210.2997,
2644.524,1207.9245,
2641.613,1207.3567,
2638.702,1214.2633,
2635.792,1200.3116,
2632.881,1204.6131,
2629.971,1181.5603,
2627.060,1223.6672,
2624.149,1221.3375,
2621.239,1201.707,
2618.328,1232.2881,
2615.418,1225.1773,
2612.507,1233.5316,
2609.597,1227.8772,
2606.686,1252.7209,
2603.775,1254.3016,
2600.865,1254.1484,
2597.954,1306.7334,
2595.044,1295.795,
2592.133,1290.4362,
2589.223,1267.2347,
2586.312,1271.9924,
2583.401,1311.1314,
2580.491,1313.9664,
2577.580,1291.5528,
2574.670,1313.2607,
2571.759,1283.7474,
2568.848,1283.9696,
2565.938,1282.2616,
2563.027,1320.9137,
2560.117,1305.6869,
2557.206,1330.6218,
2554.296,1329.3581,
2551.385,1336.566,
2548.474,1335.574,
2545.564,1358.677,
2542.653,1362.5201,
2539.743,1364.7218,
2536.832,1333.6626,
2533.922,1393.6419,
2531.011,1402.5,
2528.100,1400.9007,
2525.190,1375.7828,
2522.279,1404.8586,
2519.369,1369.9907,
2516.458,1346.4858,
2513.548,1339.3999,
2510.637,1391.7134,
2507.726,1428.6227,
2504.816,1425.9363,
2501.905,1403.0799,
2498.995,1432.7084,
2496.084,1406.0331,
2493.173,1438.2378,
2490.263,1429.5903,
2487.352,1429.8756,
2484.442,1449.0374,
2481.531,1470.7607,
2478.621,1474.1778,
2475.710,1473.6457,
2472.799,1498.4192,
2469.889,1489.3531,
2466.978,1511.015,
2464.068,1479.7432,
2461.157,1500.5848,
2458.247,1536.6324,
2455.336,1511.8013,
